Kulba 20-30 female
вулиці			вулиця  	noun:f:v_mis  0
у				у 			prep:rv_zna:rv_mis:rv_rod:v-u  0
вікно			вікно 		noun:n:v_zna  0
Тістечка		тістечко 	noun:p:v_naz  30
за				за	 		prep:rv_rod:rv_zna:rv_oru  0
смаком			смак 		noun:m:v_oru  10
магазинні		магазинний 	adj:p:v_naz  0
звичайні		звичайний 	adj:p:v_naz:compb  0
особливо		особливо 	adv  0
в				в	 		prep:rv_zna:rv_mis:rv_rod:v-u  0
порівнянні		порівняння 	adj:p:v_zna  0
з				з	 		prep:rv_rod:rv_zna:rv_oru  0
солодощами		солодощі 	noun:p:v_oru  40
в				в 			prep:rv_zna:rv_mis:rv_rod:v-u  0
інших			інший 		adj:p:v_mis:&pron:def  0
львівських		львівський 	adj:p:v_mis   0
кав'ярнях		кав'ярня 	noun:p:v_mis  20
та				та 			conj:coord  0
ресторанчиках	ресторанчик noun:p:v_mis  30
Замість			замість 	prep:rv_rod  0
чаю				чай 		noun:m:v_rod  0
з				з 			prep:rv_rod:rv_zna:rv_oru  0
вишнею			вишня 		noun:f:v_oru  20
та				та 			conj:coord  0
імбиром			імбир 		noun:m:v_oru  0
подають			подавати 	verb:pres:p:3:imperf  0
щось			щось 		pron:ind:n:v_zna  0
гірше			поганий		adj:n:v_zna:compr  -40
за				за 			prep:rv_rod:rv_zna:rv_oru  0
звичайний		звичайний 	adj:m:v_zna:compb  0
чай				чай 		noun:m:v_zna  0
в				в 			prep:rv_zna:rv_mis:rv_rod:v-u  0
пакетика		пакетик 	noun:m:v_rod  0
навіть			навіть 		part  0
не				не 			part  0
чим				що	 		pron:int:rel:n:v_oru  0
не				не	 		part  0
пахне			пахнути 	verb:futr:s:3:imperf  10
за				за 			prep:rv_rod:rv_zna:rv_oru  0
ціною			ціна 		noun:f:v_oru 	 0
за				за 			prep:rv_rod:rv_zna:rv_oru  0
чашку			чашка 		noun:f:v_zna  0
Ніколи			ніколи 		adv:&pron:neg  0
більше			багато 		adv:compr  0
не				не 			part  0
піду			піти 		verb:futr:s:1:perf  0
і				і 			conj:coord  0
всім			весь		adj:p:v_dav:&pron:dem  0
знайомим		знайомий 	adj:p:v_dav  0
пораджу			порадити	verb:futr:s:1:perf  0
обминати		обминати 	verb:inf:imperf  -20
Відношусь		відноситися	verb:rev:pres:s:1:imperf  0
до				до 			prep:rv_rod  0
всього			весь 		adj:m:v_rod:&pron:dem 	 0
справедливо		справедливо adv:compb  0
я				я 			pron:pers:s:1:v_naz:anim  0
абсолютно		абсолютно 	adv  0
нічого			нічого 		adv  0
тут				тут 		adv:&pron:dem  0
не				не 			part  0
збрехала		збрехати 	verb:past:f:perf   0
я				я 			pron:pers:s:1:v_naz:anim  0
описала			описати 	verb:past:f:perf  0
реальне			реальний 	adj:n:v_naz:compb  0
вражнення		враження 	noun:n:v_zna  0
від				від 		prep:rv_rod  0
побаченого		побачений 	adjp:pasv:past:m:v_rod 	 0
в				в 			prep:rv_zna:rv_mis:rv_rod:v-u  0
закладі			заклад 		noun:m:v_mis  0
До				до 			prep:rv_rod  0
чого			що 			pron:int:rel:n:v_rod  0
ви				ви 			pron:pers:p:2:v_naz:anim 0
взагалі			взагалі 	adv:v-u  0
тут				тут 		adv:&pron:dem  0
пишете			писати 		verb:pres:p:2:imperf  0
про				про 		prep:rv_zna  0
проблеми		проблема 	noun:p:v_zna  -40
і				і 			conj:coord  -40
відношення		відношення 	noun:n:v_zna 	 0
конкретно		конкретно 	adv  0
до				до 			prep:rv_rod  0
кого			хто 		pron:int:rel:m:v_rod:anim 0
Продовжуйте		продовжувати 	verb:impr:p:2:imperf  0
відвідувати		відвідувати verb:inf:imperf  0
напевно			напевно 	adv  0
вам				ви 			pron:pers:p:2:v_dav:anim 0
до				до 			prep:rv_rod  0
вподоби			вподоба 	noun:f:v_rod:v-u  0
просити			просити 	verb:inf:imperf  0
ключ			ключ		noun:m:v_zna  0
від				від 		prep:rv_rod  0
вбиральні		вбиральня 	noun:f:v_mis:v-u  0
можете			могти 		verb:unknown  0
їм				вони 		pron:pers:p:3:v_dav:anim 0
ще				ще			part  0
порадити		порадити 	verb:inf:perf  0
по				по 			prep:rv_mis:rv_zna  0
2				2 			number  0
грн				грн 		noun:f:v_rod:nv:abbr  0
збирати			збирати 	verb:inf:imperf  0
може			може 		insert  0
більше			багато 		adv:compr  0
зароблять		заробити 	verb:futr:p:3:perf  0
одиниці			одиниця  	noun:p:v_naz  0
його			воно		pron:pers:m:3:v_zna:anim  0
відвідують		відвідувати 	verb:pres:p:3:imperf  0
кафе			кафе 		noun:n:v_naz:nv  0
у			у 		prep:rv_zna:rv_mis:rv_rod:v-u  0
центрі			центр 		noun:m:v_mis  10
міста			місто 		noun:n:v_rod  10
при			при 		prep:rv_mis  0
такому			такий 		adj:m:v_mis:&pron:def  0
чудовому		чудовий 	adj:m:v_mis:compb  30
місцерозташуванні	місцерозташування noun:m:v_mis  0
тільки			тільки 		part  0
місце			місце 		noun:n:v_naz  0
без				без 		prep:rv_rod  0
толку			толк 		noun:m:v_rod  0
займає			займати 	verb:pres:s:3:imperf  0
Бажаю			бажати 		verb:pres:s:1:imperf  10
цьому			цей 		adj:m:v_dav:&pron:dem  0
кафе			кафе 		noun:n:v_dav:nv  0
якнайшвидше		швидко 		adv:super  30
закритись		закритися 	verb:rev:inf:perf  -33
і				і 			conj:coord  0
щоб				щоб 		conj:subord  0
на				на			prep:rv_zna:rv_mis  0
його			воно		pron:pers:m:3:v_rod:anim 0
місці			місце		noun:n:v_mis  0
відкрився		відкритися 	verb:rev:past:m:perf  0
гідний			гідний 		adj:m:v_zna:compb  30
заклад			заклад 		noun:m:v_naz  0
для				для 		prep:rv_rod  0
львів'ян		львів'янин 	noun:p:v_rod:anim  0
та				та 			conj:coord  0
гостей			гостя		noun:p:v_rod:anim  0
міста			місто		noun:n:v_rod  0
Воно			воно 		pron:pers:n:3:v_naz  0
дійсно			дійсно 		adv  0
як				як 			adv:&pron:int:rel  0
ви				ви 			pron:pers:p:2:v_kly:anim  0
написали		написати 	verb:past:p:perf  0
одне			один 		numr:n:v_zna 0
з				з 			prep:rv_rod:rv_zna:rv_oru 0
небагатьох		небагато 	numr:p:v_mis:&pron:ind  0
Доведіть		довести 	verb:impr:p:2:perf  0
до				до 			prep:rv_rod  0
Вашого			ваш 		pron:pos  0
відома			відомий 	noun:m:v_rod  0
своїх			свій 		pron:pos  0
працівників		працівник 	noun:p:v_rod:anim  0
що				що 			conj:subord  0
зимою			зима		noun:f:v_oru  0
ви				ви 			pron:pers:p:2:v_naz:anim 0
працюєте		працювати 	verb:pres:p:2:imperf  0
до			до 		prep:rv_rod  0
22:00			22:00 		time  0
бо			бо 		conj:subord  0
причина			причина 	noun:f:v_naz  0
офіціанткою		офіціантка 	noun:f:v_oru:anim  0
була		 	бути 		verb:past:f:imperf  0
названа			названий 	adjp:pasv:past:f:v_naz  0
зовсім			зовсім 		adv  0
інша			інший 		adj:f:v_naz:&pron:def  0
Обслуговували		обслуговувати 	verb:past:p:imperf  0
взагалі			взагалі 	adv:v-u  0
2			2 		number  0
офіціантки		офіціантка 	noun:p:v_naz:anim  0
напевно			напевно 	adv  0
1-ша			перша 		number:abbr  0
боялась			боятися 	verb:rev:past:f:imperf  -20
повідомити		повідомити 	verb:inf:perf  0
А			а 		part  0
причина			причина 	noun:f:v_naz  0
по			по 		prep:rv_mis:rv_zna  0
якій			який 		adj:f:v_mis:&pron:int:rel:def  0
ви			ви 		pron:pers:p:2:v_naz:anim  0
працюєте		працювати 	verb:pres:p:2:imperf  0
до			до 		prep:rv_rod  0
22:00			22:00 		time  0
мені			я 		pron:pers:s:1:v_dav:anim  0
стала			стати 		verb:past:f:perf  0
зрозуміла		зрозумілий 	adj:f:v_naz:compb  0
після			після		adv  0
відвідування		відвідування 	noun:n:v_rod  0
в			в 		prep:rv_zna:rv_mis 0
таке			такий 		adj:n:v_mis:&pron:def  0
місце			місце 		noun:n:v_mis 0
не			не 		part  0
можуть			могти 		verb:unknown  0
повертатись		повертатися 	verb:rev:inf:imperf  0
відвідувачі		відвідувач 	noun:p:v_naz:anim  0
Всі			весь 		pron:dem  0
нормальні		нормальний 	adj:p:v_naz   20
заклади			заклад 		noun:p:v_naz  20
працюють		працювати 	verb:pres:p:3:imperf  0
до			до 		prep:rv_rod  0
23:00			23:00 		Time  0
і			і 		conj:coord  0
до			до 		prep:rv_rod  0
останньої		останній 	adj:f:v_rod  0
хв			хвилина 	adj:f:v_rod:abbr 0
заповнені		заповнений	adjp:pasv:past:p:v_naz  0
клієнтами		клієнт 		noun:p:v_oru:anim  0
напевне			напевне 	adv  0
ви			ви 		pron:pers:p:2:v_naz:anim 0
розумієте		розуміти 	verb:pres:p:2:imperf  0
чому			чому 		pron:int:rel  0
що  0
Аналізуючи		аналізувати 	advp:imperf  0
інтонацію		інтонація 	noun:f:v_zna  0
коментарів		коментар 	noun:p:v_rod  0
потрібно		потрібно 	adv:compb  0
брати			брати 		verb:inf:imperf   0
їх			вони 		pron:pers:p:3:v_zna:anim 0
до			до 		prep:rv_rod  0
уваги			увага 		noun:f:v_rod  0
і			і 		conj:coord  0
виправляти		виправляти 	verb:inf:imperf  20
свої			свій 		pron:pos  0
помилки			помилка 	noun:p:v_zna  -40
також			також		adv  0
справжність		справжність 	noun:f:v_zna  30
причини			причина 	noun:f:v_rod  30
їх			вони 		pron:pers 0
написання		написання 	noun:n:v_rod  0
А			а 		conj:coord  0
не			не 		part  0
робити			робити 		verb:inf:imperf  0
неадекватні		неадекватний 	adj:p:v_zna  -40
висновки		висновок 	noun:p:v_zna  0
Коментарі		коментар 	noun:p:v_naz  0
були			бути 		verb:past:p:imperf  0
написані		написаний 	adjp:pasv:past:p:v_naz  0
на			на 		prep:rv_mis  0
2-х			2-й 		adj:p:v_zna  0
сайтах			сайт 		noun:p:v_mis  0
таке			такий 		adj:n:v_naz   0
враженя			враження	noun:s:v_naz 0
від			від 		prep:rv_rod  0
вашого			ваш 		pron:pos  0
закладу			заклад 		noun:m:v_rod  0
не			не 		part  0
можна			можна 		predic  0
приховувати		приховувати 	verb:inf:imperf  0
від			від 		prep:rv_rod  0
людей			люди 		noun:p:v_rod:anim  0
Були			бути 		verb:past:p:imperf  0
у			у 		prep:rv_mis  0
Львові			Львів 		noun:m:v_mis  0
один			один 		numr:m:v_naz  0
день			день 		noun:m:v_naz  0
проїздом		проїзд 		noun:m:v_oru  0
з			з 		prep:rv_oru  0
Харкова			Харків		noun:m:v_rod  0
місто			місто 		noun:n:v_zna  0
Із			із 		prep:rv_rod  0
усьго			увесь 		pron:dem  0
різноманіття		різноманіття 	noun:n:v_rod  0
закладів		заклад 		noun:p:v_rod  0
харчування		харчування 	noun:n:v_rod  0
що			що 		pron:int:rel:n:v_naz  0
є			бути 		verb:pres:s:1:imperf  0
в			в 		prep:rv_mis 0
місті			місто 		noun:n:v_mis  0
вибрали			вибрати 	verb:past:p:perf  0
пообідати		пообідати 	verb:inf:perf  0
у			у 		prep:rv_mis 0
Рудому			рудий 		adj:m:v_mis 10
Залишилась		залишитися 	verb:rev:past:f:perf  0
дуже			дуже  		adv  0
не			не 		part  0
задоволена		задоволений 	adj:f:v_naz:compb:&adjp:pasv:past 30
Ціни			ціна 		noun:p:v_naz  0
і			і 		conj:coord  0
порції			порція 		noun:p:v_naz  0
у			у 		prep:rv_mis 0
величезній		величезний 	adj:f:v_mis  30
не			не 		part  30
відповідності		відповідність 	noun:f:v_mis  30
В			в 		prep:rv_mis 0
меню			меню 		noun:n:v_mis:nv  0
вказано			вказати 	verb:impers:perf 0
солянка			солянка 	noun:f:v_naz  0
і			і 		conj:coord  0
борщ			борщ 		noun:m:v_naz  0
300			300		number  0
г			грам		noun:m:v_naz:abbr 0
Борщ			борщ 		noun:m:v_zna  30
принесли		принести 	verb:past:p:perf  0
в			в 		prep:rv_mis 0
малюсінькій		малюсінький 	adj:f:v_mis  0
тарілочці		тарілочка	noun:f:v_mis  0
а			а 		conj:coord  0
солянку			солянка 	noun:f:v_zna  0
в			в 		prep:rv_mis  0
глечику			глечик 		noun:m:v_mis  0
де			де 		pron:int:rel  0
була			бути 		verb:past:f:imperf  0
переважно		переважно 	adv  0
одна			один 		numr:f:v_naz  0
водичка			водичка 	noun:f:v_naz  0
трошки-трошки		трошки-трошки 	adv  0
огірків			огірок 		noun:p:v_rod 0
жменька			жменька 	noun:f:v_naz  20
грибів			гриб 		noun:p:v_rod  20
1-2			1-2 		number  0
оливки			оливка 		noun:p:v_zna  0
дольки			долька 		noun:p:v_naz:bad  0
лимону			лимон 		noun:m:v_rod 	 0
як			як 		pron:int:rel  0
кіт			кіт 		noun:m:v_naz:anim  0
наплакав		наплакати 	verb:past:m:perf  -20
 0
Може			може 		insert  0
як			як 		adv 0
кав'ярня		кав'ярня 	noun:f:v_naz  30
в			в 		prep:rv_mis 0
Рудого			рудий 		adj:m:v_rod  0
кота			кіт 		noun:m:v_rod:anim  0
є			бути 		verb:pres:s::imperf  0
право			право 		noun:n:v_naz   0
на			на 		prep:rv_mis  0
існування		існування 	noun:p:v_zna  0
але			але 		conj:coord   0
як			як 		adv:int:rel  0
заклад			заклад 		noun:m:v_naz  0
харчування		харчування 	noun:n:v_rod  0
де			де 		pron:int:rel  0
можна			можна		predic 0
туристу			турист		noun:m:v_dav:anim  0
точно			точно 		adv  0
для			для 		prep:rv_rod  0
цього			цей 		adj:m:v_rod:&pron:dem  0
не			не 		part  0
годиться		годитися 	verb:rev:pres:s:3:imperf  30
Після			після 		adv  0
такого			такий 		adj:m:v_rod:&pron:def  0
обіду			обід 		noun:m:v_rod  0
моєю			мій 		adj:f:v_oru:&pron:pos  0
вечерею			вечеря 		noun:f:v_oru  0
і			і 		conj:coord  0
сніданком		сніданок	noun:m:v_oru  0
наступного		наступний 	adj:m:v_rod  0
дня			день 		noun:m:v_rod  0
було			бути 		verb:past:n:imperf  0
лише			лише 		part  0
активоване		активований 	adjp:pasv:past:n:v_naz  0
вугілля			вугілля 	noun:n:v_naz  0
почувалася		почуватися 	verb:rev:past:f:imperf  0
кепсько			кепсько		adv  -40
Задумайтеся		задуматися 	verb:rev:impr:p:2:perf  0
творці			творець n	oun:p:v_kly:anim  0
Рудого			рудий 		adj:m:v_rod  0
кота			кіт 		noun:m:v_rod:anim  0
цей			цей 		adj:m:v_naz:&pron:dem  0
пост			пост 		noun:m:v_naz  0
я			я 		pron:pers:s:1:v_naz:anim 0
залишу			залишити 	verb:futr:s:1:perf  0
де			де 		adv:&pron:int:rel  0
тільки			тільки 		part  0
можливо			можливо 	adv  0
бо			бо 		conj:subord  0
такого			такий 		adj:m:v_rod:&pron:def  0
від			від 		prep:rv_mis 0
Львову			Львів 		noun:m:v_mis  0
я			я 		pron:pers:s:1:v_naz:anim 0
зовсім			зовсім 		adv  0
не			не 		part  0
чекала			чекати 		verb:past:f:imperf  0
Одним			один  		numr:n:v_oru  0
словом			слово 		noun:n:v_oru  0
не			не 		part  0
пощастило		пощастити 	verb:past:n:perf  20
і			і 		conj:coord  0
дуже			дуже 		adv  0
прикро			прикро 		adv:compb  -40
Зайшли			зайти 		verb:past:p:perf  0
і			і 		conj:coord   0
вийшли			вийти 		verb:past:p:perf:perf  0
Коли			коли 		adv:&pron:int:rel  0
багато			багато 		numr:p:v_naz:&pron:ind 0
людей			люди 		noun:p:v_rod:anim  0
там			там 		adv:&pron:dem  0
нема			нема 		predic  0
шо			що		pron:int:rel:n:v_zna  0
робити			робити 		verb:inf:imperf  0
Але			але 		conj:coord  0
накупили		накупити 	verb:past:p:perf  0
шоколадок		шоколадка 	noun:p:v_rod  30
всуснятина		смакота 	noun:s:V_naz 30
І			і 		conj:coord  0
дико			дико		adv	 -20
сподобалась		сподобатися 	verb:rev:past:f:perf  40
кількість		кількість 	noun:f:v_naz  0
котів			кіт 		noun:p:v_rod:anim  30
сувенірів		сувенір 	noun:p:v_rod  10
на			на 		prep:rv_mis  0
квадратний		квадратний 	adj:m:v_zna  0
сантиметр		сантиметр 	noun:m:v_zna  0
закладу			заклад 		noun:m:v_rod  0
Тож			тож 		part  0
до			до 		prep:rv_rod  0
наступних		наступний 	adj:p:v_rod  0
зустрічей		зустріч 	noun:p:v_rod  0
думаю			думати 		verb:pres:s:1:imperf  0
Не			не 		part  0
раджу			радити 		verb:pres:s:1:imperf  0
нікому			ніхто 		pron:neg:v_dav:anim  -20
Ціни			ціна		noun:p:v_naz  0
космічні		космічний 	adj:p:v_naz  -10
як			як 		part  0
на			на 		prep:rv_zna 0
такий			такий 		adj:m:v_zna:&pron:def  0
сервіс			сервіс n	noun:m:v_zna  0
Меню			меню 		noun:n:v_naz:nv  0
велике			великий 	adj:n:v_naz:compb   0
а			а 		conj:coord  0
є			бути 		verb:pres:s::imperf  0
в			в 		prep:rv_zna 0
наявності		наявність 	noun:p:v_zna  0
хіба			хіба 		part  0
20%			20% 		number  0
питання			питання 	noun:n:v_rod  0
не			не 		part  0
простіше		простo		adv:compr  10
його			воно 		pron:pers:n:3:v_zna  -1
переписати		переписати 	verb:inf:perf  -1
аніж			аніж 		conj:subord  -1
листати			гортати		verb:inf:perf  -1
півгодини		півгодини 	noun:f:v_rod:nv:np  -1
вибравши		вибрати 	advp:perf  -1
нарешті			нарешті 	adv  -1
щось			щось		pron:ind:n:v_zna  -1
отримуєш		отримувати 	verb:pres:s:2:imperf  -1
у			у 		prep:rv_zna  -1
відповідь		відповідь	noun:f:v_zna  -1
немає			немає 		predic  -21
Я			я 		pron:pers:s:1:v_naz:anim  0
лишилась		лишитися 	verb:rev:past:f:perf  0
не			не 		part  0
задоволеною		задоволений 	adjp:pasv:past 20
була			бути 		verb:past:f:imperf  0
раз			раз 		number 0
і			і 		conj:coord  0
більше			багато 		adv:compr  0
туди			туди 		adv:&pron:dem  0
ні			ні 		part  0
ногою			нога 		noun:f:v_oru  0
Якісь			якийсь 		adj:p:v_naz:&pron  0
продуктів		продукт 	noun:p:v_rod  0
також			також 		adv   0
під			під 		prep:rv_oru  0
питанням		питання		noun:n:v_oru  0
бо			бо 		conj:subord  0
на			на 		prep:rv_zna 0
смак			смак 		noun:m:v_zna  0
воно			воно 		pron:pers:n:3:v_naz  0
якєсь			якийсь		pron:s:v_naz 0
дивне			дивний 		adj:n:v_naz:compb  -30
Мені			я 		pron:pers:s:1:v_dav:anim  0
там			там 		adv:&pron:dem  0
не			не 		part  0
сподобалось		сподобатися 	verb:rev:past:n:perf  20
Була			бути 		verb:past:f:imperf  0
тут			тут 		adv:&pron:dem  0
1			1 		number  0
раз			раз 		noun:m:v_naz  0
не			не 		part  0
сподобалося		сподобатися 	verb:rev:past:n:perf  30
це			цей 		pron:dem  0
було			бути 		verb:past:n:imperf  0
зимою			зима 		noun:f:v_oru  0
в			в 		prep:rv_zna 0
неділю			неділя 		noun:f:v_zna  0
вечором			вечір 		noun:m:v_oru  0
а			а 		conj:coord  0
клієнтів		клієнт 		noun:p:v_rod:anim  0
не			не 		part  0
було			бути 		verb:past:n:imperf  0
взагалі			взагалі 	adv 0
всі			весь 		adj:p:v_naz:&pron:dem   0
столи			стіл 		noun:p:v_naz  0
вільні			вільний		adj:p:v_naz:compb  0
атмосфера		атмосфера 	noun:f:v_naz  0
не			не 		part  0
дуже			дуже 		adv  0
що			що 		conj:subord  0
ж			ж  		part  0
до			до 		prep:rv_rod  0
меню 			меню 		noun:f:v_zna 0
то			то		conj:subord 0
половини		половина 	noun:f:v_rod  0
солодощів		солодощі 	noun:p:v_rod  0
не			не 		part  0
було			бути 		verb:past:n:imperf  0
майже			майже 		adv  0
на			на 		prep:rv_zna 0
все			все 		adj:n:v_zna:&pron:dem  0
була			бути 		verb:past:f:imperf  0
відповідь		відповідь 	noun:f:v_naz  0
зараз			зараз 		adv:&pron:dem  0
не			не 		part  0
має			мати 		verb:pres:s:3:imperf  0
це			цей 		adj:n:v_naz:&pron:dem  0
муляж			муляж 		noun:m:v_naz  0
ціни			ціна 		noun:f:v_rod  0
вище			високий 	adj:n:v_naz:compr   10
середнього		середній 	adj:m:v_rod  0
рівня			рівень 		noun:m:v_rod  0
про			про 		prep:rv_zna  0
смак			смак 		noun:m:v_zna  0
сказати			сказати 	verb:inf:perf  0
нічого			нічого  	pron:neg:v_rod  0
не			не 		part  0
можу			могти 		verb:unknown  0
бо			бо 		conj:subord  0
пішла			піти 		verb:past:f:perf  0
з			з 		prep:rv_oru 0
обуренням		обурення 	noun:n:v_oru  -50
нічого			нічого 		pron:neg:v_rod  -30
не			не 		part  0
замовивши		замовити 	advp:perf  0
сподобалося		сподобатися 	verb:rev:past:n:perf  20
одне			один 		numr:n:v_naz  0
привітні		привітний 	adj:p:v_naz:compb   0
офіціантки		офіціантка 	noun:p:v_naz:anim  0
Залишив			залишити 	verb:past:m:perf  0
на			на 		prep:rv_mis  0
