Buryak 20-30 male
відшмагати	відшмагати 	verb:inf:perf  -20
вітчизняних	вітчизняний 	adj:p:v_rod 	 0
Володарці	володарка 	noun:f:v_dav:anim 	 0
волонтерів	волонтер 	noun:p:v_zna:anim  20
волосся		волосся noun:n:v_naz 	noun:n:v_rod 	noun:n:v_zna (волосся noun:nv) 0
вони		вони 	pron:pers:p:3:v_naz:anim 0
воно		воно 	pron:pers:n:3:v_naz  0
восени		восени 	adv  0
воском		віск 	noun:m:v_oru  0
вражаючий	вражаючий 	adj:m:v_naz:bad 	 0
вражаючим	вражаючий 	adj:m:v_oru:bad 	 10
враження	враження 	noun:n:v_naz 	 10
вразило		вразити 	verb:past:n:perf  10
Врятовує	врятовувати 	verb:pres:s:3:imperf:v-u  13
все			все 	adv:v-u  0
все			все 	adv:v-u  0
все			все 	adv:v-u  0
все			все 	adv:v-u  0
все			все 	adv:v-u 	 0
все			все 	adv:v-u  0
Все			все 	adv:v-u 	 0
все			все 	adv:v-u 	 0
Все			все 	adv:v-u 0
все			все 	adv:v-u 	 0
все			все 	part:v-u  0
все-таки	все-таки 	part:v-u  0
всі			весь 	adj:p:v_naz:&pron:dem  0
всіх		весь 	adj:p:v_rod:&pron:dem 	 0
Всіх		весь 	adj:p:v_rod:&pron:dem 	 0
вся			весь 	adj:f:v_naz:&pron:dem  0
втратили	втратити 	verb:past:p:perf:v-u  -20
входу		вхід 	noun:m:v_rod  0
галочки		галочка noun:f:v_rod:anim 	 0
гаманці		гаманець 	noun:m:v_mis 	 0
гарантовані	гарантований 	adjp:pasv:past:p:v_naz 	 0
гендерної	гендерний 	adj:f:v_rod  0
геніталії	геніталії 	noun:p:v_naz  0
гнітюча		гнітючий 	adj:f:v_naz  -27
години		година 	noun:f:v_rod  0
голова		голова 	noun:f:v_naz 	 0
голосно		голосно adv:compb  0
гості		гість 	noun:p:v_naz:anim  0
готують		готувати 	verb:pres:p:3:imperf  0
грошенят	грошенята 	noun:p:v_rod  10
групою		група 	noun:f:v_oru  0
гумор		гумор 	noun:m:v_naz 	 30
гумору		гумор 	noun:m:v_rod  30
далі		далі 	adv  0
далі		далі 	adv  0
даний		даний 	adjp:pasv:past:m:v_naz	 0
даного		даний 	adjp:pasv:past:m:v_rod 0
Даринка		Даринка noun:f:v_naz:anim:fname  0
двері		двері 	noun:p:v_naz 	  0
двічі		двічі 	adv  0
де			де 		adv:&pron:int:rel 0
де			де 		part  0
девятої		дев'ятий 	adj:f:v_rod  0
десертом	десерт 	noun:m:v_oru  22
десь		десь 	insert 	 0
дискримінації	дискримінація 	noun:f:v_rod  -17
Дівчата		дівча 	noun:p:v_naz:anim  0
дівчатам	дівча 	noun:p:v_dav:anim  0
дівчині		дівчина noun:f:v_dav:anim 	 0
дівчиною	дівчина noun:f:v_oru:anim  0
дівчину		дівчина noun:f:v_zna:anim  0
дійсно		дійсно 	adv  0
дійсно		дійсно 	adv  0
дітей		діти 	noun:p:v_rod:anim 	 0
для			для 	prep:rv_rod  0
для			для 	prep:rv_rod  0
для			для 	prep:rv_rod  0
для			для 	prep:rv_rod  0
дня			день 	noun:m:v_rod  0
днями		день 	noun:p:v_oru  0
до			до 		prep:rv_rod  0
до			до 		prep:rv_rod  0
до			до 		prep:rv_rod  0
до			до 		prep:rv_rod  0
до			до 		prep:rv_rod  0
до			до 		prep:rv_rod  0
до			до 		prep:rv_rod  0
до			до 		prep:rv_rod  0
до			до речі </insert>  0
до			до речі <insert>  0
добрати		добрати 	verb:inf:perf  0
добре		добре 	adv  0
довго		довго 	adv:compb  -11
довго		довго 	adv:compb  -11
додатком	додаток 	noun:m:v_oru  1
додаток		додаток noun:m:v_naz 	 1
дорого		дорого 	adv:compb  -10
досить		досить 	adv 0
досить		досить 	adv 	 0
дрес-код	дрес-код 	noun:m:v_naz 	 10
другій		другий 	adj:f:v_mis  0
друзями		друзі 	noun:p:v_oru:anim  25
друзями		друзі 	noun:p:v_oru:anim  25
друзями		друзі 	noun:p:v_oru:anim  25
друзями		друзі 	noun:p:v_oru:anim  25
дуже		дуже 	adv 0
Дуже		дуже 	adv  0
дуже		дуже 	adv 0
Дуже		дуже 	adv 0
Дуже		дуже 	adv 0
дуже		дуже 	adv 0
Дуже		дуже 	adv 0
дуже		дуже 	adv  0
дуже		дуже 	adv  0
Дуже		дуже 	adv 0
дуже		дуже 	adv 0
Думаєш		думати 	verb:pres:s:2:imperf  0
дух			дух 	noun:m:v_naz 	 0
душ			душа 	noun:p:v_rod  0
душі		душа 	noun:f:v_dav 	  0
Дякуємо		дякувати 	verb:pres:p:1:imperf  10
дякую		дякувати 	verb:pres:s:1:imperf  10
дякую		дякувати 	verb:pres:s:1:imperf  10
Дякую		дякувати 	verb:pres:s:1:imperf  10
Емоцій		емоція 	noun:p:v_rod  12
емоції		емоція 	noun:p:v_naz  12
емоції		емоція 	noun:p:v_naz 	 12
емоції		емоція 	noun:p:v_naz 	 12
енергія		енергія noun:f:v_naz  9
епатажного	епатажний 	adj:m:v_rod 	 14
Є			бути 	verb:pres:p:1:imperf 	 	 0
ж			ж 		part  0
ж			ж 		part 	  0
ж			ж 		part  0
ж			ж 		part  0
жахлива		жахливий 	adj:f:v_naz:compb  -22
жахлива		жахливий 	adj:f:v_naz:compb  -22
же			же 		conj:coord 	part  0
же			же 		part  0
жесть		- 		- (жесть noun:v_naz:coll:slang) 0
життя		життя 	noun:n:v_naz 	 15
жіноча		жіночий adj:f:v_naz  0
жіночий		жіночий 	adj:m:v_naz 0
жодному		жодний 	adj:m:v_mis:&pron   0
з			з 		prep:rv_oru 0
з			з 		prep:rv_oru 0
з			з 		prep:rv_oru 0
з			з 		prep:rv_oru 0
з			з 		prep:rv_oru 0
з			з 		prep:rv_oru 0
з			з 		prep:rv_oru 0
з			з 		prep:rv_oru  0
з			з 		prep:rv_oru 0
з			з 		prep:rv_oru 0
з			з 		prep:rv_oru 0
з			з 		prep:rv_oru 0
З			з 		prep:rv_oru 0
з			з 		prep:rv_oru 0
з			з 		prep:rv_oru 0
з			з 		prep:rv_oru 0
з			з 		prep:rv_oru 0
за			за 		prep:rv_zna 0
за			за 		prep:rv_zna 0
за			за 		prep:rv_zna 0
За			за 		prep:rv_zna  0
забавки		забавка 	noun:p:v_naz 	 0
Забігались	забігатися 	verb:rev:past:p:imperf  0
забігли		забігти 	verb:past:p:perf  0
забудьте	забути 	verb:impr:p:2:perf  0
завжди		завжди 	adv:&pron:gen  0
заводні		заводний 	adj:p:v_zna  0
Загалом		загалом adv 0
задоволення	задоволення 	noun:n:v_naz 	  35
задумка		- 		-  0
зайняли		зайняти verb:past:p:perf  0
зайти		зайти 	verb:inf:perf  0
зайти		зайти 	verb:inf:perf  0
зайшли		зайти 	verb:past:p:perf  0
Зайшов		зайти 	verb:past:m:perf  0
заклад		заклад 		noun:m:v_naz 0
заклад		заклад 	noun:m:v_naz 	 0
заклад		заклад 	noun:m:v_naz 	 0
заклад		заклад 	noun:m:v_naz 	 0
заклад		заклад 	noun:m:v_naz 	 0
заклад		заклад 	noun:m:v_naz 	 0
закладі		заклад 	noun:m:v_mis  0
закладом	заклад 	noun:m:v_oru  0
закладу		заклад 	noun:m:v_dav  0
закладу		заклад 	noun:m:v_dav 0
закладу		заклад 	noun:m:v_dav  0
закладу		заклад 	noun:m:v_dav 	 0
закладу		заклад 	noun:m:v_rod  0
закладу		заклад 	noun:m:v_rod   0
залежить	залежати 	verb:pres:s:3:imperf  0
залишається	залишатися 	verb:rev:pres:s:3:imperf 0
залишаться	залишитися 	verb:rev:futr:p:3:perf  0
залишить	залишити 	verb:futr:s:3:perf  0
залі		зала 	noun:f:v_mis  0
залучення	залучення 	noun:n:v_naz 		 0
замало		замало 	adv  -8
замовили	замовити 	verb:past:p:perf  0
замовили	замовити 	verb:past:p:perf  0
замовили	замовити 	verb:past:p:perf  0
замовляти	замовляти 	verb:inf:imperf  0
Занадто		занадто adv  -6
запам'ятати	запам'ятати 	verb:inf:perf  0
запрошенням	запрошення 	noun:n:v_oru 	 10
заради		заради 	prep:rv_rod  0
зарубіжних	зарубіжний 	adj:p:v_rod:bad 	 0
заслуговує	заслуговувати 	verb:pres:s:3:imperf  4
засмучує	засмучувати 	verb:pres:s:3:imperf  -6
заставити	заставити 	verb:inf:perf  -6
заставляли	заставляти 	verb:past:p:imperf  -6
застосування	застосування 	noun:n:v_rod 	 0
затишна		затишний 	adj:f:v_naz:compb  0
зауважили	зауважити 	verb:past:p:perf  0
Захер		Захер	noun:m:v_naz 	noun:m:v_zna (noun:m:v_rod:anim:fname) 0
заходити	заходити 	verb:inf:imperf 	 0
заходів		захід 	noun:p:v_rod  0
Захора	 	Захор		noun:m:v_rod:anim:lname 	 0
Захора		Захор	noun:m:v_rod:anim:lname 0
збоченців	збоченець 	noun:p:v_rod:anim 	 -20
звичайно	звичайно 	adv:compb  0
звісно		звісно 	adv  0
здійснень	здійснення 	noun:p:v_rod  0
зі			зі 		prep:rv_oru  0
зі			зі 		prep:rv_rod 0
змісту		зміст 	noun:m:v_dav 	noun:m:v_mis 	noun:m:v_rod (зміст noun:m:v_zna) 0
змушувати	змушувати 	verb:inf:imperf  -18
змушує		змушувати 	verb:pres:s:3:imperf  -18
знаю		знати 	verb:pres:s:1:imperf  0
зображати	зображати 	verb:inf:imperf  0
зовнішній	зовнішній 	adj:m:v_naz 	 0
зовсім		зовсім 	adv  0
зрозуміла	зрозумілий 	adj:f:v_naz:compb  0
зрозуміти	зрозуміти 	verb:inf:perf  0
Зустріли	зустріти 	verb:past:p:perf  0
й			й 	 	part  0
й			й 	 	part  0
й			й 	 	part  0
й			й 		conj:coord 	 0
його		його 	adj:m:nv:&pron:pos 	 0
йому		він 	pron:pers:m:3:v_dav:anim   0
йшла		йти 	verb:past:f:imperf  0
і			і 		conj:coord 0
І			і 		conj:coord  0
і			і 		conj:coord 0
і			і 		conj:coord 0
і			і 		conj:coord  0
і			і 		conj:coord  0
і			і 		conj:coord 	 0
І			і 		conj:coord 	 0
і			і 		conj:coord 	 0
і			і 		conj:coord 	 0
і			і 		conj:coord 	 0
і			і 		conj:coord 	 0
і			і 		conj:coord 	 0
і			і 		conj:coord 	 0
і			і 		conj:coord 	 0
і			і 		conj:coord 	 0
і			і 		conj:coord 	  0
і			і 		conj:coord 	 0
і			і 		conj:coord  0
і			і 		conj:coord 	 0
і			і 		conj:coord 	 0
і			і 		conj:coord 	 0
і			і 		conj:coord 	 0
і			і 		conj:coord 	 0
і			і 		conj:coord 	 0
і			і 		conj:coord 	 0
і			і 		conj:coord 	  0
І			і 		conj:coord 	 0
і			і		conj:coord 	 0
ідея		ідея 	noun:f:v_naz  0
їжа			їжа 	noun:f:v_naz  50
їжа			їжа 	noun:f:v_naz  50
їжу			їжа 	noun:f:v_zna  50
із			із 		prep:rv_oru  0
із			із 		prep:rv_oru  0
із			із 		prep:rv_oru  0
її			її 		adj:f:nv:&pron:pos 0
її			її 		adj:f:nv:&pron:pos  0
їм			вони 	pron:pers:p:3:v_dav:anim 0
ім'я		ім'я 	noun:n:v_naz 	 0
Інтер'єр	інтер'єр 	noun:m:v_naz 0
інтер'єр	інтер'єр 	noun:m:v_naz 	 0
інтер'єр	інтер'єр 	noun:m:v_naz 	 0
Інтер'єр	інтер'єр 	noun:m:v_naz 	 0
Інтер'єр	інтер'єр 	noun:m:v_naz 	 0
інших		інший 	adj:p:v_rod:&pron:def  0
Іра			Іра 	noun:f:v_naz:anim:fname 0
історії		історія	noun:f:v_rod 	 7
їх			вони 	pron:pers:p:3:v_rod:anim	 0
їх			вони 	pron:pers:p:3:v_rod:anim 	 0
кави		кава 	noun:f:v_rod  14
каву		кава 	noun:f:v_zna  14
каву		кава 	noun:f:v_zna  14
кайдани		кайдани 	noun:p:v_naz 	 -13
кайдани		кайдани noun:p:v_naz 	  -13
кафе		кафе 	noun:n:v_dav:nv 	 17
кафе		кафе 	noun:n:v_naz:nv	 17
Кафе		кафе 	noun:n:v_naz:nv	 	 17
кафе		кафе 	noun:n:v_naz:nv 	 17
кафе		кафе 	noun:n:v_naz:nv 	 17
кафе		кафе 	noun:n:v_rod:nv  17
кафе		кафе 	noun:n:v_zna:nv  17
Кафешка		кафешка noun:f:v_naz:slang  17
Києва		Київ 	noun:m:v_rod  0
кишеню		кишеня 	noun:f:v_zna  0
кінця		кінець 	noun:m:v_rod  0
клієнтів	клієнт 	noun:p:v_rod:anim 	 0
клієнтів	клієнт 	noun:p:v_zna:anim  0
кожен		кожний 	adj:m:v_naz:contr  0
кожного		кожний 	adj:m:v_rod:&pron:def  0
кожного		кожний 	adj:m:v_rod:&pron:def   0
коктейлі	коктейль 	noun:p:v_naz 	 0
коктейлі	коктейль 	noun:p:v_naz 	 0
коктейлі	коктейль 	noun:p:v_zna  0
коктейлів	коктейль 	noun:p:v_rod  0
коктейлю	коктейль 	noun:m:v_rod  0
коктейль	коктейль 	noun:m:v_naz 	 0
коктейль	коктейль 	noun:m:v_naz 	 0
коктейль	коктейль 	noun:m:v_naz 	 0
коктейль	коктейль 	noun:m:v_naz 	 0
Коктейль	коктейль 	noun:m:v_naz 	 0
Колективу	колектив 	noun:m:v_dav  10
коли		коли 	part   0
коли		коли 	part   0
колоритним	колоритний 	adj:m:v_oru:compb 	 5
компанія	компанія 	noun:f:v_naz  14
концептуально	концептуально 	adv  14
кота		кіт 	noun:m:v_rod:anim  14
краще		хороший 	adj:n:v_naz:compr 	 14
краще		хороший adj:n:v_naz:compr 	 14
критикувати	критикувати 	verb:inf:imperf  -25
критично	критично 	adv:compb  -25
кричали		кричати verb:past:p:imperf  -32
Крім		крім 	prep:rv_rod  0
кругозору	кругозір 	noun:m:v_rod  0
Крутий		крутий 		adj:m:v_naz:compb 6
купа		купа 	noun:f:v_naz  0
кухню		кухня 	noun:f:v_zna  0
Кухню		кухня 	noun:f:v_zna  0
кухня		кухня 	noun:f:v_naz  0
кухня		кухня 	noun:f:v_naz  0
куштували	куштувати 	verb:past:p:imperf  0
Легендарний	легендарний 	adj:m:v_naz 	 24
Леопольда	Леопольд 	noun:m:v_rod:anim:fname	 0
лише		лише 	part  0
лише		лише 	part  0
лише		лише 	part  0
лише		лише 	part  0
лише		лише 	part  0
Локаль		локаль 	noun:f:v_naz 	 0
людей		люди 	noun:p:v_zna:anim  0
людей		люди	noun:p:v_rod:anim 	 0
люди		люди 	noun:p:v_naz:anim  0
людина		людина 	noun:f:v_naz:anim  0
людина		людина 	noun:f:v_naz:anim  0
Львів		Львів 	noun:m:v_naz 	 0
Львова		Львів 	noun:m:v_rod  0
Львова		Львів 	noun:m:v_rod  0
Львова		Львів 	noun:m:v_rod  0
Львові		Львів 	noun:m:v_mis  0
Львові		Львів 	noun:m:v_mis  0
Львові		Львів 	noun:m:v_mis  0
Львові		Львів 	noun:m:v_mis  0
Львові		Львів 	noun:m:v_mis  0
Мабуть		мабуть 	insert  0
мабуть		мабуть 	insert  0
має			мати 	verb:pres:s:3:imperf  0
Мазох		Мазох 	noun:m:v_naz:anim:lname 0
Мазох		Мазох 	noun:m:v_naz:anim:lname  0
Мазох		Мазох 	noun:m:v_naz:anim:lname  0
Мазох		Мазох 	noun:m:v_naz:anim:lname  0
Мазох		Мазох 	noun:m:v_naz:anim:lname  0
Мазох		Мазох 	noun:m:v_naz:anim:lname  0
Мазоха		Мазох 	noun:m:v_rod:anim:lname 	 0
Мазоха		Мазох 	noun:m:v_rod:anim:lname  0
Мазоха		Мазох 	noun:m:v_rod:anim:lname 	 0
Мазоха		Мазох 	noun:m:v_rod:anim:lname		 0
Мазохіто	мозохіто 	noun:m:v_naz 	 0
Мазоху		Мазох 	noun:m:v_mis:anim:lname  0
Мазоху		Мазох 	noun:m:v_mis:anim:lname  0
Майте		мати 	verb:impr:p:2:imperf 0
маленьку	маленький 	adj:f:v_zna  0
мало		мало 	adv:compb  0
мати		мати 	verb:inf:imperf  0
мене		я 		pron:pers:s:1:v_rod:anim 0
мене		я 		pron:pers:s:1:v_rod:anim 	 0
мене		я 		pron:pers:s:1:v_rod:anim	 0
мене		я 		pron:pers:s:1:v_rod:anim	 0
мене		я 		pron:pers:s:1:v_rod:anim 	  0
мене		я 		pron:pers:s:1:v_rod:anim	 0
мені		я 		pron:pers:s:1:v_dav:anim	 0
Мені		я 		pron:pers:s:1:v_dav:anim 	 0
Мені		я 		pron:pers:s:1:v_dav:anim 	 0
Мені		я 		pron:pers:s:1:v_dav:anim 	  0
мені		я 		pron:pers:s:1:v_dav:anim	 0
Мені		я 		pron:pers:s:1:v_dav:anim 	 0
меню		меню 	noun:n:v_naz:nv  0
меню		меню 	noun:n:v_naz:nv  0
мережа		мережа 	noun:f:v_naz  0
ми			ми 		pron:pers:p:1:v_naz:anim 0
Ми			ми 		pron:pers:p:1:v_naz:anim 0
ми			ми 		pron:pers:p:1:v_naz:anim  0
ми			ми 		pron:pers:p:1:v_naz:anim  0
ми			ми 		pron:pers:p:1:v_naz:anim  0
ми			ми 		pron:pers:p:1:v_naz:anim  0
ми			ми 		pron:pers:p:1:v_naz:anim  0
Ми			ми 		pron:pers:p:1:v_naz:anim  0
милі		милий 	adj:p:v_naz:compb 	 0
милувалися	милуватися 	verb:rev:past:p:imperf  11
минулого	минулий adjp:actv:past:m:v_rod 	 -1
Мій			мій 	adj:m:v_naz:&pron:pos  5
мінімум		мінімум 	adv 	 0
міру		міра 	noun:f:v_zna  0
міста		місто 	noun:n:v_rod 	  0
місті		місто 	noun:n:v_mis  0
місце		місце 	noun:n:v_naz 	 0
місце		місце 	noun:n:v_naz 	 0
місця		місце 	noun:n:v_rod 0
місця		місце 	noun:n:v_rod 	 0
могла		могти 	verb:unknown  0
могли		могти 	verb:unknown  0
мого		мій 	adj:m:v_rod:&pron:pos  0
мого		мій 	adj:m:v_rod:&pron:pos 	 0
можливість	можливість 	noun:f:v_naz 	 7
можна		можна 	predic  7
можна		можна 	predic  7
можна		можна 	predic  7
можу		могти 	verb:unknown  7
можу		могти 	verb:unknown  7
можуть		могти 	verb:unknown  7
молодці		молодець noun:p:v_naz:anim  29
на			на 		prep:rv_mis  0
на			на 		prep:rv_mis  0
на			на 		prep:rv_mis 0
на			на 		prep:rv_mis  0
на			на 		prep:rv_mis  0
на			на 		prep:rv_mis  0
на			на 		prep:rv_mis 0
на			на 		prep:rv_mis  0
на			на 		prep:rv_mis 0
на			на 		prep:rv_mis  0
на			на 		prep:rv_mis 0
на			на 		prep:rv_mis 0
на			на 		prep:rv_mis 0
на			на жаль </insert>  0
на			на жаль <insert>   -10
набір		набір 	noun:m:v_naz 	 0
навчати		навчати verb:inf:imperf  0
нажаль		нажаль 	insert:bad  -26
назва		назва 	noun:f:v_naz  0
назви		назва 	noun:p:v_naz 0
назві		назва 	noun:f:v_dav   0
називався	називатися 	verb:rev:past:m:imperf  0
найбільше	багато 	adv:super 0
найкращих	хороший adj:p:v_rod:super  16
накапати	накапати verb:inf:perf  0
нам			ми 		pron:pers:p:1:v_dav:anim 0
нам			ми 		pron:pers:p:1:v_dav:anim  0
напоями		напій 	noun:p:v_oru  0
нас			ми 		pron:pers:p:1:v_rod:anim 0
нас			ми 		pron:pers:p:1:v_rod:anim  0
Нас			ми 		pron:pers:p:1:v_rod:anim 0
нас			ми 		pron:pers:p:1:v_rod:anim 	 0
нас			ми 		pron:pers:p:1:v_rod:anim 	  0
нас			ми 		pron:pers:p:1:v_rod:anim  0
насильно	насильно 	adv  -31
настільки	настільки 	adv  0
настоянок	настоянка 	noun:p:v_rod  0
настрою		настрій noun:m:v_rod  0
настукала	настукати 	verb:past:f:perf  -11
натхненний	натхненний 	adj:m:v_naz 	 41
наша		наш 	adj:f:v_naz:&pron:pos  0
не			не 		part  0
не			не 		part  0
не			не 		part  0
Не			не 		part  0
не			не 		part  0
Не			не 		part  0
не			не 		part  0
не			не 		part  0
не			не 		part  0
не			не 		part  0
не			не 		part  0
не			не 		part  0
не			не 		part  0
не			не 		part  0
не			не 		part  0
не			не 		part  0
не			не 		part  0
не			не 		part  0
не			не 		part  0
не			не 		part  0
Не			не 		part  0
не			не 		part  0
не			не 		part  0
не			не 		part  0
не			не 		part  0
не			не 		part  0
не			не 		part  0
Не			не 		part  0
не			не 		part  0
не			не 		part  0
не			не 		part  0
не			не 		part  0
не			не 		part  0
не			не 		part  0
не			не 		part  0
не			не 		part  0
не			не 		part  0
не			не 		part  0
не			не 		part  0
