Iaryna Rizhok 20-30 female
Доброго	               adj:m:v_rod:compb  25
неділю	               noun:f:v_zna  11
20.09.11  8
знижку	               noun:f:v_zna  5
отримали	           verb:past:p:perf  17
всі	                   adj:p:v_zna:&pron:dem  17
клієнти	               noun:p:v_naz:anim  19
без	                   prep:rv_rod  8
виключення	           noun:n:v_zna  4
і	                   conj:coord  0
на	                   prep:rv_mis  0
це	                   adj:n:v_zna:&pron:dem  0
були	               verb:past:p:imperf  7
свої	               adj:p:v_zna:&pron:pos  9
причини	               noun:p:v_zna  16
котрі	               adj:p:v_zna:&pron:int  18
поясню	               verb:futr:s:1:perf  19
Я	                   pron:pers:s:1:v_naz:anim  25
в	                   prep:rv_mis:v-u  25
жодному	               adj:m:v_dav:&pron  26
разі	               noun:m:v_mis  17
не	                   part  -6
виправдовуюсь          verb:rev:pres:s:1:imperf  -6
просто	               adv:compb  0
хочеться	           verb:unknown  18
пояснити	           verb:inf:perf  22
ситуацію	           noun:f:v_zna  15
котра	               adj:f:v_naz:&pron:int  0
склалась	           verb:rev:past:f:perf  2
Справа	               noun:f:v_naz  5
в	                   prep:rv_mis:v-u  1
тому	               adj:n:v_dav:&pron:dem  1
що	                   conj:subord  -1
всі	                   adj:p:v_naz:&pron:dem  0
ми	                   pron:pers:p:1:v_naz:anim  2
живі	               adj:p:v_naz:compb  3
люди	               noun:p:v_naz:anim  5
і	                   conj:coord  0
обслуговуючий	       adjp:actv:pres:m:v_naz:bad  1
персонал	           noun:m:v_zna  2
теж	                   adv  0
не	                   part  0
роботи	               noun:p:v_naz   -25
на	                   prep:rv_mis  1
наш	                   adj:m:v_zna:&pron:pos  1
превеликий	           adj:m:v_zna  3
жаль	               noun:m:v_zna  -11
двоє	               numr:p:v_naz  -5
кухарів	               noun:p:v_rod:anim   4
та	                   conj:coord  -1
двоє	               numr:p:v_naz  numr:p:v_zna  6
офіціантів	           noun:p:v_rod:anim   11
у	                   prep:rv_mis  -1
цей	                   adj:m:v_naz:&pron:dem  3
день	               noun:m:v_zna  -1
були	               verb:past:p:imperf  3
відсутні	           adj:p:v_naz  -4
за	                   prep:rv_oru  -1
станом                 noun:m:v_oru  4
здоров'я	           noun:n:v_zna  4
всі	                   adj:p:v_naz:&pron:dem  10
ми	                   pron:pers:p:1:v_naz:anim  10
деколи	               adv:&pron:ind  13
хворіємо	           verb:pres:p:1:imperf  -20
Ситуація	           noun:f:v_naz  5
на	                   prep:rv_mis  0
ринку	               noun:m:v_mis  0
праці	               noun:f:v_rod    4
у	                   prep:rv_mis:v-u  1
наш	                   adj:m:v_zna:&pron:pos  4
час	                   noun:m:v_zna  8
далеко	               adv:compb  3
не	                   part  -1
втішна	               adj:f:v_naz:v-u  12
і	                   conj:coord  0
бажаючих	           adjp:actv:pres:p:v_rod:bad  6
працювати	           verb:inf:imperf  7
на жаль                part prep:rv_zna:rv_mis  -5
не	                   part  0
так                    part  0
багато	               adv   15
тому                   conj:subord  5
оперативно	           adv:compb  16
знайти	               verb:inf:perf  16
заміну	               noun:f:v_zna  9
було	               verb:past:n:imperf  -4
просто	               adv:compb part prep:rv_rod  2
нереально	           adv  -12
У	                   prep:rv_mis:v-u  0
неділю	               noun:f:v_zna  3
був	                   verb:past:m:imperf  3
лише	               conj:subord  part  -3
третій	               adj:m:v_zna  2
робочий	               adj:m:v_zna  7
день	               noun:m:v_zna  7
з	                   prep:rv_rod  0
моменту	               noun:m:v_rod   2
відкриття	           noun:n:v_rod  18
даного	               adjp:pasv:past:m:v_rod  5
закладу	               noun:m:v_rod  5
і	                   conj:coord  0
відверто	           adv:compb  21
важко	               adv:compb  -24
було	               verb:past:n:imperf  -4
спрогнозувати	       verb:inf:perf  10
кількість	           noun:f:v_zna  13
відвідувачів	       noun:p:v_rod:anim  25
 відтак	               adv  -1
просто	               adv:compb  -1
фізично	               adv  5
було	               verb:past:n:imperf  3
важко	               adv:compb  -9
приділити	           verb:inf:perf  -3
увагу	               noun:f:v_zna  11
всім	               adj:p:v_dav:&pron:dem  17
клієнтам	           noun:p:v_dav:anim  20
належним               adj:m:v_oru  22
чином	               noun:m:v_oru 14
належним               adv  14
у	                   prep:rv_mis:v-u  0
зв'язку	               noun:m:v_dav  4
з	                   prep:rv_oru  0
неповним	           adj:m:v_oru  4
штабом	               noun:m:v_oru  -1
персоналу	           noun:m:v_rod  3
Щодо	               prep:rv_rod  0
пересушеної	           adjp:pasv:past:f:v_rod  -6
піци	               noun:f:v_rod  45
річ	                   noun:f:v_zna  2
у	                   prep:rv_mis:v-u  0
тім	                   adj:n:v_mis:&pron:dem  0
що	                   conj:subord  0
обладнання	           noun:n:v_zna  6
а	                   conj:coord  0
саме                   part 0
піч	                   noun:f:v_zna  13
для	                   prep:rv_rod  0
виготовлення	       noun:n:v_zna  6
піци	               noun:f:v_rod  46
абсолютно	           adv  46
нове	               adj:n:v_zna:compb  40
яке	                   adj:n:v_zna:&pron:int:rel:def 33
не	                   part  -4
було	               verb:past:n:imperf  3
у	                   prep:rv_mis:v-u  -1
експлуатації	       noun:f:v_mis  3
раніше	               adv  11
тому	               conj:subord  0
виникали	           verb:past:p:imperf  4
певні	               adj:p:v_zna:compb  6
труднощі	           noun:p:v_zna  -6
у	                   prep:rv_mis:v-u  0
відрегулюванні	       noun:n:v_mis  2
відповідної	           adj:f:v_rod:compb  2
температури	           noun:f:v_rod  7
для	                   prep:rv_rod  1
ідеальної	           adj:f:v_rod  33
випічки	               noun:f:v_rod  45
За	                   prep:rv_zna -1
це	                   adj:n:v_zna:&pron:dem  -1
теж	                   conj  0
ми	                   pron:pers:p:1:v_naz:anim 0
вибачаємось	           verb:rev:pres:p:1:imperf  6
У	                   prep:rv_mis:v-u  0
будь-якому	           adj:m:v_mis:&pron:ind  0
випадку	               noun:m:v_mis  3
спасибі	               excl  23
за	                   prep:rv_zna  0
критику	               noun:f:v_zna  36
це	                   adj:n:v_zna:&pron:dem  2
завжди	               adv:&pron:gen  8
корисно	               adv:compb  8
Що	                   conj:subord  0
тут	                   adv:&pron:dem  0
можна	               predic  6
сказати	               verb:inf:perf  8
Скільки	               numr:p:v_naz:&pron:ind 0
людей	               noun:p:v_rod:anim  15
стільки	               numr:p:v_naz:&pron:ind 0
й	                   conj:coord  0
думок	               noun:p:v_rod  9
Комусь	               pron:ind:v_dav:anim  2
подобаються	           verb:rev:pres:p:3:imperf 5
заклади	               noun:p:v_zna  23
локалю	  23
комусь	               pron:ind:v_dav:anim  14
ні	                   part  1
судити	               verb:inf:imperf  -3
нікого	               pron:neg:v_rod:anim  -6
не	                   part  -6
треба	               predic  -2
тому	               conj:subord  4
що	                   conj:subord  0
на	                   prep:rv_zna  0
колір	               noun:m:v_zna  8
і	                   conj:coord  0
смак	               noun:m:v_zna  8
товариш	               noun:m:v_naz:anim  5
не	                   part  -1
всяк	               adj:m:v_naz adv:rare  -1
Що	                   conj:subord  0
скажу	               verb:futr:s:1:perf  3
з	                   prep:rv_rod 0
власного	           adj:m:v_rod  0
досвіду	               noun:m:v_rod  24
те	                   adj:n:v_zna:&pron:dem  -1
що	                   conj:subord  0
цей	                   adj:m:v_zna:&pron:dem  0
заклад	               noun:m:v_zna 5
не	                   part  -3
дуже	               adv  15
до	                   prep:rv_rod  1
вподоби	               noun:f:v_rod:v-u  4
мені	               pron:pers:s:1:v_dav:anim  8
і	                   conj:coord  0
моїй	               adj:f:v_dav:&pron:pos  0
сім'ї                  noun:f:v_dav 25
Ми	                   pron:pers:p:1:v_naz:anim  25
відпочивали	           verb:past:p:imperf  25
тут	                   adv:&pron:dem  0
неодноразово	       adv  21
адже	               conj:subord  0
судити	               verb:inf:imperf  5
про	                   prep:rv_zna  -2
заклад	               noun:m:v_zna 8
за	                   prep:rv_oru 0
першим	               adj:n:v_oru   4
враженням	           noun:n:v_oru  11
досить	досить         adv  4
упереджено	           adv  -10
і	                   conj:coord  0
необ'єктивно	       adv  -24
але	                   conj:coord  0
вкотре	               adv:v-u  4
ми	                   pron:pers:p:1:v_naz:anim  24
переконувались	       verb:rev:past:p:imperf  15
що	                   conj:subord  -1
все	                   pron 7
ж	                   part  0
він	                   pron:pers:m:3:v_naz:anim 2
не	                   part  -2
вартий	               adj:m:v_naz  16
вищої	               adj:f:v_rod:compr  26
оцінки	               noun:f:v_rod  29
і	                   conj:coord  0
похвали	               noun:f:v_rod  16
Офіціанти	           noun:p:v_naz:anim  4
неввічливі	           adj:p:v_naz  -17
інколи	               adv:&pron:ind  0
навіть	               part  3
поводять	           verb:pres:p:3:imperf  3
себе	               pron:refl:m:v_rod  2
вкрай	               adv:v-u  -2
зверхньо	           adv  -38
що	                   pron:int:rel:n:v_naz  0
не	                   part  0
може	               verb:unknown  0
не	                   part  0
викликати	           verb:inf:imperf  3
обурення	           noun:n:v_zna -50
Меню	               noun:n:v_naz:nv  2
досить	               adv  1
продумане	           adjp:pasv:past:n:v_zna  13
але	                   conj:coord  -1
не	                   part  1
завжди	               adv:&pron:gen  3
можна	               predic  7
застати	               verb:inf:perf  12
виканання	 -1
однієї	               numr:f:v_rod  4
і	                   conj:coord  0
тієї	               adj:f:v_rod:&pron:dem  0
ж	                   part  1
страви	               noun:f:v_rod  22
одинаково	           adv 29
вдало	               adv:compb:v-u  35
Хоча	               conj:subord  -2
кількість	           noun:f:v_zna  5
відвідувачів	       noun:p:v_rod:anim  6
вражаюча	           adj:f:v_naz:bad  39
тому	               adv  2
не	                   part  0
можу	               verb:unknown  2
сказати	               verb:inf:perf  4
що	                   conj:subord pron:int:rel:n:v_naz  0
це	                   adj:n:v_zna:&pron:dem  0
місце	               noun:n:v_zna  9
зовсім	               adv  6
безнадійне	           adj:n:v_zna  -34
просто	               adv:compb  0
воно	               pron:pers:n:3:v_naz  0
на	                   prep:rv_zna  0
любителя	           noun:m:v_rod:anim  5
Замовила	           verb:past:f:perf  8
доставку	           noun:f:v_zna  11
додому	               adv  18
стейк	               noun:m:v_zna 45
з	                   prep:rv_rod 0
телятини	           noun:f:v_rod  13
з	                   prep:rv_oru 1
картоплею	           noun:f:v_oru  34
XXL	 11
85	                   number  0
грн	                   noun:f:v_naz:abbr  7
В                      prep:rv_mis:v-u  1
меню	               noun:n:v_mis:nv  8
вказано	               verb:impers:perf:v-u  8
що	                   conj:subord  1
порція	               noun:f:v_naz  5
XXL	  8
важить	               verb:pres:s:3:imperf  -2
1	                   number  4
кг	                   noun:m:v_zna:abbr  0
Порція	               noun:f:v_naz  7
яку	                   noun:m:v_zna:anim  4
мені	               pron:pers:s:1:v_dav:anim  11
привезли	           verb:past:p:perf  16
важила	               verb:past:f:imperf  -2
450	                   number  -6
грамів	               noun:p:v_rod  2
включаючи	           advp:imperf:v-u  4
картоплю	           noun:f:v_zna  34
і	                   conj:coord  1
салат	               noun:m:v_zna  43
сам	                   adj:m:v_zna:&pron:def  13
стейк	               noun:m:v_zna  42
виглядав	           verb:past:m:imperf  9
не	                   part  -2
як	                   adv:&pron:int:rel  0
стейк	               noun:m:v_zna 46
а	                   conj:coord  1
як	                   adv:&pron:int:rel  1
невеличкий	           adj:m:v_zna -7
кусочок	               noun:m:v_zna  -12
шашлику	               noun:m:v_rod  17
50-70	               number  -6
грам	               noun:m:v_naz  0
максимум	           adv  39
ще	                   adv  -1
й	                   part  1
крім                   prep:rv_rod  3
того	той            adj:m:v_rod:&pron:dem  -1
був	                   verb:past:m:imperf  4
настільки	           adv  -1
жорстким	           adj:m:v_oru:compb  -20
що	                   conj:subord pron:int:rel:n:v_naz  0
одразу	               adv  25
пішов	               verb:past:m:perf  -1
смітник	               noun:m:v_zna  10
Виходить	           verb:pres:s:3:imperf  4
що	                   conj:subord pron:int:rel:n:v_naz  0
на	                   prep:rv_zna  0
доставку	           noun:f:v_zna  14
можна	               predic  7
запакувати	           verb:inf:perf  11
замість	               prep:rv_rod  -1
стейка	               noun:m:v_rod  44
несвіжий	           adj:m:v_zna  -25
кусок	               noun:m:v_zna  -17
шашлику	               noun:m:v_rod -17
і	                   conj:coord   0
замість	               prep:rv_rod  -5
найбільшої	           adj:f:v_rod:super  14
порції	               noun:f:v_rod  14
найменшу	           adj:f:v_rod:super  7
Цікаво	               adv:compb  24
подивитись	           verb:rev:inf:perf  28
як	                   adv:&pron:int:rel  0
би	                   part  0
вони	               pron:pers:p:3:v_naz:anim  6
принесли	           verb:past:p:perf  4
таке	               adj:n:v_zna:&pron:def  7
відвідувачам	       noun:p:v_dav:anim  23
у	                   prep:rv_zna:v-u  0
зал	                   noun:m:v_zna  15
Тішить	               verb:pres:s:3:imperf  15
тільки	               adv  -2
те	                   adj:n:v_zna:&pron:dem  1
що	                   conj:subord pron:int:rel:n:v_naz  1
вислухавши	           advp:perf  16
мою	                   adj:f:v_zna:&pron:pos  8
телефонну	           adj:f:v_zna  5
скаргу	               noun:f:v_zna  -11
пообіцяли	           verb:past:p:perf  6
все	                   adv:v-u  6
вияснити	           verb:inf:perf  8
і	                   conj:coord  0
компенсувати	       verb:inf:imperf  6
збитки	               noun:p:v_zna  -7
у	                   prep:rv_mis:v-u  0
вигляді	               noun:m:v_mis  4
безкоштовного	       adj:m:v_rod  7
замовлення	           noun:n:v_rod  12
Чекаю	               verb:pres:s:1:imperf  -6
Я	                   pron:pers:s:1:v_naz:anim  0
та	                   conj:coord  0
мій	                   adj:m:v_naz:&pron:pos  0
друг	               noun:m:v_naz:anim  25
сиділи	               verb:past:p:imperf  16
у	                   prep:rv_mis:v-u  -1
пабі	               noun:m:v_mis  16
Білий	               adj:m:v_naz:compb  11
Лев	                   noun:m:v_naz:anim:fname  14
Сподобалось	           verb:rev:past:n:perf  24
як	                   conj:subord  -1
швидко	               adv:compb  18
виносять	           verb:pres:p:3:imperf  20
напої	               noun:p:v_zna  41
а	                   conj:coord  0
особливо	           adv  14
пиво	               noun:n:v_zna  7
Але	                   conj:coord  -1
коли	               conj:subord  2
попросили	           verb:past:p:perf  5
винести	               verb:inf:perf  1
щось	               pron:ind:n:v_zna  4
смачненького	       adj:m:v_rod  24
до	                   prep:rv_rod  0
пива	               noun:n:v_rod  8
офіціант	           noun:m:v_naz:anim  6
довго	               adv:compb  12
згадував	           verb:past:m:imperf  3
що	                   conj:subord  pron:int:rel:n:v_naz  0
можна	               predic  0
подати	               verb:inf:perf  16
А	                   conj:coord  1
ще	 adv               part  1
довше	               adv:compr  3
виносили	           verb:past:p:imperf  4
страви	               noun:p:v_zna  35
близько	               adv:compb  13
40	                   number  -3
хвилин	               noun:p:v_rod  2
Якщо	               conj:subord  1
покращити	           verb:inf:perf  6
швидкість	           noun:f:v_zna  8
подачі	               noun:f:v_rod  3
страв	               noun:p:v_rod  31
то	                   conj:subord  0
було	               verb:past:n:imperf  3
б	                   part  0
так	                   part  0
досить	               adv  4
нічого	               adv  -5
але	                   conj:coord  0
на	                   prep:rv_zna  0
даний	               adjp:pasv:past:m:v_zna 3
час	                   noun:m:v_zna  3
Я	                   pron:pers:s:1:v_naz:anim 5
відмовлюсь	           verb:rev:futr:s:1:perf  -6
від	                   prep:rv_rod  -2
відвідин	           noun:p:v_rod  4
цього	               adj:m:v_rod:&pron:dem  0
закладу	               noun:m:v_rod  3
Сьогодні	           adv  5
з	                   prep:rv_oru  2
компанією	           noun:f:v_oru  6
були	               verb:past:p:imperf  3
в	                   prep:rv_mis:v-u  1
пабі	               noun:m:v_mis  4
і	                   conj:coord  1
розчарувались	       verb:rev:past:p:perf  -24
Овочі	               noun:p:v_zna  36
на	                   prep:rv_zna:rv_mis  0
грилі	               noun:m:v_mis  44
були	               verb:past:p:imperf  3
жахливі	               adj:p:v_zna:compb  -49
Мало	               adv:compb  -7
того	               adj:n:v_rod:&pron:dem  -5
що	                   conj:subord   -1
це	                   adj:n:v_naz:&pron:dem  -1
був	                   verb:past:m:imperf  3
зовсім	               adv  -1
не	                   part  -1
гриль	               noun:m:v_zna  37
а	                   conj:coord  1
овочі	               noun:p:v_zna  45
підігріті	           adjp:pasv:past:p:v_zna 2
в	                   prep:rv_mis:v-u  0
жирі	               noun:m:v_mis  -18
так	                   part  0
ще	                   part  0
й	                   part  0
наполовину	           adv  3
сирі                   noun:m:v_zna  -2
Назва	               noun:f:v_naz  2
страви	               noun:p:v_zna  4
має	                   verb:pres:s:3:imperf  5
відповідати	           verb:inf:imperf  4
тому	               pron:m:v_dav  -1
що	                   conj:subord  -1
отримують	           verb:pres:p:3:imperf  3
клієнти	               noun:p:v_naz:anim  8
Хоча	               conj:subord  -1
печена	               adjp:pasv:past:f:v_naz  4
груша	               noun:f:v_naz  15
була	               verb:past:f:imperf  3
смачна	               adj:f:v_naz:compb  25
Давно	               adv  -13
не	                   part  1
відвідували	           verb:past:p:imperf  5
ваш	                   adj:m:v_naz:&pron:pos 2
заклад	               noun:m:v_zna  6
Вчора	               adv:v-u  14
вирішили	           verb:past:p:perf  17
завітати	           verb:inf:perf  17
на	                   prep:rv_zna  0
саму                   adj:n:v_zna:&pron:def  3
смачне	               adj:n:v_zna:compb  4
пиво	               noun:n:v_zna  6
Grimbergen	  16
у	                   prep:rv_mis:v-u  0
Львові	               noun:m:v_mis  25
приємні	               adj:p:v_zna:compb  29
ввічливі	           adj:p:v_naz:v-u  29
офіціанти	           noun:p:v_naz:anim  5
які	                   adj:p:v_naz:&pron:int:rel:def 1
догодили	           verb:past:p:perf  21
нам	                   pron:pers:p:1:v_dav:anim  4
у	                   prep:rv_mis:v-u  0
всьому	               adj:n:v_mis:&pron:dem  6
ще	                   part  1
і	                   conj:coord  0
настрій	               noun:m:v_zna  16
підняли	               verb:past:p:perf  22
завжди	               adv:&pron:gen  1
вчасно	               adv  25
і	                   conj:coord  0
з	                   prep:rv_oru  0
посмішкою	           noun:f:v_oru  35
підходили	           verb:past:p:imperf  11
до	                   prep:rv_rod  0
нас	                   pron:pers:p:1:v_rod:anim  7
що	                   conj:subord  pron:int:rel:n:v_naz  0
не	                   part  2
можна	               predic  5
сказати	               verb:inf:perf  7
про	                   prep:rv_zna  0
інші	               adj:p:v_zna:&pron:def  2
заклади	               noun:p:v_zna 7
Львова	Львів          noun:m:v_rod  22
Кухня	               noun:f:v_naz  16
просто	               adv:compb  10
пальчики	           noun:p:v_zna  1
оближеш	               verb:futr:s:2:perf  0
а	                   conj:coord  0
квасоля	               noun:f:v_naz  -3
просто	               adv:compb  -2
супер	               noun:m:v_naz  26
так	                   adv:&pron:dem  part  1
тримати	               verb:inf:imperf  2
Білий	               adj:m:v_naz:compb  16
Лев	 18
Згідний	               adj:m:v_naz  18
з	                   prep:rv_oru 0
Вами	               pron:pers:p:2:v_oru:anim  5
що	                   conj:subord  -1
місце	               noun:n:v_zna  2
хороше	               adj:n:v_zna:compb  25
якісна	               adj:f:v_naz:compb  21
кухня	               noun:f:v_naz  22
і	                   conj:coord  0
обслуговування	       noun:n:v_zna 8
прекрасне	           adj:n:v_zna:compb  48
Залишається	           verb:rev:pres:s:3:imperf  6
тільки	               conj:subord  2
покращити	           verb:inf:perf  5
замовлення	           noun:n:v_zna  8
або	                   conj:coord  0
резервацію	           noun:f:v_zna  11
телефоном	           noun:m:v_oru  5
тому	               adv  1
що	                   conj:subord   1
не	                   part  -1
привітно	           adv:compb  30
слухати	               verb:inf:imperf  2
Хамливого	 -45
адміністратора	       noun:m:v_rod:anim  3
який	               adj:m:v_naz:&pron:int:rel:def 1
відлякує	           verb:pres:s:3:imperf  -28
людей	               noun:p:v_rod:anim  3
Для	                   prep:rv_rod  1
того	               adj:m:v_rod:&pron:dem  1
щоб	                   conj:subord  1
замовити	           verb:inf:perf  4
столик	               noun:m:v_zna  8
для	                   prep:rv_rod  1
товариства	           noun:n:v_rod  19
необхідно	           adv:compb  8
спочатку	           adv  4
приїхати	           verb:inf:perf  6
і	                   conj:coord  1
залишити	           verb:inf:perf  4
завдаток	           noun:m:v_zna  -1
а	                   conj:coord  0
пізніше	               adv:compr  -4
знову	               adv  -4
приходити	           verb:inf:imperf  2
вже	                   adv:v-u  2
із	                   prep:rv_oru 0
гостями	               noun:p:v_oru:anim  5
Це	                   adj:n:v_naz:&pron:dem  1
все	                   adv:v-u  1
нагадує	               verb:pres:s:3:imperf  1
СОЛДЕПІЮ	 -21
де	                   adv:&pron:int:rel  1
клієнту	               noun:m:v_dav:anim  5
не	                   part  -1
раді	               adj:p:v_naz  2
тільки	               conj:subord  3
завдаток	           noun:m:v_zna  -2
на	                   prep:rv_rod  2
8	                   number  1
людей	               noun:p:v_rod:anim  4
у	                   prep:rv_zna:rv_mis:rv_rod:v-u  1
400	                   number  -2
грн	                   noun:p:v_rod:abbr  0
Бажаю	               verb:pres:s:1:imperf  1
Вам		               adj:f:v_rod:compr  6
роботи	               noun:p:v_rod:anim  4
у	                   prep:rv_mis:v-u  2
цьому	               adj:m:v_mis:&pron:dem  1
напрямку	           noun:m:v_mis  1
і	                   conj:coord  1
бути	               verb:inf:imperf  4
привітнішими	       adj:p:v_oru:compr  12
до	                   prep:rv_rod  1
людей	               noun:p:v_rod:anim  3
які	                   adj:p:v_naz:&pron:int:rel:def 1
телефонують	           verb:pres:p:3:imperf  7
і	                   conj:coord  1
вислуховувати	       verb:inf:imperf  12
їх	                   pron:pers:p:3:v_rod:anim  0
до	                   prep:rv_rod  0
кінця	               noun:m:v_rod  3
а	                   conj:coord  1
не	                   part  0
кидати	               verb:inf:imperf  -7
слухавки	           noun:f:v_rod  -10
на	                   prep:rv_zna  0
пів	                   noun:f:v_zna:nv:np  0
розмови	               noun:f:v_rod  3
З	                   prep:rv_oru  0
повагою	               noun:f:v_oru  23
Микола	               noun:m:v_naz:anim:fname 0
Звичайно	           adv:compb  5
у	                   prep:rv_mis -1
цей	                   adj:m:v_zna:&pron:dem  3
день	               noun:m:v_zna  3
ми	                   pron:pers:p:1:v_naz:anim  5
не	                   part  0
відвідали	           verb:past:p:perf  4
Вашого	               adj:m:v_rod:&pron:pos  2
ресторану	           noun:m:v_rod  15
прекрасно	           adv:compb  27
провели	               verb:past:p:perf  27
час	                   noun:m:v_zna  13
у	                   prep:rv_mis:v-u  0
Кумпелі	 5
де	                   adv:&pron:int:rel  2
на	                   prep:rv_zna  1
ці	                   adj:p:v_zna:&pron:dem  1
речі	               noun:f:v_zna  4
все	                   adv:v-u  3
набагато	           adv  2
простіше	           adv:compr  4
і	                   conj:coord   0
завдатку	           noun:m:v_rod  -3
непотрібно	           adv  -4
достатньо	           adv  2
подзвонити	           verb:inf:perf  4
От	                   part  0
тепер	               adv:&pron:dem  2
я	                   pron:pers:s:1:v_naz:anim 2
розумію	               verb:pres:s:1:imperf  24
всі	                   adj:p:v_zna:&pron:dem  2
негативні	           adj:p:v_zna:compb  -26
коментарі	           noun:p:v_zna  3
Як	                   adv:&pron:int:rel conj:subord  0
тільки	               conj:subord  0
на	                   prep:rv_mis:rv_mis  0
Валовій	               adj:f:v_mis  5
відкрилася	           verb:rev:past:f:perf  5
ми	                   pron:pers:p:1:v_naz:anim 7
піднялися	           verb:rev:past:p:perf  17
на                     prep:rv_zna  0
другий	               adj:m:v_zna  2
поверх	               noun:m:v_zna  2
де	                   adv:&pron:int:rel  -1
були	               verb:past:p:imperf  2
затишні	               adj:p:v_zna:compb  25
столи	               noun:p:v_zna  13
і	                   conj:coord  1
досить	               adv  4
швидко	               adv:compb  17
принесли	           verb:past:p:perf  7
доволі	               adv  5
смачну	               adj:f:v_zna:compb  25
піцу	               noun:f:v_zna  45
Десерт	               noun:m:v_zna 49
також	               adv  4
був	                   verb:past:m:imperf  2
смачний	               adj:m:v_zna:compb  25
і	                   conj:coord  0
відносно	           adv  4
не	  -1
дорогий	               adj:m:v_zna:compb  -3
Пройшов	               verb:past:m:perf  -1
рік	                   noun:m:v_zna  0
Пішла	               verb:past:f:perf  1
з	                   prep:rv_oru 0
друзями	               noun:p:v_oru:anim  23
Був	                   verb:past:m:imperf  2
дощ	                   noun:m:v_naz  0
і	                   conj:coord  0
маленьку	           adj:f:v_zna  -5
піцу	               noun:f:v_zna  44
ми	                   pron:pers:p:1:v_naz:anim 4
чекали	               verb:past:p:imperf  -3
1,5	                   number  -3
години	               noun:f:v_rod  0
ніхто	               pron:neg:v_naz:anim  -1
не	                   part  -1
вибачився	 3
Було	               verb:past:n:imperf  0
неприємно	           adv:compb  -15
більше	               adv:compr  1
не	                   part  0
прийду	               verb:futr:s:1:perf  3
Шкода	               noun:f:v_naz  -15
власників	           noun:p:v_rod:anim  2
потратилися	           verb:rev:past:p:perf  -7
на	                   prep:rv_zna  0
ремонт	               noun:m:v_zna  3
а	                   conj:coord  0
персонал	           noun:m:v_zna  3
виховати	           verb:inf:perf  5
не	                   part  0
в	                   prep:rv_mis:v-u  0
змозі	               noun:f:v_mis  1
Нарешті	               adv  3
завітала	           verb:past:f:perf  9
у	                   prep:rv_zna:v-u  7
цей	                   adj:m:v_zna:&pron:dem  8
паб	                   noun:m:v_zna  12
бо                     conj:subord  0
розташований	       adjp:pasv:past:m:v_zna  2
він	                   pron:pers:m:3:v_naz:anim  0
настільки	           adv  2
вдало	               adv:compb:v-u  22
що	                   conj:subord pron:int:rel:n:v_naz  0
хочеш	               verb:unknown  11
не	                   part  0
хочеш	               verb:unknown  10
все	                   adv:v-u  2
одно	               numr:n:v_naz  2
зайдеш	               verb:futr:s:2:perf  16
з	                   prep:rv_rod  0
цікавості	           noun:f:v_rod  22
Проте	               conj:coord  1
вдруге	               adv:v-u  2
не	                   part  1
зайду                  verb:futr:s:1:perf  -1
бо	                   conj:subord  0
незатишно	           adv  -25
в	                   prep:rv_mis:v-u  -2
першому	               adj:m:v_mis  2
залі	               noun:m:v_mis  6
вдень	               adv:v-u  2
відчуття	           noun:n:v_zna  5
прохідного	           adj:m:v_rod  -2
