vukliuk 20-30 female
здивувало	verb:past:n:perf 0
те			pron:dem:n:v_naz 0
що			conj:subord  0
заклад		noun:m:v_naz  0
працює		verb:pres:s:3:imperf 0
до			prep:rv_rod 0
00.00		time 0
а			conj:coord 0
кухня		noun:f:v_naz 0
лише		part 0
до			prep:rv_rod 0
23.00		time 0
Добре		adv 10
хоч			part 0
що			conj:subord  0
після		prep:rv_rod 0
23.00		time 0
ще			part 0
наливають	verb:pres:p:3:imperf 0
теплі		adj:p:v_zna:compb 10
напої		noun:p:v_zna 0
Нічого		pron:neg:v_rod  0
особливого	adj:n:v_rod 10
Смачний		adj:m:v_naz:compb  10
глінтвейн	noun:m:v_naz  0
Кава		noun:f:v_naz 10
Вогник		noun:m:v_naz  0
взагалі		adv:v-u 0
розчарувала	verb:past:f:perf -20
Подали		verb:past:p:perf 0
не			part 0
так			adv  0
як			conj:subord  0
має			verb:pres:s:3:imperf 0
бути		verb:inf:imperf 0
Коли		conj:subord 0
допила		verb:past:f:perf 0
до			prep:rv_rod 0
середини	noun:f:v_rod  0
чашки		noun:f:v_rod  0
побачила	verb:past:f:perf 0
заварну		adj:f:v_zna 0
каву		noun:f:v_zna 10
яку			pron:int:rel:def:f:v_zna 0
ТУПО		adv:compb -30
НАСИПАЛИ	verb:past:p:perf -10
НЕ			part 0
ЗАВАРЮЮЧИ	advp:imperf -20
плюс		noun:m:v_naz  20
цікаво		adv:compb 20
було		verb:past:n:imperf 0
читати		verb:inf:imperf 0
послання	noun:p:v_zn 0
які			pron:int:rel:def:p:v_zna 0
принесли	verb:past:p:perf 0
разом		adv 0
з			prep:rv_oru 0
нашим		pron:pos:n:v_oru 0
замовленням	noun:n:v_oru 0
З			prep:rv_rod 0
10			number 0
балів		noun:p:v_rod 0
я			pron:pers:s:1:v_naz:anim 0
віддаю		verb:pres:s:1:imperf 0
3			number 0
І			conj:coord 0
не			part 0
раджу		verb:pres:s:1:imperf 10
Дуже		adv 0
все			pron:dem:n:v_zna 0
сподобалось	verb:rev:past:n:perf 10
Багато		numr:p:v_naz 0
залів		noun:p:v_rod 0
розташування	noun:n:v_naz 0
і			conj:coord 0
зручні		adj:p:v_naz:compb 10
місця		noun:p:v_naz 0
Їжа			noun:f:v_naz 10
смачна		adj:f:v_naz:compb 10
персонал	noun:m:v_naz 0
привітний	adj:m:v_naz:compb 10
ціни		noun:p:v_naz 0
здивували	verb:past:p:perf 10
Рекомендую	verb:pres:s:1:imperf 10
всім		pron:dem:p:v_dav 0
Займає		verb:pres:s:3:imperf 0
в			prep:rv_mis:v-u 0
моєму		pron:pos:m:v_mis 0
списку		noun:m:v_mis 0
друге		adj:n:v_zna 0
місце		noun:n:v_zna 0
серед		prep:rv_rod 0
закладів	noun:p:v_rod 0
перше		adj:n:v_zna 0
звісно		adv 0
я			pron:pers:s:1:v_naz:anim 0
смачно		adv:compb 10
дешево		adv:compb 10
я			pron:pers:s:1:v_naz:anim 0
б			part 0
змінила		verb:past:f:perf 0
інтер'єр	noun:m:v_zna 0
лише		part 0
зовсім		adv 0
не			part 0
сподобався	verb:rev:past:m:perf 10
але			conj:coord 0
ДУЖЕ		adv 0
смачні		adj:p:v_naz:compb 10
ціна		noun:f:v_naz 0
помірна		adj:f:v_naz 10
та			conj:coord 0
завжди		adv 0
можна		predic 0
взяти		verb:inf:perf 0
з			prep:rv_oru 0
собою		pron:refl:m:v_oru 0
або			conj:coord 0
замовити	verb:inf:perf 0
Приємне		adj:n:v_naz:compb 10
обслуговування	noun:n:v_naz 0
А			part 0
мені		pron:pers:s:1:v_dav:anim 0
подобається	verb:rev:pres:s:3:imperf 10
хоча		conj:subord 0
довго		adv:compb -10
чекаєш		verb:pres:s:2:imperf -10
але			conj:coord 0
отримуєш	verb:pres:s:2:imperf 0
справжню	adj:f:v_zna 10
смакоту		noun:f:v_zna 10
З			prep:rv_rod 0
першого		adj:m:v_rod 0
ж			part 0
разу		noun:m:v_rod 0
заклад		noun:m:v_naz 0
став		verb:past:m:perf 0
моїм		pron:pos:m:v_oru 0
улюбленим	adjp:pasv:past:m:v_oru:compb 20
Ціни		noun:p:v_naz 0
приємно		adv:compb 10
вражають	verb:pres:p:3:imperf 10
вони		pron:pers:p:3:v_naz:anim 0
мінімум		adv -10
в			prep:rv_zna:v-u 0
3			number 0
рази		noun:p:v_zna 0
нижчі		adj:p:v_naz:compr 10
ніж			conj:subord 0
у			prep:rv_rod:v-u 0
решти		noun:f:v_rod 0
а			conj:coord 0
самі		pron:def:p:v_naz 0
смачні		adj:p:v_naz:compb 10
і			conj:coord 0
завжди		adv 0
свіжі		adj:p:v_naz:compb 20
можу		verb:unknown 0
гарантувати	verb:inf:imperf 20
як			conj:subord 0
заядлий		adj:m:v_naz:bad -10
фанат		noun:m:v_naz:anim 0
З			prep:rv_rod 0
мінусів		noun:p:v_rod -10
офіціанта	noun:m:v_zna:anim 0
чекати		verb:inf:imperf -10
справді		adv 0
довго		adv:compb -10
і			conj:coord 0
немає		predic -10
кнопок		noun:p:v_rod 0
для			prep:rv_rod 0
їх			pron:pers:p:3:v_rod:anim 0
виклику		noun:m:v_rod 0
Також		adv 0
немає		predic -10
ніяких		pron:neg:p:v_rod -10
книжечок	noun:p:v_rod 0
для			prep:rv_rod 0
того		pron:dem:n:v_rod 0
щоб			conj:subord 0
розрахуватися	verb:rev:inf:perf 0
Гроші		noun:p:v_zna 0
приходиться	verb:rev:pres:s:3:imperf 0
класти		verb:inf:imperf 0
під			prep:rv_zna 0
чек			noun:m:v_zna 0
Але			conj:coord 0
скоріше		adv:compr 0
зауваження	noun:n:v_naz -10
до			prep:rv_rod 0
закладу		noun:m:v_rod 0
аніж		conj:subord 0
для			prep:rv_rod 0
потенційних	adj:p:v_rod 10
відвідувачів	noun:p:v_rod:anim 0
Офіціанти	noun:p:v_naz:anim 0
хоч			conj:subord 0
і			part 0
довго		adv:compb -10
йдуть		verb:pres:p:3:imperf 0
але			conj:coord 0
завжди		adv 0
ввічливі	adj:p:v_naz:v-u 20
і			conj:coord 0
люб'язні	adj:p:v_naz:compb 20
Єдиний		adj:m:v_naz 0
де			pron:int:rel 0
можна		predic 0
справді		adv 0
наїстися	verb:rev:inf:perf 20
на			prep:rv_zna 0
100			number 0
грн			noun:p:v_zna:nv:abbr 0
І			conj:coord 0
кава		noun:f:v_naz 10
у			prep:rv_rod:v-u 0
них			pron:pers:p:3:v_rod:anim 0
надзвичайна	adj:f:v_naz 20
правда		insert 0
не			part 0
настільки	adv 0
дешева		adj:f:v_naz:compb 10
як			conj:subord 0
Просто		part 0
жахливий	adj:m:v_naz:compb -30
заклад		noun:m:v_naz 0
Замовили	verb:past:p:perf 0
набір		noun:m:v_zna 0
і			conj:coord 0
2			number 0
супи		noun:p:v_zna 0
І			conj:coord 0
попросили	verb:past:p:perf 0
зняти		verb:inf:perf 0
усі			pron:dem:p:v_zna 0
бонуси		noun:p:v_zna 10
з			prep:rv_rod 0
картки		noun:f:v_rod 0
локаль		noun:f:v_naz 0
В			prep:rv_mis:v-u 0
підсумку	noun:m:v_mis 0
принесли	verb:past:p:perf 0
не			part 0
той			pron:dem:m:v_zna 0
набір		noun:m:v_zna 0
забули		verb:past:p:perf -10
принести	verb:inf:perf 0
суп			noun:m:v_zna 0
взагалі		adv:v-u 0
Потім		adv 0
принесли	verb:past:p:perf 0
1			number 0
суп			noun:m:v_zna 0
тільки		adv 0
і			part 0
то			conj:subord 0
він			pron:pers:m:3:v_naz:anim 0
був			verb:past:m:imperf 0
холодний	adj:m:v_naz:compb -10
з			prep:rv_rod 0
картки		noun:f:v_rod 0
не			part 0
всі			pron:dem:p:v_zna 0
бонуси		noun:p:v_zna 10
забули		verb:past:p:perf -10
найгірше	adv:super -40
наступного	adj:m:v_rod 0
ранку		noun:m:v_rod 0
живіт		noun:m:v_naz 0
болів		verb:past:m:imperf -20
Не			part 0
рекомендую	verb:pres:s:1:imperf 10
нікому		pron:neg:v_dav:anim -10
Приємно		adv:compb 10
сидіти		verb:inf:imperf 0
на			prep:rv_mis 0
вулиці		noun:f:v_mis 0
і			conj:coord 0
споглядати	verb:inf:imperf 0
безмежний	adj:m:v_zna 10
потік		noun:m:v_zna 0
людей		noun:p:v_rod:anim 0
на			prep:rv_mis 0
площі		noun:f:v_mis 0
Ринок		noun:m:v_naz 0
Шоколадно-кавовий	adj:m:v_zna 10
коктейль	noun:m:v_zna 10
варто		predic 0
скуштувати	verb:inf:perf 0
але			conj:coord 0
очікувати	verb:inf:imperf -10
офіціанта	noun:m:v_zna:anim 0
трохи		adv 0
та			part 0
прийдеться	verb:rev:futr:s:3:perf 0
Загалом		adv 0
хороше		adj:n:v_naz:compb 10
місце		noun:n:v_naz 0
була		verb:past:f:imperf 0
неодноразово	adv 10
у			prep:rv_mis:v-u 0
вас			pron:pers:p:2:v_mis:anim 0
смачні		adj:p:v_naz:compb 10
замовлення	noun:n:v_zna 0
не			part 0
затримували	verb:past:p:imperf -10
ні			part 0
разу		noun:m:v_rod 0
великий		adj:m:v_naz:compb 10
ваш			pron:pos:m:v_naz 0
персонал	noun:m:v_naz 0
вони		pron:pers:p:3:v_naz:anim 0
завжди		adv 0
усміхнені	adj:p:v_naz:v-u 20
привітливі	adj:p:v_naz 20
і			conj:coord 0
щирі		adj:p:v_naz:compb 20
дякуємо		verb:pres:p:1:imperf 0
Перший		adj:m:v_naz 0
раз			adv 0
зайшов		verb:past:m:perf 0
в			prep:rv_zna:v-u 0
такий		pron:def:m:v_zna 0
жахливий	adj:m:v_zna:compb -30
заклад		noun:m:v_zna 0
Офіціантка	noun:f:v_naz:anim 0
підійшла	verb:past:f:perf 0
через		prep:rv_zna 0
хвилин		noun:p:v_rod 0
15			number 0
Коли		conj:subord 0
зробив		verb:past:m:perf 0
замовлення	noun:n:v_zna 0
довелось	verb:rev:past:n:perf 0
чекати		verb:inf:imperf -10
хвилин		noun:p:v_rod 0
25			number 0
при			prep:rv_mis 0
тому		pron:dem:n:v_mis 0
замовив		verb:past:m:perf 0
дві			numr:f:v_zna 0
позиції		noun:p:v_zna 0
з			prep:rv_rod 0
меню		noun:n:v_rod:nv 0
За			prep:rv_zna 0
той			pron:dem:m:v_zna 0
час			noun:m:v_zna 0
коли		conj:subord 0
чекав		verb:past:m:imperf 0
замовлення	noun:n:v_zna 0
принесли	verb:past:p:perf 0
тарілки		noun:p:v_zna 0
мокрі		adj:p:v_naz  -10
від			prep:rv_rod 0
води		noun:f:v_rod 0
розставляти	verb:inf:imperf 0
тарілки		noun:p:v_zna 0
на			prep:rv_mis 0
столі		noun:m:v_mis 0
персонал	noun:m:v_zna 0
не			part 0
вчили		verb:past:p:imperf:v-u 10
Соєвий		adj:m:v_naz  0
соус		noun:m:v_naz  10
виявився	verb:rev:past:m:perf -10
солодкуватий	adj:m:v_naz  10
з			prep:rv_oru 0
невідомим	adj:m:v_oru  -10
присмаком	noun:m:v_oru 0
на			prep:rv_zna 0
прохання	noun:n:v_zna  0
замінити	verb:inf:perf 0
його		pron:pers:m:3:v_zna:anim 0
задали		verb:past:p:perf 0
питання		noun:n:v_zna  0
чому		adv  0
і			conj:coord  0
запевнили	verb:past:p:perf 10
так			adv 0
має			verb:pres:s:3:imperf 0
бути		verb:inf:imperf 0
Довелось	verb:rev:past:n:perf -10
брати		verb:inf:imperf 0
соус		noun:m:v_zna 10
зі			prep:rv_rod 0
сусіднього	adj:m:v_rod 0
столика		noun:m:v_rod  0
і			conj:coord  0
проводити	verb:inf:imperf 0
роз'яснювальні	adj:p:v_zna -10
роботи		noun:p:v_zna -10
з			prep:rv_oru 0
персоналом	noun:m:v_oru 0
Самі		adj:p:v_naz  0
теж			adv 0
не			part 0
викликали	verb:past:p:perf -10
радості		noun:f:v_rod 10
ні			part 0
на			prep:rv_zna 0
смак		noun:m:v_zna 0
ні			part 0
на			prep:rv_zna 0
вигляд		noun:m:v_zna 0
і			conj:coord 0
чомусь		adv 0
хотіли		verb:unknown 0
розвалитись	verb:rev:inf:perf -10
За			prep:rv_oru 0
сусіднім	adj:m:v_oru 0
столиком	noun:m:v_oru 0
парі		noun:f:v_dav 0
принесли	verb:past:p:perf 0
зовсім		adv 0
інші		pron:def:p:v_zna -10
тому		conj:subord 0
з			prep:rv_oru 0
персоналом	noun:m:v_oru 0
не			part 0
тільки		adv 0
я			pron:pers:s:1:v_naz:anim 0
Тому		adv  0
якщо		conj:subord 0
хочете		verb:unknown 0
посмакувати	verb:inf:perf 10
вибрати		verb:inf:perf 0
інший		pron:def:m:v_zna 0
заклад		noun:m:v_zna 0
Дуже		adv 0
привітні	adj:p:v_naz:compb  10
офіціанти	noun:p:v_naz:anim 0
Завжди		adv 0
є			verb:pres:p:3:imperf 0
вільні		adj:p:v_naz:compb  10
місця		noun:p:v_naz  0
і			conj:coord 0
все			pron:dem:n:v_zna 0
приносять	verb:pres:p:3:imperf 0
дуже		adv 0
швидко		adv:compb 10
Я			pron:pers:s:1:v_naz:anim 0
вже			adv:v-u 0
декілька	numr:p:v_zna 0
разів		noun:p:v_rod 0
зарікався	verb:rev:past:m:imperf -10
замовляти	verb:inf:imperf 0
чай			noun:m:v_zna 0
в			prep:rv_mis:v-u 0
кафе		noun:n:v_mis:nv 0
Під			prep:rv_oru 0
Вірменська	adj:f:v_naz 0
35			number 0
Ну			part 0
не			part 0
роблять		verb:pres:p:3:imperf 10
там			adv 0
нормального	adj:m:v_rod  10
чаю			noun:m:v_rod 0
Але			conj:coord  0
те			pron:dem:n:v_zna 0
що			pron:int:rel:n:v_zna 0
принесли	verb:past:p:perf 0
важко		adv:compb -10
навіть		part -10
чаєм		noun:m:v_oru 0
назвати		verb:inf:perf 0
Мені		pron:pers:s:1:v_dav:anim  0
такого		pron:def:m:v_rod  0
чаю			noun:m:v_rod 0
навіть		part 0
в			prep:rv_mis:v-u 0
потягах		noun:p:v_mis -10
нашої		pron:pos:f:v_rod 0
неньки		noun:f:v_rod:anim  10
не			part 0
приносили	verb:past:p:imperf 0
Увага		noun:f:v_naz 0
Чай			noun:m:v_naz  0
називається	verb:rev:pres:s:3:imperf 0
суміш		noun:f:v_naz  0
Опис		noun:m:v_naz  0
Суміш		noun:f:v_naz  0
найкращих	adj:p:v_rod:super  30
сортів		noun:p:v_rod 0
індійського	adj:m:v_rod  0
чаю			noun:m:v_rod 0
червоно-коричневого	adj:m:v_rod  0
кольору		noun:m:v_rod 0
міцний		adj:m:v_naz:compb  0
на			prep:rv_zna 0
смак		noun:m:v_zna 10
з			prep:rv_oru 0
яскравим	adj:m:v_oru:compb  10
ароматом	noun:m:v_oru 10
Вартість	noun:f:v_naz  0
Чай			noun:m:v_zna 0
відносять	verb:pres:p:3:imperf 0
згідно		adv 0
меню		noun:n:v_rod:nv 0
до			prep:rv_rod 0
елітних		adj:p:v_rod  10
власники	noun:p:v_kly:anim  0
кафе		noun:n:v_rod:nv 0
Я			pron:pers:s:1:v_naz:anim 0
пив			verb:past:m:imperf 0
і			conj:coord  0
правильний	adj:m:v_zna:compb 10
чай			noun:m:v_zna 0
Справжній	adj:m:v_zna 10
Я			pron:pers:s:1:v_naz:anim 0
розумію		verb:pres:s:1:imperf 0
що			conj:subord  0
ви			pron:pers:p:2:v_naz:anim 0
знаєте		verb:pres:p:2:imperf 10
що			conj:subord  0
більшість	noun:f:v_naz  0
населення	noun:n:v_rod 0
не			part 0
відрізняє	verb:pres:s:3:imperf 10
навіть		part 0
на			prep:rv_zna 0
смак		noun:m:v_zna 10
сорт		noun:m:v_zna 0
чаю			noun:m:v_rod 0
Але			conj:coord 0
таке		pron:def:n:v_naz  0
Та			part 0
ви			pron:pers:p:2:v_naz:anim 0
відвідувачів	noun:p:v_zna:anim 0
напевно		adv 0
взагалі		adv:v-u 0
за			prep:rv_zna 0
людей		noun:p:v_zna:anim 0
не			part 0
вважаєте	verb:pres:p:2:imperf 10
Це			pron:dem:n:v_zna 0
було		verb:past:n:imperf 0
навіть		part 0
неможливо	adv -20
пити		verb:inf:imperf 0
вода		noun:f:v_naz 0
мала		verb:past:f:imperf 0
содовий		adj:m:v_zna -20
присмак		noun:m:v_zna -10
І			part 0
при			prep:rv_mis 0
тому		pron:dem:n:v_mis 0
що			conj:subord  0
чай			noun:m:v_zna 0
я			pron:pers:s:1:v_naz:anim 0
взяв		verb:past:m:perf 0
для			prep:rv_rod 0
дівчини		noun:f:v_rod:anim 10
в			prep:rv_rod:v-u 0
якої		pron:int:rel:def:f:v_rod 0
болів		verb:past:m:imperf  -20
шлунок		noun:m:v_naz  0
І			conj:coord 0
міцний		adj:m:v_zna:compb 0
гарячий		adj:m:v_zna:compb 0
чай			noun:m:v_zna 0
їй			pron:pers:f:3:v_dav:anim 0
було		verb:past:n:imperf 0
просто		part  0
необхідно	adv:compb 0
випити		verb:inf:perf 0
Пити		verb:inf:imperf 0
ЦЕ			pron:dem:n:v_zna -10
вона		pron:pers:f:3:v_naz:anim 0
після		prep:rv_rod 0
двох		numr:m:v_rod 0
ковтків		noun:p:v_rod 0
відмовилась	verb:rev:past:f:perf -10
А			part 0
напій		noun:m:v_naz  0
під			prep:rv_oru 0
назвою		noun:f:v_oru 0
чай			noun:m:v_naz  0
перелитий	adjp:pasv:past:m:v_naz  -10
в			prep:rv_zna:v-u 0
бокал		noun:m:v_zna 0
Можемо		verb:unknown 0
спостерігати	verb:inf:imperf 0
справді		adv 0
червоно-коричневого	adj:m:v_rod -10
кольору		noun:m:v_rod 0
міцний		adj:m:v_zna:compb 0
на			prep:rv_zna 0
смак		noun:m:v_zna 10
з			prep:rv_oru 0
яскравим	adj:m:v_oru:compb 10
ароматом	noun:m:v_oru 10
За			prep:rv_zna 0
цей			pron:dem:m:v_zna 0
витвір		noun:m:v_zna -10
було		verb:past:n:imperf 0
оплачено	verb:impers:perf 0
В			prep:rv_mis:v-u 0
потязі		noun:m:v_mis -10
Львів-Київ	noun:m:v_naz -10
можна		predic 0
випити		verb:inf:perf 0
6			number 0
склянок		noun:p:v_rod 0
більш		adv:compr 10
ароматної adj:f:v_rod:compb 10
рідини		noun:f:v_rod 0
От			part 0
такі		pron:def:p:v_naz 0
справи		noun:p:v_naz 0
в			prep:rv_mis:v-u 0
нашому		pron:pos:n:v_mis 0
гостинному	adj:n:v_mis 10
місті		noun:n:v_mis 10
з			prep:rv_oru 0
чаєм		noun:m:v_oru 0
на			prep:rv_zna 0
замітку		noun:f:v_zna 0
моїм		pron:pos:p:v_dav 0
друзям		noun:p:v_dav:anim 10
Привозьте	verb:impr:p:2:imperf 0
чай			noun:m:v_zna 0
собою		pron:refl:m:v_oru 0
Доброго		adj:m:v_rod:compb 10
вечора		noun:m:v_rod 0
сьогодні	adv 0
була		verb:past:f:imperf 0
у			prep:rv_mis:v-u 0
цьому		pron:dem:m:v_mis 0
закладі		noun:m:v_mis 0
хотіла		verb:unknown 0
спробувати	verb:inf:perf 0
які			pron:int:rel:def:p:v_zna 0
подають		verb:pres:p:3:imperf 0
тут			adv 0
почну		verb:futr:s:1:perf 0
з			prep:rv_rod 0
того		pron:dem:n:v_rod 0
що			conj:subord  0
замовлення	noun:n:v_zna 0
чекали		verb:past:p:imperf -10
хвилин		noun:p:v_rod 0
25			number 0
30			number 0
навіть		part 0
інші		pron:def:p:v_naz 0
люди		noun:p:v_naz:anim 0
приходили	verb:past:p:imperf 0
пізніше		adv:compr -10
і			conj:coord  0
їм			pron:pers:p:3:v_dav:anim 0
подавали	verb:past:p:imper 0
швидше		adv:compr 10
замовляли	verb:past:p:imperf 0
ми			pron:pers:p:1:v_naz:anim 0
метр		noun:m:v_zna 0
коли		conj:subord 0
принесли	verb:past:p:perf 0
посуд		noun:m:v_zna 0
він			pron:pers:m:3:v_naz:anim 0
був			verb:past:m:imperf 0
мокрий		adj:m:v_naz -10
бери		verb:impr:s:2:imperf 0
і			conj:coord  0
витирай		verb:impr:s:2:imperf -10
салфетками	noun:p:v_oru:bad 0
сам			pron:def:m:v_naz -10
а			conj:coord 0
були		verb:past:p:imperf 0
всі			pron:dem:p:v_naz 0
різної		adj:f:v_rod -10
форми		noun:f:v_rod 0
то			conj:subord 0
криво		adv -10
порізані	adjp:pasv:past:p:v_naz -10
то			conj:subord 0
одні		numr:p:v_naz 0
розпадались	verb:rev:past:p:imperf -10
ми			pron:pers:p:1:v_naz:anim 0
їх			pron:pers:p:3:v_zna:anim 0
взяти		verb:inf:perf 0
навіть		part 0
не			part 0
