Fedorchak 20-30 male
Цієї	      pron:f_rod  10
зустрінуть	  verb:futr:p:3:perf  20
підберуть	  verb:futr:p:3:perf  20
столик	      noun:m:v_zna  20
запропонують  verb:futr:p:3:perf  20
меню	      noun:n:v_zna:nv   20
І	          conj:coord  20
потім	      adv:&pron:dem  20
вам	          pron:pers:p:2:v_dav:anim 20
залишають	  verb:pres:p:3:imperf  20
дзвінок	      noun:m:v_zna 20
на	          prep:rv_zna:rv_mis  20
столику	      noun:m:v_mis  20
аби	          conj:subord  20
ця	          adj:f:v_naz:&pron:dem  20
увага	      noun:f:v_naz  30
не	          part  -30
була	      verb:past:f:imperf  10
втрачена	  adjp:pasv:past:f:v_naz:v-u  -40
протягом	  noun:m:v_oru  -20
вечора	      noun:m:v_rod  40
Отже	      part  10
були	      verb:past:p:imperf  10
та	          conj:coord   20
то	          conj:subord  20
сервісу	      noun:m:v_dav   30
на	          prep:rv_zna:rv_mis  10
користь	      noun:f:v_zna  40
В	          prep:rv_zna:rv_mis:rv_rod:v-u  10
ресторанчику  noun:m:v_mis  40
однозначно	  adv  10
симпатично	  adv:compb  40
і	          conj:coord   10
комфортно	  adv:compb  40
Хіба	      part  10
якщо	      conj:subord  10
деякі	      adj:p:v_naz 10
столики	      noun:p:v_naz  10
здаються	  verb:rev:pres:p:3:imperf  10
вам	          pron:pers:p:2:v_dav:anim 10
занадто	      adv  10
близько	      adv:compb  10
розміщеними	  adjp:pasv:past:p:v_oru  10
можу	      verb:unknown  10
рекомендувати verb:inf:imperf  30
бронювати	  verb:inf:imperf  10
дивани	      noun:p:v_zna  30
Ніщо	      pron:neg:v_naz  -20
в	          prep:rv_zna:rv_mis:rv_rod:v-u  20
інтер'єрі	  noun:m:v_mis  40
цього	      adj:n:v_rod:&pron:dem  10
ресторану	  noun:m:v_rod  30
не	          part  -30
вибивається	  verb:rev:pres:s:3:imperf  -40
з	          prep:rv_rod:rv_zna:rv_oru  10
обраної	      adjp:pasv:past:f:v_rod  30
стилістики	  noun:f:v_rod  30
і	          conj:coord   30
не	          part  -30
дратує	      verb:pres:s:3:imperf  -40
мережеві	  adj:p:v_zna  30
заклади	      noun:p:v_zna         30
дійсно	      adv  40
відпрацьовують verb:pres:p:3:imperf  40
з	          prep:rv_rod:rv_zna:rv_oru  10
дизайнерами	  noun:p:v_oru:anim  30
красу	      noun:f:v_zna  40
А	          part  -10
притаманні	  adj:p:v_naz  40
Мафії	      noun:f:v_dav  40
величезні	  adj:p:v_naz  40
вікна	      noun:p:v_naz  30
приваблюють	  verb:pres:p:3:imperf  40
до	          prep:rv_rod  10
та	          conj:coord  10
поодиноких	  adj:p:v_zna  -10
відвідувачів  noun:p:v_zna:anim  30
що	          pron:int:rel:n:v_zna  10
полюбляють	  verb:pres:p:3:imperf  40
милуватися	  verb:rev:inf:imperf  40
старим	      adj:m:v_oru:compb  -30
Львовом	      noun:m:v_oru  50
вдень	      adv:v-u  30
І	          conj:coord  20
це	          adj:n:v_naz:&pron:dem 10
попри	      prep:rv_zna  10
те	          adj:n:v_zna:&pron:dem 10
що	          conj:subord  10
концепт	      noun:m:v_naz  10
ресторану	  noun:m:v_rod  20
сімейний	  adj:m:v_naz  30
Справді	      adv  10
тут	          adv:&pron:dem  10
нерідко	      adv  -10
відпочивають  verb:pres:p:3:imperf  40
родинами	  noun:p:v_oru  40
вкупі	      adv:v-u  10
з	          prep:rv_rod:rv_zna:rv_oru 10
галасливою	  adj:f:v_oru  -30
малечею	      noun:f:v_oru  10
Ще	          part  10
частими	      adj:p:v_oru:compb  10
відвідувачами noun:p:v_oru:anim  40
є	          verb:pres:s:3:imperf  10
туристи	      noun:p:v_naz:anim  40
та	          conj:coord  40
студенти	  noun:p:v_naz:anim  40
Заклад	      noun:m:v_naz  20
з	          prep:rv_rod:rv_zna:rv_oru 10
італійською	  adj:f:v_oru  40
та	          conj:coord  10
японською	  adj:f:v_oru  40
кухнями	      noun:p:v_oru  -40
швидко	      adv:compb  40
став          verb:past:m:perf  10
відомим	      adj:m:v_oru:compb   40
Чим	          pron:int:rel:n:v_oru  10
викликана	  adjp:pasv:past:f:v_naz  20
така	      adj:f:v_naz:&pron:def  20
популярність  noun:f:v_zna  40
Добрими	      adj:p:v_oru:compb  40
стравами	  noun:p:v_oru  40
І	          conj:coord  20
взагалі	      adv:v-u  20
відтепер	  adv:&pron:dem  20
саме	      part 10
в	          prep:rv_zna:rv_mis:rv_rod:v-u  10
Мафії	      noun:f:v_mis  40
найсмачніша	  adj:f:v_naz:super  50
піца	      noun:f:v_naz  50
А	          conj:coord  10
екзотичні	  adj:p:v_naz:compb  40
поєднання	  noun:n:v_naz 40
наприклад	  insert  10
з	          prep:rv_rod:rv_zna:rv_oru 10
малосольною	  adj:f:v_oru  20
рибою	      noun:f:v_oru:anim  -50
виявляються	  verb:rev:pres:p:3:imperf  30
більш	      adv:compr  40
ніж	          conj:subord  10
вдалими	      adj:p:v_oru:compb:v-u  40
І	          conj:coord  20
це	          adj:n:v_naz:&pron:dem 10
дифірамби	  noun:p:v_zna  50
від	          prep:rv_rod  10
їжі	          noun:f:v_rod  40
зразка	      noun:m:v_rod  10
Великі	      adj:p:v_naz:compb  40
компанії	  noun:p:v_naz 40
ж	          conj:coord  10
підкупляють	  verb:pres:p:3:imperf  30
гігантськими  adj:p:v_oru  50
піцами	      noun:p:v_oru  50
на	          prep:rv_zna:rv_mis  10
весь	      adj:m:v_zna:&pron:dem 30
стіл	      noun:m:v_zna  20
Ну	          part  10
і	          conj:coord 20
бонусами	  noun:p:v_oru  40
від	          prep:rv_rod  10
закладу	      noun:m:v_rod  40
в	          prep:rv_zna:rv_mis:rv_rod:v-u  10
тому	      conj:subord   10
числі	      noun:n:v_mis  20
алкогольними  adj:p:v_oru  40
Салати	      noun:p:v_naz 30
пасти	      noun:p:v_naz 			   40
лосось	      noun:m:v_naz:anim  50
м'ясо	      noun:n:v_naz 20
десерти	      noun:p:v_naz   50
можна	      predic  10
обирати	      verb:inf:imperf  10
в	          prep:rv_zna:rv_mis:rv_rod:v-u  10
ілюстрованому adjp:pasv:past:n:v_mis  30
меню	      noun:n:v_mis:nv 	          30
Відповідність noun:f:v_naz  10
дотримана	  adjp:pasv:past:f:v_naz  10
А	          conj:coord 10
суші	      noun:p:v_zna  40
окрім	      prep:rv_rod  -20
класичних	  adj:p:v_zna  30
пропонують	  verb:pres:p:3:imperf  30
також	      conj:coord  10
з	          prep:rv_rod:rv_zna:rv_oru 10
мигдалем	  noun:m:v_oru  30
або	          conj:coord  10
апельсинами	  noun:p:v_oru  40
Повечеряти	  verb:inf:perf  30
загалом	      adv 40
можна	      predic   40
як	          conj:subord  10
за	          prep:rv_rod:rv_zna:rv_oru 10
60	          number  10
грн	          noun:p:v_zna:nv:abbr  10
так	          conj:coord:subord  10
і	          conj:coord  20
за	          prep:rv_rod:rv_zna:rv_oru 10
200	          number  10
Присутні	  adj:p:v_naz 20
пропозиції	  noun:p:v_naz  30
на	          part  10
будь-який	  adj:m:v_zna:&pron:ind  10
гаманець	  noun:m:v_zna  30
Принаймні	  adv  10
поки	      сonj:subord -10
що	          conj:subord  10
Тому	      conj:subord 10
поспішайте	  verb:impr:p:2:imperf  10
і	          conj:coord  20
сподіваюсь	  verb:rev:pres:s:1:imperf 20
що	          conj:subord  20
вільні	      adj:p:v_zna:compb  30
місця	      noun:p:v_zna  30
ще	          part  10
можна	      predic  10
буде	      verb:futr:s:3:imperf  10
застати	      verb:inf:perf   10
І	          conj:coord  20
так	          part  20
там	          adv:&pron:dem  10
ще	          part  10
є	          verb:pres:s:3:imperf 10
караоке	      noun:n:v_naz:nv:np  40
Замовляли	  verb:past:p:imperf  10
картоплю	  noun:f:v_zna  40
по-середземноморському	 adv  40
та	           conj:coord  20
стейк-мікс	   noun:m:v_zna  40
Смачно	       adv:compb  40
Салат	       noun:m:v_naz  40
Цезар	       noun:m:v_naz  40
соус	       noun:m:v_naz  40
був	           verb:past:m:imperf  10
роздвоєний	   adjp:pasv:past:m:v_naz -40
Піцу	       noun:f:v_zna  50
замовили	   verb:past:p:perf  10
одну	       numr:f:v_zna  10
оператор	   noun:m:v_naz:anim  10
погодив	       verb:past:m:perf  10
замовлення	   noun:n:v_zna   10
згодом	       adv  10
щоб	           conj:subord  10
замінити	   verb:inf:perf  10
на	           prep:rv_zna:rv_mis  10
іншу	       adj:f:v_zna:&pron:def   10
замінили	   verb:past:p:perf  10
згодом	       adv  10
знову	       adv  10
нам	           pron:pers:p:1:v_dav:anim 10
і	           conj:coord  20
знову	       adv  20
попросили	   verb:past:p:perf  20
замінити	   verb:inf:perf  20
на	           prep:rv_zna:rv_mis  20
іншу	       adj:f:v_zna:&pron:def  20
Загалом	       adv  30
двояке	       adj:n:v_naz  -20
враження	   noun:n:v_naz  20
від	           prep:rv_rod  10
сервісу	       noun:m:v_dav 20
та	           conj:coord  20
кухні	       noun:f:v_dav  -30
Замовляв	   verb:past:m:imperf  20
суші	    	 noun:p:v_zna  (суші ) 40
в	           prep:rv_zna:rv_mis:rv_rod:v-u  10
смачно	       adv:compb  40
але	           conj:coord -10
здивувало	   verb:past:n:perf  10
яку	           adj:f:v_zna:&pron:int:rel:def  10
кількість	   noun:f:v_zna  20
соєвого	       adj:m:v_zna 30
соусу	       noun:m:v_rod  30
іде	           verb:pres:s:3:imperf  10
в	           prep:rv_zna:rv_mis:rv_rod:v-u  10
придачу	       noun:f:v_zna:np  10
до	           prep:rv_rod  10
товару	       noun:m:v_dav 10
дуже	       adv  40
мала	       adj:f:v_naz:compb -20
кількість	   noun:f:v_naz  10
те	           adj:n:v_naz:&pron:dem  10
саме	       part   10
і	           conj:coord  20
з	           prep:rv_rod:rv_zna:rv_oru  20
імбиром	       noun:m:v_oru  30
Або	           conj:coord  10
закінчувався   verb:rev:past:m:imperf  -10
соус	       noun:m:v_naz  30
або	           conj:coord  -10
шеф	           noun:m:v_naz:anim  30
був	           verb:past:m:imperf  10
накурений	   adjp:pasv:past:m:v_naz -40
Обслуговування noun:n:v_naz  30
на	           prep:rv_zna:rv_mis  10
2	           number  10
Один	       numr:m:v_naz  -10
пафос	       noun:m:v_naz  -40
страви	       noun:p:v_naz 30
так	           adv:&pron:dem 10
собі	       pron:refl:m:v_dav  10
ціни	       noun:p:v_naz  10
шалені	       adj:p:v_naz  -40
обслуговування noun:n:v_naz 30
цілковитий	   adj:m:v_naz  40
0	           number  0
 0
Жах	           noun:m:v_naz  -50
Добрий	       adj:m:v_naz:compb  30
день	       noun:m:v_naz  30
Мали	       verb:past:p:imperf  10
нагоду	       noun:f:v_zna  10
відпочивати	   verb:inf:imperf  40
в	           prep:rv_zna:rv_mis:rv_rod:v-u  10
цьому	       adj:m:v_mis:&pron:dem  10
закладі	       noun:m:v_mis  10
в	           prep:rv_zna:rv_mis:rv_rod:v-u  10
караоке-залі   noun:m:v_mis 40
Нас	           pron:pers:p:1:v_zna:anim 10
було	       verb:past:n:imperf  10
семеро	       numr:p:v_zna  10
людей	       noun:p:v_zna:anim  10
що	           pron:int:rel:n:v_naz 10
дозволяло	   verb:past:n:imperf  10
нам	           pron:pers:p:1:v_dav:anim 10
співати	       verb:inf:imperf  10
тільки	       part  -20
одну	      numr:f:v_zna  10
пісню	      noun:f:v_zna  40
від	          prep:rv_rod  10
столика	      noun:m:v_rod  30
тому	     conj:subord  10
ми	         pron:pers:p:1:v_naz:anim 10
доплатили	 verb:past:p:perf  20
за	         prep:rv_rod:rv_zna:rv_oru 10
8	         number  10
людину	     noun:f:v_zna:anim  10
щоб	         conj:subord  10
могти	     verb:inf:unknown  10
співати	     verb:inf:imperf  40
більше	     adv:compr  40
2	         number  -10
пісні	     noun:p:v_zna  40
З	         prep:rv_rod:rv_zna:rv_oru 10
цього	     adj:m:v_rod:&pron:dem  10
і	         part  20
почалось	 verb:rev:past:n:perf   10
Сусідньому	 adj:m:v_dav 20
столику	     noun:m:v_dav 20
який	     adj:m:v_naz:&pron:int:rel:def 10
також	     conj:coord  10
мав	         verb:past:m:imperf  10
співати	     verb:inf:imperf  40
по	         prep:rv_mis:rv_zna  10
2	         number  -10
пісні	     noun:p:v_zna  20
чомусь	     adv:&pron:ind  10
щось        pron:ind:n:v_dav  10
дозволялось	verb:rev:past:n:imperf  40
співати	    verb:inf:imperf  40
3	        number  -10
пісні	    noun:p:v_zna  40
Коли	    conj:subord  10
ми	        pron:pers:p:1:v_naz:anim  10
підняли	    verb:past:p:perf  20
це	        adj:n:v_zna:&pron:dem  10
питання		noun:n:v_zna 10
то	        conj:subord  10
менеджер	noun:m:v_naz:anim  10
караоке-залу noun:m:v_rod  40
Володимир	 noun:m:v_naz:anim:fname 10
не	        part  -40
зовсім	    adv  -10
привітно    adv:compb  40
з	        prep:rv_rod:rv_zna:rv_oru  10
нами	    pron:pers:p:1:v_oru:anim  10
розмовляв   verb:past:m:imperf  10
тому	    conj:subord 10
прийшлось   verb:rev:past:n:perf  10
покликати	verb:inf:imperf  10
адміністратора  noun:m:v_zna:anim  10
ресторану	    noun:m:v_rod  20
Адміністратором	 noun:m:v_oru:anim  20
виявилась	     verb:rev:past:f:perf  10
дівчина	         noun:f:v_naz:anim  30
Мар'яна	        noun:f:v_naz:anim:fname  10
яка	          adj:f:v_naz:&pron:int:rel:def  10
ніяким	      adj:m:v_oru:&pron:neg   -30
чином	      noun:m:v_oru  -10
і	          conj:coord  20
не	          part  -40
збиралась	  verb:rev:past:f:imperf  20
вирішувати	  verb:inf:imperf  20
конфліктної	  adj:f:v_rod:compb  -50
ситуації	  noun:f:v_rod  -20
а	          conj:coord  -10
відверто	  adv:compb  -30
стояла	     verb:past:f:imperf  10
та	          conj:coord  20
нам	          pron:pers:p:1:v_dav:anim  10
в	          prep:rv_zna:rv_mis:rv_rod:v-u  10
Нашу	     adj:f:v_zna:&pron:pos  10
розмову	     noun:f:v_zna  10
з	         prep:rv_rod:rv_zna:rv_oru  10
адміністратором	 noun:m:v_oru:anim  10
ми	         pron:pers:p:1:v_naz:anim  10
знімали	     verb:past:p:imperf  20
на	         prep:rv_zna:rv_mis  10
відео	     noun:n:v_mis:nv  20
що	         conj:subord  10
є	         verb:pres:s:3:imperf  10
дозволено	 verb:impers:perf  30
законодавством	 noun:n:v_oru  30
України	      noun:f:v_rod   50
посеред	      prep:rv_rod  10
зйомки	      noun:f:v_rod  20
у	          prep:rv_zna:rv_mis:rv_rod:v-u  10
нас	          pron:pers:p:1:v_mis:anim  10
без	          prep:rv_rod  10
жодних	     adj:p:v_rod:&pron -30
пояснень	 noun:p:v_rod  -10
забрав	     verb:past:m:perf  -20
телефон	      noun:m:v_zna  30
менеджер	  noun:m:v_naz:anim  20
караоке-залу  noun:m:v_rod  40
Володимир	  noun:m:v_naz:anim:fname  10
Через	      prep:rv_zna  -20
декілька	  numr:p:v_zna:&pron:ind -10
хвилин	      noun:p:v_rod  10
телефон	      noun:m:v_zna  40
знову	      adv  10
ж	          part  10
таки	      part  10
без	          prep:rv_rod  -20
пояснень	  noun:p:v_rod  -20
чи	          conj:coord:subord  -10
вибачень	  noun:p:v_rod  -10
поклали	      verb:past:p:perf  30
на	          prep:rv_zna:rv_mis  10
сусідній	  adj:m:v_zna  30
столик	      noun:m:v_zna   10
Менеджер	  noun:m:v_naz:anim  10
караоке-залу  noun:m:v_rod 40
Володимир	  noun:m:v_naz:anim:fname 10
протягом	  noun:m:v_oru  -30
нашої	      adj:f:v_rod:&pron:pos  10
розмови	      noun:f:v_rod   20
дозволяв	  verb:past:m:imperf  30
собі	      pron:refl:m:v_dav  10
хамські	      adj:p:v_zna  -50
висловлювання  noun:p:v_zna  -10
та	          conj:coord  20
доволі	      adv  30
неадекватну	  adj:f:v_zna  -40
поведінку	  noun:f:v_zna  6
Одним	      numr:n:v_oru  -14
словом	      noun:n:v_oru  34
однозначно	  adv  10
рівень	      noun:m:v_naz 10
підготовки	  noun:f:v_rod  17
персоналу	  noun:m:v_rod  17
не	          part  -41
відповідає	  verb:pres:s:3:imperf  26
рівню	      noun:m:v_dav  26
закладу	     noun:m:v_rod  26
Вважаю	     verb:pres:s:1:imperf  26
що	         conj:subord 26
як	         part  6
менеджер	 noun:m:v_naz:anim  14
караоке-залу	 noun:m:v_rod   41
Володимир	    noun:m:v_naz:anim:fname  7
так	           part  20
і	          conj:coord  20
адміністратор noun:m:v_naz:anim  11
закладу	     noun:m:v_rod  11
мали	     verb:past:p:imperf  11
б	         part  11
бути	     verb:inf:imperf  11
однозначно	 adv  11
звільнені	 adjp:pasv:past:p:v_naz  11
або	         conj:coord  -12
хоча	    part  14
б	        part  14
покарані	adjp:pasv:past:p:v_naz  -38
тому	    adv  9
що	        conj:subord  9
впевнена    adj:f:v_naz:compb:v-u:&adjp:pasv:past  41
що	        conj:subord 9
такі	    adj:p:v_naz:&pron:def 9
ситуації     noun:p:v_naz  15
будуть	    verb:futr:p:3:imperf  15
виникати	 verb:inf:imperf  -30
та	         conj:coord 20
в	          prep:rv_zna:rv_mis:rv_rod:v-u  9
майбутньому	 adj:n:v_mis  38
Конфлікт	 noun:m:v_naz  -46
звісно	      adv  18
почався	     verb:rev:past:m:perf  10
з	         prep:rv_rod:rv_zna:rv_oru 10
дрібнички	 noun:p:v_zna  4
але	         conj:coord  -9
подальше	 adj:n:v_naz  29
спілкування	 noun:n:v_naz 29
з	         prep:rv_rod:rv_zna:rv_oru 10
адміністраторами	 noun:p:v_oru:anim  10
просто	    adv:compb  31
залишило	 verb:past:n:perf  8
негативне	  adj:n:v_zna:compb  -27
враження	 noun:p:v_zna  9
про	         prep:rv_zna  9
цей	         adj:m:v_zna:&pron:dem  9
заклад	   noun:m:v_zna  9
Повернусь	 verb:rev:futr:s:1:perf  -17
туди	   adv:&pron:dem  14
тільки	   adv   -23
для	       prep:rv_rod  10
того	   adj:m:v_rod:&pron:dem  10
щоб	       conj:subord  10
перевірити  verb:inf:perf  10
відповідь  noun:f:v_zna  20
на	       prep:rv_zna:rv_mis  10
запис	   noun:m:v_zna  10
що	        pron:int:rel:n:v_zna  10
я	         pron:pers:s:1:v_naz:anim  10
залишила	 verb:past:f:perf  20
в	         prep:rv_zna:rv_mis:rv_rod:v-u  10
книзі	     noun:f:v_mis  40
скарг	     noun:p:v_rod  -40
та	        conj:coord  20
пропозицій	 noun:p:v_rod  40
яка	         adj:f:v_naz:&pron:int:rel:def  10
також	     conj:coord  30
викликала	 verb:past:f:perf  10
сумнів	     noun:m:v_zna  -20
книга	    noun:f:v_naz  40
була	    verb:past:f:imperf  10
заведена	 adjp:pasv:past:f:v_naz  30
в	        prep:rv_zna:rv_mis:rv_rod:v-u  10
переддень	  noun:m:v_zna  30
виникнення	  noun:n:v_naz   10
конфлікту	  noun:m:v_rod  -40
це	         adj:n:v_zna:&pron:dem  10
пояснили	 verb:past:p:perf  10
тим	         adj:m:v_oru:&pron:dem  10
що	         pron:int:rel:n:v_naz 10
книги	     noun:f:v_rod  40
закінчуються verb:rev:pres:p:3:imperf  -40
проте	   conj:coord  -10
показати   verb:inf:perf  29
нам	       pron:pers:p:1:v_dav:anim  9
попередню	 adj:f:v_zna  12
книгу	     noun:f:v_zna  40
відмовились	 verb:rev:past:p:perf  -41
Обов'язково	 adv  41
звернусь	 verb:rev:futr:s:1:perf  11
зі	         prep:rv_rod:rv_zna:rv_oru  11
скаргою	     noun:f:v_oru  -39
в	         prep:rv_zna:rv_mis:rv_rod:v-u  10
Управління	 noun:n:v_rod  32
захисту	     noun:m:v_rod  32
прав	     noun:p:v_rod 32
споживачів	 noun:p:v_rod:anim  32
м	         noun:m:v_rod:nv:abbr 9
Львова	     noun:m:v_rod  50
Такого	     adj:m:v_rod:&pron:def  10
відношення	 noun:p:v_zna  30
до	         prep:rv_rod  10
клієнтів	 noun:p:v_rod:anim  38
я	         pron:pers:s:1:v_naz:anim  10
чесно	     adv:compb  32
кажучи	     advp:imperf  32
в	         prep:rv_zna:rv_mis:rv_rod:v-u  10
інших	     adj:p:v_mis:&pron:def  10
закладах	 noun:p:v_mis  20
не	         part  -40
зустрічала	 verb:past:f:imperf  30
Таке	     adj:n:v_naz:&pron:def  40
відношення	 noun:n:v_naz 20
великий	     adj:m:v_naz:compb  40
мінус	     noun:m:v_naz  -40
для	         prep:rv_rod  10
закладу	     noun:m:v_rod 30
Сьогодні	 adv  10
відвідали	 verb:past:p:perf  30
Сам	         adj:m:v_naz:&pron:def 10
заклад	     noun:m:v_naz   30
дуже	     adv 40
сподобався	 verb:rev:past:m:perf  20
адже	     conj:subord  10
поки	     adv:&pron:int:rel  -10
чекали	     verb:past:p:imperf  -30
замовлення	 noun:n:v_rod 30
то	         conj:subord  10
і	         conj:coord  20
діткам	     noun:p:v_dav:anim  40
було	     verb:past:n:imperf  10
не	         part  -40
сумно	    adv:compb  -40
бо	        conj:subord  10
вони	    pron:pers:p:3:v_naz:anim  30
розважались	 verb:rev:past:p:imperf  40
в	        prep:rv_zna:rv_mis:rv_rod:v-u  10
дитячій	    adj:f:v_mis  40
кімнаті	    noun:f:v_mis  30
і	        conj:coord 20
дорослим    noun:p:v_dav:anim  30
справді	    part  40
затишно	    adv:compb  40
Атмосфера	 noun:f:v_naz  40
загалом	     adv  40
хороша	     adj:f:v_naz:compb  40
От	        part  10
лише	    part  -10
обслуговування	 noun:n:v_naz  30
не	        part  -40
дуже	    adv 40
порадувало	 verb:past:n:perf  40
Нас	         pron:pers:p:1:v_rod:anim 10
відверто	 adv:compb  -20
ігнорували	 verb:past:p:imperf  -40
хвилин	     noun:p:v_rod  10
15	         number  10
поки	     adv:&pron:int:rel  -10
не	         part  -40
прийняли	verb:past:p:perf  20
замовлення	noun:p:v_zna  20
Коли	    conj:subord  10
забрали	    verb:past:p:perf  20
попільничку	 noun:f:v_zna  -10
замінити	 verb:inf:perf  10
то	         conj:subord  10
забували	 verb:past:p:imperf  -30
її	          pron:pers:f:3:v_rod:anim 10
повернути	 verb:inf:perf  30
також	     adv  10
хвилин	     noun:p:v_rod  10
25	         number  10
Та	         conj:coord  10
купа	     noun:f:v_naz  30
інших	     adj:p:v_zna:&pron:def  10
нюансів	     noun:p:v_rod  -10
щодо	     prep:rv_rod  10
обслуговування	 noun:p:v_zna  30
На	         prep:rv_zna:rv_mis  10
мою	         adj:f:v_zna:&pron:pos  10
думку	     noun:f:v_zna  10
в	         prep:rv_zna:rv_mis:rv_rod:v-u  10
такий	     adj:m:v_naz:&pron:def  10
досить	     predic  20
великий	     adj:m:v_naz:compb  20
заклад	     noun:m:v_naz 20
варто	     predic  20
було	     verb:past:n:imperf  20
б	         part  20
набрати	     verb:inf:perf  20
трохи	     adv  -10
більше	     adv:compr  30
персоналу	 noun:m:v_dav  30
тоді	    adv:&pron:dem  10
всі	        adj:p:v_zna:&pron:dem  30
будуть	    verb:futr:p:3:imperf  10
задоволені	 adj:p:v_naz:compb:&adjp:pasv:past 40
і	         conj:coord  20
бідним	     adj:p:v_dav:compb  -20
офіціантам	 noun:p:v_dav:anim  20
які	         adj:p:v_naz:&pron:int:rel:def  10
не	         part  -40
встигають	 verb:pres:p:3:imperf:v-u  30
бігати	     verb:inf:imperf  10
від	         prep:rv_rod  10
столика	     noun:m:v_rod 20
до	         prep:rv_rod  10
столика	     noun:m:v_rod  20
і	         conj:coord 20
клієнти	     noun:p:v_naz:anim  20
будуть	    futr:p:3:imperf  20
постійними	  adj:p:v_oru  30
Я	          pron:pers:s:1:v_naz:anim 10
ніколи	      adv:&pron:neg  -30
не	          part  -40
пишу	      verb:pres:s:1:imperf  10
скарги	      noun:p:v_zna  -40
але	          conj:coord  -10
Я	          pron:pers:s:1:v_naz:anim 10
ніколи	      adv:&pron:neg  -30
не	          part  -40
пишу	      verb:pres:s:1:imperf  10
скарги	      noun:p:v_zna  -40
але	          conj:coord -9
заклад	      noun:m:v_naz  20
викликав	  verb:past:m:perf  -17
таке	      adj:n:v_zna:&pron:def  10
