Karbivska 20-30 female
виокремити verb:inf:perf 3
зокрема	adv  	 3
офіціанта noun:m:v_rod:anim  0
Андрія noun:m:v_rod:anim:fname 0
Смачний adj:m:v_naz:compb  50
торт noun:m:v_naz  50
та conj:coord  0
кава noun:f:v_naz  50
Веселий	adj:m:v_naz:compb  50
хлопчина noun:f:v_naz:anim 	 20
на prep:rv_zna:rv_mis 	 0
вході noun:m:v_mis  0
до prep:rv_rod 	 0
шахти noun:f:v_rod  -4
Дуже adv 50
оригінальний adj:m:v_naz:compb  25
заклад noun:m:v_naz  4
Меблі noun:p:v_naz  0
не part 	 0
зовсім adv 	 0
зручні adj:p:v_naz:compb   5
трошки adv 	 -4
тіснувато adv  -8
Добра adj:f:v_naz:compb  20
кава noun:f:v_naz  50
Надзвичайне	adj:n:v_naz   50
місце noun:n:v_naz  0
Атмосфера noun:f:v_naz 		 0
захоплює verb:pres:s:3:imperf  25
Особливо adv  4
вразила	verb:past:f:perf 12
кава noun:f:v_naz 50
запаяна	adjp:pasv:past:f:v_oru  -1
паяльною adj:f:v_oru  -2
лампою noun:f:v_oru 0
Видовище noun:n:v_naz  10
та conj:coord  0
смак noun:m:v_naz  15
неперевершені adj:p:v_naz:&adjp:pasv:past 50
Це adj:n:v_naz:&pron:dem 0
варто adv		 3
скуштувати verb:inf:perf 		 10
Хоч	part 		 0
було verb:past:n:imperf  0
людно adv -2
сподобалося	verb:rev:past:n:perf 		 8
все	adv:v-u  0
Чудове adj:n:v_naz:compb  30
місце noun:n:v_naz  0
Приїхали verb:past:m:perf  0
на prep:rv_rod 			   0
пару numr:m:v_rod   0
днів noun:p:v_rod  0
до prep:rv_rod  0
Львова noun:m:v_rod  2
обідали	verb:past:p:imperf  10
лише part  0
в prep:rv_mis:v-u  0
Копальні noun:f:v_mis  1
на prep:rv_mis				  0
мінус noun:m:v_mis -10
першому	adj:m:v_mis  3
поверсі	noun:m:v_mis  0
Офіціанти noun:p:v_naz:anim 			    0
привітні adj:p:v_naz:compb  50
кожні adj:p:v_zna:&pron:def  3
10 number     0
хвилин noun:p:v_zna 	    0
запитують verb:pres:p:3:imperf 	    2
чи conj:coord:subord  0
все	adv:v-u  0
добре adv 19
Шеф	noun:m:v_naz:anim  10
кухар noun:m:v_naz:anim  10
молодчага noun:f:v_naz:anim  25
готує verb:pres:s:3:imperf 30
дуже adv  25
смачно adv:compb  25
посміхається verb:rev:pres:s:3:imperf 39
всім adj:p:v_dav:&pron:dem  0
Атмосфера noun:f:v_naz  0
наче part  0
вдома adv:v-u  0
За prep:rv_zna 0
два	numr:m:v_zna   0
дні	noun:p:m:v_zna  0
відвідали verb:past:p:perf  4
8 number  0
закладів noun:p:v_rod 1
мережі noun:f:v_rod    3
та conj:coord  0
від	prep:rv_rod  0
Копальні noun:f:v_rod  1
залишились verb:rev:past:p:perf  -1
лише part  -1
позитивні adj:p:v_zna:compb  25
враження noun:n:v_zna   30
Адміністратор noun:m:v_naz:anim  0
дуже adv  20
приємна	adj:f:v_naz:compb  24
і conj:coord  0
привітна adj:f:v_naz:compb  25
відразу	adv  0
відчувається verb:rev:pres:s:3:imperf 2
людина noun:f:v_naz:anim  0
на prep:rv_zna:rv_mis 0
своєму adj:n:v_mis:&pron:pos  0
місці noun:n:v_mis  0
знає verb:pres:s:3:imperf  0
свою adj:f:v_zna:&pron:pos  0
справу noun:f:v_zna  0
і conj:coord  0
любить verb:pres:s:3:imperf  14
свою adj:f:v_zna:&pron:pos  0
роботу noun:f:v_zna  0
Успіхів noun:p:v_rod  30
Вам	pron:pers:p:2:v_dav:anim  0
в prep:rv_mis:v-u  0
роботі noun:f:v_mis 0
й conj:coord  0
не part  0
тільки adv  0
гарних adj:p:v_rod:compb  11
клієнтів noun:p:v_rod:anim  0
і conj:coord  0
не part  0
побільше adv 	   9
Будемо verb:futr:p:1:imperf  0
у prep:rv_mis:v-u  0
Львові noun:m:v_mis  8
обов'язково	adv  20
завітаємо verb:futr:p:1:perf  13
і conj:coord  0
друзям noun:p:v_dav:anim  30
будемо verb:futr:p:1:imperf  0
рекомендувати verb:inf:imperf  50
Були verb:past:p:imperf  0
в prep:rv_mis:v-u  0
закладі	noun:m:v_mis  1
13-14 number  0
жовтня noun:m:v_rod  0
Ми pron:pers:p:1:v_naz:anim  0
теж	adv   0
сьогодні adv  0
були verb:past:p:imperf  0
вперше adv:v-u  0
і conj:coord  0
дуже adv  24
шкодували verb:past:p:imperf  -20
що conj:subord  0
ніколи adv:&pron:neg  -32
не part  -3
заходили verb:past:p:perf  0
в prep:rv_zna:v-u  0
цей	dj:m:v_zna:&pron:dem  0
заклад noun:m:v_zna  1
враження noun:p:v_naz  25
надзвичайні	adj:p:v_naz  50
кава noun:f:v_naz  50
просто adv:compb  0
шикарна	adj:f:v_naz  50
Подача noun:f:v_naz  0
як part  0
ціле adj:n:v_zna  1
театральне adj:n:v_zna  29
дійство noun:n:v_zna  7
Окреме adj:n:v_naz  0
і conj:coord  0
велике adj:n:v_naz:compb  0
дякую verb:pres:s:1:imperf  25
хочу verb:pres:s:1:imperf  0
сказати	verb:inf:perf  0
бармену	noun:m:v_dav:anim  0
Миколі noun:m:v_dav:anim:fname   0
який adj:m:v_naz:&pron:int:rel:def 0
просто adv:compb  0
шикарно	adv  50
обслуговує verb:pres:s:3:imperf  3
відвідувачів noun:p:v_rod:anim  0
Такого adj:m:v_rod:&pron:def  0
персоналу noun:m:v_rod 0
мені pron:pers:s:1:v_dav:anim 0
ой excl 0
як part  0
не part  0
вистачало verb:past:n:imperf  0
Піду verb:futr:s:1:perf   0
туди adv:&pron:dem  0
святкувати verb:inf:imperf  19
свій adj:m:v_zna:&pron:pos  0
А part  0
мені pron:pers:s:1:v_dav:anim 0
заклад noun:m:v_zna  0
дуже adv  25
подобається	verb:rev:pres:s:3:imperf  40
Щодо prep:rv_zna  0
обслуговування noun:p:v_zna  24
найкраще adj:n:v_zna:super  50
в prep:rv_mis:v-u  0
Кав'ярні noun:f:v_mis  1
напевно	adv 0
тому conj:subord  0
що conj:subord  0
вона pron:pers:f:3:v_naz  0
працює verb:pres:s:3:imperf  0
найдовше adv:super  10
хлопці noun:p:v_naz:anim  3
просто adv:compb   0
молодці noun:p:v_naz:anim  40
в prep:rv_mis:v-u  0
шахті noun:f:v_mis  -1
як part  0
такого adj:n:v_rod:&pron:def  0
обслуговування noun:p:v_rod  0
немає predic  -5
бо conj:subord  0
там	adv:&pron:dem   0
працюють verb:pres:p:3:imperf  0
шахтарі	noun:p:v_naz:anim 			  -6
а conj:coord  0
не part  -1
офіціанти noun:p:v_zna:anim   0
й conj:coord 0
вони pron:pers:p:3:v_naz:anim   0
розповідають verb:pres:p:3:imperf  3
стільки	numr:p:v_rod:&pron:ind  0
цікавих	adj:p:v_rod:compb  20
історій	noun:p:v_rod  0
приходила verb:past:f:imperf  0
туди adv:&pron:dem  0
кілька numr:p:v_zna:&pron:ind 		 0
раз	noun:p:v_zna 0
з prep:rv_oru  0
друзями	noun:p:v_oru:anim  36
які	adj:p:v_naz:&pron:int:rel:def 0
з prep:rv_rod 0
інших adj:p:v_rod:&pron:def  0
міст noun:p:v_rod  0
і conj:coord  0
кожного	adj:m:v_rod:&pron:def  0
разу noun:m:v_rod 	 0
чула verb:past:f:imperf  0
якісь adj:p:v_zna:&pron:ind 0
нові adj:p:v_zna:compb 3
легенди	noun:p:v_zna 			   4
Особливо adv  0
мені pron:pers:s:1:v_dav:anim 0
подобається	verb:rev:pres:s:3:imperf  50
літній adj:m:v_zna  40
майданчик noun:m:v_zna  10
там	adv:&pron:dem  0
просто adv:compb  0
супер noun:m:v_naz  35
коли adv:&pron:int:rel  0
на prep:rv_mis 0
вулиці noun:f:v_mis  0
спека noun:f:v_naz  -4
то conj:subord  0
там	adv:&pron:dem  0
прохолодно adv:compb  2
можна predic  0
скуштувати verb:inf:perf  4
смачну adj:f:v_zna:compb  21
Пасту noun:f:v_zna  10
а conj:coord  0
інколи adv:&pron:ind  0
там	adv:&pron:dem  0
відбуваються verb:rev:pres:p:3:imperf  2
цікаві adj:p:v_zna:compb  13
концерти noun:p:v_zna  19
й conj:coord  0
вечірки noun:p:v_zna  20
Одним numr:n:v_oru  0
словом noun:n:v_oru  0
заклад noun:m:v_naz  1
СУПЕР noun:m:v_naz  50
я pron:pers:s:1:v_naz:anim  0
постійна adj:f:v_naz  0
клієнтка noun:f:v_naz:anim  0
цього adj:m:v_rod:&pron:dem  0
закладу	noun:m:v_rod  1
і conj:coord  0
всім adj:p:v_dav:&pron:dem  0
рекомендую verb:pres:s:1:imperf  50
його pron:pers:m:3:v_rod:anim 0
відвідати verb:inf:perf  1
Одним numr:n:v_oru  0
словом noun:n:v_oru  0
СУПЕР noun:m:v_naz  50
Дуже adv  44
цікаве adj:n:v_naz:compb  40
місце noun:n:v_naz  0
привітний adj:m:v_naz:compb  50
персонал noun:m:v_naz  0
атмосфера noun:f:v_naz  0
неперевершена adj:f:v_naz:&adjp:pasv:past 40
та conj:coord  0
ще part  0
й conj:coord  0
зі prep:rv_oru  0
смаком noun:m:v_oru  4
кави noun:f:v_rod  50
Хотілося verb:unknown  0
б part  0
щоб	conj:subord  0
персонал noun:m:v_naz  0
більш adv:compr  0
розповідав verb:past:m:imperf  1
про	prep:rv_zna  0
меню noun:n:v_zna:nv  0
що pron:int:rel:n:v_zna  0
можна predic  0
замовити verb:inf:perf  0
якщо conj:subord  0
відвідувач noun:m:v_naz:anim  0
вперше adv:v-u  0
щоб	conj:subord  0
отримати verb:inf:perf  6
тут	adv:&pron:dem  1
картку noun:f:v_zna  3
Локаль noun:f:v_zna  5
потрібно adv:compb  0
відповісти verb:inf:perf  0
хто	pron:int:rel:m:v_naz:anim 0
вперше adv:v-u  0
привіз verb:past:m:perf  0
каву noun:f:v_zna  50
до prep:rv_rod  0
Львова noun:m:v_rod  10
крута adj:f:v_naz:compb  20
атмосфера noun:f:v_naz  5
цікаве adj:n:v_naz:compb  44
меню noun:n:v_zna:nv  0
доступні adj:p:v_naz:compb  13
ціни noun:p:v_naz  0
місце noun:n:v_naz  0
із  prep:rv_rod  0
арт-кафе noun:p:v_rod:nv  24
у prep:rv_rod:v-u  0
Львова noun:m:v_rod  5
Найкраща adj:f:v_naz:super  50
кава noun:f:v_naz  50
у prep:rv_mis:v-u  0
Львові noun:m:v_mis  5
Привітливий	adj:m:v_naz  50
сервіс noun:m:v_naz  0
Затишний adj:m:v_naz:compb  25
інтер'єр noun:m:v_naz  0
Надзвичайно	adv  45
смачна adj:f:v_naz:compb  40
запаяна	adjp:pasv:past:f:v_naz  0
кава noun:f:v_naz  50
не part  -1
знаю verb:pres:s:1:imperf  1
що conj:subord  0
вони pron:pers:p:3:v_naz:anim 0
додають	verb:pres:p:3:imperf  1
але	conj:coord  -1
смак noun:m:v_naz  25
божественний adj:m:v_naz  40
Просіть	verb:impr:p:2:imperf  0
щоб	conj:subord  0
вам	pron:pers:p:2:v_dav:anim  0
змололи	verb:past:p:perf  0
каву noun:f:v_zna  50
і conj:coord  0
запакували verb:past:p:perf  0
так	adv:&pron:dem  0
вийде verb:futr:s:3:perf:perf  0
дешевше	adv:compr  4
ніж	conj:subord  0
в prep:rv_mis:v-u  0
готових	adj:p:v_mis  0
упаковках noun:p:v_mis  0
Сама adj:f:v_naz  0
кава noun:f:v_naz  50
дуже adv  26
ароматна adj:f:v_naz:compb  40
Картка noun:f:v_naz  3
Локаль noun:f:v_naz  9
підтримується verb:rev:pres:s:3:imperf 10
Дійсно adv  10
аромат noun:m:v_naz  30
дуже adv  30
чудовий	adj:m:v_naz:compb  32
асортимент noun:m:v_naz  0
вражає verb:pres:s:3:imperf  6
цікава adj:f:v_naz:compb  30
подача noun:f:v_naz  0
Але	conj:coord  -1
вибачте	verb:impr:p:2:perf  -2
сама adj:f:v_naz  0
шахта noun:f:v_naz  -1
якась adj:f:v_naz:&pron:ind  0
гнітюча	adj:f:v_naz  -30
чудова adj:f:v_naz:compb  40
кава noun:f:v_naz  50
на prep:rv_zna:rv_mis  0
двох numr:p:v_mis  0
з prep:rv_oru 0
лікером	noun:m:v_oru  5
і conj:coord  0
горіхами noun:p:v_oru  25
Найсмачніша	adj:f:v_naz:super  50
кава noun:f:v_naz  50
в prep:rv_mis:v-u  0
Львові noun:m:v_mis  10
Для	prep:rv_rod  0
поціновувачів noun:p:v_rod:anim  17
чогось pron:ind:n:v_rod  0
смачного adj:n:v_rod:compb  25
і conj:coord  0
новенького adj:n:v_rod  10
рекомендую verb:pres:s:1:imperf  50
каву noun:f:v_zna  50
по-львівськи adv  9
яка	adj:f:v_naz:&pron:int:rel:def 0
подається verb:rev:pres:s:3:imperf  26
з prep:rv_oru  0
надзвичайно	adv  50
смачним	adj:m:v_oru:compb  45
лікером	noun:m:v_oru  5
Дуже adv  40
затишне	adj:n:v_naz:compb  45
місце noun:n:v_naz  0
Обов'язково	adv  3
завітайте verb:impr:p:2:perf  11
у prep:rv_mis:v-u  0
копальню noun:f:v_mis  1
якщо conj:subord  0
Львів noun:m:v_naz  6
здається verb:rev:pres:s:3:imperf  2
вам	pron:pers:p:2:v_dav:anim 0
ангельським	adj:m:v_oru  16
і conj:coord  0
чистим adj:m:v_oru:compb  10
то conj:subord  0
завітайте verb:impr:p:2:perf  5
під	prep:rv_zna:rv_oru  0
землю noun:f:v_zna  0
справжнє adj:n:v_naz  1
пекло noun:n:v_naz  -50
з prep:rv_oru 0
ароматом noun:m:v_oru  20
кави noun:f:v_rod  50
схиблене adjp:pasv:past:n:v_naz  -40
місто noun:n:v_naz  0
Легенди	noun:p:v_naz  9
кава noun:f:v_naz  50
аромати	noun:p:v_naz  30
але	conj:coord  -1
від	prep:rv_rod  0
й conj:coord  0
кількості noun:f:v_rod  0
людей noun:p:v_rod:anim  0
не part  -1
завжди adv:&pron:gen  2
можеш verb:pres:s:2:imperf   0
насолодитися verb:rev:inf:perf  29
цим	цей adj:n:v_oru:&pron:dem  0
місцем	місце noun:n:v_oru  0
улюблена adjp:pasv:past:f:v_naz:compb 30
кава noun:f:v_naz  50
там	adv:&pron:dem  0
бандерівська adj:f:v_naz  50
і conj:coord  0
дуже adv  40
смачно adv:compb  45
Неймовірний	adj:m:v_naz:compb  50
запах noun:m:v_naz  10
кави noun:f:v_rod  50
та conj:coord  0
великий	adj:m:v_naz:compb  10
вибір noun:m:v_naz  0
Коментарі noun:p:v_naz  0
тут	adv:&pron:dem  0
зайві adj:p:v_naz  0
тут	adv:&pron:dem  0
найкраща adj:f:v_naz:super  44
кава noun:f:v_naz  49
у prep:rv_mis:v-u  0
Львові noun:m:v_mis  8
Люблю verb:pres:s:1:imperf  25
це adj:n:v_zna:&pron:dem  0
місце noun:n:v_zna  0
у prep:rv_zna:rv_mis:rv_rod:v-u  0
Львові noun:m:v_mis  7
смачна adj:f:v_naz:compb  0
кава noun:f:v_naz  50
вишневий adj:m:v_naz  25
яблучний adj:m:v_naz  25
рай	noun:m:v_naz  50
Завжди adv:&pron:gen  10
людно adv  -2
важко adv:compb  -29
знайти verb:inf:perf  -10
столик noun:m:v_zna  2
Неперевершена adj:f:v_naz:&adjp:pasv:past 24
кава noun:f:v_naz  50
та conj:coord  0
неймовірна adj:f:v_naz:compb  25
атмосфера noun:f:v_naz  10
Кавоманів noun:p:v_rod:anim  20
аромат noun:m:v_naz  24
просто adv:compb  0
зведе verb:futr:s:3:perf  0
з prep:rv_rod 0
розуму noun:m:v_rod  0
Приїхали verb:past:m:perf  0
до prep:rv_rod  0
чарівного adj:m:v_rod:compb  19
міста noun:n:v_rod  0
Лева noun:m:v_rod:anim:fname 9
06.02.2015 date  0
Вирішили verb:past:p:perf  0
випити verb:inf:perf  4
кави noun:f:v_rod  50
Проте conj:coord  0
ця adj:f:v_naz:&pron:dem  0
ідея noun:f:v_naz  10
закінчилася verb:rev:past:f:perf  -4
фіаско noun:n:v_oru:nv  -50
некомпетентність noun:f:v_naz  -30
грубість noun:f:v_naz  -30
персоналу noun:m:v_rod  0
вперто adv:compb:v-u  -10
заважали verb:past:p:imperf  0
нашим adj:p:v_dav:&pron:pos  0
планам noun:p:v_dav  0
Не part  -1
рекомендую verb:pres:s:1:imperf  50
Неперевершена adj:f:v_naz:&adjp:pasv:past 50
кава noun:f:v_naz  50
чудова adj:f:v_naz:compb  50
жива adj:f:v_naz:compb  50
музика noun:f:v_naz  50
Оригінальне	adj:n:v_naz:compb  40
місце noun:n:v_naz  0
більше adv:compr -2
для	prep:rv_rod  0
туристів noun:p:v_rod:anim  10
або	conj:coord  0
романтичних	adj:p:v_rod:compb  24
побачень noun:p:v_rod  25
Рекомендую verb:pres:s:1:imperf  50
попробувати	verb:inf:perf  0
запаяну	adjp:pasv:past:f:v_zna  -2
каву noun:f:v_zna  50
Найсмачніша	adj:f:v_naz:super  50
кава noun:f:v_naz  50
та conj:coord  0
круті adj:p:v_naz:compb  25
офіціанти noun:p:v_naz:anim  0
неймовірно adv:compb  50
смачний	adj:m:v_naz:compb  40
імбирно-гранатовий adj:m:v_zna  50
чай	oun:m:v_zna  50
з prep:rv_oru 0
помаранчем noun:m:v_oru  50
Романтично adv:compb  50
ароматно adv:compb  50
цікаво adv:compb  30
Є verb:pres:s:3:imperf  0
великий	adj:m:v_zna:compb  10
вибір noun:m:v_zna  0
сувенірів noun:p:v_rod  25
і conj:coord  0
подарунків noun:p:v_rod  50
дуже adv  25
багато numr:p:v_naz:&pron:ind 10
смачної adj:f:v_rod:compb  25
й conj:coord  0
запашної adj:f:v_rod  40
кави noun:f:v_rod  50
В prep:rv_misv-u  0
цілому adj:m:v_mis  0
місце noun:n:v_naz  0
сміло adv  2
можна predic  0
назвати	verb:inf:perf  0
музеєм noun:m:v_oru  10
Але	conj:coord  -1
як part  0
на prep:rv_zna:rv_mis  0
мене pron:pers:s:1:v_rod:anim 0
то conj:subord  0
дорого adv:compb  -10
Запаяна adjp:pasv:past:f:v_naz  0
кава noun:f:v_naz  50
більше adv:compr  2
вразила verb:past:f:perf  26
ніж	conj:subord  0
в prep:rv_mis:v-u  0
Амстердамі noun:m:v_mis  10
Надзвичайно adv  25
Атмосфера noun:f:v_naz  10
персонал noun:m:v_naz  0
Кава noun:f:v_naz  50
з prep:rv_oru 0
ромом noun:m:v_oru  10
відмінна adj:f:v_naz  50
Попросіть verb:impr:p:2:perf  0
когось pron:ind:v_rod:anim  0
провести verb:inf:perf  0
вам	pron:pers:p:2:v_dav:anim 0
екскурсію noun:f:v_zna  2
з prep:rv_rod:rv_zna:rv_oru 0
вуст noun:p:v_rod  0
це adj:n:v_naz:&pron:dem  0
звучатиме verb:futr:s:3:imperf  0
краще adj:n:v_naz:compr  10
аніж conj:subord  0
тут	adv:&pron:dem  0
Найсмачніша	adj:f:v_naz:super  50
кава noun:f:v_naz  50
у prep:rv_mis:v-u  0
Львові noun:m:v_mis  10
тут	adv:&pron:dem  0
На prep:rv_zna  0
різний adj:m:v_zna  0
смак noun:m:v_zna  2
і conj:coord   0
вибір noun:m:v_zna  0
З prep:rv_rod:rv_zna:rv_oru 0
алкоголем noun:m:v_oru  0
з prep:rv_rod:rv_zna:rv_oru 0
прянощами noun:p:v_oru  10
з prep:rv_rod:rv_zna:rv_oru 0
медом noun:m:v_oru  25
Дуже adv  42
смачні adj:p:v_naz:compb  45
пироги noun:p:v_naz  25
найкращий adj:m:v_naz:super  50
п'яна adj:f:v_naz  -11
вишня noun:f:v_naz  26
та conj:coord  0
І conj:coord  0
ціни noun:p:v_naz  0
дуже adv  34
гарні adj:p:v_naz:compb  39
як adv:&pron:int:rel  0
для	prep:rv_rod  0
такої adj:f:v_rod:&pron:def  0
смакоти noun:f:v_rod  44
Гарний adj:m:v_naz:compb  45
антураж noun:m:v_naz  10
Був	verb:past:m:imperf  0
тут	adv:&pron:dem  0
двічі adv  0
обидва numr:m:v_naz  0
рази noun:p:v_zna  0
кава noun:f:v_naz  50
гірше adv:compr  -50
нікуди adv:&pron:neg  -5
Третього adj:m:v_rod  0
не part  -1
буде verb:futr:s:3:imperf  0
Смачні adj:p:v_naz:compb  45
можна predic  0
спочатку adv  0
спробувати verb:inf:perf  0
у prep:rv_zna:rv_mis:rv_rod:v-u  0
копальні noun:f:v_mis  3
а conj:coord  0
потім adv:&pron:dem  0
придбати verb:inf:perf  0
з prep:rv_rod:rv_zna:rv_oru  0
собою pron:refl:m:v_oru  0
у prep:rv_mis:v-u  0
пляшках noun:p:v_mis  0
різного adj:m:v_rod  0
формату noun:m:v_rod  0
Гарний adj:m:v_naz:compb  30
смачний adj:m:v_naz:compb  30
подарунок noun:m:v_naz  40
рідним adj:p:v_dav:compb  50
та conj:coord  0
друзям noun:p:v_dav:anim  25
з prep:rv_rod  0
міста noun:n:v_rod  0
Лева noun:m:v_rod:anim:fname 10
Запах noun:m:v_naz  16
кави noun:f:v_rod  50
полонить verb:pres:s:3:imperf  0
Сама adj:f:v_naz  0
копальня noun:f:v_naz  1
не part  -1
вразила verb:past:f:perf  3
Сідати verb:inf:imperf  0
раджу verb:pres:s:1:imperf  0
в prep:rv_misv-u  0
залі noun:m:v_mis 0
що conj:subord  0
біля adv  0
входу noun:m:v_rod  0
в prep:rv_misv-u  0
копальню noun:f:v_mis  1
там	adv:&pron:dem  0
дуже adv  25
круто adv  0
Обов'язково adv  20
спробуйте  verb:impr:p:2:perf  10
чудова adj:f:v_naz:compb  30
кава noun:f:v_naz  50
атмосфера noun:f:v_naz  0
й conj:coord  0
офіціант noun:m:v_naz:anim  0
Сергій noun:m:v_naz:anim:fname  0
залишили verb:past:p:perf  0
прекрасне adj:n:v_zna:compb  50
враження noun:n:v_zna  50
і conj:coord  0
бажання	noun:n:v_zna  25
повернутися	verb:rev:inf:perf  0
сюди adv:&pron:dem  0
в prep:rv_zna  0
наступний adj:m:v_zna  3
раз	noun:m:v_zna  0
Нічого pron:neg:v_rod  0
крім prep:rv_rod  0
непривітності noun:f:v_rod  -50
Персонал noun:m:v_naz  0
змушував verb:past:m:imperf  -20
людей noun:p:v_rod:anim  0
стояти verb:inf:imperf  0
зимою noun:f:v_oru  -2
на prep:rv_mis  0
вулиці noun:f:v_mis  0
майже adv  0
до prep:rv_rod  0
11 number  0
години noun:f:v_rod  0
хоча conj:subord  -1
вони pron:pers:p:3:v_naz:anim 0
мали verb:past:p:imperf  0
розпочати verb:inf:perf  0
роботу noun:f:v_zna  0
о prep:rv_mis  0
Мені pron:pers:s:1:v_dav:anim  0
знається verb:rev:pres:s:3:imperf  0
що conj:subord  0
копальня noun:f:v_naz  1
вже	adv:v-u  3
не part  -1
така adj:f:v_naz:&pron:def  0
яка adj:f:v_naz:&pron:int:rel:def 0
була verb:past:f:imperf  0
раніше adv  0
Прекрасна adj:f:v_naz:compb  26
кава noun:f:v_naz  50
на prep:rv_zna  0
будь-який adj:m:v_zna:&pron:ind  0
смак noun:m:v_naz  20
2 number  0
крамнички noun:p:v_naz  10
з prep:rv_oru 0
сувенірами noun:p:v_oru  30
при	prep:rv_mis  0
вході noun:m:v_mis  0
Обов'язково adv  2
замовте	verb:impr:p:2:perf  0
запальну adj:f:v_zna  0
каву noun:f:v_zna  50
Часто adv:compb  2
виступають verb:pres:p:3:imperf  6
класні adj:p:v_naz  26
гурти noun:p:v_naz  4
Обов'язковий adj:m:v_naz  0
для prep:rv_rod  0
туриста	noun:m:v_rod:anim  0
При	prep:rv_mis  0
вході noun:m:v_mis   0
запах noun:m:v_naz  24
пережареної	adjp:pasv:past:f:v_rod  -13
кави noun:f:v_rod  50
не part  -1
дивно adv:compb  2
що conj:subord  0
й conj:coord  0
сама adj:f:v_naz:&pron:def  0
кава noun:f:v_naz  50
насправді adv  0
несмачна adj:f:v_naz  -41
Її pron:pers:f:3:v_rod:anim 0
тут adv:&pron:dem  0
просто adv:compb  0
не part  -1
вміють verb:pres:p:3:imperf:v-u  5
обжарювати verb:inf:imperf  9
Дуже adv  24
смачна adj:f:v_naz:compb  41
кава noun:f:v_naz  50
і conj:coord  0
не part  -1
звичний adj:m:v_naz:compb  0
інтер'єр noun:m:v_naz  0
Запах noun:m:v_naz  10
перегорілої	adjp:actv:past:f:v_rod  -30
кави noun:f:v_rod  50
при	prep:rv_mis 0
вході noun:m:v_mis  0
говорить verb:pres:s:3:imperf  0
все	adv:v-u  0
про	prep:rv_zna  0
якість noun:f:v_zna 		  0
її pron:pers:f:3:v_rod:anim  0
в prep:rv_mis:v-u  0
цьому adj:m:v_mis:&pron:dem  0
