Але	                  conj:coord 
екскурсію	          noun:f:v_zna 
емоція	              noun:f:v_naz 
емоції	              noun:p:v_zna 
жаль	              </insert> 
жахлива	              adj:f:v_naz:compb 
житті	              noun:n:v_rod 
ж	                  part 
ж	                  part 
забив	              verb:past:m:perf 
забив	              verb:past:m:perf 
забув	              verb:past:m:perf 
забув	              verb:past:m:perf 
забув	              verb:past:m:perf 
заважаючи	          advp:imperf 
закладу	              noun:m:v_rod 
закладу	              noun:m:v_zna
закладу	              noun:m:v_zna
заклад	              noun:m:v_zna 
залишали	          verb:past:p:imperf 
залишаєте	          verb:pres:p:2:imperf 
зали	              noun:p:v_naz 
замовили	          verb:past:p:perf 
замовили	          verb:past:p:perf 
замовили	          verb:past:p:perf 
замовлений	          adjp:pasv:past:m:v_naz 
замовлену	          adjp:pasv:past:f:v_zna 
замовляли	          verb:past:p:imperf 
замовчуєте	          verb:pres:p:2:imperf 
запах	              noun:m:v_zna 
заплатили	          verb:past:p:perf 
заради	              prep:rv_rod 
зараз	              adv:&pron:dem 
зараз	              adv:&pron:dem 
зараз	              adv:&pron:dem 
зарезервувати	      verb:inf:perf 
зарезервувати	      verb:inf:perf 
засушені	          adjp:pasv:past:p:v_zna 
зателефонував	      verb:past:m:perf 
захваті	              noun:m:v_mis 
захоплюючі	          adjp:actv:pres:p:v_naz:bad
зачепивши	          advp:perf 
заявити	              verb:inf:perf 
за	                  prep
за	                  prep:rv_rod
за	                  prep:rv_rod
за	                  prep:rv_rod:rv_zna:rv_oru
за	                  prep:rv_zna
за	                  prep:rv_zna
за	                  prep:rv_zna
за	                  prep:rv_zna 
звичайним             adj:n:v_oru:compb
звісно	              adv 
згадали	              verb:past:p:perf 
згладжувало           verb:past:n:imperf 
знайти	              verb:inf:perf 
знаю	              verb:pres:s:1:imperf 
зробити	              verb:inf:perf 
зрозуміла	          verb:past:f:perf 
зрозуміли	          verb:past:p:perf 
зустрічали            verb:past:p:imperf 
зі	                  prep:rv_oru
з	                  prep
з	                  prep:rv_oru
з	                  prep:rv_oru
з	                  prep:rv_oru
з	                  prep:rv_oru 
з	                  prep:rv_oru 
з	                  prep:rv_oru 
з	                  prep:rv_rod
з	                  prep:rv_rod:rv_zna:rv_oru
з	                  prep:rv_rod:rv_zna:rv_oru 
з	                  prep:rv_rod:rv_zna:rv_oru 
його	              pron:pers:m:3:v_rod:anim
його	              pron:pers:m:3:v_zna:anim 
його 	              adj:n:nv:&pron:pos  
його 	              pron:pers:m:3:v_zna:anim
кави	              noun:p:v_rod 
кави	              noun:p:v_zna 
кадри	              noun:p:v_naz 
картоплею	          noun:f:v_oru 
кафе	              noun:n:v_oru:nv                              
квас	              noun:m:v_zna 
келих	              noun:m:v_zna 
керують	              verb:pres:p:3:imperf 
керівництву	          noun:n:v_dav 
кожному	              adj:m:v_mis:&pron:def                                                         
коли	              adv:&pron:int:rel 
коли	              adv:&pron:int:rel 
коли	              adv:&pron:int:rel 
коли	              adv:&pron:int:rel 
коли	              adv:&pron:int:rel 
компанією             noun:f:v_oru 
компанії	          noun:f:v_dav 
конкурси              noun:p:v_naz                              
котра	              adj:f:v_naz:&pron:int 
краєвид	              noun:m:v_naz 
крильця	              noun:p:v_zna 
кричати	              verb:inf:imperf 
крім	              prep:rv_rod 
курку	              noun:f:v_zna:anim                            
курятину	          noun:f:v_zna 
кухарю	              noun:m:v_dav:anim rf 
кухар	              noun:m:v_naz:anim 
куштувала	          verb:past:f:imperf 
кімнати	              noun:p:v_zna 
кімнатної	          adj:f:v_rod 
легендами	          noun:p:v_oru 
легенди	              noun:p:v_zna 
легенди	              noun:p:v_zna 
легенди	              noun:p:v_zna 
легенди	              noun:p:v_zna 
легенди 	          noun:p:v_naz 
легенд	              noun:p:v_rod 
легенд	              noun:p:v_rod 
легенд	              noun:p:v_rod 
легенд	              noun:p:v_rod 
легенд	              noun:p:v_rod 
легенд	              noun:p:v_rod 
легенд	              noun:p:v_rod 
ледь	              adv 
людей	              noun:p:v_zna:anim 
людину	              noun:f:v_zna:anim 
люди	              noun:p:v_naz:anim 
люди	              noun:p:v_naz:anim 
люди	              noun:p:v_naz:anim 
мабуть	              insert 
мабуть	              insert 
мабуть                insert 
мав	                  verb:past:m:imperf 
майже	              adv 
маленькі	          adj:p:v_naz 
мали	              verb:past:p:imperf 
мало	              adv:compb 
меню	              noun:n:v_dav:nv
минув	              verb:past:m:perf 
ми	                  pron:pers:p:1:v_naz:anim
ми	                  pron:pers:p:1:v_naz:anim
ми	                  pron:pers:p:1:v_naz:anim
ми	                  pron:pers:p:1:v_naz:anim 
ми	                  pron:pers:p:1:v_naz:anim 
можливо	              adv 
можливістю	          noun:f:v_rod 
можна	              predic 
можна	              predic 
момент	              noun:m:v_naz
моїм	              adj:m:v_oru:&pron:pos                                                    
місце	              noun:n:v_naz 
місце	              noun:n:v_naz 
місце	              noun:n:v_zna 
місцях	              noun:p:v_mis 
місця	              noun:n:v_rod 
місця	              noun:n:v_rod 
м'ясну	              adj:f:v_zna 
м'ясом	              noun:n:v_oru 
набагато	          adv 
навідуються	          verb:rev:pres:p:3:imperf
навіть	              part 
навіть	              part 
навіть	              part 
награно	              adv 
найдорожча	          adj:f:v_naz:super 
найкращі              adj:p:v_naz:super                            
намагаючись	          advp:rev:imperf 
нам	                  pron:pers:p:1:v_dav:anim 
напевне	              adv 
насолоджуватись	      verb:rev:inf:imperf 
настоянки	          noun:p:v_zna 
наступного	          adj:m:v_dav 
настільки             adv 
нас	                  pron:pers:p:1:v_zna:anim
нас	                  pron:pers:p:1:v_zna:anim
нашим	              adj:n:v_oru:&pron:pos 
наїдалися	          verb:rev:past:p:imperf 
на	                  <insert> 
на	                  part 
на	                  part 
на	                  prep:rv_dav:rv_mis 
на	                  prep:rv_mis 
на	                  prep:rv_mis 
на	                  prep:rv_mis 
на	                  prep:rv_mis 
на	                  prep:rv_zna
на	                  prep:rv_zna
на	                  prep:rv_zna 
на	                  prep:rv_zna 
на	                  prep:rv_zna 
на	                  prep:rv_zna:rv_mis 
на	                  prep:rv_zna:rv_mis 
на	                  prep:rv_zna:rv_mis 
на	                  prep:rv_zna:rv_mis 
неймовірне	          adj:n:v_naz:compb
немає	              predic 
немитого	          adj:n:v_rod 
непоганий	          adj:m:v_naz
несли	              verb:past:p:imperf 
неіснуючому	          adjp:actv:pres:m:v_dav:bad
не	                  part 
не	                  part 
не	                  part 
не	                  part 
не	                  part 
не	                  part 
не	                  part 
не	                  part 
не	                  part 
не	                  part 
не	                  part 
не	                  part 
не	                  part 
не	                  part 
не	                  part 
не	                  part 
не	                  part 
не	                  part 
не	                  part 
не	                  part 
не	                  part 
не	                  part 
не	                  part 
ним	                  pron:pers:n:3:v_oru 
новорічну             adj:f:v_zna 
новорічну             adj:f:v_zna 
ногою	              noun:f:v_oru 
нудно	              adv 
нього	              pron:pers:m:3:v_rod:anim                                             
нього	              pron:pers:m:3:v_zna:anim 
ніде	              adv:&pron:neg 
ніж	                  conj:subord  
ній	                  pron:pers:f:3:v_mis:anim 
нічого	              adv 
нічого	              predic
нічого	              predic 
нічого	              pron:neg:v_zna 
ніч	                  noun:f:v_zna 
ніч	                  noun:f:v_zna 
ніяких	              adj:p:v_rod:&pron:neg 
ні	                  part 
обдаровані	          adjp:pasv:past:p:v_naz:compbjp:pasv:past:p:v_zna:compb
обслуги	              noun:f:v_rod 
обслуговування	      noun:n:v_rod 
обіцяли	              verb:past:p:imperf 
овочевий	          adj:m:v_naz 
овочевий	          adj:m:v_zna 
один	              numr:m:v_naz 
один	              numr:m:v_naz 
одна	              numr:f:v_naz 
окреме	              adj:n:v_naz 
окрім	              prep:rv_rod 
оплатити	          verb:inf:perf 
організаторів         noun:p:v_rod:anim 
організувати	      verb:inf:perf 
особливого	          adj:m:v_rod 
останнього	          adj:m:v_dav 
останнє	              adj
останній	          adj:m:v_naz
остаточно	          adv 
ось	                  part 
отож	              part 
от	                  part 
офіціанта	          noun:m:v_rod:anim 
офіціантка	          noun:f:v_naz:anim 
офіціантку	          noun:f:v_zna:anim 
офіціант	          noun:m:v_naz:anim 
очікування	          noun:n:v_rod 
о	                  prep:rv_zna
папір	              noun:m:v_zna 
переконались	      verb:rev:past:p:perf 
пересмажена	          adjp:pasv:past:f:v_naz
пересолена	          adjp:pasv:past:f:v_naz
персоналу	          noun:m:v_rod 
персонал	          noun:m:v_naz
пива	              noun:n:v_rod  
пива	              noun:n:v_zna 
пиво	              noun:n:v_zna 
пиво	              noun:n:v_zna 
пиві	              noun:n:v_mis 
пили	              verb:past:p:imperf 
побували	          verb:past:p:perf 
побували              verb:past:p:perf 
побувати	          verb:inf:perf 
побігла	              verb:past:f:perf 
поважати              verb:inf:imperf 
повернусь	          verb:rev:futr:s:1:perf 
поверхах	          noun:p:v_mis:dav
поверху	              noun:m:v_mis 
поверх	              noun:m:v_zna 
подали	              verb:past:p:perf 
подати	              verb:inf:perf 
подивитися	          verb:rev:inf:perf 
позитивні             adj:p:v_zna:compb 
попросили	          verb:past:p:perf 
порції	              noun:p:v_zna 
послухали             verb:past:p:perf 
послухати	          verb:inf:perf 
послухати             verb:inf:perf 
постійно	          adv 
постійно	          adv 
постійно              adv 
потреш	              verb:futr:s:2:perf 
потім	              adv:&pron:dem 
по	                  prep:rv_mis
по	                  prep:rv_mis:rv_dav 
по	                  prep:rv_mis:rv_zna 
привітаюсь	          verb:rev:futr:s:1:perf 
привітливий	          adj:m:v_naz 
прийду	              verb:futr:s:1:perf 
прийшли	              verb:past:p:perf 
прийшов	              verb:past:m:perf 
приколи	              noun:p:v_zna 
принесли	          verb:past:p:perf 
принесли	          verb:past:p:perf 
принесли	          verb:past:p:perf 
принесли	          verb:past:p:perf 
принесу	              verb:futr:s:1:perf 
притому	              conj:bad 
приємний	          adj:m:v_naz:compb 
приїду	              verb:futr:s:1:perf 
проводив              verb:past:m:imperf 
проколи	              noun:p:v_zna
просто	              part 
просто	              part  
просто	              part  
проханням	          noun:n:v_oru
про	                  prep:rv_zna 
про	                  prep:rv_zna 
про	                  prep:rv_zna 
про	                  prep:rv_zna 
півгодини	          noun:f:v_dav:nv:np 
пів	                  noun:f:v_rod:nv:np 
підлозі	              noun:f:v_mis 
піду	              verb:futr:s:1:perf 
підігрівали	          verb:past:p:imperf 
пір	                  noun:p:v_rod 
після	              prep:rv_rod 
пішли	              verb:past:p:perf 
раджу	              verb:pres:s:1:imperf 
разу	              noun:m:v_dav 
разу	              noun:m:v_dav 
разів	              noun:p:v_rod 
раз	                  noun:m:v_naz
раз	                  noun:m:v_naz 
раз	                  noun:m:v_naz 
рахунок	              noun:m:v_zna 
репутацію	          noun:f:v_zna 
речі	              noun:f:v_dav
робити	              verb:inf:imperf 
роботу	              noun:f:v_zna 
роздивляючись	      advp:rev:imperf 
розкидано	          verb:impers:perf 
розлютили	          verb:past:p:perf 
розмовою	          noun:f:v_od 
розпечена	          adjp:pasv:past:f:v_naz 
розповідав	          verb:past:m:imperf 
розповідав            verb:past:m:imperf 
розуміються	          verb:rev:pres:p:3:imperf 
розчарований	      adjp:pasv:past:m:v_naz
розчарував	          verb:past:m:perf 
року	              noun:m:v_rod 
різні	              adj:p:v_naz                                             
рік	                  noun:m:v_zna
ріні	              adj:p:v_zna 
сажотруса	          noun:m:v_rod:anim
сажотруса	          noun:m:v_rod:anim 
сажотруса             noun:m:v_zna:anim 
салат	              noun:m:v_naz 
салат	              noun:m:v_naz 
салат	              noun:m:v_zna 
салат	              noun:m:v_zna 
самий	              adj:m:v_zna 
самим	              adj:n:v_oru:&pron:def 
самі	              adj:p:v_naz:&pron:def 
свининою	          noun:f:v_oru 
свою	              adj:f:v_zna:&pron:pos 
свою	              adj:f:v_zna:&pron:pos 
свідчить	          verb:pres:s:3:imperf 
себе	              pron:refl:m:v_rod 
себе	              pron:refl:n:v_zna 
село	              noun:n:v_mis 
середньому	          adj:m:v_dav 
сиділи	              verb:past:p:imperf 
сих	                  pron
сказала	              verb:past:f:perf 
скибки	              noun:p:v_naz 
скласти	              verb:inf:perf 
скоромовки	          noun:p:v_naz 
смачною	              adj:f:v_oru:compb 
смачно	              adv:compb 
смачнішого	          adj:m:v_rod:compr 
сморід	              noun:m:v_naz 
соусом	              noun:m:v_oru 
соусу	              noun:m:v_rod 
спецій	              noun:p:v_rod 
сподобалось	          verb:rev:past:n:perf 
спочатку	          adv 
став	              verb:past:m:perf 
стану	              noun:m:v_rod  
створювали	          verb:past:p:imperf 
столик	              noun:m:v_zna 
стояв	              verb:past:m:imperf 
страва	              noun:f:v_naz 
страви	              noun:p:v_naz 
страву	              noun:f:v_zna 
стіл	              noun:m:v_naz
суду	              noun:m:v_zna 
сушимо	              verb:pres:p:1:imperf 
сфотографуватися	  verb:rev:inf:perf 
сходити	              verb:inf:imperf 
схоже	              adj:n:v_naz 
таке	              adj:n:v_zna:&pron:def 
такий	              adj:m:v_naz:&pron:def 
такого	              adj:m:v_rod:&pron:def
таку	              adj:f:v_zna:&pron:def 
так	                  adv:&pron:dem 
так	                  adv:&pron:dem 
так	                  adv:&pron:dem 
так	                  adv:&pron:dem 
так	                  adv:&pron:dem                              
так	                  part 
там	                  adv:&pron:dem
там	                  adv:&pron:dem 
там	                  adv:&pron:dem 
там	                  adv:&pron:dem 
там	                  adv:&pron:dem 
там	                  adv:&pron:dem 
там	                  adv:&pron:dem                             
там 	              adv:&pron:dem 
тарелю	              noun:f:v_zna 
тарілку	              noun:f:v_zna 
тарілку	              noun:f:v_zna 
та	                  conj:coord
та	                  conj:coord 
та	                  conj:coord 
та	                  conj:coord 
та	                  conj:coord 
та	                  conj:coord 
та	                  conj:coord 
тебе	              pron:pers:s:2:v_zna:anim 
тема	              noun:f:v_naz 
темне	              adj:n:v_zna:compb 
температури	          noun:f:v_rod 
тепле	              adj:n:v_naz:compb 
терасі	              noun:f:v_mis 
те	                  adj:n:v_naz:&pron:dem                                        
те	                  adj:n:v_zna:&pron:dem 
тим	                  adj:n:v_oru:&pron:dem                                                          
ти	                  pron:pers:s:2:v_naz:anim 
того	              part
того	              part
того	              part
той 	              adj
тому	              adv 
точно	              adv 
то	                  conj:subord 
то	                  conj:subord 
то	                  conj:subord 
треба	              predic 
три	                  numr:p:v_zna :imperf 
туалетний	          adj:m:v_zna 
туалеті	              noun:m:v_dav 
туди	              adv:&pron:dem 
туди	              adv:&pron:dem 
туди-сюди	          adv 
туристи	              noun:p:v_naz:anim 
тут	                  adv:&pron:dem 
тут	                  adv:&pron:dem 
тіла	              noun:n:v_rod
тільки	              adv 
тільки	              adv  
ті	                  adj:p:v_naz:&pron:dem 
увесь	              pron:int:rel:m:v_naz 
улюбленим	          adjp:pasv:past:n:v_oru:compb 
унікальний	          adj:m:v_naz:compb 
усмішкою	          noun:f:v_oru 
у	                  prep:rv_dav:v-u 
у	                  prep:rv_mis:v-u
у	                  prep:rv_mis:v-u
у	                  prep:rv_mis:v-u 
у	                  prep:rv_mis:v-u 
у	                  prep:rv_mis:v-u 
у	                  prep:rv_zna:rv_mis:rv_rod:v-u 
у	                  prep:rv_zna:rv_mis:rv_rod:v-u 
у	                  prep:rv_zna:rv_mis:rv_rod:v-u 
у	                  prep:rv_zna:rv_mis:rv_rod:v-u 
у                     prep:rv_zna:rv_mis:rv_rod:v-u 
харчувалися	          verb:rev:past:p:imperf 
хвилин	              noun:p:v_rod 
хвилин	              noun:p:v_rod 
хвостом	              noun:m:v_oru 
химерне	              adj:n:v_zna 
хліба	              noun:m:v_rod 
ходити	              verb:inf:imperf 
хорошого	          adj:m:v_rod:compb 
хоча	              conj:subord 
хоча	              conj:subord 
хочу	              verb:pres:s:imperf 
хоч	                  part 
цей	                  adj:m:v_zna:&pron:dem 
це	                  adj:n:v_naz:&pron:dem 
це	                  adj:n:v_naz:&pron:dem 
це	                  adj:n:v_zna:&pron:dem 
це	                  adj:n:v_zna:&pron:dem 
це	                  part 
це 	                  adj:n:v_naz:&pron:dem
це     	              adj:n:v_naz:&pron:dem 
цього	              adj:m:v_zna:&pron:dem\ 
цього	              adj:n:v_rod:&pron:dem 
цьому	              adj:m:v_dav:&pron:dem                             
цікавого	          adj:m:v_rod:compb 
ціни	              noun:p:v_naz 
цін	                  noun:p:v_rod 
часу	              noun:m:v_dav                             
час	                  noun:m:v_naz 
час	                  noun:m:v_naz 
чекали	              verb:past:p:imperf 
чекали	              verb:past:p:imperf 
через	              prep:rv_dav 
через	              prep:rv_zna 
чоловіком	          noun:m:v_oru:anim 
чому	              adv:&pron:int:rel is 
чому	              pron:int:rel:n:v_dav                               
чудові	              adj:p:v_naz:compb 
швидко	              adv:compb 
шукати	              verb:inf:imperf 
ще	                  adv  
ще	                  adv  
ще	                  adv  
ще	                  adv  
ще	                  part 
ще 	                  adv  
щоб	                  conj:subord 
щодо	              prep:rv_rod 
що	                  conj:subord 
що	                  conj:subord 
що	                  conj:subord 
що	                  conj:subord 
що	                  conj:subord 
що	                  conj:subord 
що	                  conj:subord 
що	                  conj:subord 
що	                  conj:subord 
що	                  conj:subord 
що	                  conj:subord  
що	                  conj:subord  
що	                  conj:subord   
що	                  pron:int:rel:n:v_naz 
якийсь	              adj:m:v_naz:&pron:ind 
який	              adj:m:v_naz:&pron:int:rel:def
якомусь	              adj:m:v_dav:&pron:ind
якось	              adv:&pron:ind 
якусь	              pron:pers:f:3:v_zna 
яку	                  adj:f:v_zna:&pron:int:rel:def
які	                  adj:p:v_naz:&pron:int:rel:def
які	                  adj:p:v_naz:&pron:int:rel:def 
як	                  adv:&pron:int:rel 
як	                  adv:&pron:int:rel                              
як	                  conj:subord 
як	                  part 
я	                  pron:pers:s:1:v_naz:anim 
я	                  pron:pers:s:1:v_naz:anim 
я	                  pron:pers:s:1:v_naz:anim 
я	                  pron:pers:s:1:v_naz:anim 
єдина 	              adj:f:v_naz 
єдиний	              adj:m:v_naz
є	                  verb:pres:p:3:imperf
є	                  verb:pres:p:3:imperf  
із	                  prep:rv_zna
ім'я	              noun:n:v_zna 
інтер'єр	          noun:m:v_zna 
інтер'єр	          noun:m:v_zna 
і	                  conj:coord
і	                  conj:coord 
і	                  conj:coord 
і	                  conj:coord 
і	                  conj:coord 
і	                  conj:coord 
і	                  conj:coord 
і	                  conj:coord 
і	                  conj:coord 
і	                  conj:coord 
і	                  conj:coord 
і	                  conj:coord 
і	                  conj:coord 
і	                  conj:coord 
і	                  conj:coord 
і	                  conj:coord 
і	                  conj:coord 
і	                  conj:coord 
і	                  conj:coord 
і	                  conj:coord 
і	                  conj:coord 
і	                  conj:coord 
і	                  conj:coord 
і	                  conj:coord 
і	                  conj:coord 
і	                  conj:coord 
і	                  conj:coord 
і	                  conj:coord 
і	                  conj:coord 
і	                  conj:coord                              
і	                  conj:coord                                             
їси	                  verb:pres:s:2:imperf 
її	                  pron:pers:f:3:v_rod:anim
її	                  pron:pers:f:3:v_zna:anim 
її	                  pron:pers:f:3:v_zna:anim 
0	                  number 
10	                  number 
100	                  number 
18.30	              time 
18.30	              time 
2	                  number 
