Цієї	      pron:f_rod 
ще	          part 
є	          verb:pres:s:3:imperf
караоке	      noun:n:v_naz:nv:np 
Замовляли	  verb:past:p:imperf 
картоплю	  noun:f:v_zna 
по-середземноморському	 adv 
та	           conj:coord 
стейк-мікс	   noun:m:v_zna 
Смачно	       adv:compb 
Салат	       noun:m:v_naz 
Цезар	       noun:m:v_naz 
соус	       noun:m:v_naz 
був	           verb:past:m:imperf 
роздвоєний	   adjp:pasv:past:m:v_naz
Піцу	       noun:f:v_zna 
замовили	   verb:past:p:perf 
одну	       numr:f:v_zna 
оператор	   noun:m:v_naz:anim 
погодив	       verb:past:m:perf 
замовлення	   noun:n:v_zna  
згодом	       adv 
щоб	           conj:subord 
замінити	   verb:inf:perf 
на	           prep:rv_zna:rv_mis 
іншу	       adj:f:v_zna:&pron:def  
замінили	   verb:past:p:perf 
згодом	       adv 
знову	       adv 
нам	           pron:pers:p:1:v_dav:anim
і	           conj:coord 
знову	       adv 
попросили	   verb:past:p:perf 
замінити	   verb:inf:perf 
на	           prep:rv_zna:rv_mis 
іншу	       adj:f:v_zna:&pron:def 
Загалом	       adv 
двояке	       adj:n:v_naz 
враження	   noun:n:v_naz 
від	           prep:rv_rod 
сервісу	       noun:m:v_dav
та	           conj:coord 
кухні	       noun:f:v_dav 
Замовляв	   verb:past:m:imperf 
суші	    	 noun:p:v_zna  (суші )
в	           prep:rv_zna:rv_mis:rv_rod:v-u 
смачно	       adv:compb 
але	           conj:coord
здивувало	   verb:past:n:perf 
яку	           adj:f:v_zna:&pron:int:rel:def 
кількість	   noun:f:v_zna 
соєвого	       adj:m:v_zna
соусу	       noun:m:v_rod 
іде	           verb:pres:s:3:imperf 
в	           prep:rv_zna:rv_mis:rv_rod:v-u 
придачу	       noun:f:v_zna:np 
до	           prep:rv_rod 
товару	       noun:m:v_dav
дуже	       adv 
мала	       adj:f:v_naz:compb
кількість	   noun:f:v_naz 
те	           adj:n:v_naz:&pron:dem 
саме	       part  
і	           conj:coord 
з	           prep:rv_rod:rv_zna:rv_oru 
імбиром	       noun:m:v_oru 
Або	           conj:coord 
закінчувався   verb:rev:past:m:imperf 
соус	       noun:m:v_naz 
або	           conj:coord 
шеф	           noun:m:v_naz:anim 
був	           verb:past:m:imperf 
накурений	   adjp:pasv:past:m:v_naz
Обслуговування noun:n:v_naz 
на	           prep:rv_zna:rv_mis 
2	           number 
Один	       numr:m:v_naz 
пафос	       noun:m:v_naz 
страви	       noun:p:v_naz
так	           adv:&pron:dem
собі	       pron:refl:m:v_dav 
ціни	       noun:p:v_naz 
шалені	       adj:p:v_naz 
обслуговування noun:n:v_naz
цілковитий	   adj:m:v_naz 
0	           number 

Жах	           noun:m:v_naz 
Добрий	       adj:m:v_naz:compb 
день	       noun:m:v_naz 
Мали	       verb:past:p:imperf 
нагоду	       noun:f:v_zna 
відпочивати	   verb:inf:imperf 
в	           prep:rv_zna:rv_mis:rv_rod:v-u 
цьому	       adj:m:v_mis:&pron:dem 
закладі	       noun:m:v_mis 
в	           prep:rv_zna:rv_mis:rv_rod:v-u 
караоке-залі   noun:m:v_mis
Нас	           pron:pers:p:1:v_zna:anim
було	       verb:past:n:imperf 
семеро	       numr:p:v_zna 
людей	       noun:p:v_zna:anim 
що	           pron:int:rel:n:v_naz
дозволяло	   verb:past:n:imperf 
нам	           pron:pers:p:1:v_dav:anim
співати	       verb:inf:imperf 
тільки	       part 
одну	      numr:f:v_zna 
пісню	      noun:f:v_zna 
від	          prep:rv_rod 
столика	      noun:m:v_rod 
тому	     conj:subord 
ми	         pron:pers:p:1:v_naz:anim
доплатили	 verb:past:p:perf 
за	         prep:rv_rod:rv_zna:rv_oru
8	         number 
людину	     noun:f:v_zna:anim 
щоб	         conj:subord 
могти	     verb:inf:unknown 
співати	     verb:inf:imperf 
більше	     adv:compr 
2	         number 
пісні	     noun:p:v_zna 
З	         prep:rv_rod:rv_zna:rv_oru
цього	     adj:m:v_rod:&pron:dem 
і	         part 
почалось	 verb:rev:past:n:perf  
Сусідньому	 adj:m:v_dav
столику	     noun:m:v_dav
який	     adj:m:v_naz:&pron:int:rel:def
також	     conj:coord 
мав	         verb:past:m:imperf 
співати	     verb:inf:imperf 
по	         prep:rv_mis:rv_zna 
2	         number 
пісні	     noun:p:v_zna 
чомусь	     adv:&pron:ind 
щось        pron:ind:n:v_dav 
дозволялось	verb:rev:past:n:imperf 
співати	    verb:inf:imperf 
3	        number 
пісні	    noun:p:v_zna 
Коли	    conj:subord 
ми	        pron:pers:p:1:v_naz:anim 
підняли	    verb:past:p:perf 
це	        adj:n:v_zna:&pron:dem 
питання		noun:n:v_zna
то	        conj:subord 
менеджер	noun:m:v_naz:anim 
караоке-залу noun:m:v_rod 
Володимир	 noun:m:v_naz:anim:fname
не	        part 
зовсім	    adv 
привітно    adv:compb 
з	        prep:rv_rod:rv_zna:rv_oru 
нами	    pron:pers:p:1:v_oru:anim 
розмовляв   verb:past:m:imperf 
тому	    conj:subord
прийшлось   verb:rev:past:n:perf 
покликати	verb:inf:imperf 
адміністратора  noun:m:v_zna:anim 
ресторану	    noun:m:v_rod 
Адміністратором	 noun:m:v_oru:anim 
виявилась	     verb:rev:past:f:perf 
дівчина	         noun:f:v_naz:anim 
Мар'яна	        noun:f:v_naz:anim:fname 
яка	          adj:f:v_naz:&pron:int:rel:def 
ніяким	      adj:m:v_oru:&pron:neg  
чином	      noun:m:v_oru 
і	          conj:coord 
не	          part 
збиралась	  verb:rev:past:f:imperf 
вирішувати	  verb:inf:imperf 
конфліктної	  adj:f:v_rod:compb 
ситуації	  noun:f:v_rod 
а	          conj:coord 
відверто	  adv:compb 
стояла	     verb:past:f:imperf 
та	          conj:coord 
нам	          pron:pers:p:1:v_dav:anim 
в	          prep:rv_zna:rv_mis:rv_rod:v-u 
Нашу	     adj:f:v_zna:&pron:pos 
розмову	     noun:f:v_zna 
з	         prep:rv_rod:rv_zna:rv_oru 
адміністратором	 noun:m:v_oru:anim 
ми	         pron:pers:p:1:v_naz:anim 
знімали	     verb:past:p:imperf 
на	         prep:rv_zna:rv_mis 
відео	     noun:n:v_mis:nv 
що	         conj:subord 
є	         verb:pres:s:3:imperf 
дозволено	 verb:impers:perf 
законодавством	 noun:n:v_oru 
України	      noun:f:v_rod  
посеред	      prep:rv_rod 
зйомки	      noun:f:v_rod 
у	          prep:rv_zna:rv_mis:rv_rod:v-u 
нас	          pron:pers:p:1:v_mis:anim 
без	          prep:rv_rod 
жодних	     adj:p:v_rod:&pron
пояснень	 noun:p:v_rod 
забрав	     verb:past:m:perf 
телефон	      noun:m:v_zna 
менеджер	  noun:m:v_naz:anim 
караоке-залу  noun:m:v_rod 
Володимир	  noun:m:v_naz:anim:fname 
Через	      prep:rv_zna 
декілька	  numr:p:v_zna:&pron:ind
хвилин	      noun:p:v_rod 
телефон	      noun:m:v_zna 
знову	      adv 
ж	          part 
таки	      part 
без	          prep:rv_rod 
пояснень	  noun:p:v_rod 
чи	          conj:coord:subord 
вибачень	  noun:p:v_rod 
поклали	      verb:past:p:perf 
на	          prep:rv_zna:rv_mis 
сусідній	  adj:m:v_zna 
столик	      noun:m:v_zna  
Менеджер	  noun:m:v_naz:anim 
караоке-залу  noun:m:v_rod
Володимир	  noun:m:v_naz:anim:fname
протягом	  noun:m:v_oru 
нашої	      adj:f:v_rod:&pron:pos 
розмови	      noun:f:v_rod  
дозволяв	  verb:past:m:imperf 
собі	      pron:refl:m:v_dav 
хамські	      adj:p:v_zna 
висловлювання  noun:p:v_zna 
та	          conj:coord 
доволі	      adv 
неадекватну	  adj:f:v_zna 
поведінку	  noun:f:v_zna 
Одним	      numr:n:v_oru 
словом	      noun:n:v_oru 
однозначно	  adv 
рівень	      noun:m:v_naz
підготовки	  noun:f:v_rod 
персоналу	  noun:m:v_rod 
не	          part 
відповідає	  verb:pres:s:3:imperf 
рівню	      noun:m:v_dav 
закладу	     noun:m:v_rod 
Вважаю	     verb:pres:s:1:imperf 
що	         conj:subord
як	         part 
менеджер	 noun:m:v_naz:anim 
караоке-залу	 noun:m:v_rod  
Володимир	    noun:m:v_naz:anim:fname 
так	           part 
і	          conj:coord 
адміністратор noun:m:v_naz:anim 
закладу	     noun:m:v_rod 
мали	     verb:past:p:imperf 
б	         part 
бути	     verb:inf:imperf 
однозначно	 adv 
звільнені	 adjp:pasv:past:p:v_naz 
або	         conj:coord 
хоча	    part 
б	        part 
покарані	adjp:pasv:past:p:v_naz 
тому	    adv 
що	        conj:subord 
впевнена    adj:f:v_naz:compb:v-u:&adjp:pasv:past 
що	        conj:subord
такі	    adj:p:v_naz:&pron:def
ситуації     noun:p:v_naz 
будуть	    verb:futr:p:3:imperf 
виникати	 verb:inf:imperf 
та	         conj:coord
в	          prep:rv_zna:rv_mis:rv_rod:v-u 
майбутньому	 adj:n:v_mis 
Конфлікт	 noun:m:v_naz 
звісно	      adv 
почався	     verb:rev:past:m:perf 
з	         prep:rv_rod:rv_zna:rv_oru
дрібнички	 noun:p:v_zna 
але	         conj:coord 
подальше	 adj:n:v_naz 
спілкування	 noun:n:v_naz
з	         prep:rv_rod:rv_zna:rv_oru
адміністраторами	 noun:p:v_oru:anim 
просто	    adv:compb 
залишило	 verb:past:n:perf 
негативне	  adj:n:v_zna:compb 
враження	 noun:p:v_zna 
про	         prep:rv_zna 
цей	         adj:m:v_zna:&pron:dem 
заклад	   noun:m:v_zna 
Повернусь	 verb:rev:futr:s:1:perf 
туди	   adv:&pron:dem 
тільки	   adv  
для	       prep:rv_rod 
того	   adj:m:v_rod:&pron:dem 
щоб	       conj:subord 
перевірити  verb:inf:perf 
відповідь  noun:f:v_zna 
на	       prep:rv_zna:rv_mis 
запис	   noun:m:v_zna 
що	        pron:int:rel:n:v_zna 
я	         pron:pers:s:1:v_naz:anim 
залишила	 verb:past:f:perf 
в	         prep:rv_zna:rv_mis:rv_rod:v-u 
книзі	     noun:f:v_mis 
скарг	     noun:p:v_rod 
та	        conj:coord 
пропозицій	 noun:p:v_rod 
яка	         adj:f:v_naz:&pron:int:rel:def 
також	     conj:coord 
викликала	 verb:past:f:perf 
сумнів	     noun:m:v_zna 
книга	    noun:f:v_naz 
була	    verb:past:f:imperf 
заведена	 adjp:pasv:past:f:v_naz 
в	        prep:rv_zna:rv_mis:rv_rod:v-u 
переддень	  noun:m:v_zna 
виникнення	  noun:n:v_naz  
конфлікту	  noun:m:v_rod 
це	         adj:n:v_zna:&pron:dem 
пояснили	 verb:past:p:perf 
тим	         adj:m:v_oru:&pron:dem 
що	         pron:int:rel:n:v_naz
книги	     noun:f:v_rod 
закінчуються verb:rev:pres:p:3:imperf 
проте	   conj:coord 
показати   verb:inf:perf 
нам	       pron:pers:p:1:v_dav:anim 
попередню	 adj:f:v_zna 
книгу	     noun:f:v_zna 
відмовились	 verb:rev:past:p:perf 
Обов'язково	 adv 
звернусь	 verb:rev:futr:s:1:perf 
зі	         prep:rv_rod:rv_zna:rv_oru 
скаргою	     noun:f:v_oru 
в	         prep:rv_zna:rv_mis:rv_rod:v-u 
Управління	 noun:n:v_rod 
захисту	     noun:m:v_rod 
прав	     noun:p:v_rod
споживачів	 noun:p:v_rod:anim 
м	         noun:m:v_rod:nv:abbr
Львова	     noun:m:v_rod 
Такого	     adj:m:v_rod:&pron:def 
відношення	 noun:p:v_zna 
до	         prep:rv_rod 
клієнтів	 noun:p:v_rod:anim 
я	         pron:pers:s:1:v_naz:anim 
чесно	     adv:compb 
кажучи	     advp:imperf 
в	         prep:rv_zna:rv_mis:rv_rod:v-u 
інших	     adj:p:v_mis:&pron:def 
закладах	 noun:p:v_mis 
не	         part 
зустрічала	 verb:past:f:imperf 
Таке	     adj:n:v_naz:&pron:def 
відношення	 noun:n:v_naz
великий	     adj:m:v_naz:compb 
мінус	     noun:m:v_naz 
для	         prep:rv_rod 
закладу	     noun:m:v_rod
Сьогодні	 adv 
відвідали	 verb:past:p:perf 
Сам	         adj:m:v_naz:&pron:def
заклад	     noun:m:v_naz  
дуже	     adv
сподобався	 verb:rev:past:m:perf 
адже	     conj:subord 
поки	     adv:&pron:int:rel 
чекали	     verb:past:p:imperf 
замовлення	 noun:n:v_rod
то	         conj:subord 
і	         conj:coord 
діткам	     noun:p:v_dav:anim 
було	     verb:past:n:imperf 
не	         part 
сумно	    adv:compb 
бо	        conj:subord 
вони	    pron:pers:p:3:v_naz:anim 
розважались	 verb:rev:past:p:imperf 
в	        prep:rv_zna:rv_mis:rv_rod:v-u 
дитячій	    adj:f:v_mis 
кімнаті	    noun:f:v_mis 
і	        conj:coord
дорослим    noun:p:v_dav:anim 
справді	    part 
затишно	    adv:compb 
Атмосфера	 noun:f:v_naz 
загалом	     adv 
хороша	     adj:f:v_naz:compb 
От	        part 
лише	    part 
обслуговування	 noun:n:v_naz 
не	        part 
дуже	    adv
порадувало	 verb:past:n:perf 
Нас	         pron:pers:p:1:v_rod:anim
відверто	 adv:compb 
ігнорували	 verb:past:p:imperf 
хвилин	     noun:p:v_rod 
15	         number 
поки	     adv:&pron:int:rel 
не	         part 
прийняли	verb:past:p:perf 
замовлення	noun:p:v_zna 
Коли	    conj:subord 
забрали	    verb:past:p:perf 
попільничку	 noun:f:v_zna 
замінити	 verb:inf:perf 
то	         conj:subord 
забували	 verb:past:p:imperf 
її	          pron:pers:f:3:v_rod:anim
повернути	 verb:inf:perf 
також	     adv 
хвилин	     noun:p:v_rod 
25	         number 
Та	         conj:coord 
купа	     noun:f:v_naz 
інших	     adj:p:v_zna:&pron:def 
нюансів	     noun:p:v_rod 
щодо	     prep:rv_rod 
обслуговування	 noun:p:v_zna 
На	         prep:rv_zna:rv_mis 
мою	         adj:f:v_zna:&pron:pos 
думку	     noun:f:v_zna 
в	         prep:rv_zna:rv_mis:rv_rod:v-u 
такий	     adj:m:v_naz:&pron:def 
досить	     predic 
великий	     adj:m:v_naz:compb 
заклад	     noun:m:v_naz
варто	     predic 
було	     verb:past:n:imperf 
б	         part 
набрати	     verb:inf:perf 
трохи	     adv 
більше	     adv:compr 
персоналу	 noun:m:v_dav 
тоді	    adv:&pron:dem 
всі	        adj:p:v_zna:&pron:dem 
будуть	    verb:futr:p:3:imperf 
задоволені	 adj:p:v_naz:compb:&adjp:pasv:past
і	         conj:coord 
бідним	     adj:p:v_dav:compb 
офіціантам	 noun:p:v_dav:anim 
які	         adj:p:v_naz:&pron:int:rel:def 
не	         part 
встигають	 verb:pres:p:3:imperf:v-u 
бігати	     verb:inf:imperf 
від	         prep:rv_rod 
столика	     noun:m:v_rod
до	         prep:rv_rod 
столика	     noun:m:v_rod 
і	         conj:coord
клієнти	     noun:p:v_naz:anim 
будуть	    futr:p:3:imperf 
постійними	  adj:p:v_oru 
Я	          pron:pers:s:1:v_naz:anim
ніколи	      adv:&pron:neg 
не	          part 
пишу	      verb:pres:s:1:imperf 
скарги	      noun:p:v_zna 
але	          conj:coord 
Я	          pron:pers:s:1:v_naz:anim
ніколи	      adv:&pron:neg 
не	          part 
пишу	      verb:pres:s:1:imperf 
скарги	      noun:p:v_zna 
але	          conj:coord
заклад	      noun:m:v_naz 
викликав	  verb:past:m:perf 
таке	      adj:n:v_zna:&pron:def 
бажання	       noun:p:v_zna 
Піца	       noun:f:v_naz 
хороша	       adj:f:v_naz:compb 
персонал	   noun:m:v_naz 
приємний	   adj:m:v_naz:compb 
Другий	      adj:m:v_naz 
раз	           noun:m:v_naz 
прийшли	       verb:past:p:perf 
з	           prep:rv_rod:rv_zna:rv_oru 
іноземним	  adj:m:v_oru 
гостем	       noun:m:v_oru:anim 
замовили	  verb:past:p:perf 
набір	       noun:m:v_zna 
суші	       noun:p:v_zna 
несмачні	  adj:p:v_zna 
не	            part 
було	       verb:past:n:imperf 
вказано	       verb:impers:perf:v-u 
з	           prep:rv_rod:rv_zna:rv_oru 
чим	           pron:int:rel:n:v_oru 
вони	       pron:pers:p:3:v_naz:anim 
в	           prep:rv_zna:rv_mis:rv_rod:v-u 
меню	       noun:n:v_mis:nv
не	           part 
тільки	       adv 
не	           part 
відповідали	   verb:past:p:imperf 
картинці	    noun:f:v_dav 
а	            conj:coord 
і	            conj:coord 
виглядали	    verb:past:p:imperf 
втомилися	     verb:rev:past:p:perf:v-u 
столи	      noun:p:v_naz
були	      verb:past:p:imperf 
брудні	      adj:p:v_naz:compb 
Третій	      adj:m:v_naz 
раз	          noun:m:v_naz 
не	          part 
ризикнемо	 verb:futr:p:1:perf 
зайти	     verb:inf:perf 
Ресторан	 noun:m:v_naz 
Мафія	     noun:f:v_naz 
Пишете	    verb:pres:p:2:imperf 
дурниці	     noun:p:v_zna 
там	         adv:&pron:dem 
просто	     adv:compb 
чудово	     adv:compb 
надзвичайно	 adv 
все	         adv:v-u 
смачно	     adv:compb 
та	         conj:coord 
ідеально	 adv 
чисто	     adv:compb 
Це	         adj:n:v_naz:&pron:dem 
напевно	     adv 
пишуть	     verb:pres:p:3:imperf 
недосвідчені adj:p:v_naz 
та	         conj:coord
справжні	 adj:p:v_naz
хами	     noun:p:v_naz:anim 
які	         adj:p:v_naz:&pron:int:rel:def
справді	     adv
ніде	     adv:&pron:neg 
не	         part 
були	     verb:past:p:imperf 
та	         conj:coord 
