Zemko 20-30 female
салат             noun:m:v_mis  20
салат             noun:m:v_naz  20
салат             noun:m:v_rod  20
салат             noun:p:v_naz  20
салатик           noun:m:v_naz  20
сам               pron:def  -10
саме              adv  -10
самий             adj:m:v_naz   0
свіжий            adj:f:v_rod:compb  30
свіжий            adj:m:v_naz:compb  30
свій              adj:n:v_rod  0
свій              pron:pos  0
серветка          noun:p:v_zna  0
серед             prep:rv_rod 0
сир               noun:m:v_mis 20
сир               noun:m:v_oru  20
сир               noun:m:v_rod  20
сирий             adj:p:v_naz  -10
сирний            adj:m:v_naz  10
сирний            adj:m:v_zna  10
сирник            noun:m:v_naz  30
сирник            noun:m:v_rod  30
сирник            noun:p:v_zna  30
ситуація          noun:f:v_zna  0
сказати           verb:impr:p:2:perf  0
скуштувати        verb:past:f:perf  10
скуштувати        verb:past:p:perf  10
слухати           verb:inf:imperf  0
смак              noun:m:v_naz  0
смалити           verb:past:m:imperf  -40
смачний           adj:f:v_naz:compb  40
смачний           adj:f:v_oru:compb  40
смачний           adj:p:v_zna:compb  40
смачно            adv:compb  40
соус              noun:p:v_naz  10
сп'яніння         noun:n:v_mis  -50
спішити           verb:past:p:imperf  -10
старий            adj:m:v_naz:compb  -10
старий            adj:m:v_rod:compb  -10
стати             advp:perf  0
стати             verb:past:n:perf  0
стейк             noun:m:v_naz  30
стейк             noun:p:v_zna  30
столик            noun:m:v_naz  10
сторона           noun:f:v_rod  0
стояти            verb:past:m:imperf  0
стояти            verb:past:p:imperf  0
страва            noun:f:v_naz  30
страва            noun:f:v_zna   30
струдель          noun:m:v_naz  50
стіл              noun:m:v_mis  0
стіл              noun:m:v_oru  0
сусід             noun:m:v_naz:anim  10
сьогодні          adv  0
сьогоднішній      adj:m:v_naz  0
сісти             advp:perf  10
сісти             verb:inf:perf  10
сісти             verb:past:p:perf  10
та                conj:coord  0
так               adv 10
таки              part  0
такий             pron:def 0
таким чином       </insert>  0
також             adv  10
там               adv 0
тарган            noun:m:v_oru:anim  -50
тарілка           noun:f:v_mis  0
твердий           adj:f:v_naz:compb  0
теплий            adj:n:v_oru:compb  50
то                conj:subord  0
той               pron:dem  0
тому              adv  0
тому              conj:subord 0
точно             adv:compr 0
трохи             adv  -10
туалет            noun:m:v_rod  0
туалет            noun:m:v_zna  0
туди              adv  0
тут               adv  0
тільки            adv  0
у                 prep:rv_mis:v-u  0
увага             noun:f:v_zna  0
умудритися        verb:rev:past:p:perf:v-u  -30
фрі               noun:f:v_oru 30
футбол            noun:m:v_rod  0
фірмовий          adj:f:v_zna  20
хамський          adj:f:v_naz  -50
харчевня          noun:f:v_rod  -10
хвилина           noun:p:v_rod  0
ходити            verb:impr:p:2:imperf  0
хороший           adj:n:v_naz:super  30
хотіти            verb:unknown  10
хотітися          verb:unknown  10
цвіль             noun:f:v_oru  -50
цей               pron:dem  0
центр             noun:m:v_oru  0
цигарка           noun:f:v_zna  -50
ціна              noun:f:v_naz  0
чай               noun:m:v_naz  40
чайові            noun:p:v_zna   10
час               noun:m:v_naz  0
часник            noun:m:v_oru  10
частина           noun:f:v_zna  0
частково          adv  0
часто             adv:compb  10
чек               noun:m:v_zna  0
чекати            verb:inf:imperf  0
чекати            verb:past:m:imperf  0
чемпіонат         noun:m:v_rod  0
червень           noun:m:v_rod  40
черга             noun:f:v_mis  -30
черга             noun:f:v_rod  -30
черга             noun:f:v_zna  -30
через             prep:rv_zna  0
чи                part  0
чин               noun:m:v_oru  0
читач             noun:p:v_rod:anim  20
чому              adv 0
чомусь            adv 0
чудо              noun:n:v_naz  40
швендяти          verb:past:m:imperf  -30
швидко            adv:compb  10
швидкість         noun:f:v_rod  0
шматочок          noun:p:v_naz  0
шок               noun:m:v_naz  -30
шокувати          verb:past:n:imperf  -30
штани             noun:p:v_rod 20
штраф             noun:m:v_zna  -50
шуба              noun:f:v_oru  20
ще                adv  0
ще                part  0
що                conj:subord 0
щоб               conj:subord 0
щоправда          adv conj:subord insert  0
щось              pron:ind:n:v_rod  0
щось              pron:ind:n:v_zna  0
юшка              noun:f:v_oru  20
я                 pron:pers:s:1:v_dav:anim  0
явно              adv  0
як                adv 0
як                conj:subord  0
як                part  0
який              pron:int:rel:def 0
якщо              conj:subord  0
якість            noun:f:v_oru  0
яловичина         noun:f:v_rod  50
і                 conj:coord 0
із                prep:rv_oru  0
іменини           noun:p:v_zna  20
інстанція         noun:p:v_zna  0
інтер'єр          noun:m:v_naz  10
інцидент          noun:m:v_zna -30
інший             pron:def  0
їсти              verb:inf:imperf  20
її                pron:po 0
