Turianska 20-30 female
Ні	part  -25
можу	verb:unknown  16
сказати	verb:inf:perf  0
100%	number  0
адже	conj:subord  0
та	adj:f:v_naz:&pron:dem  24
людина	noun:f:v_naz:anim  0
якій	adj:f:v_dav:&pron:int:rel:def  0
потрібен	predic  0
повар	noun:m:v_naz:anim  0
на	prep:rv_mis  0
кухні-це	-  0
непотріб	noun:m:v_naz  -14
бо	conj:subord   0
сам	adj:m:v_naz:&pron:def  -12
нічого	pron:neg:v_rod  -12
не	part  -13
вміє	verb:pres:s:3:imperf:v-u  24
робити	verb:inf:imperf  0
а	conj:coord  0
та	conj:coord  0
	part  0
яка	adj:f:v_naz:&pron:int:rel:def  0
вміє	verb:pres:s:3:imperf:v-u  24
готувати	verb:inf:imperf  41
і	conj:coord   41
словом	noun:n:v_oru  0
не	part  -12
лбмивиться	-  0
про	prep:rv_zna  0
це	adj:n:v_zna:&pron:dem  0
а	conj:coord  0
просто	adv:compb  0
мовчки	adv  0
покаже	verb:futr:s:3:perf  0
що	conj:subord  0
вміє	verb:pres:s:3:imperf:v-u  26
готувати	verb:inf:imperf  45
і	conj:coord  0
той	adj:m:v_naz:&pron:dem  0
хто	pron:int:rel:m:v_naz:anim  0
дійсно	adv  0
любить	verb:pres:s:3:imperf  50
кохати	verb:inf:imperf  50
не	part  -12
за	prep:rv_rod:rv_zna:rv_oru  0
те	adj:n:v_naz:&pron:dem  0
	adj:n:v_zna:&pron:dem  0
що	conj:subord  0
	pron:int:rel:n:v_naz  0
	pron:int:rel:n:v_zna  0
вміє	verb:pres:s:3:imperf:v-u  25
чи	conj:coord:subord  0
	part  0
не	part  -15
вміє	verb:pres:s:3:imperf:v-u  27
готувати	verb:inf:imperf  44
а	conj:coord  0
	excl  0
	part  0
просто	adv:compb  0
	part  0
	prep:rv_rod  0
за	prep:rv_zna  0
те	adj:n:v_zna:&pron:dem  0
що	conj:subord  0
саме	adv  0
ця	adj:f:v_naz:&pron:dem  0
людина	noun:f:v_naz:anim  0
поруч	adv  24
за	prep:rv_zna 0
те	adj:n:v_zna:&pron:dem  0
що	conj:subord  0
Бог	noun:m:v_naz:anim  50
дав	verb:past:m:perf  0
таку	adj:f:v_zna:&pron:def  0
чудову	adj:f:v_zna:compb  49
кохати	verb:inf:imperf  50
та	conj:coord  0
бути	verb:inf:imperf  0
коханим	adjp:pasv:past:m:v_oru  49
а	conj:coord  0
якщо	conj:subord  0
ще	part  0
брати	verb:inf:imperf  0
на	prep:rv_zna 0
рахунок	noun:m:v_zna  0
то	conj:subord  0
ти	pron:pers:s:2:v_naz:anim  0
хто	pron:int:rel:m:v_naz:anim  0
Білл	noun:m:v_naz:anim:fname  0
Гейтс	noun:m:v_naz:anim:lname  0
чи	conj:coord:subord  0
Пітт	noun:m:v_naz:anim:fname  0
Ще	part  0
ти	pron:pers:s:2:v_naz:anim  0
собі	pron:refl:m:v_dav  0
на	prep:rv_zna 0
рахунок	noun:m:v_zna  0
візьми	verb:impr:s:2:perf  0
шановний	adj:m:v_naz  -50
вареники	noun:p:v_naz  12
в	prep:rv_rod:v-u  0
справді	adv  0
відповідають	verb:pres:p:3:imperf  0
усім	adj:p:v_dav:&pron:dem  0
смаковим	adj:p:v_dav  32
стандартам	noun:p:v_dav  0
цієї	adj:f:v_rod:&pron:dem  0
національної	adj:f:v_rod  0
страви	noun:f:v_rod  0
І	conj:coord  0
це	adj:n:v_naz:&pron:dem  0
чи	conj:coord:subord   0
не	part  0
єдиний	adj:m:v_naz  0
заклад	noun:m:v_naz  0
громадського	adj:n:v_rod  0
харчування	noun:n:v_naz  0
	noun:n:v_rod  0
	noun:n:v_zna  0
	noun:p:v_naz  0
	noun:p:v_zna  0
в	prep:rv_mis:v-u  0
Луцьку	noun:m:v_mis  0
з	prep: rv_oru  0
такими	adj:p:v_oru:&pron:def  0
смачними	adj:p:v_oru:compb  38
варениками	noun:p:v_oru  10
Широкий	adj:m:v_naz:compb  0
вибір	noun:m:v_naz  0
на	prep:rv_zna 0
всі	adj:p:v_zna:&pron:dem  0
смаки	noun:p:v_zna  0
вареники	noun:p:v_naz  8
великі	adj:p:v_naz:compb  8
бо	conj:subord  0
в	prep:rv_mis:v-u  0
інших	adj:p:v_mis:&pron:def  0
закладах	noun:p:v_mis  0
можна	predic  0
покласти	verb:inf:perf  0
5	number  0
Штук	noun:p:v_rod  0
В	prep:rv_zna:v-u  0
Рот	noun:m:v_zna  0
І	conj:coord  0
Ще	part  0
в	prep:rv_zna:v-u  0
чотири	numr:p:v_zna  0
пальці	noun:p:v_zna  0
свиснути	verb:inf:perf   0
молодець	noun:m:v_naz:anim  45
Так	adv:&pron:dem  24
Олеже	noun:m:v_kly:anim:fname 0
тримати	verb:inf:imperf   0
А	conj:coord  0
Лучанка	noun:f:v_naz:anim  0
завжди	adv:&pron:gen  0
рве	verb:pres:s:3:imperf  -48
гланди	noun:p:v_zna  0
через	prep:rv_zna  0
дупу	noun:f:v_zna  -18
але	conj:coord  0
то	conj:subord  0
справа	noun:f:v_naz  0
її	adj:f:nv:&pron:pos  0
характеру	noun:m:v_rod  0
як	conj:subord  0
вона	pron:pers:f:3:v_naz:anim  0
називає	verb:pres:s:3:imperf  0
є	verb:pres:s:3:imperf  12
для	prep:rv_rod  0
різних	adj:p:v_rod  0
людей	noun:p:v_rod:anim  0
комусь	pron:ind:v_dav:anim  0
смачна	adj:f:v_naz:compb  31
з	prep:rv_rod 0
жолудів	noun:p:v_rod  9
і	conj:coord  0
каштанів	noun:p:v_rod  10
за	prep:rv_zna 0
7	number  0
гривень	noun:p:v_rod  0
А	conj:coord  0
хтось	pron:ind:v_naz:anim  0
може	verb:unknown  0
заплатити	verb:inf:perf  -25
І	conj:coord  0
Це	adj:n:v_naz:&pron:dem 0
Ж	conj:coord  0
по	prep:rv_mis 0
доходах	noun:p:v_mis  -25
пан	noun:m:v_naz:anim  0
якщо	conj:subord  0
Я	pron:pers:s:1:v_naz:anim  45
не	part  0
помиляюсь	verb:rev:pres:s:1:imperf  0
купив	verb:past:m:perf  0
франшизу	noun:f:v_zna  0
на	prep:rv_zna 0
Вареники	noun:p:v_naz  10
тут	adv:&pron:dem  0
І	conj:coord  0
правильно	adv:compb  24
зробив	verb:past:m:perf  0
У	prep:rv_mis:v-u  0
луцьку	adj:f:v_zna 0
такого	adj:m:v_rod:&pron:def  0
ще	 part  0
не	part  0
було	verb:past:n:imperf  0
У	prep:rv_mis:v-u  0
Львові	noun:m:v_mis  0
це	adj:n:v_naz:&pron:dem  0
дуже	adv  0
популярне	adj:n:v_naz:compb  35
місце	noun:n:v_naz  0
В	prep:rv_mis:v-u  0
Ашані	noun:m:v_mis  14
Можна	predic  25
смачно	adv:compb  25
поїсти	verb:inf:perf  6
І	conj:coord  0
не	part  0
лише	part  0
вареники	noun:p:v_naz  9
	noun:p:v_zna  9
соління-квашіння	 6
варені	adj:p:v_naz:&adjp:pasv:past 6
овочі	noun:p:v_naz  6
для	prep:rv_rod  0
тих	adj:p:v_rod:&pron:dem  0
хто	pron:int:rel:m:v_naz:anim  0
не	part  0
хоче	verb:unknown  0
гладшати	verb:inf:imperf  -7
люблю	verb:pres:s:1:imperf  50
вареники	noun:p:v_zna  8
І	conj:coord   0
З	prep:rv_oru 0
сиром	noun:m:v_oru  7
пироги	noun:p:v_zna  12
08.02.2013	date  0
Я	pron:pers:s:1:v_naz:anim  44
люблю	verb:pres:s:1:imperf  44
заходити	verb:inf:perf  0
туди	adv:&pron:dem  0
на	prep:rv_zna 0
вареники	noun:p:v_zna  7
бо	conj:subord  0
дуже	adv  0
смачні	adj:p:v_naz:compb  32
А	conj:coord  0
ще	part  0
задивляюсь	verb:rev:pres:s:1:imperf  0
на	prep:rv_zna 0
дівчат	noun:p:v_zna:anim  34
Усі	adj:p:v_naz:&pron:dem  0
вони	pron:pers:p:3:v_naz:anim 0
там	adv:&pron:dem  0
дуже	adv  0
красиві	adj:p:v_naz:compb  48
хай	part  0
Бог	noun:m:v_naz:anim  47
мені	pron:pers:s:1:v_dav:anim 0
прощає	verb:pres:s:3:imperf  0
гріх	noun:m:v_zna  -49
Я	pron:pers:s:1:v_naz:anim 40
вже	adv:v-u  0
трохи	adv  0
пристаркуватий	adj:m:v_naz  -30
але	conj:coord  0
Я	pron:pers:s:1:v_naz:anim 43
крадькома	adv  -39
Коментатор	noun:m:v_naz:anim  -12
Журналіст	noun:m:v_naz:anim  -12
правий	adj:m:v_naz:compb  27
на	prep:rv_zna 0
101	number  0
відсоток	noun:m:v_zna  0
Смачніших	adj:p:v_rod:compr  33
вареників	noun:p:v_rod  7
немає	predic  -14
В	prep:rv_mis:v-u  0
світі	noun:m:v_mis  10
А	conj:coord  0
молодим	adj:p:v_dav:compb  35
скажу	verb:futr:s:1:perf   0
дівчина	noun:f:v_naz:anim  36
яка	adj:f:v_naz:&pron:int:rel:def  0
вміє	verb:pres:s:3:imperf:v-u  25
приготувати	verb:inf:perf  0
смачні	adj:p:v_zna:compb  29
вареники	noun:p:v_zna  11
чудова	adj:f:v_naz:compb  43
господиня	noun:f:v_naz:anim  11
І	conj:coord  0
прекрасна	adj:f:v_naz:compb  46
майбутня	adj:f:v_naz  0
дружина	noun:f:v_naz:anim  46
Візьміть	verb:impr:p:2:perf  0
собі	pron:refl:m:v_dav  0
	pron:refl:m:v_mis  0
	pron:refl:n:v_dav  0
	pron:refl:n:v_mis  0
на	prep:rv_zna 0
рахунок	 noun:m:v_zna  0
Тут	adv:&pron:dem  0
відвідувач	noun:m:v_naz:anim  0
хоче	verb:unknown  0
вареників	noun:p:v_rod  0
А	conj:coord  0
не	part  -15
має	verb:pres:s:3:imperf  -15
грошей	noun:p:v_rod  -15
І	conj:coord  0
соваючи	advp:imperf  0
мідяки	noun:p:v_zna  12
на	prep:rv_mis  0
долоні	noun:f:v_mis  0
хоче	verb:unknown  0
щось	pron:ind:n:v_zna  0
сказати	verb:inf:perf  0
Немає	predic  -13
грошей	noun:p:v_rod  -15
їж	verb:impr:s:2:imperf  0
дома	adv  -50
квашену	adjp:pasv:past:f:v_zna  8
капусту	noun:f:v_zna  8
А	conj:coord  0
то	conj:subord  0
виходить	insert  0
як	conj:subord  0
У	prep:rv_zna:rv_mis:rv_rod:v-u  0
тому	adj:m:v_mis:&pron:dem  0
анекдоті	noun:m:v_mis  24
штани	noun:p:v_naz  0
штани	noun:p:v_naz  0
А	conj:coord  0
насправді	adv  0
вкакався	-  -22
Я	pron:pers:s:1:v_naz:anim  46
З	prep:rv_oru  0
вами	pron:pers:p:2:v_oru:anim  0
не	part  0
згідна	adj:f:v_naz  28
щодо	prep:rv_rod  0
посуду	noun:m:v_rod  0
він	pron:pers:m:3:v_naz:anim  0
гарно	adv:compb  42
вимитий	adjp:pasv:past:m:v_naz  27
І	conj:coord   0
чистий	adj:m:v_naz:compb  35
А	conj:coord 	 0
те	adj:n:v_naz:&pron:dem  0
що	pron:int:rel:n:v_naz  0
деякі	adj:p:v_naz  0
люди	noun:p:v_naz:anim  0
як	conj:subord  0
свині	noun:unknown  -45
	adj:p:v_naz  0
	adj:p:v_zna  0
	noun:f:v_dav:anim  0
	noun:f:v_mis:anim  0
	noun:f:v_rod:anim  0
накидають	verb:pres:p:3:imperf  0
вареники	noun:p:v_zna  11
то	conj:subord  0
заклад	noun:m:v_naz  0
В	prep: rv_mis:v-u  0
цьому	adj:m:v_mis:&pron:dem  0
не	part  0
винний	adj:m:v_naz  25
Ви	pron:pers:p:2:v_naz:anim  0
Ж	part  0
не	part  0
підставите	verb:futr:p:2:perf  0
тарілку	noun:f:v_zna  0
до	prep:rv_rod  0
самої	adj:f:v_rod  0
миски	noun:f:v_rod  0
З	prep:rv_oru  0
варениками	noun:p:v_oru  10
А	conj:coord  0
за	prep: rv_zna 0
метр	noun:m:v_zna  0
їх	pron:pers:p:3:v_rod:anim  0
А	conj:coord  0
масло	noun:n:v_naz  0
чи	conj:coord:subord  0
смалець	noun:m:v_naz  -22
В	prep: rv_mis:v-u  0
якому	adj:m:v_mis:&pron:int:rel:def 0
вони	pron:pers:p:3:v_naz:anim  0
знаходяться	verb:rev:pres:p:3:imperf  0
стікає	verb:pres:s:3:imperf  -25
по	prep:rv_mis 0
тарілці	noun:f:v_mis  0
вниз	adv:v-u  0
А	conj:coord  0
тоді	adv:&pron:dem  0
вже	adv:v-u  0
винний	adj:m:v_naz  24
заклад	noun:m:v_naz  0
АКУРАТНО	adv:compb  0
І	conj:coord  0
ПОМАЛЕНЬКУ	adv  0
НАКИДУЙТЕ	-  0
ВАРЕНИКИ	noun:p:v_zna  6
І	conj:coord   0
БУДЕ	verb:futr:s:3:imperf  0
ВСЕ	adj:n:v_naz:&pron:dem 0
НОРМАЛЬНО	adv  0
ВАРЕНИКИ	noun:p:v_naz  9
СМАЧНІ	adj:p:v_naz:compb  33
ДУЖЕ	adv  0
ДУЖЕ	adv  0
Були	verb:past:p:imperf  0
сьогодні	adv  0
дуже	adv  0
дуже	adv  0
смачно	adv:compb  30
молодці	noun:p:v_naz:anim  30
Вареники	noun:p:v_naz  14
великі	adj:p:v_naz:compb  5
соковиті	adj:p:v_naz:compb  30
І	conj:coord  0
ситні	adj:p:v_naz:compb  17
Все	adj:n:v_naz:&pron:dem 0
сподобалось	verb:rev:past:n:perf  36
великий	adj:m:v_naz:compb  12
плюс	noun:m:v_naz  14
І	conj:coord  0
персоналу	noun:m:v_dav  0
молодці	noun:p:v_naz:anim  37
Бажаємо	verb:pres:p:1:imperf  0
вам	pron:pers:p:2:v_dav:anim 0
тільки	part  0
процвітати	verb:inf:imperf  44
та	conj:coord  0
вареники	noun:p:v_naz  13
ніби	conj:subord  0
Й	conj:coord  0
не	part  -15
дуже	adv  0
дорого	adv:compb  -30
але	conj:coord  0
якщо	conj:subord  0
ще	adv  0
взяти	verb:inf:perf  0
та	conj:coord  29
на	prep:rv_zna 0
4	number  0
осіб	noun:p:v_zna:anim  0
то	conj:subord  0
набігає	verb:pres:s:3:imperf  0
Файно	adv  38
їсти	verb:inf:imperf  8
В	prep:rv_mis:v-u  0
Озерному	adj:m:v_dav  0
	adj:m:v_mis  0
	adj:n:v_dav  0
	adj:n:v_mis  0
на	prep:rv_mis  0
Тернопіллі	noun:n:v_mis  14
Там	adv:&pron:dem  0
ми	pron:pers:p:1:v_naz:anim 0
4	number  0
особи	noun:p:v_naz:anim  0
на	prep:rv_zna 0
59	number  0
гривень	noun:p:v_rod  -18
так	adv:&pron:dem  16
наїлися	verb:rev:past:p:perf  16
що	conj:subord  0
ого	excl  25
Ви	pron:pers:p:2:v_naz:anim 0
ше	-  0
ніц	-  -15
не	part  -15
виділи	verb:impr:s:2:perf  0
	 0
	noun:p:v_naz  0
	noun:p:v_zna  0
Я	pron:pers:s:1:v_naz:anim  48
був	verb:past:m:imperf  0
У	prep:rv_mis:v-u  0
кафешці-ресторані	noun:f:v_mis:slang  38
Полавського	-  0
що	pron:int:rel:n:v_naz  0
на	prep:rv_zna:rv_mis  0
трасі	noun:f:v_mis  -16
Київ-Одеса	noun:m:v_naz  0
Там	adv:&pron:dem  0
достатня	adj:f:v_naz  15
порція	noun:f:v_naz  0
для	prep:rv_rod  0
хлопа	noun:m:v_rod:anim  21
вартує	verb:pres:s:3:imperf  0
35	number  0
А	conj:coord  0
туди	adv:&pron:dem  0
входять	verb:pres:p:3:imperf  0
сметана	noun:f:v_naz  8
І	conj:coord  0
окремо	adv  0
сало	noun:n:v_naz  7
мелене	adjp:pasv:past:n:v_naz  0
З	prep: rv_oru 0
спеціями	noun:p:v_oru  0
А	conj:coord  0
точка	noun:f:v_naz  0
так	adv:&pron:dem  19
І	conj:coord  0
називається	verb:rev:pres:s:3:imperf 0
50	number  0
видів	noun:p:v_rod  0
вареників	noun:p:v_rod  9
Спеціально	adv  0
дививсь	verb:rev:past:m:imperf  0
В	prep:rv_zna:v-u  0
меню	noun:n:v_zna:nv  0
50	number  0
видів	noun:p:v_rod  0
Дивився	verb:rev:past:m:imperf  0
відгуки	noun:p:v_zna  0
Від	prep:rv_rod  0
Генеральної	adj:f:v_rod  0
Прокуратури	noun:f:v_rod  -20
України	noun:f:v_rod  14
до	prep:rv_rod  0
бабусі	noun:f:v_rod:anim  36
вареники	noun:p:v_naz  5
правда	insert  49
дуже	adv  0
смачні	adj:p:v_naz:compb  37
лимонад	noun:m:v_naz  7
непоганий	adj:m:v_naz  17
обслуговуючий	adjp:actv:pres:m:v_naz:bad 0
персонал	noun:m:v_naz  0
привітний	adj:m:v_naz:compb  27
І	conj:coord  0
аж	part  0
надто	adv  0
старанний	adj:m:v_naz:compb  24
не	part  0
встигла	verb:past:f:perf:v-u  39
покласти	verb:inf:perf  0
до	prep:rv_rod  0
рота	noun:m:v_rod  0
останній	adj:m:v_zna  -32
шматочок	noun:m:v_zna  14
вареника	noun:m:v_rod  9
А	conj:coord  0
тарілку	noun:f:v_zna  0
вже	adv:v-u  0
забрали	verb:past:p:perf  0
В	prep: rv_mis:v-u  0
прямому	adj:n:v_mis:compb  0
значенні	noun:n:v_mis  0
слова	noun:n:v_rod  0
офіціантки	noun:p:v_naz:anim  0
просто	adv:compb  0
стоять	verb:pres:p:3:imperf  0
І	conj:coord  0
спостерігають	verb:pres:p:3:imperf  0
хто	pron:int:rel:m:v_naz:anim  0
вже	adv:v-u  0
доїв	verb:past:m:perf  25
щоб	conj:subord  0
прибрати	verb:inf:perf   0
аж	part  0
смішно	adv  0
але	conj:coord  0
це	adj:n:v_naz:&pron:dem 0
дрібниці	noun:p:v_naz  17
вареники	noun:p:v_naz  5
правда	insert  29
Взяв	verb:past:m:perf  0
вареники	noun:p:v_zna  8
зі	prep: rv_oru  0
шкварками	noun:p:v_oru  9
шкварки	noun:p:v_naz  9
були	verb:past:p:imperf  0
вареники	noun:p:v_naz  10
З	prep: rv_oru  0
печінкою	noun:f:v_oru  -19
А	conj:coord  0
З	prep: rv_oru   0
задорого	adv  -48
як	adv:&pron:int:rel  0
для	prep:rv_rod  0
такої	adj:f:v_rod:&pron:def  0
ціни	noun:f:v_rod  0
пиво	noun:n:v_naz  30
наливають	verb:pres:p:3:imperf  12
В	prep:rv_zna:v-u  0
стакан	noun:m:v_zna  0
400	number  0
мл	noun:p:v_rod:nv:abbr  0
капусту	noun:f:v_zna  9
по	prep:rv_mis:rv_zna  0
70	number  0
за	prep:rv_zna 0
кг	noun:m:v_zna:nv:abbr  0
їжте	verb:impr:p:2:imperf  0
самі	adj:p:v_naz:&pron:def  -14
добрий	adj:m:v_naz:compb  27
день	noun:m:v_naz  0
сподобалось	verb:rev:past:n:perf  43
що	conj:subord  0
багато	numr:p:v_naz:&pron:ind 34
Української	adj:f:v_rod  45
символіки	noun:f:v_rod  45
мене	pron:pers:s:1:v_rod:anim 0
це	adj:n:v_naz:&pron:dem  0
І	conj:coord  0
купило	verb:past:n:perf  0
але	conj:coord  0
це	adj:n:v_naz:&pron:dem 0
все	adj:n:v_naz:&pron:dem 0
коли	adv:&pron:int:rel  0
Я	pron:pers:s:1:v_naz:anim 41
побачив	verb:past:m:perf  0
вареники	noun:p:v_zna  11
яки	noun:p:v_naz:anim  0
	noun:p:v_zna:anim  0
похоронені	adjp:pasv:past:p:v_naz  -49
під	prep: rv_oru  0
товстим	adj:m:v_oru:compb  -24
шаром	noun:m:v_oru  0
жиру	noun:m:v_rod  0
не	part  -16
знаю	verb:pres:s:1:imperf  25
на	prep:rv_zna:rv_mis  0
віщо	pron:int:rel:n:v_zna  0
апетит	noun:m:v_naz  14
зник	verb:past:m:perf  -25
на	prep:rv_zna 0
прохання	noun:p:v_zna  0
зварити	verb:inf:perf  0
вареники	noun:p:v_zna  14
без	prep:rv_rod  0
жиру	noun:m:v_rod  -17
мені	pron:pers:s:1:v_dav:anim  0
посміялись	verb:rev:past:p:perf  0
В	prep:rv_zna: 0
лице	noun:n:v_zna  0
директор	noun:m:v_naz:anim  0
І	conj:coord  0
адміністратор	noun:m:v_naz:anim  0
на	prep:rv_zna 0
моє	 adj:n:v_zna:&pron:pos  0
прохання	noun:n:v_zna  0
не	part  -13
вийшли	verb:past:p:perf:perf  0
певно	adv:compb  0
В	prep: rv_rod:v-u  0
них	pron:pers:p:3:v_rod:anim  0
немає	predic  -34
часу	noun:m:v_rod  -37
на	prep:rv_zna 0
такі	adj:p:v_zna:&pron:def  0
дрібниці	noun:p:v_zna  14
більше	adv:compr  20
В	prep:rv_zna:v-u  0
цей	adj:m:v_zna:&pron:dem  0
заклад	noun:m:v_zna  0
не	part  -17
піду	verb:futr:s:1:perf  0
І	conj:coord  0
друзям	noun:p:v_dav:anim  48
робіть	verb:impr:p:2:imperf  0
висновки	noun:p:v_zna  0
адреса	noun:f:v_naz   0
Генерала	noun:m:v_rod:anim  0
Київ	noun:m:v_naz  0
мали	verb:past:p:imperf  0
необережність	noun:f:v_zna  -17
скуштувати	verb:inf:perf  0
вареників	noun:p:v_rod  8
З	prep: rv_oru 0
капустою	noun:f:v_oru  7
В	prep:rv_mis:rv:v-u  0
одному	numr:m:v_mis  0
З	prep:rv_rod 0
них	pron:pers:p:3:v_rod:anim  0
знайшли	verb:past:p:perf  0
плівку	noun:f:v_zna  -19
від	prep:rv_rod  0
ковбаси	noun:f:v_rod  15
Запропонували	verb:past:p:perf  0
ще	adv  0
одну	numr:f:v_zna  0
порцію	noun:f:v_zna  0
вареників	noun:p:v_rod  11
От	part  0
І	conj:coord  0
думайте	verb:impr:p:2:imperf  0
З	prep:rv_rod 0
чого	pron:int:rel:n:v_rod  0
ті	adj:p:v_naz:&pron:dem  0
вареники	noun:p:v_naz  8
03.Лип	time  0
були	verb:past:p:imperf  0
В	prep: rv_mis:v-u  0
цьому	adj:m:v_mis:&pron:dem  0
В	prep: rv_mis:v-u  0
варениках	noun:p:v_mis  9
З	prep: rv_oru  0
капустою	noun:f:v_oru  9
була	verb:past:f:imperf  0
плівка	noun:f:v_naz  -34
від	prep:rv_rod  0
ковбаси	noun:f:v_rod  11
З	prep:rv_rod 0
чого	pron:int:rel:n:v_rod  0
ці	adj:p:v_naz:&pron:dem  0
вареники	noun:p:v_naz  8
не	part  -15
зрозуміло	adv:compb  0
Будьте	verb:impr:p:3:imperf  0
обережні	adj:p:v_naz:compb  0
особливо	adv  0
З	prep: rv_oru 0
дітками	noun:p:v_oru:anim  0
не	part  -15
видаляйте	verb:impr:p:2:imperf  -32
цей	adj:m:v_zna:&pron:dem 0
Завжди	adv:&pron:gen  0
Із	prep:rv_oru 0
задоволенням	noun:n:v_oru  47
відвідувала	verb:past:f:imperf  0
цей	adj:m:v_zna:&pron:dem  0
заклад	noun:m:v_zna  0
але	conj:coord  0
сьогодні	adv  0
узявши	advp:perf  0
на	prep:rv_zna 0
вагу	noun:f:v_zna  0
із	prep:rv_oru 0
собою	pron:refl:m:v_oru  0
	pron:refl:n:v_oru  0
вареники	noun:p:v_zna  7
