зробіть	зробити verb:impr:p:2:perf  30
справжньому	справжній adj:m:v_dav  0
прямо	прямо adv:compb  0
мають	мати verb:pres:p:3:imperf  0
весна	весна noun:f:v_naz  0
локалівській	- -  0
дзиґи	дзиґа noun:f:v_rod  0
присмаком	присмак noun:m:v_oru  0
варки	варка noun:f:v_rod  0
прекрасне	прекрасний adj:n:v_naz:compb  30
було	бути verb:past:n:imperf  0
існує	існувати verb:pres:s:3:imperf  0
німецьке	німецький adj:n:v_naz  0
тетяна	- -  0
була	булий adjp:actv:past:f:v_naz 0
оркестром	оркестр noun:m:v_oru  0
придбати	придбати verb:inf:perf  0
переважної	переважний adj:f:v_rod  0
гострий	гострий adj:m:v_naz:compb  0
бульйон	бульйон noun:m:v_naz  0
емоцій	емоція noun:p:v_rod  0
гучно	гучно adv:compb  0
оркестр	оркестр noun:m:v_naz 0
офіціантка	офіціантка noun:f:v_naz:anim  0
ян	- -  0
ідеально	ідеально adv  0
грає	грати verb:pres:s:3:imperf  0
гірке	гіркий adj:n:v_naz:compb -20
розповіла	розповісти verb:past:f:perf  0
назвати	назвати verb:inf:perf  0
тарас	- -  0
констатація	констатація noun:f:v_naz  0
видом	вид noun:m:v_oru  0
ивитися	дивитися verb:rev:inf:imperf  0
кава	кава noun:f:v_naz  17
профі	профі noun:m:v_dav:nv:anim 24
рекомендую	рекомендувати verb:futr:s:1:perf  28
кампанію	кампанія noun:f:v_zna  4
року	рок noun:m:v_dav 36
побачити	побачити verb:inf:perf  0
прекрасний	прекрасний adj:m:v_naz:compb  37
напоїв	напоїти verb:past:m:perf -24
туалет	туалет noun:m:v_naz  -3
атмосферне	атмосферний adj:n:v_naz  22
вигляд	вигляд noun:m:v_naz  0
приходити	приходити verb:inf:imperf  0
пересмажені	пересмажений adjp:pasv:past:p:v_naz  -5
нюта	- -  0
замовили	замовити verb:past:p:perf  0
соусу	соус noun:m:v_dav  0
гостям	гостя noun:p:v_dav:anim  6
мінуси	мінус noun:p:v_naz  -4
каток	каток noun:m:v_naz  29
переконують	переконувати verb:pres:p:3:imperf  13
підозрілим	підозрілий adj:m:v_oru  -14
сік	сік noun:m:v_naz  0
сподобалась	сподобатися verb:rev:past:f:perf  8
смачна	смачний adj:f:v_naz:compb  11
ранок	ранок noun:m:v_naz  -3
закрити	закрити verb:inf:perf  0
одноразових	одноразовий adj:p:v_mis 4
картонному	картонний adj:m:v_dav  1
привітний	привітний adj:m:v_naz:compb 18
алкоголю	алкоголь noun:m:v_dav  -3
раджу	раджа noun:f:v_zna:anim 0
альбіна	- -  0
відчищання	відчищання noun:n:v_naz -3
зупа	зупа noun:f:v_naz:rare  -8
львова	- -  6
поїсти	поїсти verb:inf:perf  9
ростбіф	ростбіф noun:m:v_naz 11
крафтові	- -  -1
столики	столик noun:p:v_naz  0
офіціанти	офіціант noun:p:v_kly:anim 0
повертається	повертатися verb:rev:pres:s:3:imperf 6
ремонт	ремонт noun:m:v_naz 0
заважає	заважати verb:pres:s:3:imperf  -10
говорив	говорити verb:past:m:imperf  15
іспанець	іспанець noun:m:v_naz:anim  8
спробувати	спробувати verb:inf:perf  0
має	мати verb:pres:s:3:imperf 0
дніпропетровця	дніпропетровець noun:m:v_rod:anim  -24
безкоштовне	безкоштовний adj:n:v_naz  4
кутку	куток noun:m:v_dav  0
пухлина	пухлина noun:f:v_naz  -20
офіціантки	офіціантка noun:f:v_rod:anim  4
фарби	фарба noun:f:v_rod 0
місто	місто noun:n:v_naz  7
local	- -  0
олександр	- -  -2
ніде	ніде adv:&pron:neg  0
негативних	негативний adj:p:v_mis:compb -10
буда	буда noun:f:v_naz  0
єр	- -  0
такого	такий adj:m:v_rod:&pron:def  0
персонал	персонал noun:m:v_naz  3
копчений	копчений adjp:pasv:past:m:v_naz 6
лимону	лимон noun:m:v_dav  10
набагато	набагато adv  0
розростається	розростатися verb:rev:pres:s:3:imperf 3
гарного	гарний adj:m:v_rod:compb  7
власників	власник noun:p:v_rod:anim 10
щонеменш	- -  0
імбирне	імбирний adj:n:v_naz  4
пивоваріння	пивоваріння noun:n:v_naz  5
найкраща	хороший adj:f:v_naz:super  12
запах	запах noun:m:v_naz  1
болгарії	- -  20
слабеньке	слабенький adj:n:v_naz  -2
пивоваром	пивовар noun:m:v_oru:anim  12
настойкою	настойка noun:f:v_oru 10
варниця	варниця noun:f:v_naz  0
виділяю	виділяти verb:pres:s:1:imperf  0
їжі	їжа noun:f:v_dav  0
декади	декада noun:f:v_rod  0
нормальне	нормальний adj:n:v_naz  0
баселлем	- -  0
робив	робити verb:past:m:imperf  0
обгорне	обгорнути verb:futr:s:3:perf  0
плюси	плюс noun:p:v_naz  3
справжнім	справжній adj:m:v_mis  13
посипана	посипаний adjp:pasv:past:f:v_naz  5
вокзальна	вокзальний adj:f:v_naz  -3
брудно	брудно adv:compb  -15
якраз	якраз adv  0
закусок	закуска noun:p:v_rod  11
збіговиську	збіговисько noun:n:v_dav  21
печально	печально adv:rare  -11
потрапили	потрапити verb:past:p:perf  0
гіркотою	гіркота noun:f:v_oru  -4
засновником	засновник noun:m:v_oru:anim  6
публічний	публічний adj:m:v_naz  9
saison	- -  0
доповнює	доповнювати verb:pres:s:3:imperf  2
кранів	кран noun:p:v_rod  0
доробили	доробити verb:past:p:perf  0
запуск	запуск noun:m:v_naz  4
розчинників	розчинник noun:p:v_rod  -3
омана	омана noun:f:v_naz  -14
відкривати	відкривати verb:inf:imperf  5
роботи	роботи noun:unknown 9
шматки	шматок noun:p:v_naz  0
нового	новий adj:m:v_rod:compb  4
діана	- -  0
смачне	смачний adj:n:v_naz:compb  7
гостеві	гість noun:m:v_dav:anim  13
п'янкою	п'янка noun:f:v_oru:bad  16
розпробували	- -  4
ароматною	ароматний adj:f:v_oru:compb  9
оксана	- -  0
півтораста	півтораста numr:p:v_dav:nv  0
страви	страва noun:f:v_rod  0
робіт	роботи noun:unknown  0
сіллю	сіль noun:f:v_oru  0
очах	око noun:p:v_mis  0
сподобались	сподобатися verb:rev:past:p:perf  6
пивом	пиво noun:n:v_oru  7
пивовари	пивовар noun:p:v_kly:anim  9
ракова	раковий adj:f:v_naz  0
невідповідність	невідповідність noun:f:v_naz   -9
будівельної	будівельний adj:f:v_rod  0
копчена	копчений adjp:pasv:past:f:v_naz  10
власником	власник noun:m:v_oru:anim  14
гурмана	гурман noun:m:v_rod:anim 18
короткої	короткий adj:f:v_rod:compb  0
реально	реально adv:compb  13
стане	станути verb:futr:s:3:perf  0
переморожена	переморожений adjp:pasv:past:f:v_naz  -9
якістю	якість noun:f:v_oru  3
спішили	спішити verb:past:p:imperf 0
бірофілів	- -  0
надто	надто adv  0
шо	- -  0
специфічна	специфічний adj:f:v_naz  0
передбачаю	передбачати verb:pres:s:1:imperf  0
мінус	мінус noun:m:v_naz 0
чекаємо	чекати verb:pres:p:1:imperf  0
воду	вода noun:f:v_zna 0
подобається	подобатися verb:rev:pres:s:3:imperf 12
звичайна	звичайний adj:f:v_naz:compb  -4
займає	займати verb:pres:s:3:imperf  0
розводку	розводка noun:f:v_zna  0
експортує	експортувати verb:futr:s:3:perf  0
розливних	розливний adj:p:v_mis 0
цікаве	цікавий adj:n:v_naz:compb 15
споживач	споживач noun:m:v_naz:anim  7
відкрились	відкритися verb:rev:past:p:perf  -2
броварня	броварня noun:f:v_naz  8
лекції	лекція noun:f:v_mis -1
ексклюзивне	ексклюзивний adj:n:v_naz 23
свинячої	свинячий adj:f:v_rod  -3
крутий	крутий adj:m:v_naz:compb  32
вікна	вікно noun:n:v_rod  0
сортів	сорт noun:p:v_rod  0
несмачна	несмачний adj:f:v_naz  -10
поверсі	поверх noun:m:v_mis  0
серйозні	серйозний adj:p:v_naz:compb  0
подача	подача noun:f:v_naz  0
чудове	чудовий adj:n:v_naz:compb 20
бридка	бридкий adj:f:v_naz:compb  -22
були	бути verb:past:p:imperf  8
стоїть	стояти verb:pres:s:3:imperf  2
момент	момент noun:m:v_naz  15
першого	перший adj:m:v_rod 1
шинка	шинка noun:f:v_naz 4
маса	маса noun:f:v_naz  0
мале	малий adj:n:v_naz:compb 0
жахливо	жахливо adv:compb  -40
чекайте	чекати verb:impr:p:2:imperf  -9
відкриття	відкриття noun:n:v_naz  10
відкривають	відкривати verb:pres:p:3:imperf  12
чіпси	чіпси noun:p:v_naz 4
єдиний	єдиний adj:m:v_naz  0
любителя	любитель noun:m:v_rod:anim 0
куліш	куліш noun:unknown  10
тартар	тартар noun:m:v_naz  3
ввечері	ввечері adv:v-u  0
львові	- -  3
штука	штука noun:f:v_naz  0
неділям	неділя noun:p:v_dav  11
вино	вино noun:n:v_naz 17
хорошим	хороший adj:m:v_oru:compb  24
небайдужих	небайдужий adj:p:v_mis 17
офіціантів	офіціант noun:p:v_rod:anim 7
бідне	бідний adj:n:v_naz:compb -4
емоція	емоція noun:f:v_naz  0
кишені	кишеня noun:f:v_dav  0
працюйте	працювати verb:impr:p:2:imperf  21
сувеніри	сувенір noun:p:v_naz 2
пробували	пробувати verb:past:p:imperf  0
петро	- -  0
найкращі	хороший adj:p:v_naz:super 8
трішки	трішки adv  0
порозслаблятись	- -  0
туристів	турист noun:p:v_rod:anim 0
яке	який adj:n:v_naz:&pron:int:rel:def 0
розчарування	розчарування noun:n:v_naz -11
вміння	вміння noun:n:v_naz:v-u  4
святослав	- -  0
цікаво	цікаво adv:compb  12
смачнючим	- -  17
особливих	особливий adj:p:v_mis 28
персонального	персональний adj:m:v_rod 2
стерильній	стерильний adj:f:v_dav  0
пітонів	пітон noun:p:v_rod:anim -33
бельгії	- -  12
суцільне	суцільний adj:n:v_naz 0
симпатичні	симпатичний adj:p:v_naz:compb 6
смачним	смачний adj:m:v_oru:compb 12
супер	супер noun:m:v_naz 17
закрили	закрити verb:past:p:perf  -12
другої	другий adj:f:v_rod  0
обережно	обережно adv:compb  4
страв	страва noun:p:v_rod  4
цілому	цілий adj:m:v_dav 4
анастасія	- -  4
досхочу	досхочу adv  0
чекаю	чекати verb:pres:s:1:imperf  0
повна	повний adj:f:v_naz:compb  0
духовий	духовий adj:m:v_naz  15
паб	паб noun:m:v_naz  5
львів	- -  3
надзвичайною	надзвичайний adj:f:v_oru  37
захід	захід noun:m:v_naz  19
нереально	нереально adv  -10
думаю	думати verb:pres:s:1:imperf  7
працюють	працювати verb:pres:p:3:imperf  5
жахливі	жахливий adj:p:v_naz:compb -22
кухня	кухня noun:f:v_naz  3
ідея	ідея noun:f:v_naz  0
картопляні	картопляний adj:p:v_naz 0
типи	тип noun:p:v_kly:anim 0
дорого	дорого adv:compb  -12
лаку	лак noun:m:v_dav  0
побачимо	побачити verb:futr:p:1:perf  10
кістковий	кістковий adj:m:v_naz  3
такі	такий adj:p:v_naz:&pron:def  0
деранківського	- -  0
новий	новий adj:m:v_naz:compb  0
скоро	скоро adv:compb  4
дивно	дивно adv:compb  0
світу	світ noun:m:v_dav 0
дешевому	дешевий adj:m:v_dav:compb  1
історичний	історичний adj:m:v_naz  0
розповіли	розповісти verb:past:p:perf  6
xmas	- -  17
знавці	знавець noun:m:v_mis:anim  2
кінці	кінець noun:m:v_mis  -9
шкіри	шкіра noun:f:v_rod 0
вегетаріанці	вегетаріанець noun:m:v_mis:anim  0
історія	історія noun:f:v_naz  3
загальнохарчове	- -  0
салати	салат noun:p:v_naz 0
тарелі	таріль noun:m:v_mis  0
справжнього	справжній adj:m:v_rod  0
марк	- -  0
кабінет	кабінет noun:m:v_naz  -3
різне	різний adj:n:v_naz  14
варок	- -  6
цибулева	цибулевий adj:f:v_naz  1
чеське	чеський adj:n:v_naz  3
пивний	пивний adj:m:v_naz  3
закладу	заклад noun:m:v_dav  0
закласти verb:futr:s:1:perf  0
великий	великий adj:m:v_naz:compb  8
постійних	постійний adj:p:v_mis 3
вибір	вибір noun:m:v_naz 5
ярина	ярина noun:f:v_naz  0
справжнє	справжній adj:n:v_naz  0
повільні	повільний adj:p:v_naz:compb  0
цілим	цілий adj:m:v_oru 0
ринок	ринок noun:m:v_naz  6
іванович	- -  0
рефлексом	рефлекс noun:m:v_oru  0
столиків	столик noun:p:v_rod  0
чітко	чітко adv:compb  0
кабак	кабак noun:m:v_naz  0
відтінків	відтінок noun:p:v_rod  0
їжа	їжа noun:f:v_naz  0
їхнього	їхній adj:m:v_rod:&pron:pos 0
подати	подати verb:inf:perf  9
темне	темний adj:n:v_naz:compb  2
перша	перший adj:f:v_naz  2
шаленого	шалений adj:m:v_rod  5
решту	решта noun:f:v_zna  0
забігайлівка	забігайлівка noun:f:v_naz  0
власної	власний adj:f:v_rod  2
хвилини	хвилина noun:f:v_rod  0
вишуканих	вишуканий adjp:pasv:past:p:v_mis:compb 5
всюди	всюди adv:gen:v-u:&pron  0
дегустацією	дегустація noun:f:v_oru  0
туалеті	туалет noun:m:v_mis  0
цікавим	цікавий adj:m:v_oru:compb  2
гречане	гречаний adj:n:v_naz  -6
рідина	рідина noun:f:v_naz 0
біля	біля adv  0
вікно	вікно noun:n:v_naz  0
незрівнянно	незрівнянно adv  13
прибиральників	прибиральник noun:p:v_rod:anim 4
місце	місце noun:n:v_naz  0
устаткування	устаткування noun:n:v_naz:v-u   0
пампушки	пампушка noun:f:v_rod  10
рибу	риба noun:f:v_zna:anim  -15
фесту	фест noun:m:v_dav:bad 18
bitter	- -  0
зробили	зробити verb:past:p:perf  2
насолоджуватись	насолоджуватися verb:rev:inf:imperf  12
жива	живий adj:f:v_naz:compb  0
можливо	можливо adv  0
великі	великий adj:p:v_naz:compb 4
крафтового	- -  -8
лаків	лак noun:p:v_rod  0
впитися	впитися verb:rev:inf:perf:v-u  -8
власного	власний adj:m:v_rod  3
праву	правий adj:f:v_zna:compb 4
малих	малий adj:p:v_mis:compb 0
відгуків	відгук noun:p:v_rod  0
місця	місце noun:n:v_rod  0
іринка	- -  0
гарна	гарний adj:f:v_naz:compb  12
пастер	- -  0
напою	напоїти verb:futr:s:1:perf 0
мережа	мережа noun:f:v_naz  0
вибрати	вибрати verb:inf:perf  2
рідкісна	рідкісний adj:f:v_naz:compb  11
порції	порція noun:f:v_dav  0
буду	буда noun:f:v_zna 0
засмакувала	засмакувати verb:past:f:perf  3
позитивний	позитивний adj:m:v_naz:compb  25
років	рік noun:p:v_rod  0
форфасів	- -  0
світі	світ noun:m:v_mis  0
фільтр	фільтр noun:m:v_naz  0
мозок	мозок noun:m:v_naz  0
парою	пара noun:f:v_oru  4
кабінки	кабінка noun:f:v_rod  0
компенсувати	компенсувати verb:inf:imperf  3
показали	показати verb:past:p:perf  14
адекватні	адекватний adj:p:v_naz:compb  6
незвичайне	незвичайний adj:n:v_naz  10
якось	якось adv:&pron:ind  0
надіюсь	надіятися verb:rev:pres:s:1:imperf 2
хороше	хороший adj:n:v_naz:compb  8
смакових	смаковий adj:p:v_mis  0
ужасне	- -  0
підхожу	підхожий adj:f:v_zna  3
другому	другий adj:m:v_dav  2
хотіла	хотіти verb:unknown  12
звариться	зваритися verb:rev:futr:s:3:perf  0
пивоварні	пивоварний adj:p:v_naz  3
бару	бар noun:m:v_dav  9
локаль	локаль noun:f:v_naz  -1
сухарі	сухар noun:m:v_mis  0
підходи	підхід noun:p:v_naz  2
володимир	- -  -3
позиції	позиція noun:f:v_dav  0
ікспенсів	- -  0
ярослав	- -  0
кожній	кожний adj:f:v_dav:&pron:def  0
брати	брати verb:inf:imperf  0
основну	основний adj:f:v_zna  0
закуски	закуска noun:f:v_rod  3
сметана	сметана  8
noun:f:v_naz  0
фахові	фаховий adj:p:v_naz  3
передбачається	передбачатися  -4
verb:rev:pres:s:3:imperf 0
жаль	жаль noun:m:v_naz -4
гарний	гарний adj:m:v_naz:compb  12
gallina	- -  0
відповіді	відповідь noun:f:v_dav  0
розчаровує	розчаровувати verb:pres:s:3:imperf  0
привозне	- -  0
сподобалось	сподобатися verb:rev:past:n:perf  11
присутні	присутній adj:p:v_naz  0
марта	- -  0
барселони	- -  0
форматі	формат noun:m:v_mis  0
ситуація	ситуація noun:f:v_naz  4
буде	бути verb:futr:s:3:imperf  0
приготування	приготування noun:n:v_naz  0
низку	низка noun:f:v_zna  0
бітнер	- -  0
хроном	хрін noun:m:v_oru  0
тематичний	тематичний adj:m:v_naz  5
поверхи	поверх noun:p:v_naz  0
світле	світлий adj:n:v_naz:compb  5
справжньому	справжній adj:m:v_dav  7
прямо	прямо adv:compb  0
мають	мати verb:pres:p:3:imperf  0
весна	весна noun:f:v_naz  0
локалівській	- -  0
дзиґи	дзиґа noun:f:v_rod  4
присмаком	присмак noun:m:v_oru  0
варки	варка noun:f:v_rod  2
прекрасне	прекрасний adj:n:v_naz:compb  22
було	бути verb:past:n:imperf  0
існує	існувати verb:pres:s:3:imperf  0
німецьке	німецький adj:n:v_naz  2
тетяна	- -  0
була	булий adjp:actv:past:f:v_naz 0
оркестром	оркестр noun:m:v_oru  8
придбати	придбати verb:inf:perf  0
переважної	переважний adj:f:v_rod  5
гострий	гострий adj:m:v_naz:compb  6
бульйон	бульйон noun:m:v_naz  0
емоцій	емоція noun:p:v_rod  0
гучно	гучно adv:compb  0
оркестр	оркестр noun:m:v_naz 3
офіціантка	офіціантка noun:f:v_naz:anim  1
ян	- -  -1
ідеально	ідеально adv  27
грає	грати verb:pres:s:3:imperf  0
гірке	гіркий adj:n:v_naz:compb 0
розповіла	розповісти verb:past:f:perf  0
назвати	назвати verb:inf:perf  0
тарас	- -  0
констатація	констатація noun:f:v_naz  0
видом	вид noun:m:v_oru  0
дивитися	дивитися verb:rev:inf:imperf  0
кава	кава noun:f:v_naz  3
профі	профі noun:m:v_dav:nv:anim 7
рекомендую	рекомендувати verb:futr:s:1:perf  9
кампанію	кампанія noun:f:v_zna  -8
року	рок noun:m:v_dav 1
побачити	побачити verb:inf:perf  3
прекрасний	прекрасний adj:m:v_naz:compb  26
напоїв	напоїти verb:past:m:perf -17
