Harmider 20-30 female
нормі			норма 			noun:f:v_mis 20
хоча			хоча 			conj:subord 0
офіціанти		офіціант 		noun:p:v_naz:anim  0
могли			могти 			verb:unknown  0
б				б 				part  0
бути			бути 			verb:inf:imperf  0
більш			багато 			adv:compr  0
привітними		привітний 		adj:p:v_oru:compb  10
та				та 				conj:coord 0
приємними		приємний 		adj:p:v_oru:compb 20
просто			просто 			part   0
звернула		звернути 		verb:past:f:perf  0
увагу			увага 			noun:f:v_zna 0
що				що 				conj:subord  0
більшість		більшість 		noun:f:v_naz 0
з				з 				prep:rv_rod:rv_zna:rv_oru  0
них				вони 			pron:pers:p:3:v_zna:anim  0
такі			такий 			adj:p:v_naz:&pron:def  0
нахмурені		нахмурений 		adjp:pasv:past:p:v_naz  -20
ходять			ходити 			verb:pres:p:3:imperf 0
все				все 			part:v-u  0
таки			таки 			part  0
ми				ми 				pron:pers:p:1:v_naz:anim  0
не				не 				part  0
до				до 				prep:rv_rod  0
них				вони 			pron:pers:p:3:v_rod:anim 0
додому			додому 			adv  19
прийшли			прийти 			verb:past:p:perf  0
поїсти			поїсти 			verb:inf:perf 0
Ще				ще 				part  0
одне			один 			numr:n:v_naz  0
зауваження		зауваження 		noun:n:v_naz -10
столик			столик 			noun:m:v_naz 0
в				в 				prep:rv_zna:rv_mis:rv_rod:v-u  0
туалеті			туалет 			noun:m:v_mis  0
розміщений		розміщений 		adjp:pasv:past:m:v_naz 0
дуже			дуже 			adv  0
не				не 				part  0
зручно			зручно 			adv:compb 10
переодягнути	переодягнути 	verb:inf:perf  0
малечу			малеча 			noun:f:v_zna  10
складно			складно 		adv:compb -10
А				а 				part  0
от				от 				part  0
ваші			ваш 			adj:p:v_naz:&pron:pos 0
просто			просто 			part 0
не				не				part  0
перевершені		перевершений 	adjp:pasv:past:p:v_naz 20
надзвичайно		надзвичайно 	adv  20
смачні			смачний 		adj:p:v_naz:compb 20
і				і 				conj:coord 0
взагалі			взагалі 		adv:v-u  0
кухня			кухня 			noun:f:v_naz  0
дуже			дуже 			adv  0
смачна			смачний 		adj:f:v_naz:compb  30
так				так 			adv:&pron:dem 0
тримати			тримати 		verb:inf:imperf 0
Персонал		персонал 		noun:m:v_naz 0
хоч				хоч 			conj:subord 0
до				до 				prep:rv_rod  0
клієнта			клієнт 			noun:m:v_rod:anim 0
ставиться		ставитися 		verb:rev:pres:s:3:imperf  0
позитивно		позитивно 		adv:compb 20
проте			проте 			conj:coord  0
між				між 			prep:rv_rod:rv_zna:rv_oru 0
собою			себе 			pron:refl:m:v_oru  0
голосно			голосно 		adv:compb  0
вирішують		вирішувати 		verb:pres:p:3:imperf  0
проблеми		проблема 		noun:p:v_zna -10
коли			коли 			conj:subord				  0
заходять		заходити 		verb:pres:p:3:imperf  0
їх				вони 			pron:pers:p:3:v_rod:anim 0
друзі			друзі 			noun:p:v_naz:anim 10
то				то 				conj:subord  0
теж				теж 			part  0
таки			таки 			part  0
голосно			голосно 		adv:compb  0
розказують		розказувати 	verb:pres:p:3:imperf  0
як				як 				conj:subord  0
будуть			бути 			verb:futr:p:3:imperf  0
тут				тут 			adv:&pron:dem  0
щось			щось 			pron:ind:n:v_zna  0
пити			пити 			verb:inf:imperf  0
чи				чи 				conj:coord:subord 0
їсти			їсти 			verb:inf:imperf  10
на				на 				prep:rv_zna:rv_mis  0
халяву			халява 			noun:f:v_zna 10
а				а 				conj:coord  0
потім			потім 			adv:&pron:dem  0
ще				ще 				part  0
й				й 				part  0
спілкуються		спілкуватися 	verb:rev:pres:p:3:imperf  0
з				з 				prep:rv_rod:rv_zna:rv_oru 0
персоналом		персонал 		noun:m:v_oru  0
через			через 			prep:rv_zna  0
весь			весь 			adj:m:v_zna:&pron:dem  0
зал				зал 			noun:m:v_zna 0
що				що 				conj:subord 0
таки			таки 			part  0
дратує			дратувати 		verb:pres:s:3:imperf  -20
клієнтів		клієнт 			noun:p:v_zna:anim 0
Думаю			думати 			verb:pres:s:1:imperf 0
працівникам		працівник 		noun:p:v_dav:anim  0
просто			просто 			part 0
варто			варто 			predic  0
попросити		попросити 		verb:inf:perf 0
друзів			друзі 			noun:p:v_zna:anim  10
поводити		поводити 		verb:inf:imperf  0
себе			себе 			pron:refl:m:v_zna 0
більш			багато 			adv:compr  0
стримано		стримано 		adv:compb -10
тоді			тоді 			adv:&pron:dem  0
з				з 				prep:rv_rod:rv_zna:rv_oru  0
впевненістю		впевненість 	noun:f:v_oru:v-u  10
можна			можна 			predic  0
буде			бути 			verb:futr:s:3:imperf  0
сказати			сказати 		verb:inf:perf 0
що				що 				conj:subord 0
це				цей 			adj:n:v_naz:&pron:dem 0
Челентано		Челентано 		noun:m:v_naz:nv:np:anim:lname 0
найкраще		хороший 		adj:n:v_naz:super 30
середньої		середній 		adj:f:v_rod  10
якості			якість 			noun:f:v_rod 10
однак			однак 			conj:coord 0
як				як 				conj:subord 								  0
для				для 			prep:rv_rod  0
України			Україна 		noun:f:v_rod 10
навіть			навіть 			part  0
добра			добро 			noun:n:v_rod 20
Зайшов			зайти 			verb:past:m:perf 0
не				не 				part  0
було			бути 			verb:past:n:imperf  0
де				де 				adv:&pron:int:rel 0
сісти			сісти 			verb:inf:perf 0
то				то 				conj:subord 0
повно			повно 			adv:compb 0
правда			правда 			noun:f:v_naz 0
але				але 			conj:coord 0
тепер			тепер 			adv:&pron:dem  0
їх				вони 			pron:pers:p:3:v_rod:anim 0
почали			почати 			verb:past:p:perf  0
по				по 				prep:rv_mis:rv_zna  0
тихому			тихий 			adj:m:v_dav:compb  0
сплавляти		сплавляти 		verb:inf:imperf 0
дають			давати 			verb:pres:p:3:imperf  0
з				з 				prep:rv_rod:rv_zna:rv_oru  0
собою			себе 			pron:refl:m:v_oru  0
в				в 				prep:rv_zna:rv_mis:rv_rod:v-u  0
кульок			кульок 			noun:m:v_zna  0
і				і 				conj:coord 0
культурно		культурно 		adv:compb  18
просять			просити 		verb:pres:p:3:imperf  0
піти			піти 			verb:inf:perf 0
чиста			чистий 			adj:f:v_naz:compb 10
папір			папір 			noun:m:v_naz 0
є				бути 			verb:pres:s:1:imperf 0
така			такий 			adj:f:v_naz:&pron:def  0
кафешка			кафешка 		noun:f:v_naz:slang  0
для				для 			prep:rv_rod  0
середнього		середній 		adj:m:v_rod 0
красу			краса 			noun:f:v_zna 10
Сьогодні		сьогодні 		adv  0
відвідала		відвідати 		verb:past:f:perf  0
цей				цей 			adj:m:v_zna:&pron:dem  0
заклад			заклад 			noun:m:v_zna 0
приємні			приємний 		adj:p:v_naz:compb  20
враження		враження 		noun:p:v_naz  20
переповнюють	переповнювати 	verb:pres:p:3:imperf -21
персонал		персонал 		noun:m:v_naz  0
привітний		привітний 		adj:m:v_naz:compb 20
природній		природний 		adj:m:v_naz:compb 20
НЕ				не 				part  -10
схожий			схожий 			adj:m:v_naz   0
на				на 				prep:rv_zna:rv_mis  0
гурт			гурт 			noun:m:v_zna  0
роботів			робот 			noun:p:v_zna:anim -10
які				який 			adj:p:v_naz:&pron:int:rel:def -10
розмовляють		розмовляти 		verb:pres:p:3:imperf 0
фразами			фраза 			noun:p:v_oru 0
Атмосфера		атмосфера 		noun:f:v_naz  0
чудова			чудовий 		adj:f:v_naz:compb 40
Кухня			кухня 			noun:f:v_naz  0
кардинально		кардинально 	adv  0
відрізняється	відрізнятися 	verb:rev:pres:s:3:imperf  0
від				від 			prep:rv_rod  0
тих				той 			adj:p:v_rod:&pron:dem  0
Челентано		Челентано 		noun:m:v_rod:nv:np:anim:lname 0
до				до 				prep:rv_rod  0
яких			який 			adj:p:v_mis:&pron:int:rel:def  0
ми				ми 				pron:pers:p:1:v_naz:anim  0
звикли			звикнути 		verb:past:p:perf 0
але				але 			conj:coord  0
це				цей 			adj:n:v_naz:&pron:dem 0
смачно			смачно 			adv:compb 20
Дякуємо			дякувати 		verb:pres:p:1:imperf  30
за				за 				prep:rv_rod:rv_zna:rv_oru 0
те				той 			adj:n:v_naz:&pron:dem 0
що				що 				pron:int:rel:n:v_naz  0
ви				ви 				pron:pers:p:2:v_naz:anim 0
є				бути 			verb:pres:p:1:imperf 0
смачна			смачний 		adj:f:v_naz:compb 20
але				але 			conj:coord  -10
обслуговування	обслуговування 	noun:n:v_naz 10
справді			справді 		part  10
хамське			хамський 		adj:n:v_naz -10
не				не 				part  -10
то				то 				conj:subord  0
слово			слово 			noun:n:v_naz 0
Була			бути 			verb:past:f:imperf  0
з				з 				prep:rv_rod:rv_zna:rv_oru  0
малою			малий 			adj:f:v_oru:compb  0
дитиною			дитина 			noun:f:v_oru:anim 0
і				і 				conj:coord  0
мусила			мусити 			verb:past:f:imperf  -10
ледь			ледь 			adv  -10
не				не 				part  -10
бігти			бігти 			verb:inf:imperf  0
за				за 				prep:rv_rod:rv_zna:rv_oru  0
працівницею		працівниця 		noun:f:v_oru:anim 0
щоб				щоб 			conj:subord  0
спитати			спитати 		verb:inf:perf 0
де				де 				adv:&pron:int:rel  0
у				у 				prep:rv_zna:rv_mis:rv_rod:v-u  0
них				вони 			pron:pers:p:3:v_rod:anim 0
При				при 			prep:rv_mis   0
тому			тому 			adj:m:v_dav:&pron:dem 0
що				що 				pron:int:rel:n:v_naz  0
офіціантка		офіціантка 		noun:f:v_naz:anim  0
мене			я 				pron:pers:s:1:v_zna:anim  0
прекрасно		прекрасно 		adv:compb  30
бачила			бачити 			verb:past:f:imperf 0
та				та 				part  0
й				й 				conj:coord  0
чула			чути			verb:past:f:imperf 0
мабуть			мабуть 			insert 0
бо				бо				conj:subord  0
я				я 				pron:pers:s:1:v_naz:anim  0
досить			досить 			adv  0
голосно			голосно 		adv:compb  0
покликала		покликати 		verb:past:f:perf 0
коли			коли 			conj:subord 0
вона			вона 			pron:pers:f:3:v_naz:anim  0
почала			почати 			verb:past:f:perf  0
нагло			нагло 			adv  -20
тікати			тікати 			verb:inf:imperf  -20
з				з 				prep:rv_rod:rv_zna:rv_oru 0
єхидним			єхидний 		adj:m:v_oru -30
виглядом		вигляд 			noun:m:v_oru 0
люди			люди 			noun:p:v_naz:anim  0
дивилися		дивитися 		verb:rev:past:p:imperf  0
на				на 				prep:rv_zna:rv_mis  0
то				то 				conj:subord  0
як				як 				conj:subord 0
на				на 				prep:rv_zna:rv_mis  0
цирк			цирк 			noun:m:v_zna -10
Запам'ятала		запам'ятати 	verb:past:f:perf 0
що				що 				conj:subord   0
на				на 				prep:rv_zna:rv_mis  0
рожевому		рожевий 		adj:m:v_mis 0
в				в 				prep:rv_zna:rv_mis:rv_rod:v-u  0
цієї			цей 			adj:f:v_rod:&pron:dem 0
писало			писати 			verb:past:n:imperf  0
Ірина			Ірина 			noun:f:v_naz:anim:fname 0
Просто			просто 			partprep:rv_rod  0
не				не 				part  0
мала			мати 			verb:past:f:imperf  0
як				як 				adv:&pron:int:rel 0
просити			просити 		verb:inf:imperf  0
книгу			книга 			noun:f:v_zna  0
скарг			скарга 			noun:p:v_rod  -20
чи				чи 				conj:coord:subord  0
кликати			кликати 		verb:inf:imperf  0
керівництво		керівництво 	noun:n:v_zna 0
бо				бо 				conj:subord  0
з				з 				prep:rv_rod:rv_zna:rv_oru 0
дитиною			дитина 			noun:f:v_oru:anim  0
не				не 				part  0
до				до 				prep:rv_rod  0
того			той 			adj:m:v_rod:&pron:dem 0
було			бути 			verb:past:n:imperf 0
Більше			багато 			adv:compr  0
туди			туди 			adv:&pron:dem  0
ні				ні 				part  0
ногою			нога 			noun:f:v_oru 0
Так				так 			adv:&pron:dem  0
не				не 				part  0
можна			можна 			predic 0
забронювати		забронювати 	verb:inf:perf  0
столик			столик 			noun:m:v_zna  0
за				за 				prep:rv_rod:rv_zna:rv_oru  0
даним			даний 			adjp:pasv:past:m:v_oru 0
номером			номер 			noun:m:v_oru  0
телефону		телефон 		noun:m:v_rod  0
дійсно			дійсно 			adv  0
не				не 				part  -10
можливо			можливо 		adv 15
оскільки		оскільки 		conj:subord  0
слухавку		слухавка 		noun:f:v_zna  0
ніхто			ніхто 			pron:neg:v_naz:anim  -10
протягом		протяг 			noun:m:v_oru  0
тривалого		тривалий 		adj:m:v_rod:compb  -10
часу			час 			noun:m:v_rod  0
навіть			навіть 			part  0
і				і 				part  0
не				не 				part  -10
думає			думати 			verb:pres:s:3:imperf  0
брати			брати 			verb:inf:imperf 0
будучи			будучи 			adjp:actv:past:bad  0
постійним		постійний 		adj:m:v_oru  14
клієнтом		клієнт 			noun:m:v_oru:anim  14
закладу			заклад 			noun:m:v_rod  14
відвідати		відвідати 		verb:inf:perf  10
його			він 			pron:pers:m:3:v_zna:anim 0
з				з 				prep:rv_rod:rv_zna:rv_oru  0
друзями			друзі 			noun:p:v_oru:anim  10
у				у 				prep:rv_zna:rv_mis:rv_rod:v-u  0
вихідний		вихідний 		adj:m:v_zna 10
день			день 			noun:m:v_zna  10
є				бути 			verb:pres:p:1:imperf  0
складно			складно 		adv:compb -10
не				не 				part  -10
працює			працювати 		verb:pres:s:3:imperf  0
взагалі			взагалі 		adv:v-u 0
Дуже			дуже 			adv   0
хороше			хороший 		adj:n:v_naz:compb  20
і				і 				conj:coord  0
затишне			затишний 		adj:n:v_naz:compb   20
місце			місце 			noun:n:v_naz 0
Що				що 				pron:int:rel:n:v_naz  0
хочу			хотіти 			verb:unknown 10
дуже			дуже			adv 10
пиво			пиво 			noun:n:v_naz 10
назву			назва 			noun:f:v_zna 0
що				що 				pron:int:rel:n:v_naz  0
в				в 				prep:rv_zna:rv_mis:rv_rod:v-u  0
меню			меню 			noun:n:v_mis:nv 0
воно			воно 			pron:pers:n:3:v_naz  0
саме			самий			adj:n:v_naz 0
дорожче			дорогий 		adj:n:v_naz:compr -10
Якщо			якщо 			conj:subord 0
назву			назва			noun:f:v_zna 0
в				в 				prep:rv_zna:rv_mis:rv_rod:v-u  0
Тернополі		Тернопіль 		noun:m:v_mis  0
хочу			хотіти 			verb:unknown  10
таке			такий 			adj:n:v_zna:&pron:def  0
знайти			знайти 			verb:inf:perf 0
дякую			дякувати 		verb:pres:s:1:imperf 20
Сьогодні		сьогодні 		adv  0
близько			близько 		adv:compb  0
17.00			17.00 			time  0
я				я 				pron:pers:s:1:v_naz:anim  0
з				з 				prep:rv_rod:rv_zna:rv_oru  0
сином			син 			noun:m:v_oru:anim  0
відвідали		відвідати 		verb:past:p:perf  0
піцерію			піцерія 		noun:f:v_zna 10
Челентано		Челентано 		noun:m:v_zna:nv:np:anim:lname 10
по				по 				prep:rv_mis:rv_zna 0
В				в 				prep:rv_zna:rv_mis:rv_rod:v-u 0
Великого		великий 		adj:m:v_rod:compb  0
замовили		замовити 		verb:past:p:perf  10
піцу			піца 			noun:f:v_zna  10
з				з 				prep:rv_rod:rv_zna:rv_oru  10
куркою			курка 			noun:f:v_oru:anim 10
кукурудзою		кукурудза 		noun:f:v_oru 10
болгарським		болгарський 	adj:m:v_oru 10
перцем			перець 			noun:m:v_oru  10
та				та 				conj:coord  10
жареними		жарений 		adjp:pasv:past:p:v_oru  10
печерицями		печериця 		noun:p:v_oru  10
та				та 				conj:coord 10
2				2 				number  0
соки			сік 			noun:p:v_naz 10
томатний		томатний 		adj:m:v_naz  10
і				і				conj:coord  10
апельсиновий	апельсиновий 	adj:m:v_naz 10
Печериці		печериця 		noun:p:v_naz 10
які				який 			adj:p:v_naz:&pron:int:rel:def 0
я				я 				pron:pers:s:1:v_naz:anim  0
скуштувала		скуштувати 		verb:past:f:perf  0
разом			разом 			adv 0
з				з 				prep:rv_rod:rv_zna:rv_oru  0
піцою			піца 			noun:f:v_oru 0
були			бути 			verb:past:p:imperf  0
не				не 				part  -10
свіжі			свіжий 			adj:p:v_naz:compb  10
і				і 				conj:coord  0
мали			мати 			verb:past:p:imperf 0
запах			запах 			noun:m:v_zna  0
Коли			коли 			conj:subord  0
я				я 				pron:pers:s:1:v_naz:anim  0
звернулась		звернутися 		verb:rev:past:f:perf  0
до				до 				prep:rv_rod  0
працівниці		працівниця 		noun:f:v_rod:anim  0
піцерії			піцерія 		noun:f:v_rod  0
з				з 				prep:rv_rod:rv_zna:rv_oru  0
претензією		претензія 		noun:f:v_oru  -10
вона			вона 			pron:pers:f:3:v_naz:anim  0
мені			я				pron:pers:s:1:v_dav:anim  0
відповіла		відповісти 		verb:past:f:perf 0
що				що 				conj:subord   0
запаху			запах 			noun:m:v_rod  -10
не				не 				part  -10
чує				чути 			verb:pres:s:3:imperf  0
бо				бо 				conj:subord  0
у				у 				prep:rv_zna:rv_mis:rv_rod:v-u  0
неї				вона 			pron:pers:f:3:v_rod:anim  0
закладений		закладений 		adjp:pasv:past:m:v_naz  -10
ніс				ніс 			noun:m:v_naz   0
і				і 				conj:coord  0
запевнила		запевнити 		verb:past:f:perf  10
мене			я 				pron:pers:s:1:v_zna:anim 0
що				що 				conj:subord  0
їжа				їжа 			noun:f:v_naz  10
щодня			щодня 			adv  10
готується		готуватися 		verb:rev:pres:s:3:imperf  10
свіжа			свіжий 			adj:f:v_naz:compb  10
і				і 				conj:coord  10
навіть			навіть 			part  0
принесла		принести 		verb:past:f:perf  0
мені			я 				pron:pers:s:1:v_dav:anim  0
мисочку			мисочка 		noun:f:v_zna  0
з				з 				prep:rv_rod:rv_zna:rv_oru  0
грибами			гриб 			noun:p:v_oru 0
з				з 				prep:rv_rod:rv_zna:rv_oru  0
якої			який 			adj:f:v_rod:&pron:int:rel:def  0
брали			брати 			verb:past:p:imperf  0
гриби			гриб 			noun:p:v_zna  0
для				для 			prep:rv_rod  0
приготування	приготування 	noun:n:v_rod  10
піци			піца 			noun:f:v_rod 10
хоча			хоча 			conj:subord  0
і				і 				part  0
там				там 			adv:&pron:dem  0
був				бути 			verb:past:m:imperf  0
той				той 			adj:m:v_naz:&pron:dem  0
самий			самий 			adj:m:v_naz  0
запах			запах 			noun:m:v_naz 10
Грибів			гриб 			noun:p:v_rod  10
я				я 				pron:pers:s:1:v_naz:anim  0
більше			багато 			adv:compr  0
не				не 				part  -10
їла				їсти 			verb:past:f:imperf 0
але				але 			conj:coord  -10
за				за 				prep:rv_rod:rv_zna:rv_oru  0
зовсім			зовсім 			adv  0
короткий		короткий 		adj:m:v_naz:compb  0
час				час 			noun:m:v_naz  0
мене			я 				pron:pers:s:1:v_zna:anim  0
почало			почати 			verb:past:n:perf  -10
нудити			нудити 			verb:inf:imperf  -10
і				і 				conj:coord  0
розболівся		розболітися 	verb:rev:past:m:perf  -20
шлунок			шлунок 			noun:m:v_naz  0
зайшовши		зайти 			advp:perf  0
в				в 				prep:rv_zna:rv_mis:rv_rod:v-u  0
аптеку			аптека 			noun:f:v_zna  0
я				я 				pron:pers:s:1:v_naz:anim  0
купила			купити 			verb:past:f:perf  0
біле			білий 			adj:n:v_zna:compb  0
вугілля			вугілля 		noun:n:v_zna  -10
запивши			запити 			advp:perf  0
його			він 			pron:pers:n:3:v_zna  0
мінералкою		мінералка 		noun:f:v_oru 0
В				в 				prep:rv_zna:rv_mis:rv_rod:v-u  0
мережі			мережа 			noun:f:v_dav 0
ресторанів		ресторан 		noun:p:v_rod  0
Егоїсти			егоїст 			noun:p:v_naz:anim  -10
харчуюсь		харчуватися 	verb:rev:pres:s:1:imperf  0
давно			давно 			adv  0
маю				мати 			verb:pres:s:1:imperf 0
картку			картка 			noun:f:v_zna  10
постійного		постійний 		adj:m:v_rod  10
клієнта			клієнт 			noun:m:v_rod:anim  10
і				і 				conj:coord  10
завжди			завжди 			adv:&pron:gen 10
навіть			навіть 			part  0
коли			коли 			conj:subord 0
їздила			їздити 			verb:past:f:imperf  0
у				у 				prep:rv_zna:rv_mis:rv_rod:v-u  0
відрядження		відрядження 	noun:n:v_zna  0
в				в 				prep:rv_zna:rv_mis:rv_rod:v-u  0
інші			інший 			adj:p:v_zna:&pron:def  0
міста			місто 			noun:p:v_zna  0
відвідувала		відвідувати 	verb:past:f:imperf  0
саме			саме 			part  0
Челентано		Челентано 		noun:m:v_naz:nv:np:anim:lname 10
бо				бо 				conj:subord  0
смачно			смачно 			adv:compb  20
і				і 				conj:coord  20
надійно			надійно 		adv:compb  20
а				а 				conj:coord   0
тут				тут 			adv:&pron:dem  0
така			такий 			adj:f:v_naz:&pron:def  0
халепа			халепа 			noun:f:v_naz  -10
Як				як 				conj:subord  0
можна			можна 			predic  0
приготувати		приготувати 	verb:inf:perf  0
погано			погано 			adv:compb  -20
лабораторні		лабораторний 	adj:p:v_zna  -20
гриби			гриб			noun:p:v_zna  -20
які				який 			adj:p:v_naz:&pron:int:rel:def 0
навіть			навіть 			part  0
сирими			сирий 			adj:p:v_oru  -20
використовують	використовувати	verb:pres:p:3:imperf  -20
Адміністратор	адміністратор 	noun:m:v_naz:anim  0
зверхньо		зверхньо 		adv  -20
ставиться		ставитися 		verb:rev:pres:s:3:imperf 0
до				до 				prep:rv_rod  0
клієнтів		клієнт 			noun:p:v_rod:anim   10
А				а 				part  0
проте			проте 			conj:coord  0
як				як 				conj:subord  0
спілкується		спілкуватися 	verb:rev:pres:s:3:imperf  0
нецензурно		нецензурно		adv  -20
з				з 				prep:rv_rod:rv_zna:rv_oru  0
обслуговуючим	обслуговуючий 	adjp:actv:pres:m:v_oru:bad  10
персоналом		персонал 		noun:m:v_oru  0
Я				я 				pron:pers:s:1:v_naz:anim  0
