Shepelevych 20-30 female
гарнір 		noun:m:v_naz  0
і		conj:coord  0
напій		noun:m:v_naz  0
і		conj:coord  0
хліб		noun:m:v_naz 0
який		adj:m:v_naz:&pron:int:rel:def 0
вони		pron:pers:p:3:v_naz:anim  0
доречі		adv:bad  0
самі		adj:p:v_naz:&pron:def 0
випікають	verb:pres:p:3:imperf   6
Чесно		adv:compb  10
велике		adj:n:v_naz:compb  10
спасибі		predic  18
за		prep:rv_rod:rv_zna:rv_oru  0
те		adj:n:v_naz:&pron:dem   0
що		conj:subord 0
маємо		verb:pres:p:1:imperf 0
можливість	noun:f:v_zna  5
у		prep:rv_zna:rv_mis:rv_rod:v-u  0
вихідні		noun:p:v_zna  24
сходити		verb:inf:imperf  0
кудись		adv:&pron:ind  0
з		prep:rv_rod:rv_zna:rv_oru  0
дітьми		noun:p:v_oru:anim 24
дуже		adv  16
вдало		adv:compb:v-u  20
підібрана	adjp:pasv:past:f:v_naz  0
асортиментна	adj:f:v_naz  0
карта		noun:f:v_naz   0
як		adv:&pron:int:rel   0
для		prep:rv_rod  0
дорослих	noun:p:v_rod:anim 0
так		adv:&pron:dem  0
і		conj:coord   0
для		prep:rv_rod  0
дітей		noun:p:v_rod:anim  24
чай		noun:m:v_naz  0
просто		part  0
супер		noun:m:v_naz  26
А		conj:coord   0
СТРАВИ		noun:p:v_zna  0
ВІД		prep:rv_rod   0
ПРОСТО		adv:compb 0
МИСТЕЦТВО	noun:n:v_naz  26
ДЯКУЄМО		verb:pres:p:1:imperf  26
ЗА		prep:rv_rod:rv_zna:rv_oru 0
ТЕ		adj:n:v_naz:&pron:dem  0
ЩО		conj:subord  0
Є		verb:pres:p:3:imperf  0
Дякуємо		verb:pres:p:1:imperf  24
за		prep:rv_rod:rv_zna:rv_oru 0
гарну		adj:f:v_zna:compb  24
атмосферу	noun:f:v_zna  0
мало		adv:compb 0
закладів	noun:p:v_rod  0
на		prep:rv_zna:rv_mis  0
сьогодні	adv  0
є		verb:pres:p:3:imperf 0
по		prep:rv_mis:rv_zna  0
справжньому	adj:m:v_dav  0
чистими		adj:p:v_oru:compb  0
Дякуємо		verb:pres:p:1:imperf  24
було		verb:past:n:imperf  0
дуже		adv  0
смачно		adv:compb  22
перший		adj:m:v_naz  0
раз		noun:m:v_naz   0
спробувала	verb:past:f:perf  0
гаряче		adj:n:v_naz:compb -1
пиво		noun:n:v_naz 0
по-львівськи	adv   32
відчуття	noun:n:v_naz 9
супер		noun:m:v_naz    22
якби		conj:subord  0
дівчата		noun:p:v_naz:anim  0
не		part  0
порекомендували	verb:past:p:perf  6
я		pron:pers:s:1:v_naz:anim 0
б		part  0
і		part  0
не		part  0
знала		verb:past:f:imperf  0
що		conj:subord 		 0
така		adj:f:v_naz:&pron:def  0
смакота		noun:f:v_naz  23
як		conj:subord 0
аналог		noun:m:v_zna  0
глінтвейну	noun:m:v_rod  6
Смачно		adv:compb  15
затишно		adv:compb  15
приємне		adj:n:v_zna:compb  15
обслуговування	noun:n:v_zna  15
позитивні	adj:p:v_naz:compb 15
емоції		noun:p:v_naz 15
чого		pron:int:rel:n:v_rod  15
ще		part  0
бажати		verb:inf:imperf  19
відвідавши	advp:perf  0
заклад		noun:m:v_zna   0
усім		adj:p:v_dav:&pron:dem 0
рекомендую	verb:futr:s:1:perf  8
пропонує	verb:pres:s:3:imperf  0
Вам		pron:pers:p:2:v_dav:anim  0
поринути	verb:inf:perf  0
у		prep:rv_zna:rv_mis:rv_rod:v-u  0
витончений	adj:m:v_naz:compb:&adjp:pasv:past 21
смак		noun:m:v_naz  0
кавових		adj:p:v_rod  13
напоїв		noun:p:v_rod  8
ласощів		noun:p:v_rod  18
і		conj:coord   0
страв		noun:p:v_rod  0
європейської	adj:f:v_rod  7
та		conj:coord 0
української	adj:f:v_rod  19
кухні		noun:f:v_rod   0
На		prep:rv_zna:rv_mis  0
Вас		pron:pers:p:2:v_rod:anim 0
чекає		verb:pres:s:3:imperf  0
найвища		adj:f:v_naz:super  18
якість		noun:f:v_naz   14
обслуговування	noun:n:v_rod   0
Отримайте	verb:impr:p:2:perf  15
насолоду	noun:f:v_zna  29
від		prep:rv_rod  0
затишної	adj:f:v_rod:compb  17
атмосфери	noun:f:v_rod 0
у		prep:rv_zna:rv_mis:rv_rod:v-u  0
самому		adj:n:v_mis:&pron:def  0
серці		noun:n:v_mis  0
древнього	adj:n:v_rod   -2
міста		noun:n:v_rod   0
Лева		noun:m:v_rod:anim:fname  3
Можна		predic  0
пробувати	verb:inf:imperf  0
все		adv:v-u 0
особливо	adv  0
гофра		noun:m:v_rod  0
та		conj:coord  0
дуже		adv   0
смачні		adj:p:v_zna:compb  15
чаї		noun:p:v_zna  0
варто		predic  0
спробувати	verb:inf:perf  0
всі		adj:p:v_zna:&pron:dem 0
яблучний	adj:m:v_zna  6
особливо	adv   0
а		conj:coord  0
також		conj:coord  0
до		prep:rv_rod  0
4		number  0
години		noun:f:v_rod  0
бізнес-ланчі	noun:m:v_mis:bad 0
по		prep:rv_mis:rv_zna  0
досить		adv   0
дешевих		adj:p:v_mis:compb   0
цінах		noun:p:v_mis  0
не		part  0
пробував	verb:past:m:imperf  0
правда		insert  0
Готові		adj:p:v_zna 2
до		prep:rv_rod  0
Новорічних	dj:p:v_zna  31
свят		noun:p:v_rod  31
що		conj:subord  0
робить		verb:pres:s:3:imperf  0
заклад		noun:m:v_zna  0
ще		adv 0
затишнішим	adj:m:v_oru:compr  		 20
ніж		conj:subord 0
він		pron:pers:m:3:v_naz:anim 0
є		verb:pres:s::imperf  0
Різдвяна	adj:f:v_naz  36
атмосфера	noun:f:v_naz  0
святкова	adj:f:v_naz:compb  22
музика		noun:f:v_naz    21
Все		adv:v-u  0
супер		noun:m:v_naz   24
досить		adv  0
привітний	adj:m:v_naz:compb 18
персонал	noun:m:v_naz  0
всередині	adv:v-u  0
грає		verb:pres:s:3:imperf  0
спокійна	adj:f:v_naz:compb  3
музика		noun:f:v_naz  15
яка		adj:f:v_naz:&pron:int:rel:def 0
доповнюючи	advp:imperf  0
затишний	adj:m:v_zna:compb  20
інтер'єр	noun:m:v_zna  0
дає		verb:pres:s:3:imperf  0
змогу		noun:f:v_zna  0
розслабитись	verb:rev:inf:perf   30
Чудова		adj:f:v_naz:compb  28
атмосфера	noun:f:v_naz  0
сервіс		noun:m:v_naz 0
також		adv 0
Щовівторка	adv  0
нові		adj:p:v_naz:compb 0
пропозиції	noun:p:v_naz   0
просто		adv:compb 0
Персонал	noun:m:v_naz 0
дуже		adv  0
повільний	adj:m:v_naz:compb  -9
В		prep:rv_zna:rv_mis:rv_rod:v-u   0
ковбасці	noun:f:v_mis  0
була		verb:past:f:imperf  0
чиясь		adj:f:v_naz:&pron:ind  -2
волосина	noun:f:v_naz   0
Своїх		adj:p:v_rod:&pron:pos 0
вафель		noun:p:v_rod  0
так		adv:&pron:dem   0
і		conj:coord  0
не		part  0
дочекалася	verb:rev:past:f:perf   1
Жахливо		adv:compb  -32
Дуже		adv  0
гарно		adv:compb  16
приємна		adj:f:v_naz:compb  16
музика		noun:f:v_naz  16
хлопчик		noun:m:v_naz:anim  0
Андрій		noun:m:v_naz:anim:fname 0
надзвичайно	adv  20
ввічливий	adj:m:v_naz:v-u 15
і		conj:coord  0
хороший		adj:m:v_naz:compb  18
Гранатовий	adj:m:v_naz  0
чай		noun:m:v_naz   0
з		prep:rv_rod:rv_zna:rv_oru 0
надзвичайно	adv  22
смачний		adj:m:v_naz:compb  22
десерти		noun:p:v_naz  22
також		conj:coord  0
дуже		adv 0
смачні		adj:p:v_naz:compb  15
і		conj:coord  0
красиві		adj:p:v_naz:compb  21
Враження	noun:p:v_naz  21
супер		noun:m:v_naz  21
Страви		noun:p:v_naz  0
смачні		adj:p:v_naz:compb  26
але		conj:coord  0
на		prep:rv_zna:rv_mis  0
прохання	noun:n:v_zna  0
не		part  0
клацати		verb:inf:imperf  -1
каналами	noun:p:v_oru  0
повторену	adjp:pasv:past:f:v_zna  -5
двічі		adv  -3
з		prep:rv_rod:rv_zna:rv_oru 0
кримінальних	adj:p:v_rod -9
серіалів	noun:p:v_rod  4
на		prep:rv_zna:rv_mis   0
попсу		noun:f:v_zna:slang   -4
Офіціантки	noun:p:v_naz:anim  0
будуть		verb:futr:p:3:imperf  0
без		prep:rv_rod  0
чаю		noun:m:v_rod   0
У		prep:rv_zna:rv_mis:rv_rod:v-u  0
Львові		noun:m:v_mis  0
панує		verb:pres:s:3:imperf  -1
найхолодніший	adj:m:v_zna:super  -12
за		prep:rv_rod:rv_zna:rv_oru  0
останні		adj:p:v_zna  0
десятиліття	noun:p:v_zna  -1
вересень	noun:m:v_zna   -1
Домовляючись	advp:rev:imperf  1
зустрітися	verb:rev:inf:perf  5
наше		adj:n:v_naz:&pron:pos 0
дівоче		adj:n:v_naz  4
товариство	noun:n:v_naz   20
шукає		verb:pres:s:3:imperf  0
заклади		noun:p:v_zna  0
не		part  0
за		prep:rv_rod:rv_zna:rv_oru 0
наявністю	noun:f:v_oru  0
літнього	adj:m:v_rod  27
майданчика	noun:m:v_rod   12
як		conj:subord 0
минулого	adjp:actv:past:m:v_rod   0
року		noun:m:v_rod  0
а		conj:coord   0
скоріше		adv:compr  2
за		prep:rv_rod:rv_zna:rv_oru 0
принципом	noun:m:v_oru  0
присутності	oun:f:v_roda  0
багатої		adj:f:v_rod:compb  28
чайної		adj:f:v_rod  0
карти		noun:f:v_rod   0
Вчора		adv:v-u  -1
ввечері		adv:v-u  0
ноги		noun:p:v_zna  0
завели		verb:past:p:perf  0
нас		pron:pers:p:1:v_zna:anim  0
у		prep:rv_zna:rv_mis:rv_rod:v-u  0
на		prep:rv_zna:rv_mis  0
Площі		noun:f:v_mis 0
Ринок		noun:m:v_zna   0
в		prep:rv_zna:rv_mis:rv_rod:v-u  0
жодному		adj:n:v_mis:&pron  -4
із		prep:rv_rod:rv_zna:rv_oru  0
заздалегідь	adv  0
вподобаних	adjp:pasv:past:p:v_rod:v-u 21
закладів	noun:p:v_rod  0
місць		noun:p:v_rod  0
для		prep:rv_rod  0
невеличкої	adj:f:v_rod  3
компанії	noun:f:v_rod  20
не		part  0
знайшлося	verb:rev:past:n:perf  0
Тут		adv:&pron:dem  0
же		part  0
було		verb:past:n:imperf  0
абсолютно	adv  -2
порожньо	adv  -6
Почну		verb:futr:s:1:perf 0
традиційно	adv:compb  9
з		prep:rv_rod:rv_zna:rv_oru 0
плюсів		noun:p:v_rod   9
Мені		pron:pers:s:1:v_dav:anim   0
до		prep:rv_rod  0
вподоби		noun:f:v_rod:v-u  14
світлий		adj:m:v_zna:compb  19
інтер'єр	noun:m:v_zna   0
хоча		conj:subord  -2
цікавістю	noun:f:v_oru  0
він		pron:pers:m:3:v_naz:anim  0
не		part  0
відрізняється	verb:rev:pres:s:3:imperf  0
але		conj:coord  0
принаймні	adv  0
уникнув		verb:past:m:perf  1
долі		noun:f:v_rod 0
80%		number  0
закладів	noun:p:v_rod  0
з		prep:rv_rod:rv_zna:rv_oru  0
традиційним	adj:n:v_oru:compb  13
останнім	adj:m:v_oru  0
часом		noun:m:v_oru  0
кольоровим	adj:n:v_oru  0
рішенням	noun:n:v_oru  1
думаю		verb:pres:s:1:imperf 0
зрозуміло	adv:compb  0
яким		adj:n:v_oru:&pron:int:rel:def 0
подобаються	verb:rev:pres:p:3:imperf  16
також		adv   0
зручні		adj:p:v_zna:compb  25
ніші		noun:p:v_zna  0
для		prep:rv_rod  0
верхнього	adj:m:v_zna  0
одягу		noun:m:v_rod   0
А		conj:coord  0
от		part  0
наступні	adj:p:v_zna  0
кілька		numr:p:v_zna:&pron:ind 0
деталей		noun:p:v_rod  -1
розчарували	verb:past:p:perf   -28
По-перше	adv  0
стійка		noun:f:v_naz 2
з		prep:rv_rod:rv_zna:rv_oru  0
пресою		noun:f:v_oru  0
з		prep:rv_rod:rv_zna:rv_oru  0
великою		adj:f:v_oru:compb  15
табличкою	noun:f:v_oru  0
для		prep:rv_rod  0
читання		noun:n:v_zna 0
лише		conj:subord   0
у		prep:rv_zna:rv_mis:rv_rod:v-u  0
закладі		noun:m:v_mis  0
з		prep:rv_rod:rv_zna:rv_oru  0
собою		pron:refl:m:v_oru  0
не		part  0
забирати	verb:inf:imperf  -2
тобто		part   0
керівництво	noun:n:v_naz   -3
взялося		verb:rev:past:n:perf  -9
вказувати	verb:inf:imperf:v-u  -11
гостям		noun:p:v_dav:anim  0
ще		part  0
й		conj:coord   0
у		prep:rv_zna:rv_mis:rv_rod:v-u  0
доволі		adv  0
ультимативній	adj:f:v_mis  -16
манері		noun:f:v_mis 	 -1
По-друге	adv   0
жахливі		adj:p:v_zna:compb  -24
папки		noun:p:v_zna:bad  0
меню		noun:n:v_zna:nv  0
Враження	noun:p:v_zna  5
від		prep:rv_rod  0
самого		adj:m:v_rod:&pron:def  0
доволі		adv  0
достойного	adj:n:v_rod:compb  19
меню		noun:n:v_naz:nv  0
було		verb:past:n:imperf  0
зіпсоване	adjp:pasv:past:n:v_na -25
