Кілька	             		noun:f:v_naz:anim (numr:p:v_rod:&pron:ind )
в            	            prep:rv_mis:v-u 
чеку	                    noun:m:v_mis 
батьки	                   	noun:p:v_naz:anim 
перестали      	        	verb:past:p:perf 
ходити       	          	verb:inf:imperf 
та           	            conj:coord 
я             	            pron:pers:s:1:v_naz:anim 
все          	            part:v-u
ж              	            part 
постійно    	         	adv 
приходила	            	verb:past:f:imperf 
на	                        prep:rv_zna 
піцу	                    noun:f:v_zna 
кожного      	          	adj:m:v_rod:&pron:def
разу	                    noun:m:v_rod 
замовляла    	        	verb:past:f:imperf 
одну         	            numr:f:v_zna 
і            	            conj:coord 
ту           	            adj:f:v_zna:&pron:dem 
ж	                        part 
по            	            prep:rv_zna 
декілька	             	numr:p:v_zna:&pron:ind 
разів	                    noun:p:v_rod 
на           	            prep:rv_zna:rv_mis 
місяць	                   	noun:m:v_zna 
Кожного      	          	adj:m:v_rod:&pron:def 
разу	                    noun:m:v_rod 
я	                        pron:pers:s:1:v_naz:anim 
чекаю	                   	verb:pres:s:1:imperf 
чогось	                    pron:ind:n:v_rod
нового       	            adj:n:v_rod:compb 
то          	            conj:subord 
сік          	            noun:m:v_zna
не	                        part 
той          	            adj:m:v_zna:&pron:dem 
принесли     	       		verb:past:p:perf 
то	                        conj:subord 
не	                        part 
доклали	                 	verb:past:p:perf 
інгредієнти  	       		noun:p:v_naznoun:p:v_zna 
які         	            adj:p:v_naz:&pron:int:rel:def
замовлялися	          		verb:rev:past:p:imperf 
то	                        conj:subord 
взагалі	                  	adv:v-u 
піца	                    noun:f:v_naz 
не	                        part 
та	                     	conj:coord (pron:ind:s:v_naz:anim) 
Щоб	                        part 
колись         	           	adv:&pron:ind
вибачився	           		verb:rev:past:m:perf 
хтось	                   	pron:ind:v_naz:anim 
Ні	                        part 
жодного      	           	adj:m:v_rod:&pron
разу         	            noun:m:v_rod 
Але                         conj:coord 
сьогодні	             	adv 
це	                     	adj:n:v_naz:&pron:dem(part)
перейшло     	          	verb:past:n:perf 
всі	                        adj:p:v_zna:&pron:dem
межі         	            noun:p:v_zna 
Ми	                        pron:pers:p:1:v_naz:anim
з	                        prep:rv_oru
моїм          	            adj:m:v_oru:&pron:pos
хлопцем        	          	noun:m:v_oru:anim 
прийшли     	           	verb:past:p:perf 
о	                        prep:rv_zna:rv_mis 
16:30	                   	time 
замовили	             	verb:past:p:perf 
піцу	                    noun:f:v_zna 
велика	                	adj:f:v_naz:compb 
і	                        conj:coord 
з	                        prep:rv_oru
додатковою	            	adj:f:v_oru 
кукурудзою	             	noun:f:v_oru 
Близько      	           	adv:compb 
17	                        number 
прийшли	                    verb:past:p:perf 
ще	                        part 
якісь          	            adj:p:v_naz:&pron:ind 
клієнти	                    noun:p:v_naz:anim 
зробили      	           	verb:past:p:perf 
замовлення	            	noun:n:v_zna 
і           	            conj:coord 
їм	                        pron:pers:p:3:v_dav:anim
майже	                    adv  
одразу	                    adv 
принесли                	verb:past:p:perf 
їх           	            pron:pers:p:3:v_zna:anim
замовлення	            	noun:n:v_zna 
а            	            conj:coord 
нам          	            pron:pers:p:1:v_dav:anim
так          	            adv:&pron:dem
нічого        	            pron:neg:v_rod 
і                           conj:coord 
нема        	            predic 
хоч	                        part 
тарілки	                  	noun:p:v_zna 
принесли	              	verb:past:p:perf 
одразу	                    adv 
Піцу	                    noun:f:v_zna 
принесли	    		 	verb:past:p:perf 
нам                         pron:pers:p:1:v_dav:anim 
в	                        prep:rv_zna:rv_mis:rv_rod:v-u 
17:08	                    time 
Сиру	                    adj:f:v_zna 
не	                        part 
ту           	            adj:f:v_zna:&pron:dem 
яку	                       	adj:f:v_zna:&pron:int:rel:def
ми	                        pron:pers:p:1:v_naz:anim 
замовляли	             	verb:past:p:imperf 
та          	            conj:coord 
і	                        conj:coord
взагалі      	           	adv:v-u 
важко	                    adv:compb 
було	                    verb:past:n:imperf 
здогадатися	           		verb:rev:inf:perf 
що	                        conj:subord 
саме        	            part
це            	         	adj:n:v_naz:&pron:dem (part)
була	                    verb:past:f:imperf 
за           	            prep:rv_rod:rv_zna:rv_oru 
піца	                    noun:f:v_naz 
адже	                    conj:subord
начинки	                   	noun:f:v_rod
на          	            prep:rv_mis 
ній	                        pron:pers:f:3:v_mis:anim 
майже	                    adv 
не            	            part 
було                     	verb:past:n:imperf 
як	                        conj:subord 
і             	            conj:coord 
кукурудзи	             	noun:f:v_rod 
Піца	                    noun:f:v_naz 
була	                    verb:past:f:imperf 
ЦІЛКОМ	                    adv 
і            	            conj:coord 
ПОВНІСТЮ     	          	adv 
сирою        	            adj:f:v_oru 
Ми          	            pron:pers:p:1:v_naz:anim 
вирішили	              	verb:past:p:perf 
її	                        pron:pers:f:3:v_rod:anim 
спробувати	            	verb:inf:perf 
і            	            conj:coord 
таки        	            part 
вона	                    pron:pers:f:3:v_naz:anim 
була	                    verb:past:f:imperf 
сира	                    adj:f:v_naz 
від	                        prep:rv_rod 
чого	                    pron:int:rel:n:v_rod 
у	                        prep:rv_zna:rv_mis:rv_rod:v-u 
нас	                        pron:pers:p:1:v_rod:anim 
одразу       	          	adv 
животи	                  	noun:p:v_zna 
Піцу	                    noun:f:v_zna 
ми	                        pron:pers:p:1:v_naz:anim 
так         	            part 
і	                        conj:coord 
залишили	              	verb:past:p:perf 
і            	            conj:coord 
вирішили                 	verb:past:p:perf 
подзвонити	          		verb:inf:perf 
до	                        prep:rv_rod 
офіціантів	             	noun:p:v_rod:anim 
ми	                        pron:pers:p:1:v_naz:anim 
сиділи	                   	verb:past:p:imperf 
в	                        prep:rv_mis:v-u 
нижньому	               	adj:m:v_mis 
залі	                    noun:m:v_mis 
Подзвонили    	       		verb:past:p:perf 
ми	                        pron:pers:p:1:v_naz:anim 
близько	                 	adv:compb 
5	                        number 
разів	                    noun:p:v_rod 
З            	            prep:rv_oru 
перервою	              	noun:f:v_oru 
у	                        prep:rv_mis:v-u 
декілька	             	numr:p:v_zna:&pron:ind 
хвилин      	          	noun:p:v_rod 
Нарешті	                  	adv  
прийшла	                   	verb:past:f:perf 
привітна     	       		adj:f:v_naz:compb 
дівчинка	             	noun:f:v_naz:anim 
і	                        conj:coord 
якщо	                    conj:subord 
чесно	                   	adv:compb 
то	                        conj:subord 
не	                        part 
хотілося	             	verb:unknown 
саме	                    part 
їй           	            pron:pers:f:3:v_dav:anim 
псувати       	          	verb:inf:imperf 
настрій     	          	noun:m:v_zna 
і	                        conj:coord 
підставляти	         		verb:inf:imperf 
її                          pron:pers:f:3:v_zna:anim 
адже	                    conj:subord
замовлення	          		noun:n:v_zna 
брала	                  	verb:past:f:imperf 
у	                        prep:rv_rod:v-u 
нас	                        pron:pers:p:1:v_rod:anim
не            	            part 
вона	                    pron:pers:f:3:v_naz:anim 
Ваше	                    adj:n:v_naz:&pron:pos (pron:rel:p:1:v_rod:anim)
приходьте      	        	verb:impr:p:2:imperf 
ще	                        part 
і	                        conj:coord 
миле	                   	adj:n:v_zna:compb 
Гарного	                   	adj:m:v_rod:compb 
дня	                        noun:m:v_rod 
можете        	            verb:unknown 
засунути	           		verb:inf:perf 
собі          	            pron:refl:m:v_dav
в              	            prep:rv_zna:v-u 
одне	                    numr:n:v_zna 
місце         	           	noun:n:v_zna 
Не	                        part 
думаю	                  	verb:pres:s:1:imperf 
що	                      	conj:subord
ще           	            part 
хоч                     	part 
колись              		adv:&pron:ind 
захочу	                 	verb:unknown 
до	            			prep:rv_rod 
Вас	                        pron:pers:p:2:v_rod:anim
прийти	                	verb:inf:perf 
думаю	                  	verb:pres:s:1:imperf 
пора	                    noun:f:v_naz 
викидати	             	verb:inf:imperf 
картку	                   	noun:f:v_zna 
постійного	           	 	adj:m:v_rod
клієнта     	          	noun:m:v_rod:anim
вашого	                    adj:m:v_rod:&pron:pos 
закладу	                  	noun:m:v_rod 
Як	                        adv:&pron:int:rel
ви            				pron:pers:p:2:v_naz:anim
там           	            part 
кажете	                   	verb:pres:p:2:imperf 
Гарного	                   	adj:m:v_rod:compb 
Вам           	            pron:pers:p:2:v_dav:anim
дня	                        noun:m:v_rod 
Доброго	                   	adj:m:v_rod:compb
дня	                        noun:m:v_rod 
друзі	                    noun:p:v_kly:anim
Сьогодні	             	adv 
в	                        prep:rv_zna:v-u 
який         	            adj:m:v_zna:&pron:int:rel:def
раз	                        noun:m:v_zna 
зателефонувала	   			verb:past:f:perf 
дівчатам	      			noun:p:v_dav:anim 
щоб                     	conj:subord
замовити	             	verb:inf:perf 
столик	                  	noun:m:v_zna 
щоп'ятниці	           		adv 
по	                        prep:rv_mis:rv_zna (prep:rv_dav)
можливості	           		noun:f:v_dav
відвідую	          		verb:pres:s:1:imperf 
даний	                  	adjp:pasv:past:m:v_zna 
заклад	                  	noun:m:v_zna 
і	                        conj:coord 
випадково	            	adv 
прочитала	            	verb:past:f:perf 
відгуки	                   	noun:p:v_zna 
я             	            pron:pers:s:1:v_naz:anim 
вражена	               		adjp:pasv:past:f:v_naz 
негативом	             	noun:m:v_oru 
від	                        prep:rv_rod 
декількох	            	numr:p:v_rod:&pron:ind
відвідувачів	       		noun:p:v_rod:anim 
я	                        pron:pers:s:1:v_naz:anim 
не	                        part 
сперечаюсь	        		verb:rev:pres:s:1:imperf 
що	                        conj:subord 
кожен	                	adj:m:v_naz:contr 
може	                   	verb:unknown 
висловити	           		verb:inf:perf 
своє	                    adj:n:v_naz:&pron:pos (pron:pos:s:1:v_naz:anim)
думку	                   	noun:f:v_zna 
та	                        conj:coord 
враження	            	noun:n:v_zna 
але	                        conj:coord 
давайте	                  	verb:impr:p:2:imperf 
оцінювати	          		verb:inf:imperf 
тверезо	                	adv:compb 
і	                        conj:coord 
з	                        prep:rv_rod:rv_zna:rv_oru
позитивом	            	noun:m:v_oru 
Заклад	                  	noun:m:v_naz 
затишний	            	adj:m:v_naz:compb 
кухня	                  	noun:f:v_naz 
неперевершена	  			adj:f:v_naz:&adjp:pasv:past 
обслуговування	  			noun:n:v_naz 
хороше	            	   	adj:n:v_naz:compb 
а	                       	conj:coord 
музика	                 	noun:f:v_naz  
Барви	                 	noun:p:v_naz
Блюзу	                	noun:m:v_rod 
драйвова	           		adj:f:v_naz:slang 
і	                        conj:coord 
для	                        prep:rv_rod 
душі	                    noun:f:v_rod 
дорого	                  	adv:compb 
не	                        part 
підходить	          		verb:pres:s:3:imperf 
ідіть	                    verb:impr:p:2:imperf 
в	                        prep:rv_zna:v-u 
генделик	        		noun:m:v_zna 
Я	                        pron:pers:s:1:v_naz:anim 
вважаю        	         	verb:pres:s:1:imperf 
що                          conj:subord  
такі         	           	adj:p:v_zna:&pron:def 
відгуки      	          	noun:p:v_zna 
знаючи	                   	advp:imperf 
даний	                   	adjp:pasv:past:m:v_zna 
заклад	                  	noun:m:v_zna 
залишають	            	verb:pres:p:3:imperf 
люди	                    noun:p:v_naz:anim 
які	                        adj:p:v_naz:&pron:int:rel:def (conj:subord)
самі        	            adj:p:v_naz:&pron:def
в            	            prep:rv_mis:v-u 
житі	                    noun:n:v_mis 
нічого	                    pron:neg:v_rod 
не	                        part 
реалізовані	        		adjp:pasv:past:p:v_zna 
і	                        conj:coord 
не          	            part 
зовсім	                 	adv 
чітко	                   	adv:compb 
розуміють	           		verb:pres:p:3:imperf 
як	                        conj:subord
важко         	           	adv:compb 
працюють    	       		verb:pres:p:3:imperf 
всі	                        adj:p:v_naz:&pron:dem 
працівники    	       		noun:p:v_naz:anim 
закладу	                  	noun:m:v_rod  
Дякую	                	verb:pres:s:1:imperf 
всім	                    adj:p:v_dav:&pron:dem 
тим	                        adj:p:v_dav:&pron:dem 
хто	                        pron:int:rel:m:v_naz:anim
працює	        			verb:pres:s:3:imperf 
для         	            prep:rv_rod 
нас	                        pron:pers:p:1:v_rod:anim
за	                        prep:rv_rod:rv_zna:rv_oru
нас	                        pron:pers:p:1:v_rod:anim
і	                        conj:coord 
заради	             	    prep:rv_rod 
нашого	                    adj:m:v_rod:&pron:pos 
відпочинку	         		noun:m:v_rod 
а	                        conj:coord 
директору	           		noun:m:v_dav:anim 
бажаю	                  	verb:pres:s:1:imperf 
менше        	           	adv:compr 
а	                        conj:coord
краще	         			adj:n:v_naz:compr (adv)
взагалі      	        	adv:v-u 
не	                        part 
звертати    	        	verb:inf:imperf 
увагу                 		noun:f:v_zna 
на	                        prep:rv_zna 
ці	                     	adj:p:v_zna:&pron:dem 
відгуки	                 	noun:p:v_zna 
З	                        prep:rv_oru
найкращими	            	adj:p:v_oru:super 
побажаннями	         	  	noun:p:v_oru 
з	                        prep:rv_oru
повагою	                  	noun:f:v_oru 
Олена	                  	noun:f:v_naz:anim:fname
Ціни	                    noun:p:v_naz 
зараз	                    adv:&pron:dem
фантастично	         	 	adv:compb 
дорогі	                  	adj:p:v_naz:compb 
За	                        prep:rv_zna
4	                        number 
стейки	                   	noun:p:v_zna 
2	                        number 
картоплі	           	 	noun:f:v_rod 
та	                        conj:coord 
2	                        number 
порції	                 	noun:p:v_zna 
овочів                      noun:p:v_rod 
та	                        conj:coord
2	                        number 
пива	                    noun:p:v_zna 
заплатили	            	verb:past:p:perf 
800	                        number 
гривен	                   	noun:p:v_rod 
декілька	             	numr:p:v_zna:&pron:ind 
місяців                    	noun:p:v_rod 
