Lesiv 20-30 female
яким 	             	    pron:int:rel:def                                                     0
воно 	                 	pron:pers:n:3:v_naz 0
не       	          	    part -5
було 	             	    verb:past:n:imperf 0
Придбав 	    	    verb:past:m:perf 0
на       	            prep:rv_zna 0
подарунок 	      	    noun:m:v_zna 40
тільки 	              	part 0
квадратик 	    	    noun:m:v_zna 0
плитки 	               	noun:f:v_rod                                0
молочного 	        	adj:m:v_rod                                30
шоколаду 	      	    noun:m:v_rod 40
з 	                    prep:rv_oru 0
цільними 	      	    adj:p:v_oru 0
горіхами 	        	    noun:p:v_oru                  	    40
Вага 	                 	noun:f:v_naz 0
десь 	            	    adv 0
ціна 	                    noun:f:v_naz 0
грн 	              	    noun:f:v_naz:nv:abbr                          0
Але 	                     conj:coord                                 0
туристи 	        	    noun:p:v_naz:anim 10
поряд 	                   prep:rv_oru  0
мною 	                   	pron:pers:s:1:v_oru:anim 0
з 	                        	prep:rv_rod 0
сусіднього 	          	adj:m:v_rod                         					 10
ситого 	                 	adj:m:v_rod                                 10
Євросоюзу 	         	noun:m:v_rod					 10
набирали 	    	    verb:past:p:imperf 0
ці       	         	    pron:dem                                0
всі 	                    pron:dem 0
шоколадні 	    	    adj:p:v_zna 30
ручні 	               	adj:p:v_zna 0
витвори 	           	noun:p:v_zna 0
кондитерського  	   adj:n:v_rod                                 40
мистецтва 	           noun:n:v_rod                                 40
цілими   	            	adj:p:v_oru 0
кошиками 	           	noun:p:v_oru 0
зарплатня 	    	    noun:f:v_naz 5
ж 	                    	    part				 0
мабуть   	       	    insert 0
не 	                       	part -5
така 	                 	pron:def 0
як 	                          conj:subord                                 0
у 	                        	prep:rv_rod:v-u 0
нас 	               	    pron:pers:p:1:v_rod:anim                                 0
на 	                       	prep:rv_mis 0
Україні 	         	noun:f:v_mis 50
Взагалі 	             adv:v-u 0
заклад 	           	    noun:m:v_naz                                 20
сподобався 	    	    verb:rev:past:m:perf 30
ще      	           	    part 30
й 	                    	    part 0
шоколадом 	      	    noun:m:v_oru	 40
пахне 	           verb:pres:s:3:imperf  10
за                     	    prep:rv_oru 0
скляною 	       	    adj:f:v_oru 0
стіною 	            	    noun:f:v_oru 0
його 	                    pron:pos                             0
роблять 	       	    verb:pres:p:3:imperf 0
і 	                   	    conj:coord                0
ти 	                          pron:pers:s:2:v_naz:anim 0
можеш         	           verb:unknown 0
спостерігати        verb:inf:imperf	 0
це 	                  	    pron:dem                                 0
дійство 	         	noun:n:v_zna 5
Але 	              	    conj:coord 5
без 	               	    prep:rv_rod	 0
фанатизму 	    	    noun:m:v_rod 							    0
всі 	             	    pron:dem                                 0
цукерки 	         	noun:p:v_zna 40
скуштувати 	    	    verb:inf:perf 40
за 	                      	prep:rv_zna 0
такі 	            	    pron:def                                 0
гроші 	                   noun:p:v_zna                 10
все	одно 	          adv            0
не        	            	    part -5
вийде 	           verb:futr:s:3:perf 0
бо 	                   	    conj:subord                                 0
грошей 	            	    noun:p:v_rod 10
не 	                   	    part -5
вистачить 	    	    verb:futr:s:3:perf 10
Черги 	         	        noun:p:v_naz                               								 -30
це       	       	        pron:dem 0
не        	        	        part -5
найстрашніше            adj:n:v_zna:super                				 -50
На           	              prep:rv_mis 0
першому 	     	        adj:m:v_mis                                 0
поверсі 	    	        noun:m:v_mis 0
у 	                	        prep:rv_rod:v-u 0
кав'ярні 	           noun:f:v_rod                                 30
працюють 	    	    verb:pres:p:3:imperf 0
дуже 	                    adv      0
приємні 	            adj:p:v_naz:compb                                 40
люди 	         	        noun:p:v_naz:anim								 10
але 	         	        conj:coord                              0
у 	                           prep:rv_rod:v-u 0
крамниці 	    	    noun:f:v_rod                                								 30
люди 	        	         noun:p:v_naz:anim 10
дуже 	                    adv                 0
хамовиті 	            adj:p:v_zna -40
Зазвичай 	             adv 0
так 	              	    part 0
себе 	          	        pron:refl:m:v_zna                                0
не            	              part -5
поводять 	    	    verb:pres:p:3:imperf 0
коли 	                    conj:subord                                              0
зацікавлені         adjp:pasv:past:p:v_naz                                 30
щось 	                    pron:ind:n:v_zna 0
продати 	             verb:inf:perf 0
Адміністрація 	   noun:f:v_naz 0
мала 	                     verb:past:f:imperf 0
б 	                           part 0
звернуту 	            verb:past:f:imperf 0
увагу 	                   noun:f:v_zna 10
на   	                     	prep:rv_zna 0
ввічливість 	 	noun:f:v_zna:v-u 40
продавців 	         	noun:p:v_rod:anim	 5
Ми 	                          pron:pers:p:1:v_naz:anim 0
були 	                	verb:past:p:imperf 0
в 	                        	prep:rv_mis:v-u 0
серпні       	        	noun:m:v_mis                                 0
Одного 	                	numr:m:v_rod                                 0
разу 	                 	noun:m:v_rod 0
мала 	                    verb:past:f:imperf 0
можливість   		    noun:f:v_zna 10
тут 	                     adv 0
побувати 	            verb:inf:perf 10
дуже 	                    adv                 0
хотіла    	              verb:unknown 0
знати    	        	    verb:inf:imperf 0
що       	           	    conj:subord                                 0
ж 	                          	part 0
це 	                      	pron:dem                                 0
за 	                          prep:rv_zna 0
ресторан 	    	    noun:m:v_zna 20
Поплавського         noun:m:v_rod:anim:lname -30
Була 	                    verb:past:f:imperf 0
зимою 	             	    noun:f:v_oru 10
склалося 	    	    verb:rev:past:n:perf 0
приємне 	    	    adj:n:v_naz:compb                                 30
враження 	     	    noun:n:v_naz                                 30
про 	                 	prep:rv_zna 0
заклад   	           	noun:m:v_zna					 20
тепла     	              adj:f:v_naz:compb                 20
затишна 	    	    adj:f:v_naz:compb 20
атмосфера 	    	    noun:f:v_naz 20
Смакувала      		    verb:past:f:imperf 20
борщиком 	       	    noun:m:v_oru 30
та       	           	    conj:coord                               0
телятиною 	    	    noun:f:v_oru 20
з         	             	    prep:rv_oru 0
овочами 	         	    noun:p:v_oru	 30
Страви 	           	    noun:p:v_naz                                 10
смачні   	      	    adj:p:v_zna:compb								 30
гарна    	              adj:f:v_naz:compb 30
а 	                     	    conj:coord                                 0
головне 	   adv 5
своєчасна 	    	    adj:f:v_naz 20
подача   	           	noun:f:v_naz 0
Єдиним  	       	    adj:m:v_oru                                 0
мінусом 	        	    noun:m:v_oru -40
є         	         	    verb:pres:p:3:imperf                                 0
високі 	         	    adj:p:v_naz:compb                                 30
ціни 	                    noun:f:v_naz						 0
особисто 	    	    adv:compb 0
для 	                     prep:rv_rod 0
мене 	                	    pron:pers:s:1:v_rod:anim 0
цей 	                  	pron:dem                                 0
заклад  	       	    noun:m:v_naz                                 20
не        	                  part -5
для 	                     prep:rv_rod 0
частого 	        	    adj:n:v_rod:compb 0
відвідування    	noun:n:v_rod   20
ОГО 	                     excl 10
скільки 	          	numr:p:v_naz 0
різних 	        	        adj:p:v_rod                                 0
відгуків 	              noun:p:v_rod 10
Проблема 	    	    noun:f:v_naz -30
літнього 	    	        adj:m:v_rod                                 30
сезону       	    	    noun:m:v_rod 0
у              	          	    prep:rv_mis:v-u 0
Львівських 	     	    adj:p:v_mis                                 50
закладах 	       	    noun:p:v_mis 20
популярність 	    noun:f:v_naz                                						    20
яка 	          conj:subord 0
львів'янам   		    noun:p:v_dav:anim 50
вже 	             	    adv:v-u 0
сильно       	   	    adv:compb 10
остогидла 	         verb:past:f:perf -50
і 	                        	conj:coord                                 0
дійсно 	               	adv 0
я 	                    	    pron:pers:s:1:v_naz:anim 0
своїх 	            	    pron:pos                                 0
гостей 	             	    noun:p:v_rod:anim                                 10
намагаюся    		    verb:rev:pres:s:1:imperf 0
просто 	           	    adv:compb                                 0
завести                  verb:inf:perf 0
показати        	    verb:inf:perf 0
таке 	             	    pron:def                                 0
наше 	               	    pron:pos                                 0
диво 	             	    noun:n:v_zna				 40
Майстерня 	           noun:f:v_naz 40
Шоколаду 	      	    noun:m:v_rod 								 40
яка 	          conj:subord 0
вражає 	           	    verb:pres:s:3:imperf 20
всіх 	             	    pron:dem                                 20
ласунів 	        	    noun:p:v_rod:anim  30
По 	                       	prep:rv_mis: 0
смакоті 	         	noun:f:v_mis						 0
дійсно 	           	    adv 0
поки 	            	    conj:subord 0
що             	 part        0
найбільший   	  	    adj:m:v_naz:super                                 30
вибір        	   	    noun:m:v_naz                                 10
і 	                     	    conj:coord                                 0
дуже         	            adv            0
смачно 	            	    adv:compb 40
по           	       	    prep:rv_mis 0
цінах 	             	    noun:p:v_mis 0
власники 	      	    noun:p:v_naz:anim							 0
скоро 	            	    adv:compb 0
луснуть 	      	    verb:futr:p:3:perf -40
від 	               	    prep:rv_rod 0
жадності 	    	    noun:f:v_rod                                 -40
Є 	                 	    verb:pres:p:3:imperf                                 0
кав'ярні 	    кав'ярня	    noun:p:v_naz                                							 30
де           	conj:subord            0
можна       	    	    predic 0
набагато 	    	    adv 0
спокійніше   	       adj:n:v_naz:compr                                                 20
випити      	   	    verb:inf:perf 0
каву 	            	    noun:f:v_zna 30
з 	                    	    prep:rv_oru 0
авторськими 		    adj:p:v_oru 0
цукерками        	    noun:p:v_oru 40
біля 	             	    adv 0
Арсеналу 	      	    noun:m:v_rod							 0
на 	                  	    prep:rv_mis	 0
Краківській 		    adj:f:v_mis							 0
Вероніка 	            noun:f:v_naz:anim:fname  0
Бо 	                  	     part 0
коли 	                    conj:subord                  0
платиш 	          	    verb:pres:s:2:imperf 0
такі 	             	    pron:def                                 0
гроші 	                   noun:p:v_zna 			 10
хочеться 	    	    verb:unknown	 0
і 	                   	    conj:coord                                 0
солодкого    	 	    adj:n:v_zna:compb 40
забуття 	      	    noun:n:v_zna 40
Теж 	              part 0
два 	              	    numr:p:v_zna                                 0
роки 	              	    noun:p:v_zna 0
тому 	                    adv                               0
не 	                          part -5
могла 	            	    verb:unknown 0
оминути 	       	    verb:inf:perf 0
цей 	              	    pron:dem                                 0
заклад 	           	    noun:m:v_zna					 20
але 	              	    conj:coord                                0
зараз 	                   adv                 0
відчувається 		    verb:rev:pres:s:3:imperf 0
що 	                   	    conj:subord                                 0
запах 	                   noun:m:v_naz                                 20
купюр 	                  noun:p:v_rod 5
тут 	              	    adv 0
перебиває 	    	    verb:pres:s:3:imperf -40
аромат 	           	    noun:m:v_zna 20
шоколаду     	    	     noun:m:v_rod 40
Але 	                 	conj:coord                                 0
в 	                    	    prep:rv_mis:v-u 0
якості        	   	    noun:f:v_mis                                 0
туриста      	          noun:m:v_rod:anim                                 5
зайти        	   	    verb:inf:perf 0
варто 	            	    predic 0
Повертаючись 	       advp:rev:imperf 0
з 	                          prep:rv_rod 0
відпочинку 	          noun:m:v_rod 50
заїхали      	         verb:past:m:perf 0
пообідати    	       verb:inf:perf 0
з 	                           prep:rv_oru 0
дітьми 	                    noun:p:v_oru:anim 20
в 	                      	    prep:rv_zna:v-u 0
Батьківську 		adj:f:v_zna 20
хату 	                    noun:f:v_zna   20
на           	      	    prep:rv_mis 0
трасі 	             	    noun:f:v_mis 0
Одеса-Київ 	     	    noun:f:v_naz 0
очікували 	           verb:past:p:imperf 0
кращого 	    adv:compr                              15
Замовлення 	       	 noun:n:v_zna                                 20
чекали   	              verb:past:p:imperf 0
хвилин 	              	noun:p:v_rod 0
але 	                  	conj:coord                                 0
було 	                    verb:past:n:imperf 0
дуже 	                    adv                 0
багато  	              numr:p:v_rod 0
людей    	               	noun:p:v_rod:anim                                			 10
можна 	                 	predic 0
і 	                        	conj:coord 0
не 	                          part -5
звертати 	         	verb:inf:imperf 0
увагу 	                   noun:f:v_zna 0
Фірмовий 	         	adj:m:v_naz                                 20
борщ 	                  	noun:m:v_naz                                 20
у 	                       	prep:rv_mis:v-u 0
хлібі 	                 	noun:m:v_mis 20
був 	                    verb:past:m:imperf 0
зовсім  	           	adv 0
холодний 	         	adj:m:v_zna:compb						 -20
куряча 	              	adj:f:v_naz 5
грудка 	                  noun:f:v_naz 5
з 	                        	prep:rv_oru 0
грибним 	          	adj:m:v_oru                                 10
соусом  	                noun:m:v_oru 10
і         	              	conj:coord 0
рисом 	                  	noun:m:v_oru -10
теж 	                 	part 0
холодна 	   adj:f:v_zna:compb -30
А 	                          	conj:coord                                0
смажена 	         	adjp:pasv:past:f:v_naz -10
картопля 	            noun:f:v_naz -10
мабуть 	                 	insert 0
смажилась 	        	verb:rev:past:f:imperf 0
за 	                          prep:rv_zna 0
день 	                 	noun:m:v_zna 0
до       	                	prep:rv_rod 0
замовлення 	         	noun:n:v_rod 0
Але 	                  	conj:coord                                0
найбільше 	             adv:super 30
образило 	         	verb:past:n:perf -50
те                           pron:dem                           0
що       	               	conj:subord                                 0
фірмові 	         	adj:p:v_naz                                 10
вареники 	          	noun:p:v_naz                                 20
з         	                	prep:rv_oru 0
вишнями 	            	noun:p:v_oru 10
які 	        conj:subord                                 0
замовляли 	           verb:past:p:imperf 0
дитині 	                 	noun:f:v_dav:anim                                						 20
були 	                    verb:past:p:imperf 0
недоварені 	      	adj:p:v_zna                                 -50
Була 	                    verb:past:f:imperf 0
кращої 	              	adj:f:v_rod:compr 10
думки    	             	noun:f:v_rod							 10
але 	                	    conj:coord                                 0
тепер 	                 	adv 0
дуже     	                adv                 0
розчарована      adjp:pasv:past:f:v_zna -50
Ресторан      	 	    noun:m:v_naz                                 20
дійсно   	              adv 0
чудовий 	      	    adj:m:v_zna:compb                                 30
Ціни 	                    noun:f:v_naz                              0
доступні 	     	    adj:p:v_zna:compb                                10
кожному 	              pron:def                               							 0
до       	                  prep:rv_rod 0
відвідувачів 		    noun:p:v_rod:anim                                 0
відносяться     	    verb:rev:pres:p:3:imperf 10
з         	                	prep:rv_oru 0
повагою 	            	noun:f:v_oru 20
А 	                        	conj:coord                                 0
головне 	    adv                  							 10
це      	              	pron:dem						 0
сімейна 	    	    adj:f:v_naz 20
атмосфера 	    	    noun:f:v_naz 20
яку 	      conj:subord              0
не        	                  part -5
в          	                  prep:rv_mis:v-u 0
кожному 	       	    pron:def                                 0
ресторані 	    	    noun:m:v_mis 20
можна 	            	    predic 0
відчути 	      	    verb:inf:perf 10
І              	               conj:coord                                 0
обов'язково     	    adv 0
скуштуйте 	    	    verb:impr:p:2:perf 10
вареники 	       	    noun:p:v_zna 20
з 	                           prep:rv_oru 0
вишнями 	       	    noun:p:v_oru 10
й 	                     	    conj:coord                                 0
сметаною 	     	    noun:f:v_oru -10
ось 	                    	part 0
про      	         	    prep:rv_zna 0
це      	         	    pron:dem                                 0
ви 	                       	pron:pers:p:2:v_naz:anim 0
точно    	            	adv 0
не       	               	part -5
пожалкуєте 	    	    verb:futr:p:2:perf -50
Львівська 	       	adj:f:v_naz 50
майстерня 	          	noun:f:v_naz 40
шоколаду 	          	noun:m:v_rod 40
просто 	             	    adv:compb                                                             0
і 	                        	conj:coord                                 0
взагалі 	       	    adv:v-u 0
це 	                       	pron:dem 0
класно 	              	adv  20
Я 	                        	pron:pers:s:1:v_naz:anim 0
б 	                        	part 0
її                          pron:pers:f:3:v_zna:anim                                 0
всю 	                 	pron:dem 0
з'їла 	              	verb:past:f:perf 20
Шоколад            	    noun:m:v_naz                                 40
тут 	                     adv 0
насправді 	     	    adv                                 0
дуже 	                    adv                 0
смачний 	      	    adj:m:v_zna:compb                                 50
і         	            	    conj:coord                                 0
дуже 	                    adv                 0
якісний 	     	    adj:m:v_zna:compb                                40
Краще 	       adv    40
з'їсти 	                  verb:inf:perf 20
щось     	             	pron:ind:n:v_zna 0
але 	                     conj:coord                                 0
якісне 	          	    adj:n:v_zna:compb                                						 40
ніж 	                 	conj:subord                                 0
дешеве 	          	    adj:n:v_naz:compb                                 5
і 	                        	conj:coord                                 0
порошок 	     	    noun:m:v_naz                                 -10
 І	                        	conj:coord                                 0
великий 	          	adj:m:v_naz:compb                                 20
асортимент 	       	noun:m:v_naz                                 20
товару   	            	noun:m:v_rod 20
І 	                        	conj:coord 0
персонал 	     	    noun:m:v_naz                                 5
тут 	                     adv 0
також 	            	    adv                                 0
дуже     	                adv                 0
привітний 	    	    adj:m:v_naz:compb                                 30
і           	        	    conj:coord                                 0
уважний 	      	    adj:m:v_zna:compb                                 40
Давненько 	           adv 0
я         	               	pron:pers:s:1:v_naz:anim 0
вже 	                 	adv:v-u 0
не        	               	part -5
заїжджав 	    	    verb:past:m:imperf 0
в          	             	    prep:rv_zna:v-u 0
Батьківську     	adj:f:v_zna 20
хату 	                    noun:f:v_zna 20
Все 	                     pron:dem                                 0
якось 	                   pron:ind 0
не 	                   	    part -5
має 	                    verb:pres:s:3:imperf                 0
часу 	              	    noun:m:v_rod 30
Але 	               	    conj:coord                                 0
останній 	         	adj:m:v_naz 0
раз 	                  	oun:m:v_naz 0
коли     	                conj:subord 0
я         	                   pron:pers:s:1:v_naz:anim 0
там 	                  	adv                                 0
був 	            	    verb:past:m:imperf 0
залишився 	    	    verb:rev:past:m:perf 0
задоволеним     	    adjp:pasv:past                                 50
і 	                   	    conj:coord                                 0
ситим 	                	adj:m:v_oru                                							 50
як           	       	    conj:subord                                 0
і 	                        	 part 0
завжди  	       	    adv 0
Офіціанти    		    noun:p:v_naz:anim 0
ввічливі 	    	    adj:p:v_zna:v-u							 0
заказ 	        0
приносять 	    	    verb:pres:p:3:imperf 0
вчасно  	              adv 5
Не 	                          part 0
знаю 	                   verb:pres:s:1:imperf 0
можливо 	      	    adv 0
у        	             	    prep:rv_rod:v-u 0
них 	             	    pron:pers:p:3:v_rod:anim 0
щось     	                pron:ind:n:v_zna 0
змінилося 	    	    verb:rev:past:n:perf 0
але 	              	    conj:coord 0
надіюсь 	    	    verb:rev:pres:s:1:imperf 10
що         	               	conj:subord                                0
на 	                       	part                                 0
краще 	         	    adj:n:v_zna:compr 10
Адже 	            	    part 0
Поплавський     	    noun:m:v_naz:anim:lname -30
все 	                     pron:dem                                 0
робить   	              verb:pres:s:3:imperf 0
для 	                     prep:rv_rod 0
того 	                     pron:dem                                						 0
щоб 	                  	conj:subord 0
клієнт   	       	    noun:m:v_naz:anim 5
почував 	    	    verb:past:m:imperf 10
себе 	            	    pron:refl:m:v_rod                                 0
комфортно 	    	    adv:compb 30
Так 	                      part 0
була 	                    verb:past:f:imperf 0
В 	               	        prep:rv_rod:v-u 0
майстерні 	           noun:f:v_rod                                 30
класно 	         	        adv 30
Ну       	       	        excl                                 0
ціни 	                    noun:p:v_naz                               0
шоковані 	       	adjp:pasv:past:p:v_zna                                 -30
Піду 	             	    verb:futr:s:1:perf 0
думаю 	           	    verb:pres:s:1:imperf 0
куплю 	           	    verb:futr:s:1:perf 0
плитки 	           	    noun:f:v_zna                                 0
шоколаду 	             noun:m:v_rod                                 40
У 	                    	    prep:rv_dav:v-u 0
висновку 	     	    noun:m:v_dav                                 10
цукерки 	      	    noun:p:v_naz                                 30
по       	              	prep:rv_mis:rv_zna 0
Якщо 	                    conj:subord 0
хочете 	           	    verb:unknown 0
поласувати    		    verb:inf:perf 50
більше 	                  adv:compr                 20
беріть 	                	verb:impr:p:2:imperf 0
купу 	                 	noun:f:v_zna 0
грошей   	        	    noun:p:v_rod 10
Ціни 	                    noun:p:v_naz                                0
просто            	    adv:compb 0
добивають 	    	    verb:pres:p:3:imperf -50
Ну 	                  	    excl 0
так 	                  	part 0
на      	              	 prep:rv_zna 0
подарунок 	    	    noun:m:v_zna				 50
гідно    	        	    adv:compb	 0
щось 	            	    pron:ind:n:v_zna 0
таке 	           	    pron:def   0
бо 	                       	conj:subord 0
дійсно   	           	adv 0
смачно 	              	adv:compb 50
Але 	        part       0
якщо 	             	    conj:subord 0
собі 	             	    pron:refl:m:v_dav                                 0
взяти   	        	    verb:inf:perf 0
каву     	             	noun:f:v_zna 40
шоколад 	      	    noun:m:v_zna                                 40
трохи     	               adv 0
цукерок 	      	    noun:p:v_rod 40
то 	                       	conj:subord 0
грн 	                  	nun:p:v_naz:nv:abbr                                 0
за        	                  prep:rv_zna 0
задоволення     	    noun:n:v_zna 40
сидіти   	           	verb:inf:imperf 0
у            	            	prep:rv_zna:rv_mis:rv_rod:v-u 0
вічному 	           	adj:n:v_mis 10
натовпі 	              noun:m:v_mis -50
внизу    	        	    adv:v-u 0
то 	                  	    conj:subord 0
просто  	       	    adv:compb                                0
дорого  	          	adv:compb -10
Нагорі    	              adv 0
надзвичайно     	    adv 0
романтично 	          adv:compb 50
просто 	           	    adv:compb 0
казка   	       	    noun:f:v_naz 50
якщо    	         	    conj:subord 0
приходиш 	    	    verb:pres:s:2:imperf 0
вперше   	       	    adv:v-u 0
Але 	             	    conj:coord 0
щоразу    	       	    adv 0
нічого   	                pron:neg:v_zna                                 0
крім 	                    prep:rv_rod 0
кави 	             	    noun:f:v_rod 40
немає    	               predic 0
самі 	                     pron:def                 0
кавові 	              	adj:p:v_naz 30
напої 	                   noun:p:v_naz                                 30
зроблені 	        	 adjp:pasv:past:p:v_zna 0
абияк 	                   adv -30
щоб 	                  	conj:subord 0
відчепились     	    verb:rev:past:p:perf -30
і             	            	conj:coord 0
поскоріше 	           adv:compr 0
забрались 	    	    verb:rev:past:p:perf -30
Дорого 	                  adv:compb -10
несмачно 	         	adv -20
і 	                     	    conj:coord 0
незатишно 	           adv -20
насправді 	    	    adv 0
Сумно 	            	    adv:compb -30
у         	            	    prep:rv_rod:v-u 0
столиці 	      	    noun:f:v_rod                                 0
кави 	                 	noun:f:v_rod 30
смачну 	          	    adj:f:v_zna:compb 30
і 	                     	    conj:coord 0
доступну 	    	    adj:f:v_zna:compb 10
за 	                     	    prep:rv_oru 0
ціною   	        	    noun:f:v_oru 0
каву 	             	    noun:f:v_zna 30
попити 	                  verb:inf:perf                 10
зараз 	                   adv                0
стає     	     	    verb:pres:s:3:imperf 0
проблемою 	     	    noun:f:v_oru -30
Ніяк 	                 	pron:neg -10
не         	          	    part -5
можу 	           	    verb:unknown 0
відійти 	      	    verb:inf:perf 0
від 	              	    prep:rv_rod 0
обурення 	     	    noun:n:v_rod -30
Сьогодні 	     	    adv 0
була 	                    verb:past:f:imperf 0
в         	          	    prep:rv_zna:v-u 0
майстерні 	           noun:f:v_zna                                 30
вперше 	           	    adv:v-u 30
Купувала 	    	    verb:past:f:imperf 0
коробки 	     	    noun:f:v_zna 0
цукерок 	          	noun:p:v_rod 30
на 	                  	    prep:rv_zna 0
подарунок 	    	     noun:m:v_zna 40
і 	                       	conj:coord 0
для 	                  	prep:rv_rod 0
себе 	                	pron:refl:m:v_rod                                 0
попробувати       	verb:inf:perf 5
Ще 	                          part 0
подумала 	    	    verb:past:f:perf 0
розраховуючись 		advp:rev:imperf 0
на        	          	    prep:rv_mis 0
касі 	             	    noun:f:v_mis						 0
що       	               	conj:subord                                0
вийшло   	       	    verb:past:n:pasv 0
дорожче     	  	    adj:n:v_zna:compr                                			 -10
ніж 	              	    conj:subord                                 0
підрахувала     	    verb:past:f:perf 0
Але 	                  	conj:coord 0
дуже 	                    adv                0
спішилась 	     	    verb:rev:past:f:imperf                                				 -10
тому 	                    conj:subord 0
заплатила 	    	    verb:past:f:perf 0
і 	                  	    conj:coord 0
не      	               	part -5
передивлялась   	verb:rev:past:f:imperf 0
чек          	          	noun:m:v_zna 0
Коли 	                    conj:subord                                0
ж 	                        	part 0
прийшла 	       	    verb:past:f:perf 0
додому 	           	    adv 10
подивилась 	    	    verb:rev:past:f:perf 0
чек 	                  	noun:m:v_zna 0
і         	              	conj:coord 0
перерахувала 		verb:past:f:perf 0
виявилось 	    	    verb:rev:past:n:perf 0
що       	          	    conj:subord                                 0
мені 	                    	pron:pers:s:1:v_dav:anim 0
дописали 	    	    verb:past:p:perf -10
цукерок 	     	    noun:p:v_rod 40
Кожна     	        	    pron:def 0
коштує   	    	    verb:pres:s:3:imperf 0
грн 	             	    noun:f:v_dav:nv:abbr                                0
і         	                 	conj:coord 0
того 	                  	pron:dem                                 0
Звичайно 	            adv:compb 0
сама 	                     pron:def 0
лох 	                	    noun:m:v_naz                                -50
печальний 	    	    adj:m:v_zna			 -40
але 	              	    conj:coord 0
звикла                   verb:past:f:perf 0
людям 	             	    noun:p:v_dav:anim 10
довіряти        	    verb:inf:imperf 10
Більше    	              adv:compr                 10
ніколи 	                	adv 0
туди 	                   	adv 0
не 	                      	part -5
