Barabakh 20-30 female
багато	багато 	numr:p:v_naz:&pron:ind  0
дітей	діти 	noun:p:v_naz:ani 40
які	який 	adj:p:v_naz:&pron:int:rel:def 0
очікували	очікувати verb:past:p:imperf 0
на	на 	prep:rv_zna:rv_mis  0
свято	свято 	noun:n:v_zna  30
і	і 	conj:coord  0
залишились	залишитися verb:rev:past:p:perf  0
розчарованими	розчарований adjp:pasv:past:p:v_oru  -30
не	не 	part  0
було	бути 	verb:past:n:imperf  0
організованості	організованість noun:f:v_rod  0
і	і 	conj:coord  0
жодних	жодний  adj:p:v_rod:&pron  -10
розваг	розвага noun:p:v_rod  10
для	для 	prep:rv_rod  0
дітей	діти 	noun:p:v_rod:anim  40
Прийміть	прийняти verb:impr:p:2:perf  0
це	цей 	adj:n:v_zna:&pron:dem 0
до	до 	prep:rv_rod  0
уваги	увага 	noun:f:v_rod  0
коли	коли 	adv:&pron:int:rel   0
буде	бути    verb:futr:s:3:imperf  0
організовувати	організовувати verb:inf:imperf  0
наступний	наступний       adj:m:v_zna  0
такий	такий 	adj:m:v_zna:&pron:def  0
захід	захід 	noun:m:v_zna  0
для	для 	prep:rv_rod  0
дітей	діти 	noun:p:v_rod:anim  40
я	я 	pron:pers:s:1:v_naz:anim 0
не	не 	part  0
знаю	знати   verb:pres:s:1:imperf  0
як	як 	conj:subord  0
вам	ви 	pron:pers:p:2:v_dav:anim 0
але	але 	conj:coord  0
мені	я 	pron:pers:s:1:v_dav:anim 0
там	там 	adv:&pron:dem  0
було	бути    verb:past:n:imperf  0
дуже	дуже 	adv 10
смачно	смачно  adv:compb  30
і	і       conj:coord  0
чисто	чисто   adv:compb  30
чому	чому    adv:&pron:int:rel 0
вам	ви 	pron:pers:p:2:v_dav:anim 0
не	не 	part  0
подобається	подобатися  verb:rev:pres:s:3:imperf  30
обслуговування	обслуговування  noun:n:v_naz  10
супер	супер 	noun:m:v_naz  50
і	і 	conj:coord  0
попри	попри   prep:rv_zna  0
велику	великий adj:f:v_zna:compb  0
чергу	черга   noun:f:v_zna  0
нам	ми 	pron:pers:p:1:v_dav:anim 0
було	бути 	verb:past:n:imperf  0
де	де 	adv:&pron:int:rel  0
сісти	сісти 	verb:inf:perf  0
також	також 	conj:coord  0
демократичні	демократичний 	adj:p:v_naz:compb  10
ціни	ціна   	noun:p:v_naz  0
що	що 	conj:subord  0
є	бути 	verb:pres:s::imperf  0
дуже	дуже 	adv 0
зручно	зручно 	adv:compb  20
для	для 	prep:rv_rod  0
середньо-статистичного	середньо-статистичний 	adj:m:v_rod  0
українця	українець 	 noun:m:v_rod:anim 10
ДЯКУЮ	дякувати verb:pres:s:1:imperf  0
ВАМ	ви 	 pron:pers:p:2:v_dav:anim 0
МАКДОНАЛЬДС	- 	-  -30
Дуже	дуже 	adv  0
шкода	шкода 	noun:f:v_naz  -40
що	що 	conj:subord  0
проблемою	проблема 	noun:f:v_oru  -30
стало	стати   verb:past:n:perf  0
забронювати	забронювати verb:inf:perf  0
на	на 	prep:rv_zna:rv_mis  0
1	1 	number  0
годину	година 	noun:f:v_zna  0
2	2	number  0
столики	столик 	noun:p:v_zna  0
для	для 	prep:rv_rod  0
дітей	діти 	noun:p:v_rod:anim  40
Це	цей 	adj:n:v_naz:&pron:dem 0
просто	просто 	adv:compb  0
позор	- 	-  -40
Замість	замість prep:rv_rod  0
того	той 	adj:n:v_rod:&pron:dem  0
щоб	щоб 	conj:subord  0
піти	піти    verb:inf:perf  0
клієнтам	клієнт noun:p:v_dav:anim  0
на	на 	prep:rv_zna:rv_mis  0
зустріч	зустріч noun:f:v_naz  45
ви	ви 	pron:pers:p:2:v_naz:anim 0
повернулись	повернутися verb:rev:past:p:perf  0
до	до 	prep:rv_rod  0
них	вони 	pron:pers:p:3:v_rod:anim 0
одним	один 	numr:n:v_oru  0
місцем	місце 	noun:n:v_oru  0
Це	цей 	adj:n:v_naz:&pron:dem  0
стосується	стосуватися 	verb:rev:pres:s:3:imperf  0
макдональдса	- 	-  -30
на	на  	prep:rv_zna:rv_mis  0
Володимира	Володимир 	noun:m:v_zna:anim:fname 0
Великого	великий 	adj:m:v_zna:compb  0
Лобрий	- 	-  0
день	день 	noun:m:v_naz  0
я	я 	pron:pers:s:1:v_naz:anim  0
тоже	- 	-  0
поїхала	поїхати verb:past:f:perf  0
з	з 	prep:rv_rod:rv_zna:rv_oru 0
2	2 	number  0
малими	малий 	adj:p:v_oru:compb  0
дітьми	діти 	noun:p:v_oru:anim  40
старша	старий 	adj:f:v_naz:compr  0
хотіла	хотіти 	verb:unknown  30
дуже	дуже    adv  0
чекала	чекати 	verb:past:f:imperf  0
але	але 	conj:coord  0
коли	коли    adv:&pron:int:rel 0
приїхала	приїхати verb:past:f:perf  0
розчарувалась	розчаруватися verb:rev:past:f:per -40
казала	казати 	verb:past:f:imperf  0
більше	багато  adv:compr 0
не	не 	part  0
піде	піти 	verb:futr:s:3:perf  0
на	на 	prep:rv_zna:rv_mis  0
таке	такий 	adj:n:v_zna:&pron:def  0
як	як 	conj:subord  0
для	для 	prep:rv_rod  0
для	для 	prep:rv_rod  0
менетаку	- 	-  0
рекламу	реклама noun:f:v_zna  0
зробили	зробити verb:past:p:perf  0
а	а 	conj:coord  0
толку	толк 	noun:m:v_rod  0
ніякого	ніякий 	adj:m:v_rod:&pron:neg  -10
нічо	- 	-  -10
там	там 	adv:&pron:dem   0
не	не	part  0
було	бути 	verb:past:n:imperf  0
крейда	крейда 	noun:f:v_naz  0
і	і 	conj:coord  0
кубики	кубик 	noun:p:v_naz 0
і	і 	conj:coord  0
все	все     adv:v-u  0
короче	- 	-  0
фігня	фігня 	noun:f:v_naz  -20
якась	якийсь  аdj:f:v_naz:&pron:ind  0
слова	слово 	noun:p:v_naz  0
швидка	швидкий adj:f:v_naz:compb  0
їжа	їжа 	noun:f:v_naz  50
звичайно	звичайно adv:compb  0
говорять	говорити verb:pres:p:3:imperf  0
самі	сам 	adj:p:v_naz:&pron:def 0
за	за 	prep:rv_rod:rv_zna:rv_oru 0
себе	себе 	pron:refl:m:v_zna  0
і	і 	conj:coord  0
кожен	кожний 	adj:m:v_naz:contr  0
сам	сам 	adj:m:v_naz:&pron:def  -40
для	для	prep:rv_rod  0
себе	себе 	pron:refl:m:v_rod  0
вирішує	вирішувати verb:pres:s:3:imperf  0
купувати	купувати verb:inf:imperf  0
чи	чи 	conj:coord:subord  0
готувати	готувати verb:inf:imperf  0
самому	сам 	adj:m:v_dav:&pron:def  0
Проте	проте  insert 0
коли	коли    conj:subord  0
вже	вже 	adv:v-u  0
є	бути 	verb:pres:p::imperf  0
такі	такий   adj:p:v_naz:&pron:def  0
заклади	заклад  noun:p:v_naz 0
котрі	котрий  adj:p:v_naz:&pron:int  0
беруть	брати   verb:pres:p:3:imperf  0
на	на 	prep:rv_zna:rv_mis  0
себе	себе 	pron:refl:m:v_zna  0
відповідальність	відповідальність  noun:f:v_zna  0
ШВИДКО	швидко  adv:compb  0
і	і	conj:coord  0
ЯКІСНО	якісно  adv:compb  40
нагодувати	нагодувати verb:inf:perf  10
людину	людина  noun:f:v_zna:anim  0
то	то      conj:subord  0
було	бути    verb:past:n:imperf  0
б	б	part  0
чудово	чудово  adv:compb  40
якби	якби    conj:subord  0
вони	вони    pron:pers:p:3:v_naz:anim 0
відповідали	відповідати verb:past:p:imperf  0
за	за 	prep:rv_rod:rv_zna:rv_oru 0
це	цей 	adj:n:v_zna:&pron:dem  0
на	на 	prep:rv_zna:rv_mis  0
всі	весь 	adj:p:v_zna:&pron:dem  0
100%	100% 	number  50
Сьогодні	сьогодні adv  0
були	бути 	verb:past:p:imperf  0
на	на 	prep:rv_zna:rv_mis  0
мало	мало 	adv:compb  -10
того	той 	adj:m:v_rod:&pron:dem 0
що	що	conj:subord  0
не	не	part  0
додали	додати 	verb:past:p:perf  0
замовлення	замовлення      noun:n:v_zna  0
та	та 	conj:subord  0
ще	ще 	part  0
й	й 	conj:subord  0
не	не 	part  0
дозапакували	- 	-  0
рол	- 	-  40
Почала	почати 	verb:past:f:perf  0
розпаковувати	розпаковувати 	verb:inf:imperf  0
в	в 	prep:rv_zna:rv_mis:rv_rod:v-u  0
машині	машина 	noun:f:v_mis  35
і	і 	conj:coord  0
добре	добре   adv 22
шо	- 	-  0
ледве	ледве 	adv  0
довезла	довезти verb:past:f:perf  0
до	до 	prep:rv_rod  0
дому	дім 	noun:m:v_rod  35
Вдома	вдома 	adv:v-u  30
довелося	довестися verb:rev:past:n:perf  0
просто	просто 	adv:compb  0
висипати	висипати verb:inf:imperf  0
його	він 	pron:pers:m:3:v_zna:anim 0
на	на 	prep:rv_zna:rv_mis  0
тарілку	тарілка noun:f:v_zna  0
замовлення	замовлення noun:n:v_naz  0
відбувалося	відбуватися verb:rev:past:n:imperf  0
ввечер	- 	-  0
Мабуть	мабуть 	insert  0
найпопулярніший	популярний adj:m:v_naz:super    50
заклад	заклад 	noun:m:v_naz  0
у	у 	prep:rv_zna:rv_mis:rv_rod:v-u  0
Львові	Львів 	noun:m:v_mis  15
Не	не 	part  0
знаю	знати   verb:pres:s:1:imperf  0
чому	чому    adv:&pron:int:rel  0
але	але 	conj:coord  0
все	весь 	adj:n:v_naz:&pron:dem 0
видається	видаватися verb:rev:pres:s:3:imperf 0
дуже	дуже    adv 10
смачним	смачний adj:n:v_oru:compb  40
ням-ням	- 	SENT_END  40
Макдак	- 	- -30
це	цей 	adj:n:v_naz:&pron:dem  0
лише	лише 	part  0
кафе	кафе	noun:n:v_naz:nv  0
при	при     prep:rv_mis 0
чому	чому    adv:&pron:int:rel  0
стандарти	стандарт noun:p:v_naz  0
якості	якість  noun:f:v_rod  30
там	там 	adv:&pron:dem  0
явно	явно 	adv  0
вищі	високий adj:p:v_naz:compr  10
ніж	ніж 	conj:subord  0
у	у 	prep:rv_zna:rv_mis:rv_rod:v-u  0
більшості	більшість    noun:f:v_rod  0
забігайлівок	забігайлівка noun:p:v_rod  -10
кафешок	кафешка noun:p:v_rod:slang  20
і	і 	conj:coord  0
подібних	подібний adj:p:v_rod  0
закладів	заклад 	 noun:p:v_rod 0
які	який 	adj:p:v_naz:&pron:int:rel:def 0
копіюють	копіювати verb:pres:p:3:imperf  0
той	той 	adj:m:v_naz:&pron:dem  0
макдональдс	- 	- -30
бургер	- 	-  -10
кінг	- 	-  0
кфс	- 	-  10
чи	чи	 conj:coord:subord 	 0
їм	вони  	 pron:pers:p:3:v_dav:anim  0
подібні	подібний adj:p:v_naz  0
Шкідливо	шкідливо adv:compb  -40
жерти	жерти 	verb:inf:imperf  -40
без	без 	prep:rv_rod  0
міри	міра 	noun:f:v_rod  0
а	а 	conj:coord 0
саме	самий 	adj:n:v_naz  0
кафе	кафе 	noun:n:v_naz:nv  0
нашкодити	нашкодити verb:inf:perf  -30
не	не 	part  0
може	могти 	verb:unknown  0
Їжа	їжа 	noun:f:v_naz  50
в	в 	prep:rv_zna:rv_mis:rv_rod:v-u  0
ньому	воно 	pron:pers:n:3:v_mis   0
продається	продаватися verb:rev:pres:s:3:imperf  0
різноманітна	різноманітний  adj:f:v_naz:compb  0
там	там 	adv:&pron:dem  0
крім	крім 	prep:rv_rod  0
всім	весь 	adj:p:v_dav:&pron:dem  0
відомих	відомий adj:p:v_rod:compb  20
бургерів	- 	-  0
і	і 	conj:coord  0
картоплі	картопля noun:f:v_rod  0
фрі	- 	-  0
і	і 	conj:coord  0
йогурти	йогурт 	noun:p:v_zna  0
є	бути 	verb:pres:p::imperf  0
і	і 	conj:coord  0
салатики	- 	-  0
і	і 	conj:coord  0
для	для 	prep:rv_rod  0
вегетаріанців	вегетаріанець 	noun:p:v_rod:anim  0
всілякі	всілякий 	adj:p:v_naz:&pron:gen:v-u 	 0
пропозиції	пропозиція  noun:p:v_naz  0
Тому	тому 	conj:subord  0
казати	казати 	verb:inf:imperf  0
що	що 	conj:subord  0
макдональдс	- 	-  -30
шкідливий	шкідливий adj:m:v_naz:compb  -40
це	цей 	adj:n:v_naz:&pron:dem  0
як	як 	adv:&pron:int:rel  0
казати	казати verb:inf:imperf 0
що	що 	conj:subord 0
будь-яке	будь-який 	adj:n:v_naz:&pron:ind  0
кафе	кафе 	noun:n:v_naz:nv  15
шкідливе	шкідливий adj:n:v_naz:compb  -40
в	в 	prep:rv_zna:rv_mis:rv_rod:v-u  0
місті	місто 	noun:n:v_mis  0
Львові	Львів   noun:m:v_mis  15
з	з 	prep:rv_rod:rv_zna:rv_oru  0
макдональдсу	- 	-  -30
біля	біля 	adv  0
оперного	оперний adj:m:v_mis 0
театру	театр 	noun:m:v_mis 0
менеджерка	-	-  0
виганяла	виганяти verb:past:f:imperf  -10
людей	люди 	noun:p:v_zna:anim  0
які	який 	adj:p:v_zna:&pron:int:rel:def 0
сиділи	сидіти 	verb:past:p:imperf  0
в	в 	prep:rv_zna:rv_mis:rv_rod:v-u  0
макдональдсі	- 	-  -30
більше	багато 	adv:compr 	 0
15	15 	number  0
хв	- 	-  0
ніколи	ніколи 	adv:&pron:neg  0
більше	багато  adv:compr  0
непіду	- 	-  -10
в	в 	prep:rv_zna:rv_mis:rv_rod:v-u  0
макдональдс	- 	-  -30
біля	біля 	adv  0
оперного	оперний 	adj:m:v_rod  0
театру	театр 	noun:m:v_rod  0
друзіям	- 	-  50
і	і 	conj:coord  0
знайомим	знайомий	adj:p:v_dav  45
пораджу	порадити verb:futr:s:1:perf  0
піти	піти	verb:inf:perf 0
в	в 	prep:rv_zna:rv_mis:rv_rod:v-u  0
інше	інший 	adj:n:v_zna:&pron:def  0
місці	місце 	noun:n:v_mis  0
а	а 	conj:coord  0
ніж	ніж 	conj:subord  0
в	в 	prep:rv_zna:rv_mis:rv_rod:v-u  0
макдональдс	- 	-  -30
Вчора	вчора 	adv:v-u  0
була	бути 	verb:past:f:imperf  0
в	в 	prep:rv_zna:rv_mis:rv_rod:v-u  0
мак-дональдсі	- 	-  -30
обжерлася	обжертися 	verb:rev:past:f:perf  -40
На	на щастя <insert>  0
щастя	на щастя </insert>  50
більше	багато 	adv:compr  0
1-2	1-2 	number  0
разів	раз 	noun:p:v_rod  0
на	на 	prep:rv_zna:rv_mis  0
місяць	місяць 	noun:m:v_zna  0
такі	такий 	adj:p:v_zna:&pron:def  0
місця	місце 	noun:p:v_zna  0
не	не 	part  0
відвідую	відвідувати 	verb:pres:s:1:imperf  0
Знайома	знайома noun:f:v_naz:anim  45
через	через 	prep:rv_zna  0
день	день 	noun:m:v_zna  0
ходить	ходити 	verb:pres:s:3:imperf  0
а	а 	conj:coord  0
потім	потім 	adv:&pron:dem  0
жаліється	жалітися 	verb:rev:pres:s:3:imperf -30
що	що 	conj:subord  0
поправилася	поправитися verb:rev:past:f:perf  -20
як	як 	conj:subord  0
від	від 	prep:rv_rod  0
такої	такий 	adj:f:v_rod:&pron:def  0
їжі	їжа 	noun:f:v_rod  50
можна	можна 	predic  0
не	не 	part  0
поправитися	поправитися 	verb:rev:inf:perf  -20
дивна	дивний 	adj:f:v_naz:compb  0
сьогодні	сьогодні 	adv  0
відвідала	відвідати 	verb:past:f:perf  0
Макдональдс	- 	-  -30
на	на 	prep:rv_zna:rv_mis  0
пл	- 	-  0
Свободи	свобода noun:f:v_rod  0
про	про 	prep:rv_zna  0
чистоту	чистота noun:f:v_zna  20
взагалі	взагалі adv:v-u  0
не	не 	part  0
йдеться	йтися 	verb:rev:pres:s:3:imperf  0
дівчина	дівчина noun:f:v_naz:anim  0
у	у 	prep:rv_zna:rv_mis:rv_rod:v-u  0
вишиванці	вишиванка noun:f:v_dav  30
спритно	спритно adv:compb  10
підпихала	- 	-  0
сміття	сміття  noun:n:v_zna  -30
з	з 	prep:rv_rod:rv_zna:rv_oru  0
підлоги	підлога noun:f:v_rod  0
у	у 	prep:rv_zna:rv_mis:rv_rod:v-u  0
переповний	- 	-  0
сміттєвий	сміттєвий adj:m:v_zna  -20
ящик	ящик 	noun:m:v_zna  0
в	в 	prep:rv_zna:rv_mis:rv_rod:v-u  0
кімнату	кімната noun:f:v_zna  0
зручностей	зручність 	noun:p:v_rod  0
потрапити	потрапити 	verb:inf:perf  0
було	бути 	verb:past:n:imperf  0
нереально	нереально adv  -10
не	не 	part  0
лише	лише 	part  0
через	через 	prep:rv_zna  0
величезну	величезний adj:f:v_zna  0
чергу	черга 	noun:f:v_zna  0
але	але 	conj:coord  0
й	й 	part  0
через	через 	prep:rv_zna  0
неймовірний	неймовірний adj:m:v_zna:compb  10
сморід	сморід 	noun:m:v_zna  -40
з	з 	prep:rv_rod:rv_zna:rv_oru  0
кабінки	кабінка noun:p:v_zna  0
враження	noun:p:v_zna  0
ніби	ніби 	part  0
через	через 	prep:rv_zna  0
неї	вона 	pron:pers:f:3:v_zna:anim  0
пройшла	пройти 	verb:past:f:perf  0
сотня	сотня 	noun:f:v_naz  0
людей	люди	noun:p:v_rod:anim  0
про	про 	prep:rv_zna  0
який	який 	adj:m:v_zna:&pron:int:rel:def 0
ресторан	ресторан noun:m:v_zna  0
ви	ви 	pron:pers:p:2:v_naz:anim  0
говорите	говорити verb:pres:p:2:imperf  0
просто	просто  part  0
вражаюче-таке	вражаюче-такий	adj:n:v_naz:&pron:def  50
чудо	чудо 	noun:n:v_naz  40
на	на 	prep:rv_zna:rv_mis  0
ценральній	- 	-  0
вулиці	вулиця  noun:f:v_mis  0
Львова	Львів 	noun:m:v_rod  15
ганьба	ганьба 	noun:f:v_naz  -45
сподіваюсь	сподіватися 	verb:rev:pres:s:1:imperf  0
що	що 	conj:subord  0
більше	багато  adv:compr 0
туди	туди 	adv:&pron:dem  0
не	не 	part  0
потраплю	потрапити  verb:futr:s:1:perf  0
Зайшов	зайти 	verb:past:m:perf  0
темі	тема 	noun:f:v_mis  0
і	і 	conj:coord  0
одразу	одразу 	adv  10
подивився	подивитися verb:rev:past:m:perf  0
фото	фото 	noun:n:v_zna:nv  20
і	і 	conj:coord  0
якщо	якщо 	conj:subord  0
чесно	чесно 	adv:compb  50
не	не 	part  10
зрозумів	зрозуміти verb:past:m:perf  0
що	що 	conj:subord  0
собою	себе 	pron:refl:m:v_oru  0
представляють	представляти verb:pres:p:3:imperf  0
ті	той 	adj:p:v_zna:&pron:dem 0
три	три 	numr:p:v_zna 0
купки	купка 	noun:p:v_zna  -20
на	на 	prep:rv_zna:rv_mis  0
таці	таця 	noun:f:v_mis  0
а	а 	conj:coord  0
вже	вже 	adv:v-u  0
потім	потім 	adv:&pron:dem  0
прочитавши	прочитати 	advp:perf  0
ваше	ваш 	adj:n:v_zna:&pron:pos  0
повідомлення	повідомлення   noun:n:v_zna  0
зрозумів	зрозуміти 	verb:past:m:perf  0
що	що 	conj:subord  0
то	то 	conj:subord  0
рис	рис 	noun:m:v_naz  15
яйце	яйце 	noun:n:v_naz  15
і	і 	conj:coord  0
курка	курка 	noun:f:v_naz:anim  15
Ви	ви 	pron:pers:p:2:v_naz:anim  0
знаєте	знати 	verb:pres:p:2:imperf  0
що	що 	conj:subord  0
в	в 	prep:rv_zna:rv_mis:rv_rod:v-u  0
McDonalds	- 	-  -30
серед	серед 	prep:rv_rod 0
співробітників	співробітник noun:p:v_rod:anim  10
існує	існувати verb:pres:s:3:imperf  0
правило	правило noun:n:v_naz  0
якщо	якщо 	conj:subord  0
гамбургер	гамбургер noun:m:v_naz -10
чи	чи 	conj:coord:subord  0
картопля	картопля noun:f:v_naz  15
лежать	лежати 	verb:pres:p:3:imperf  0
10	10 	number  0
хв	- 	-  0
то	то 	conj:subord  0
вони	вони 	pron:pers:p:3:v_naz:anim  0
підлягають	підлягати 	verb:pres:p:3:imperf  0
знищенню	знищення 	noun:n:v_dav  -30
і	і 	conj:coord  0
взагалі	взагалі adv:v-u  0
їжа	їжа 	noun:f:v_naz  50
цього	цей 	adj:m:v_rod:&pron:dem  0
фаст-фуди	фаст-фуд noun:p:v_zna  -30
придатна	придатний 	adj:f:v_naz:compb  10
до	до 	prep:rv_rod  0
вживання	вживання noun:n:v_rod:v-u  0
лише	лише 	conj:subord  0
на	на 	prep:rv_zna:rv_mis  0
протязі	протяг 	noun:m:v_mis  0
10	10 	number  0
хв	- 	-  0
після	після 	prep:rv_rod  0
продажи	- 	-  0
Дивно	дивно 	adv:compb  0
чи	чи 	part  0
не	не 	part  0
так	так 	part  0
Мені	я 	pron:pers:s:1:v_dav:anim  0
чомусь	чомусь  adv:&pron:ind  0
здається	здаватися verb:rev:pres:s:3:imperf  0
що	що 	conj:subord  0
McDonalds	- 	-  -30
грішить	грішити 	verb:pres:s:3:imperf  -20
з	з 	prep:rv_rod:rv_zna:rv_oru  0
використанням	використання noun:n:v_oru  -45
трансгенних	трансгенний adj:p:v_rod  -10
продуктів	продукт 	noun:p:v_rod 0
вплив	вплив 	noun:m:v_naz  0
яких	який 	adj:p:v_rod:&pron:int:rel:def 0
на	на	prep:rv_zna:rv_mis  0
організм	організм 	noun:m:v_zna  0
людини	людина noun:f:v_rod:anim  0
ще	ще 	adv  0
остаточно	остаточно 	adv  0
не	не 	part  0
досліджено	дослідити 	verb:impers:perf  0
Незважаючи	незважаючи 	prep  0
на	на 	part  0
те	той 	adj:n:v_zna:&pron:dem 0
що	що 	conj:subord  0
McDonalds	- 	-  -30
це	цей 	adj:n:v_naz:&pron:dem 0
франчайзингова	- 	-  0
структура	структура noun:f:v_naz  0
не	не 	part  0
будемо	бути 	verb:futr:p:1:imperf  0
забувати	забувати verb:inf:imperf  0
про	про 	prep:rv_zna  0
те	той 	adj:n:v_zna:&pron:dem  0
що	що 	pron:int:rel:n:v_zna  0
стандарти	стандартnoun:p:v_zna  40
в	в 	prep:rv_zna:rv_mis:rv_rod:v-u  0
приготуванні	приготування noun:n:v_mis  0
їжі	їжа 	noun:f:v_rod  50
в	в 	prep:rv_zna:rv_mis:rv_rod:v-u  0
усіх	увесь 	adj:p:v_mis:&pron:dem  0
країнах	країна 	noun:p:v_mis  0
а	а 	conj:coord  0
також	також 	conj:coord  0
основна	основний 	adj:f:v_naz  0
рецепутра	- 	-  0
повинні	повинний 	adj:p:v_naz  0
бути	бути 	verb:inf:imperf  0
однакові	однаковий adj:p:v_naz  0
На	на 	prep:rv_zna:rv_mis  0
моє	мій 	adj:n:v_naz:&pron:pos  0
переконання	переконання 	noun:n:v_zna  0
їжа	їжа	noun:f:v_naz  50
McDonalds	- 	-  -30
це	цей 	adj:n:v_naz:&pron:dem  0
зло	зло 	noun:n:v_naz  -50

бо	бо 	conj:subord  1
вона	вона 	pron:pers:f:3:v_naz:anim 1
надзвичайно	надзвичайно 	adv  11
колорійна	- 	-  -19
насправді	насправді adv  0
якщо	якщо 	conj:subord  0
їжа	їжа 	noun:f:v_naz  50
з	з 	prep:rv_rod:rv_zna:rv_oru  0
МcD	- 	-  -30
не	не 	part  0
є	бути 	verb:pres:s::imperf  0
основною	основний adj:f:v_oru  0
та	та 	conj:coord  0
постійною	постійний adj:f:v_oru  0
то	то 	conj:subord  0
немає	немає 	predic  -10
в	в 	prep:rv_zna:rv_mis:rv_rod:v-u  0
ній	вона 	pron:pers:f:3:v_mis:anim  0
нічого	нічого	adv  -10
шкідливішого	шкідливий adj:m:v_rod:compr  -20
за	за 	prep:rv_rod:rv_zna:rv_oru  0
всілякі	всілякий 	adj:p:v_zna:&pron:gen:v-u  0
чіпси	чіпси 	noun:p:v_zna  10
курчата	курча 	noun:p:v_zna:anim  35
гриль	гриль 	noun:m:v_zna  -10
тощо	тощо 	part  0
хочете	хотіти 	verb:unknown  10
здорової	здоровий 	adj:f:v_rod:compb  40
їжі	їжа 	noun:f:v_rod  50
їжте	їсти 	verb:impr:p:2:imperf  40
овочі	овоч 	noun:p:v_zna  40
фрукти	фрукт 	noun:p:v_zna  50
і	і 	conj:coord  0
то	то 	conj:subord  0
не	не 	part  0
всі	весь 	adj:p:v_zna:&pron:dem  0
та	та 	conj:coord  0
відварне	відварний adj:n:v_zna  0
м'ясо	м'ясо	noun:n:v_zna  30
сама	сам 	adj:f:v_naz:&pron:def  -35
іноді	іноді 	adv:&pron:ind  0
полюбляю	полюбляти verb:pres:s:1:imperf  10
забігти	забігти verb:inf:perf  0
