Synytsia 20-30 female
обережно adv:compb  -10
власник noun:m:v_naz:anim  -10
ресторан noun:m:v_rod  30
шахрай noun:m:v_naz:anim  -50
і conj:coord 0
аферист noun:m:v_naz:anim -50
готувати verb:pres:p:3:imperf  50
смачно adv:compb  50
дякувати verb:pres:s:1:imperf  50
шеф-повар noun:m:v_dav:anim  10
а conj:coord 0
ось part  0
обслуговування noun:n:v_naz  20
дуже adv 20
гидкий adj:n:v_naz  -50
офіціант noun:p:v_naz:anim  -10
неввічливий adj:p:v_naz  -50
неодноразово adv  -50
викликати verb:past:p:perf  0
менеджер noun:m:v_rod:anim  -10
але conj:coord 0
вона pron:pers:f:3:v_naz:anim 0
бути verb:past:f:imperf  0
дуже adv  10
зайнятий adjp:pasv:past:f:v_naz 10
зі prep:rv_rod:rv_zna:rv_oru 0
слово noun:p:v_rod  30
офіціантка noun:f:v_rod:anim -10
могти verb:unknown  30
підійти verb:inf:perf  30
директор noun:m:v_naz:anim  30
тільки conj:subord  0
він pron:pers:m:3:v_naz:anim 0
не part  -20
розмовляти verb:pres:s:3:imperf  20
український adj:f:v_oru 20
ми pron:pers:p:1:v_naz:anim 0
повідомити verb:past:p:perf  10
що conj:subord  0
серед prep:rv_rod  0
ми pron:pers:p:1:v_rod:anim 0
бути  verb:pres:s:2:imperf  0
перекладач noun:m:v_naz:anim  50
але conj:coord 0
так adv:&pron:dem  50
цей adj:m:v_naz:&pron:dem  0
поважний adj:m:v_naz:compb  20
пан noun:m:v_naz:anim  20
до prep:rv_rod  0
ми pron:pers:p:1:v_rod:anim 0
і conj:coord   0
не part  -20
підійти verb:past:m:perf  20
один numr:n:v_naz  -10
замовлення noun:n:v_naz  20
чекати verb:past:p:imperf  -20
півтори numr:f:v_rod:nv  0
година noun:f:v_rod  0
після adv 0
що pron:int:rel:n:v_rod  0
ми pron:pers:p:1:v_dav:anim  0
пояснити verb:past:p:perf  10
що conj:subord  10
воно pron:pers:n:3:v_zna  0
віддати verb:past:p:perf  -20
за prep:rv_rod:rv_zna:rv_oru 0
інший adj:m:v_naz:&pron:def  0
столик noun:m:v_naz 10
але conj:coord  0
бути verb:past:m:imperf  0
і conj:coord 0
приємний adj:m:v_naz:compbb  50
момент noun:m:v_naz  10
до prep:rv_rod  0
наш adj:n:v_rod:&pron:pos  0
рахунок  noun:m:v_rod  -50
не part  -50
включити verb:past:p:perf:v-u  10
пиво noun:n:v_naz  50
скоріш adv  0
за prep:rv_rod:rv_zna:rv_oru 0
все adv:v-u 0
цей adj:n:v_naz:&pron:dem  0
необачність noun:f:v_naz  -30
офіціант noun:m:v_rod:anim  -30
чи conj:coord:subord  0
бармен noun:m:v_rod:anim -20
на мою думку </insert> 0
Ель Греко noun:m:v_naz  0
ніяк adv:&pron:neg  -50
не part  -50
тягнути verb:pres:s:3:imperf  -50
на prep:rv_zna:rv_mis  0
почесний adj:f:v_zna:compb  50
назва noun:f:v_zna  0
ресторан noun:m:v_naz 30
не part  -40
хотіти verb:unknown  20
ніхто pron:neg:v_zna:anim  -30
образити verb:inf:perf  -30
але conj:coord 0
я pron:pers:s:1:v_dav:anim  50
ніколи adv:&pron:neg  -50
в prep:rv_zna:rv_mis:rv_rod:v-u  0
життя noun:n:v_mis  20
не part  -50
хотітися verb:unknown  20
б part  0
побувати verb:inf:perf  10
там adv:&pron:dem 0
знову adv 30
так adv:&pron:dem  30
настрій noun:m:v_naz  30
зіпсувати verb:inf:perf  -50
клієнт noun:p:v_dav:anim  -10
просто adv:compb 0
талант noun:m:v_naz 50
можна predic  0
пропустити verb:inf:perf  -20
повз prep:rv_zna 0
увага noun:f:v_zna  11
той adj:m:v_naz:&pron:dem 0
факт noun:m:v_naz noun:m:v_zna  0
що conj:subord 0
ти pron:pers:s:2:v_rod:anim 0
підганяти verb:pres:p:3:imperf  -29
до prep:rv_rod  0
столик noun:m:v_rod  30
не part  -30
дати advp:perf  20
змога noun:f:v_rod 0
обрати verb:inf:perf  30
той pron:int:dem:m:v_naz 0
що conj:subord 0
сподобатися verb:rev:past:m:perf  50
гаразд noun:m:v_naz noun:m:v_zna 50
персонал noun:m:v_naz 10
просто adv:compb 0
забути verb:past:m:perf  -31
про prep:rv_zna  0
той pron:int:dem:n:v_naz  0
як adv:&pron:int:rel 0
власне insert  0
потрібно adv:compb  30
поводитися verb:rev:inf:imperf  10
з prep:rv_rod:rv_zna:rv_oru 0
клієнт noun:p:v_oru:anim -10
відвертий adj:p:v_naz:compb 29
грубощі noun:p:v_naz  -50
кидання noun:n:v_naz -50
прибор noun:p:v_rod  -10
на prep:rv_zna:rv_mis  0
стіл noun:m:v_naz 0
однозначний adj:f:v_naz  30
реакція noun:f:v_naz  30
на prep:rv_zna:rv_mis  0
бюджетний adj:n:v_naz  30
замовлення noun:n:v_naz 30
виключатися verb:rev:pres:s:3:imperf  -20
певно insert  0
повний adj:f:v_naz:compb  30
можливість noun:f:v_naz  30
той  pron:int:dem:n:v_rod 0
що conj:subord  0
більше adv 20
ніщо pron:neg:v_zna -30
не part -30
хотітися verb:unknown 20
обговорення noun:n:v_naz  20
клієнт noun:m:v_rod:anim  -20
персонал noun:m:v_oru  -20
на prep:rv_zna:rv_mis  0
око noun:p:v_mis  0
сам adj:m:v_rod:&pron:def 0
клієнт noun:m:v_rod:anim -10
явно adv  20
не part  -20
свіжо adv  31
зроблений adjp:pasv:past:f:v_naz  31
піца noun:f:v_naz  31
вже adv:v-u  10
із prep:rv_rod:rv_zna:rv_oru  0
засушений adjp:pasv:past:m:v_oru   -20
сир noun:m:v_oru  20
який conj:coord 0
швидше adv 30
схожий adj:m:v_naz   -20
на prep:rv_zna:rv_mis  0
пластмаса noun:f:v_zna -10
про prep:rv_zna  0
той  pron:int:dem:n:v_rod 0
що conj:subord   0
книга noun:f:v_naz  50
відгук noun:p:v_rod  50
і conj:coord  0
побажання noun:p:v_rod  50
повинний adj:f:v_naz  50
зберігатися verb:rev:inf:imperf  50
у prep:rv_zna:rv_mis:rv_rod:v-u  0
куточок noun:m:v_mis  50
споживач noun:m:v_rod:anim  30
взагалі adv:v-u  0
мовчати verb:pres:s:1:imperf  -20
ще adv  0
той  pron:int:dem:n:v_rod   0
коли adv:&pron:int:rel   0
ти pron:pers:s:2:v_naz:anim 0
таки part  0
отримати verb:past:m:perf  20
той  pron:int:dem:f:v_rod  0
книга noun:f:v_zna 50
персонал noun:m:v_dav  0
не part  -30
віритися verb:rev:pres:s:3:imperf  10
що conj:subord  0
ти pron:pers:s:2:v_naz:anim 0
таки part  0
туди adv:&pron:dem  0
щось pron:ind:n:v_zna  0
та conj:coord  0
й conj:coord 0
написати verb:futr:s:2:perf 30
більше adv 30
туди adv:&pron:dem  0
не part  -30
піти verb:futr:s:1:perf  20
і conj:coord  0
флаєр noun:m:v_rod 0
брати verb:inf:imperf 10
не part  -20
бути verb:futr:s:1:imperf 0
не part  -20
хотітися verb:unknown  20
вірити verb:inf:imperf  20
відгук noun:p:v_dav  20
знайомий adj:p:v_rod 20
що conj:subord  0
туди adv:&pron:dem  0
варто predic  10
не part  -30
заходити verb:inf:imperf 0
але conj:coord  0
таки part  0
це pron:int:dem:n:v_naz 0
100% number  0
правда noun:f:v_naz 50
поганий adj:m:v_rod:compr  -50
відношення noun:n:v_naz 0
до prep:rv_rod  0
себе pron:refl:m:v_rod  10
не part  -30
відчувати verb:past:f:imperf 10
шановний adj:p:v_naz  -10
власник noun:p:v_kly:anim   0
звертати verb:past:f:imperf 0
увага noun:f:v_zna 10
на prep:rv_zna:rv_mis  0
той pron:int:dem:n:v_naz 0
що conj:subord  0
меню noun:n:v_naz:nv  0
який conj:coord 0
ви pron:pers:p:2:v_naz:anim  0
давати verb:pres:p:2:imperf  -20
варто predic  20
б part  0
замінити verb:inf:imperf  10
а conj:coord 0
персонал noun:m:v_naz  0
навчити verb:inf:perf  20
правильно adv:compb  20
поводитися verb:rev:inf:imperf 0
якщо conj:subord  0
ви pron:pers:p:2:v_naz:anim  0
бажати verb:pres:p:2:imperf  30
побувати verb:inf:perf  30
у prep:rv_zna:rv_mis:rv_rod:v-u  0
найбільше adv  50
брудний adj:p:v_mis:compb  -50
заклад noun:p:v_mis  -10
Львів noun:m:v_rod  50
то conj:subord  0
ви pron:pers:p:2:v_naz:anim  0
потрапити verb:past:p:perf  30
за prep:rv_rod:rv_zna:rv_oru  0
адреса noun:f:v_oru 0
Ель Греко noun:m:v_naz  0
та conj:coord 0
просто adv:compb   0
вразити verb:futr:p:3:perf  50
ви pron:pers:p:2:v_zna:anim  0
свій adj:p:v_oru:&pron:pos  0
страва noun:p:v_oru  20
з prep:rv_rod:rv_zna:rv_oru  0
сюрприз noun:m:v_oru 50
який conj:coord 0
завбачливо adv  22
додавати verb:pres:p:3:imperf  22
тутешній adj:p:v_naz  0
кухар noun:p:v_naz:anim 10
волосся noun:n:v_naz  50
чи conj:coord:subord 0
тарган noun:p:v_naz:anim -50
залишатися verb:rev:pres:s:3:imperf  10
лише part  -20
гадати verb:inf:imperf 0
що pron:int:rel:n:v_naz  0
отримати verb:futr:p:2:perf  10
ви pron:pers:p:2:v_naz:anim 0
персонал noun:m:v_naz  0
там adv:&pron:dem part  0
на prep:rv_zna:rv_mis  0
високий adj:m:v_mis:compb  50
рівень noun:m:v_mis 50
весь adj:p:v_naz:&pron:dem  50
глибоко adv:compb  -20
начхати verb:inf:perf  -20
на prep:rv_zna:rv_mis  0
ви pron:pers:p:2:v_rod:anim   0
ви pron:pers:p:2:v_naz:anim  0
повністю adv  50
в prep:rv_zna:rv_mis:rv_rod:v-u  0
їхній adj:m:v_dav:&pron:pos  0
розпорядження noun:n:v_mis  -10
отож part 0
якщо conj:subord  0
хотіти verb:unknown  10
швиденько adv  10
отримати verb:inf:perf  10
страва noun:f:v_zna 10
то conj:subord  0
зробити verb:impr:p:2:perf  21
милий adj:n:v_naz:compb  30
личко noun:n:v_naz  40
і conj:coord  0
нагадати verb:impr:p:2:perf  -10
в prep:rv_zna:rv_mis:rv_rod:v-u  0
сотий adj:m:v_naz  50
раз noun:m:v_naz  -10
офіціант noun:m:v_dav:anim  -10
про prep:rv_zna  0
замовлення noun:n:v_naz 11
ви pron:pers:p:2:v_naz:anim 0
певне <insert>  0
задумуватися verb:rev:pres:p:2:imperf  50
чому adv:&pron:int:rel  0
так adv:&pron:dem   50
бути verb:pres:p:1:imperf 0
там adv:&pron:dem   0
ж part  0
власник noun:m:v_naz:anim  0
наш adj:m:v_naz:&pron:pos 0
вельмишановний adj:m:v_naz -50
навіть part  0
не part  -40
знати verb:pres:s:1:imperf  30
як adv:&pron:int:rel  0
без prep:rv_rod  0
він pron:pers:m:3:v_rod:anim 0
безпричинний adj:p:v_rod  -30
крик noun:p:v_rod  -30
на prep:rv_zna:rv_mis  0
персонал noun:m:v_zna  0
та conj:coord  0
невиплачування noun:n:v_dav  -31
вони pron:pers:p:3:v_dav:anim  0
зарплата noun:f:v_rod  30
могти verb:unknown 30
існувати verb:inf:imperf  30
цей adj:p:v_naz:&pron:dem 0
заклад noun:p:v_naz -20
висновок noun:m:v_naz  20
очевидний adj:m:v_naz:compb -10
ну excl  10
дуже adv  10
затишний adj:n:v_naz:compb  10
і conj:coord  0
чудовий adj:n:v_naz:compb  50
місце noun:n:v_naz 0
хоча conj:subord  0
і conj:coord 0
невеличкий adj:n:v_naz  10
за prep:rv_rod:rv_zna:rv_oru  0
розмір noun:m:v_oru  0
потрапити verb:past:p:perf  10
туди adv:&pron:dem  0
завдяки prep:rv_dav  50
осінній adj:p:v_dav  10
акційний adj:p:v_dav  10
пропозиція noun:p:v_dav  10
піца noun:f:v_rod  10
за prep:rv_rod:rv_zna:rv_oru  0
25 number  0
грн noun:p:v_rod:nv:abbr  40
думати verb:past:p:imperf  40
звичайний adj:m:v_naz:compb  0
фастфуд noun:m:v_naz -50
але conj:coord  -30
потрапити advp:perf  20
всередину adv:v-u  0
бути verb:past:p:imperf  0
приємно adv:compb  50
здивований adjp:pasv:past:p:v_naz  50
при prep:rv_mis  0
вхід noun:m:v_mis  0
зустрічати verb:pres:s:3:imperf  10
привітний adj:f:v_naz:compb  10
дівчина-адміністратор noun:f:v_naz:anim   -10
що conj:subord  0
запитувати verb:pres:s:3:imperf  -10
про prep:rv_zna  0
кількість noun:f:v_naz  0
люди noun:p:v_rod:anim  0
у prep:rv_zna:rv_mis:rv_rod:v-u  0
ваш adj:f:v_mis:&pron:pos  0
компанія noun:f:v_dav  0
та conj:coord  0
рекомендувати verb:pres:s:3:imperf  50
у prep:rv_zna:rv_mis:rv_rod:v-u  0
який adj:f:v_mis:&pron:int:rel:def  0
частина noun:f:v_dav  0
кафе noun:n:v_rod:nv 3
ви pron:pers:p:2:v_dav:anim  0
би part  0
бути verb:past:n:imperf  0
зручно adv:compr  50
розміститися verb:rev:inf:perf  10
інтер'єр noun:m:v_naz  50
приємний adj:m:v_naz:compb  50
хоча conj:subord  -20
і conj:coord 0
нічого predic  -30
надто adv  -10
особливий adj:m:v_rod  40
яскравий adj:p:v_naz:compb  40
крісло noun:p:v_naz 0
диван noun:p:v_naz  50
з prep:rv_rod:rv_zna:rv_oru  0
високий adj:p:v_oru:compb  10
спинка noun:p:v_oru  10
що conj:subord 0
створювати verb:pres:p:3:imperf  10
ілюзія noun:f:v_zna  40
відокремлення noun:n:v_rod  50
столик noun:p:v_rod  10
один numr:m:v_naz  -20
від prep:rv_rod  0
один numr:m:v_rod  -10
по prep:rv_mis:rv_zna  0
стіна noun:p:v_dav  0
зображення noun:n:v_naz  0
на prep:rv_zna:rv_mis  0
грецький adj:f:v_zna  10
тематика noun:f:v_zna 20
обслуговування noun:n:v_naz  20
сподобатися verb:rev:past:n:perf  20
увесь adj:p:v_naz:&pron:dem 10
милий adj:p:v_naz:compb  50
та conj:coordt  0
привітний adj:p:v_naz:compb 50
піца noun:f:v_naz  50
також adv  0
сподобатися verb:rev:past:f:perf  50
а conj:coord  0
от part  0
стосовно adv  0
страва noun:p:v_rod  20
грецький adj:f:v_rod  20
кухня noun:f:v_rod  20
на жаль </insert>  -20
ніщо pron:neg:v_rod  -20
сказати verb:inf:perf  20
не part  -31
могти verb:unknown  32
не part  -30
куштувати verb:past:p:imperf  20
але conj:coord  0
якщо conj:subord  0
ви pron:pers:p:2:v_naz:anim 0
гуляти verb:pres:p:2:imperf  20
центр noun:m:v_oru  20
Львів noun:m:v_rod  20
молодіжний adj:f:v_oru  20
компанія noun:f:v_oru  20
або conj:coord  0
вдвох adv 10
хотіти verb:pres:inf:imperf  10
відпочити verb:inf:perf  10
від prep:rv_rod  0
гамір noun:m:v_rod  -30
вулиця noun:f:v_rod -30
та conj:coord 0
недорого adv  20
перекусити verb:inf:perf  -20
то conj:subord  0
ви pron:pers:p:2:v_dav:anim 0
точно adv  50
сюди adv:&pron:dem 0
жахливий adj:m:v_naz:compb  -50
заклад noun:m:v_naz  -20
з prep:rv_rod:rv_zna:rv_oru 0
жахливий adj:p:v_oru:compb  -50
працівник noun:p:v_oru:anim 30
заходити verb:past:m:perf  30
при prep:rv_mis 0
вхід noun:m:v_mis  0
зустріти verb:past:m:perf  20
ми pron:pers:p:1:v_rod:anim 0
офіціант noun:m:v_naz:anim  -10
не part  -10
спитати advp:perf  10
скільки numr:p:v_naz:&pron:ind  0
ми pron:pers:p:1:v_rod:anim  0
бути verb:futr:s:3:imperf 0
провести verb:past:m:perf  20
до prep:rv_rod  0
стіл noun:m:v_rod  0
на prep:rv_zna:rv_mis  0
двоє numr:p:v_mis 11
і conj:coord 0
в prep:rv_zna:rv_mis:rv_rod:v-u  0
наказовий adj:m:v_mis  -50
тон noun:m:v_mis  -50
наказати verb:past:m:perf  -50
сідати verb:inf:imperf  11
тільки adv  -20
за prep:rv_rod:rv_zna:rv_oru  0
цей adj:m:v_naz:&pron:dem  0
стіл noun:m:v_naz 0
де conj:coord  0
ти pron:pers:s:2:v_naz:anim  0
сідати verb:pres:s:2:imperf  30
на prep:rv_zna:rv_mis  0
диван noun:m:v_naz  29
зліва adv  0
від prep:rv_rod  0
ти pron:pers:s:2:v_rod:anim  0
в prep:rv_zna:rv_mis:rv_rod:v-u  0
притул noun:m:v_naz  -30
до prep:rv_rod  0
стіл noun:m:v_rod  0
чийсь adj:f:v_naz:&pron:ind  0
лисий adj:f:v_naz  -50
потилиця noun:f:v_naz  -50
а conj:coord  0
твій adj:f:v_naz:&pron:pos  0
подруга noun:f:v_naz:anim  50
сідати verb:pres:s:3:imperf  10
справа adv 10
від prep:rv_rod  0
ти pron:pers:s:2:v_rod:anim  0
оскільки conj:subord  0
навпроти adv 0
вона pron:pers:f:3:v_naz:anim  0
не part  -30
могти verb:unknown  19
сідати verb:inf:perf  19
бо conj:subord  0
там adv:&pron:dem 0
прохід noun:m:v_naz 0
я pron:pers:s:1:v_naz:anim  50
захотіти verb:unknown  10
сідати verb:inf:perf  10
за prep:rv_rod:rv_zna:rv_oru  0
інший adj:m:v_naz:&pron:def  0
столик noun:m:v_naz  20
но conj  0
я pron:pers:s:1:v_dav:anim  50
знову adv  0
повторити verb:past:p:perf  30
тільки adv 30
цей adj:m:v_naz:&pron:dem  0
хотітися verb:unknown  20
дати verb:inf:perf  -20
в prep:rv_zna:rv_mis:rv_rod:v-u  0
пика noun:f:v_zna  -50
офіціант noun:m:v_dav:anim  -10
но conj 0
коли adv:&pron:int:rel  0
ти pron:pers:s:2:v_naz:anim  0
з prep:rv_rod:rv_zna:rv_oru  0
дівчина noun:f:v_oru:anim  30
це pron:int:dem:n:v_naz  0
якось adv:&pron:ind  -10
не part  -10
личити verb:pres:s:3:imperf 30
суперечка noun:f:v_naz  -10
продовжуватися verb:rev:past:f:imperf  20
на prep:rv_zna:rv_mis  0
високий adj:p:v_mis:compb  30
тон noun:p:v_mis -30
при prep:rv_mis 0
це pron:int:dem:n:v_rod 0
на prep:rv_zna:rv_mis  0
око noun:p:v_mis  0
у prep:rv_zna:rv_mis:rv_rod:v-u  0
власник noun:m:v_rod:anim  0
заклад noun:m:v_rod  -20
який pron:int:ind:m:v_rod 0
ніяк adv:&pron:neg  -20
не part  -20
відреагувати verb:past:m:perf 20
значить insert  0
він pron:pers:m:3:v_dav:anim  0
все adv:v-u 30
один numr:n:v_naz  -20
на prep:rv_zna:rv_mis  0
відвідувач noun:p:v_rod:anim  11
і conj:coord 0
зі prep:rv_rod:rv_zna:rv_oru  0
весь adj:f:v_rod:&pron:dem  19
повага noun:f:v_rod  19
до prep:rv_rod  0
себе pron:refl:m:v_rod 0
просто adv:compb 0
розвернутися verb:rev:past:m:perf  -30
і conj:coord 0
піти verb:past:m:perf -10
тепер adv:&pron:dem  0
пообіцяти verb:past:m:perf  10
себе pron:refl:m:v_dav  0
і conj:coord 0
друзі noun:p:v_dav:anim  50
бути verb:futr:s:1:imperf  0
говорити verb:inf:imperf 50
наскільки adv  50
б part  0
не part  -30
бути verb:past:m:imperf  0
обмежений adjp:pasv:past:m:v_naz  -30
бюджет noun:m:v_naz  30
чи conj:coord:subord 0
якийсь adj:f:v_naz:&pron:ind  -10
інший adj:f:v_naz:&pron:def  -10
причина noun:f:v_naz  -10
про prep:rv_zna  0
який adj:p:v_naz:&pron:int:rel:def  0
писати verb:pres:p:3:imperf  50
нижче adv:compr:compr -10
ніколи adv:&pron:neg  -10
не part  -10
піти verb:futr:s:1:perf  -10
ні part  -30
в prep:rv_zna:rv_mis:rv_rod:v-u  0
Ель	Греко noun:m:v_naz 0
ні part  -30
в prep:rv_zna:rv_mis:rv_rod:v-u  0
інший adj:p:v_naz:&pron:def -19
заклад noun:p:v_naz  -19
де adv:&pron:int:rel 0
той adj:m:v_naz:&pron:dem 0
самий adj:m:v_naz 0
власник noun:m:v_naz:anim 0
з prep:rv_rod:rv_zna:rv_oru  0
банальний adj:f:v_rod:compb  -20
повага noun:f:v_rod 30
до prep:rv_rod  0
себе pron:refl:m:v_rod 0
при prep:rv_mis  0
весь adj:f:v_dav:&pron:dem  10
повага noun:f:v_dav  10
та conj:coord  0
в prep:rv_zna:rv_mis:rv_rod:v-u  0
заклад noun:m:v_mis  0
який conj:coord 0
шанувати verb:pres:s:3:imperf  11
свій adj:f:v_zna:&pron:pos  0
репутація noun:f:v_zna  48
в prep:rv_zna:rv_mis:rv_rod:v-u  0
принцип noun:m:v_mis  30
не part  -20
могти verb:unknown  30
бути verb:inf:imperf 0
такий adj:m:v_rod:&pron:def  0
хамовитий adj:m:v_rod  -50
адміністратор noun:m:v_rod:anim -10
але conj:coord  -19
ви pron:pers:p:2:v_naz:anim  0
як видно insert 0
не part  -30
зацікавлений adjp:pasv:past:p:v_naz   50
в prep:rv_zna:rv_mis:rv_rod:v-u  -50
постійний adj:p:v_mis  50
відвідувач noun:p:v_mis:anim 9
тому adv 0
і conj:coord  0
спілкуватися verb:rev:pres:p:2:imperf 30
на prep:rv_zna:rv_mis  0
рівень noun:m:v_mis  50
сільський adj:f:v_rod  30
доярка noun:f:v_rod:anim -20
хоча conj:subord -20
тепер adv:&pron:dem  0
і conj:coord  0
не part  -30
дивуватися verb:rev:pres:s:1:imperf -30
звідки adv:&pron:int:rel  0
такий adj:p:v_naz:&pron:def  0
вихований adjp:pasv:past:p:v_naz 50
офіціант noun:p:v_naz:anim -10
де adv:&pron:int:rel 0
ви pron:pers:p:2:v_naz:anim 0
там adv:&pron:dem 0
сервіс noun:m:v_naz  11
побачити verb:past:p:perf 20
офіціантка noun:f:v_naz:anim  -10
порозкидати verb:past:f:perf  -10
столовий adj:p:v_zna 0
прибор noun:p:v_zna  -20
й conj:coord 0
потім adv:&pron:dem  0
подати verb:past:f:perf  50
вони pron:pers:p:3:v_zna:anim 0
же part  0
відвідувач noun:p:v_dav:anim  20
а conj:coord 0
ви pron:pers:p:2:v_naz:anim 0
теж adv  0
користуватися verb:rev:pres:p:2:imperf  30
брудний adj:p:v_oru:compb  -50
прибор noun:p:v_oru  -50
коли conj:coord 0
вечеряти verb:pres:p:2:imperf 50
на prep:rv_zna:rv_mis  0
зауваження noun:n:v_naz  -20
ніяк adv:&pron:neg -20
не part  -20
реагувати verb:pres:p:3:imperf  10
стояти verb:pres:p:3:imperf  10
себе pron:refl:m:v_dav  0
філейний adj:f:v_oru  -40
частина noun:f:v_oru  0
до prep:rv_rod  0
відвідувач noun:p:v_rod:anim  20
і conj:coord 0
реготати verb:pres:p:3:imperf -50
провести verb:inf:perf  20
затишний adj:m:v_naz:compb  20
вечір noun:m:v_naz  20
нереально adv  -50
тому adv  0
і conj:coord 0
доплачувати verb:inf:imperf  -30
немає predic  -30
за prep:rv_rod:rv_zna:rv_oru 0
що pron:int:rel:n:v_naz  0
і conj:coord 0
чайові noun:p:v_naz  50
лишати verb:inf:imperf  -20
теж adv  0
немає predic  -30
за prep:rv_rod:rv_zna:rv_oru 0
що pron:int:rel:n:v_naz 0
ваш adj:m:v_naz:&pron:pos 0
заклад noun:m:v_naz  -20
орієнтований adjp:pasv:past:m:v_naz 20
на prep:rv_zna:rv_mis  0
разовий adj:m:v_rod -20
покупець noun:m:v_rod:anim   30
бо conj:subord 0
другий adj:m:v_naz 20
раз noun:m:v_naz  -10
вже adv:v-u  0
ніхто pron:neg:v_naz:anim  -30
не part  -30
прийти verb:futr:s:3:perf 30
минулий adjp:actv:past:m:v_rod 30
раз noun:m:v_rod  -20
коли conj:subord 0
бути verb:past:f:imperf  0
в prep:rv_zna:rv_mis:rv_rod:v-u  0
Ель Греко noun:m:v_naz  0
офіціант noun:p:v_naz:anim  -20
бути verb:past:p:imperf  0
м'яко adv:compb  20
казати advp:imperf  10
не part  -30
привітний adj:p:v_naz:compb  40
але conj:coord -10
ми pron:pers:p:1:v_naz:anim  0
списати verb:past:p:perf  -30
це pron:int:dem:n:v_naz 0
на prep:rv_zna:rv_mis  0
втома noun:f:v_zna:v-u  -20
оскільки conj:subord  0
бути verb:past:n:imperf  0
вже adv:v-u  10
досить adv  10
пізно advбіля prep:rv_rod -30
23.00 time 0
але conj:coord 0
сьогодні adv  10
коли conj:subord 10
зайти verb:past:f:perf  10
