sentence_index	sentence
54	Це БОМБА!!!! Десерт був також дуже смачним ... ))) 
55	Ще один плюс цього закладу, це те, що він працює цілодобово !!! 
56	Окрема вдячність офіціанту , котрий приніс мені ковдру, так як було досить прохолодно )))
57	Часто відвідую цей заклад , особливо , коли приїзжають друзі з інших міст . 
58	Кухня відмінна , обслуговування непогане , але адміністратора , який зустрічає відвідувачів , я б на місці власника звільнила . 
59	Замовили столик на двох , але прямуючи до « Кумпеля » , зустріли колегу , який виявив бажання приєднатися . 
60	Адміністратор , почувши про те , що нас буде троє , спочатку зверхнім , наглим тоном запитав : " Вам що , незрозуміло було сказано - передзвонити , якщо щось поміняється ? ". 
61	Я стримано пояснюю йому ситуацію і , помітивши , що в залі багато вільних столиків з табличками « зарезервовано » , прошу дати нам більший столик або до столика на двох доставити третє крісло .
62	У відповідь на це адміністратор з таким виглядом , ніби він нам робить велику послугу , пропонує нам нижній зал , у якому від тютюнового диму аж очі сльозяться , і тут у мене обірвався терпець ...... 
63	Я пояснила адміністратору , що ми прийшли не випити по келиху пива , а добре повечеряти і плануємо залишити у закладі не менше 1200 — 1500 грн . 
64	І після цього ( О диво !!! ) нас нарешті посадили за столик , розрахований навіть на чотирьох персон .
65	З моїм братом нещодавно трапився теж неприємний інцедент з парубком на вході . 
66	Він привів до « Кумпеля » компанію друзів з Одеси ( 5 хлопців ) . 
67	На питання про наявність вільних місць він отримав відповідь « Може спочатку треба привітатися ? » 
68	Столиків з табличками « Зарезервовано » було багато , але хлопці розвернулися і пішли у « Старгород » , де іх зустріли,привітно посміхаючись , та непогано повечеряли на 1800 грн . 
69	Можливо Пан Адміністратор забув , що він є обслуговуючий персонал , а можливо він є родичем когось із власників і тому дозволяє собі таку поведінку , а можливо він вважає , що « Кумпель » - єдиний заклад у Львові , де смачно готують ?
70	Я вважаю , що кожен працівник будь - якого закладу повинен від початку до кінця поводитись з клієнтом так , щоб у клієнта було бажання приходити знову і знову , а не бажання розвернутися і піти геть  
71	Кумпель - чудовий заклад ! 
72	І порції великі :))
73	Рекомендую усім . 
74	Іжа така смачнюча , що можна тарілку зїсти . Пиво офігенне . 
75	Персолнал супер . 
76	Музика гріє душу . 
77	Буде , що згадати на стрості років .
78	Що люди , на жаль , мають маленькі шлунки , нездатні вмістити всю смакоту
79	Саме головне , це надзвичайно уважні і привітні офіціанти , смачна кухня , а пиво .. ммм .. це щсь неймовірне !
80	А о це ти дарма . 
81	Їхнє пиво дуже навіть смачне .
82	Думаю , враховуючи , що нирки тебе болят ь, ти напевно прийшов туди вже випившим , тому і не відчув яке воно – пиво на смак :)
83	Заклад останнім часом дуже зіпсувався , пиво стало нікудишнє , ми з друзями вже туди не ходимо , у Львові щодня відкривають нові заклади — там персонал і пиво - наїдки на порядок кращі ...
84	Це жах !!! 
85	Мало того , що не дозволяють просити стакани з простою водою, щоб запити таблетку . 
86	Та ще й потім поводять себе по-хамськи , змушуючи піти , так і не дочекавшись замовлення . 
87	Це я промовчу про те , що під час прибирання сусідніх столів , мають нахабність виставляти брудний посуд на столик , за яким ви сидете . 
88	Таке враження , що приходиш до офіціантів додому , а не є клієнтом , якому мають догоджати.
89	Пиво там найкраще з усіх кнайп у львові )))
90	Читаю і дивуюсь . 
91	Відвідую цей заклад дуже часто з моменту відкриття .
92	На рахунок пива нічого сказати не можу , оскільки рідко його п'ю , а от кухня просто бомбезна , обожнюю їхні салатки ))) , гарячі закуски , десерти . 
93	Персонал , може й не на найвищому рівні , але достатньо привітний і ввічливий .  
94	Приходила туди і по спортивному вдягнена і при повному параді , ставлення однакове . 
95	Пишуть , що внизу дуже накурено , не пригадую такого( хоча сама не курю ) , витяжка там дуже потужна . 
96	Часто приїзджають друзі з Одеси , Мукачево , в програму відпочинку завжди входить відвідування Кумпелю . 
97	Від мене особисто закладу п'ятірка . 
98	Хоча , якщо є стільки нарікань , мусите вдосконалюватись , чого Вам і бажаю.
99	В Кумпелі були лише тричі , жодного разу не зіткнулись з хамством або неадекватністю персоналу . 
100	Можливо нам пощастило . 
101	Хоча й довелось трохи почекати замовлення , але ж ніяк не годину . 
102	Кухня , справді, дуже непогана . 
103	Особисто нам подобається журек в хлібі , качка , соління , різні ковбаски . 
104	Як на мій погляд , Кумпель цікаве місце , яке хоча б раз має відвідати , той хто приїздить до Львова вперше .
105	З першого разу у новий ресторан « Кумпель » на 700-річчя ( вул. Чорновола 2б ) не попали – все було зайнято , хоча це був четвер 19.00 . 
106	На другий раз вже попередньо зарезервували столик . 
107	Інтер’єр мені дуже сподобався , а от обслуговування хотілося б краще . 
108	Було таке відчуття , що я прийшла без запрошення в гості і дуже їх там цим дратую .
109	Ми розраховувались карточною , так офіціант трошки розгубився кому віддавати картку – дурна ситуація ((((( .
