
Ні	part 
грошей	noun:p:v_rod 
їж	verb:impr:s:2:imperf 
дома	adv 
квашену	adjp:pasv:past:f:v_zna 
капусту	noun:f:v_zna 
А	conj:coord 
то	conj:subord 
виходить	insert 
як	conj:subord 
У	prep:rv_zna:rv_mis:rv_rod:v-u 
тому	adj:m:v_mis:&pron:dem 
анекдоті	noun:m:v_mis 
штани	noun:p:v_naz 
штани	noun:p:v_naz 
А	conj:coord 
насправді	adv 
вкакався	- 
Я	pron:pers:s:1:v_naz:anim 
З	prep:rv_oru 
вами	pron:pers:p:2:v_oru:anim 
не	part 
згідна	adj:f:v_naz 
щодо	prep:rv_rod 
посуду	noun:m:v_rod 
він	pron:pers:m:3:v_naz:anim 
гарно	adv:compb 
вимитий	adjp:pasv:past:m:v_naz 
І	conj:coord  
чистий	adj:m:v_naz:compb 
А	conj:coord 	
те	adj:n:v_naz:&pron:dem 
що	pron:int:rel:n:v_naz 
деякі	adj:p:v_naz 
люди	noun:p:v_naz:anim 
як	conj:subord 
свині	noun:unknown 
	adj:p:v_naz 
	adj:p:v_zna 
	noun:f:v_dav:anim 
	noun:f:v_mis:anim 
	noun:f:v_rod:anim 
накидають	verb:pres:p:3:imperf 
вареники	noun:p:v_zna 
то	conj:subord 
заклад	noun:m:v_naz 
В	prep: rv_mis:v-u 
цьому	adj:m:v_mis:&pron:dem 
не	part 
винний	adj:m:v_naz 
Ви	pron:pers:p:2:v_naz:anim 
Ж	part 
не	part 
підставите	verb:futr:p:2:perf 
тарілку	noun:f:v_zna 
до	prep:rv_rod 
самої	adj:f:v_rod 
миски	noun:f:v_rod 
З	prep:rv_oru 
варениками	noun:p:v_oru 
А	conj:coord 
за	prep: rv_zna
метр	noun:m:v_zna 
їх	pron:pers:p:3:v_rod:anim 
А	conj:coord 
масло	noun:n:v_naz 
чи	conj:coord:subord 
смалець	noun:m:v_naz 
В	prep: rv_mis:v-u 
якому	adj:m:v_mis:&pron:int:rel:def
вони	pron:pers:p:3:v_naz:anim 
знаходяться	verb:rev:pres:p:3:imperf 
стікає	verb:pres:s:3:imperf 
по	prep:rv_mis
тарілці	noun:f:v_mis 
вниз	adv:v-u 
А	conj:coord 
тоді	adv:&pron:dem 
вже	adv:v-u 
винний	adj:m:v_naz 
заклад	noun:m:v_naz 
АКУРАТНО	adv:compb 
І	conj:coord 
ПОМАЛЕНЬКУ	adv 
НАКИДУЙТЕ	- 
ВАРЕНИКИ	noun:p:v_zna 
І	conj:coord  
БУДЕ	verb:futr:s:3:imperf 
ВСЕ	adj:n:v_naz:&pron:dem
НОРМАЛЬНО	adv 
ВАРЕНИКИ	noun:p:v_naz 
СМАЧНІ	adj:p:v_naz:compb 
ДУЖЕ	adv 
ДУЖЕ	adv 
Були	verb:past:p:imperf 
сьогодні	adv 
дуже	adv 
дуже	adv 
смачно	adv:compb 
молодці	noun:p:v_naz:anim 
Вареники	noun:p:v_naz 
великі	adj:p:v_naz:compb 
соковиті	adj:p:v_naz:compb 
І	conj:coord 
ситні	adj:p:v_naz:compb 
Все	adj:n:v_naz:&pron:dem
сподобалось	verb:rev:past:n:perf 
великий	adj:m:v_naz:compb 
плюс	noun:m:v_naz 
І	conj:coord 
персоналу	noun:m:v_dav 
молодці	noun:p:v_naz:anim 
Бажаємо	verb:pres:p:1:imperf 
вам	pron:pers:p:2:v_dav:anim
тільки	part 
процвітати	verb:inf:imperf 
та	conj:coord 
вареники	noun:p:v_naz 
ніби	conj:subord 
Й	conj:coord 
не	part 
дуже	adv 
дорого	adv:compb 
але	conj:coord 
якщо	conj:subord 
ще	adv 
взяти	verb:inf:perf 
та	conj:coord 
на	prep:rv_zna
4	number 
осіб	noun:p:v_zna:anim 
то	conj:subord 
набігає	verb:pres:s:3:imperf 
Файно	adv 
їсти	verb:inf:imperf 
В	prep:rv_mis:v-u 
Озерному	adj:m:v_dav 
	adj:m:v_mis 
	adj:n:v_dav 
	adj:n:v_mis 
на	prep:rv_mis 
Тернопіллі	noun:n:v_mis 
Там	adv:&pron:dem 
ми	pron:pers:p:1:v_naz:anim
4	number 
особи	noun:p:v_naz:anim 
на	prep:rv_zna
59	number 
гривень	noun:p:v_rod 
так	adv:&pron:dem 
наїлися	verb:rev:past:p:perf 
що	conj:subord 
ого	excl 
Ви	pron:pers:p:2:v_naz:anim
ше	- 
ніц	- 
не	part 
виділи	verb:impr:s:2:perf 
	
	noun:p:v_naz 
	noun:p:v_zna 
Я	pron:pers:s:1:v_naz:anim 
був	verb:past:m:imperf 
У	prep:rv_mis:v-u 
кафешці-ресторані	noun:f:v_mis:slang 
Полавського	- 
що	pron:int:rel:n:v_naz 
на	prep:rv_zna:rv_mis 
трасі	noun:f:v_mis 
Київ-Одеса	noun:m:v_naz 
Там	adv:&pron:dem 
достатня	adj:f:v_naz 
порція	noun:f:v_naz 
для	prep:rv_rod 
хлопа	noun:m:v_rod:anim 
вартує	verb:pres:s:3:imperf 
35	number 
А	conj:coord 
туди	adv:&pron:dem 
входять	verb:pres:p:3:imperf 
сметана	noun:f:v_naz 
І	conj:coord 
окремо	adv 
сало	noun:n:v_naz 
мелене	adjp:pasv:past:n:v_naz 
З	prep: rv_oru
спеціями	noun:p:v_oru 
А	conj:coord 
точка	noun:f:v_naz 
так	adv:&pron:dem 
І	conj:coord 
називається	verb:rev:pres:s:3:imperf
50	number 
видів	noun:p:v_rod 
вареників	noun:p:v_rod 
Спеціально	adv 
дививсь	verb:rev:past:m:imperf 
В	prep:rv_zna:v-u 
меню	noun:n:v_zna:nv 
50	number 
видів	noun:p:v_rod 
Дивився	verb:rev:past:m:imperf 
відгуки	noun:p:v_zna 
Від	prep:rv_rod 
Генеральної	adj:f:v_rod 
Прокуратури	noun:f:v_rod 
України	noun:f:v_rod 
до	prep:rv_rod 
бабусі	noun:f:v_rod:anim 
вареники	noun:p:v_naz 
правда	insert 
дуже	adv 
смачні	adj:p:v_naz:compb 
лимонад	noun:m:v_naz 
непоганий	adj:m:v_naz 
обслуговуючий	adjp:actv:pres:m:v_naz:bad
персонал	noun:m:v_naz 
привітний	adj:m:v_naz:compb 
І	conj:coord 
аж	part 
надто	adv 
старанний	adj:m:v_naz:compb 
не	part 
встигла	verb:past:f:perf:v-u 
покласти	verb:inf:perf 
до	prep:rv_rod 
рота	noun:m:v_rod 
останній	adj:m:v_zna 
шматочок	noun:m:v_zna 
вареника	noun:m:v_rod 
А	conj:coord 
тарілку	noun:f:v_zna 
вже	adv:v-u 
забрали	verb:past:p:perf 
В	prep: rv_mis:v-u 
прямому	adj:n:v_mis:compb 
значенні	noun:n:v_mis 
слова	noun:n:v_rod 
офіціантки	noun:p:v_naz:anim 
просто	adv:compb 
стоять	verb:pres:p:3:imperf 
І	conj:coord 
спостерігають	verb:pres:p:3:imperf 
хто	pron:int:rel:m:v_naz:anim 
вже	adv:v-u 
доїв	verb:past:m:perf 
щоб	conj:subord 
прибрати	verb:inf:perf  
аж	part 
смішно	adv 
але	conj:coord 
це	adj:n:v_naz:&pron:dem
дрібниці	noun:p:v_naz 
вареники	noun:p:v_naz 
правда	insert 
Взяв	verb:past:m:perf 
вареники	noun:p:v_zna 
зі	prep: rv_oru 
шкварками	noun:p:v_oru 
шкварки	noun:p:v_naz 
були	verb:past:p:imperf 
вареники	noun:p:v_naz 
З	prep: rv_oru 
печінкою	noun:f:v_oru 
А	conj:coord 
З	prep: rv_oru  
задорого	adv 
як	adv:&pron:int:rel 
для	prep:rv_rod 
такої	adj:f:v_rod:&pron:def 
ціни	noun:f:v_rod 
пиво	noun:n:v_naz 
наливають	verb:pres:p:3:imperf 
В	prep:rv_zna:v-u 
стакан	noun:m:v_zna 
400	number 
мл	noun:p:v_rod:nv:abbr 
капусту	noun:f:v_zna 
по	prep:rv_mis:rv_zna 
70	number 
за	prep:rv_zna
кг	noun:m:v_zna:nv:abbr 
їжте	verb:impr:p:2:imperf 
самі	adj:p:v_naz:&pron:def 
добрий	adj:m:v_naz:compb 
день	noun:m:v_naz 
сподобалось	verb:rev:past:n:perf 
що	conj:subord 
багато	numr:p:v_naz:&pron:ind
Української	adj:f:v_rod 
символіки	noun:f:v_rod 
мене	pron:pers:s:1:v_rod:anim
це	adj:n:v_naz:&pron:dem 
І	conj:coord 
купило	verb:past:n:perf 
але	conj:coord 
це	adj:n:v_naz:&pron:dem
все	adj:n:v_naz:&pron:dem
коли	adv:&pron:int:rel 
Я	pron:pers:s:1:v_naz:anim
побачив	verb:past:m:perf 
вареники	noun:p:v_zna 
яки	noun:p:v_naz:anim 
	noun:p:v_zna:anim 
похоронені	adjp:pasv:past:p:v_naz 
під	prep: rv_oru 
товстим	adj:m:v_oru:compb 
шаром	noun:m:v_oru 
жиру	noun:m:v_rod 
не	part 
знаю	verb:pres:s:1:imperf 
на	prep:rv_zna:rv_mis 
віщо	pron:int:rel:n:v_zna 
апетит	noun:m:v_naz 
зник	verb:past:m:perf 
на	prep:rv_zna
прохання	noun:p:v_zna 
зварити	verb:inf:perf 
вареники	noun:p:v_zna 
без	prep:rv_rod 
жиру	noun:m:v_rod 
мені	pron:pers:s:1:v_dav:anim 
посміялись	verb:rev:past:p:perf 
В	prep:rv_zna:
лице	noun:n:v_zna 
директор	noun:m:v_naz:anim 
І	conj:coord 
адміністратор	noun:m:v_naz:anim 
на	prep:rv_zna
моє	 adj:n:v_zna:&pron:pos 
прохання	noun:n:v_zna 
не	part 
вийшли	verb:past:p:perf:perf 
певно	adv:compb 
В	prep: rv_rod:v-u 
них	pron:pers:p:3:v_rod:anim 
немає	predic 
часу	noun:m:v_rod 
на	prep:rv_zna
такі	adj:p:v_zna:&pron:def 
дрібниці	noun:p:v_zna 
більше	adv:compr 
В	prep:rv_zna:v-u 
цей	adj:m:v_zna:&pron:dem 
заклад	noun:m:v_zna 
не	part 
піду	verb:futr:s:1:perf 
І	conj:coord 
друзям	noun:p:v_dav:anim 
робіть	verb:impr:p:2:imperf 
висновки	noun:p:v_zna 
адреса	noun:f:v_naz  
Генерала	noun:m:v_rod:anim 
Київ	noun:m:v_naz 
мали	verb:past:p:imperf 
необережність	noun:f:v_zna 
скуштувати	verb:inf:perf 
вареників	noun:p:v_rod 
З	prep: rv_oru
капустою	noun:f:v_oru 
В	prep:rv_mis:rv:v-u 
одному	numr:m:v_mis 
З	prep:rv_rod
них	pron:pers:p:3:v_rod:anim 
знайшли	verb:past:p:perf 
плівку	noun:f:v_zna 
від	prep:rv_rod 
ковбаси	noun:f:v_rod 
Запропонували	verb:past:p:perf 
ще	adv 
одну	numr:f:v_zna 
порцію	noun:f:v_zna 
вареників	noun:p:v_rod 
От	part 
І	conj:coord 
думайте	verb:impr:p:2:imperf 
З	prep:rv_rod
чого	pron:int:rel:n:v_rod 
ті	adj:p:v_naz:&pron:dem 
вареники	noun:p:v_naz 
03.Лип	time 
були	verb:past:p:imperf 
В	prep: rv_mis:v-u 
цьому	adj:m:v_mis:&pron:dem 
В	prep: rv_mis:v-u 
варениках	noun:p:v_mis 
З	prep: rv_oru 
капустою	noun:f:v_oru 
була	verb:past:f:imperf 
плівка	noun:f:v_naz 
від	prep:rv_rod 
ковбаси	noun:f:v_rod 
З	prep:rv_rod
чого	pron:int:rel:n:v_rod 
ці	adj:p:v_naz:&pron:dem 
вареники	noun:p:v_naz 
не	part 
зрозуміло	adv:compb 
Будьте	verb:impr:p:3:imperf 
обережні	adj:p:v_naz:compb 
особливо	adv 
З	prep: rv_oru
дітками	noun:p:v_oru:anim 
не	part 
видаляйте	verb:impr:p:2:imperf 
цей	adj:m:v_zna:&pron:dem
Завжди	adv:&pron:gen 
Із	prep:rv_oru
задоволенням	noun:n:v_oru 
відвідувала	verb:past:f:imperf 
цей	adj:m:v_zna:&pron:dem 
заклад	noun:m:v_zna 
але	conj:coord 
сьогодні	adv 
узявши	advp:perf 
на	prep:rv_zna
вагу	noun:f:v_zna 
із	prep:rv_oru
собою	pron:refl:m:v_oru 
	pron:refl:n:v_oru 
вареники	noun:p:v_zna 
на	prep:rv_mis 
800	number 
грамах	noun:p:v_mis 
обважили	verb:past:p:perf 
на	prep:rv_zna
120	number 
грам	noun:m:v_zna 
Дуже	adv 
прикро	adv:compb 
навіть	part 
не	part 
очікувала	verb:past:f:imperf 
Просто	adv:compb 
за	prep: rv_oru
об	prep:rv_zna:rv_mis 
якось	adv:&pron:ind 
мало	adv:compb 
здалося	verb:rev:past:n:perf 
вдома	adv:v-u 
переважила	verb:past:f:perf 
Сором	noun:m:v_naz 
Так	adv:&pron:dem 
дійсно	adv 
правда	insert 
платити	verb:inf:imperf 
за	prep:]rv_zna
капусту	noun:f:v_zna 
хліб	noun:m:v_zna 
сметану	noun:f:v_zna 
по	prep: rv_zna 
70	number 
гривень	noun:p:v_rod
за	prep:rv_zna
кг	noun:m:v_zna:nv:abbr 
це	adj:n:v_naz:&pron:dem 
жах	noun:m:v_naz 
А	conj:coord 
В	prep: mis:v-u 
цілому	adj:m:v_mis 
вже	adv:v-u 
зникає	verb:pres:s:3:imperf 
апетит	noun:m:v_naz 
коли	adv:&pron:int:rel 
наближаєшся	verb:rev:pres:s:2:imperf 
до	prep:rv_rod 
закладу	noun:m:v_rod 
І	conj:coord 
відчуваєш	verb:pres:s:2:imperf 
жахливий	adj:m:v_zna:compb 
запах	noun:m:v_zna 	
від	prep:rv_rod 
нього	pron:pers:m:3:v_rod:anim 
Невже	part 
не	part 
можна	predic 
зробити	verb:inf:perf 
потужніші	adj:p:v_zna:compr 
витяжки	noun:p:v_zna 
Найцікавіший	adj:m:v_naz:super 
обід	noun:m:v_naz 
У	prep: rv_mis:v-u 
ВАРЕНИКИ	noun:p:v_naz 
	noun:p:v_zna 
ТУТ	adv:&pron:dem 
В	prep: rv_mis:v-u 
червоний	adj:m:v_naz:compb 
борщ	noun:m:v_naz 
зі	prep:rv_oru
сметаною	noun:f:v_oru 
та	conj:coord 
за	prep: rv_zna
7	number 
ГРН	noun:p:v_zna:nv:abbr 
А	conj:coord 
хліб	noun:m:v_naz 
зі	prep: rv_oru
смальцем	noun:m:v_oru 
БЕЗКОШТОВНО	adv 
З	prep: rv_oru 
