Protsay 20-30 female
з				з 				prep:rv_rod 0
іншого			інший			pron:def:m:v_rod  0
я				я				pron:pers:s:1:v_naz:anim  0
помітила		помітити 		verb:past:f:perf  -29
що				що 				conj:subord  -29
все				все 			adv:v-u  0
одно			один 			adv  0
вже				вже 			adv:v-u  29
давно			давно			adv  -27
складене		складений		adjp:pasv:past:n:v_naz  0
меню			меню 			noun:n:v_naz:nv  0
під				під 			prep:rv_zna  0
весілля			весілля 		noun:n:v_zna  50
від				від 			prep:rv_rod  0
якого			який 			pron:int:rel:def:m:v_rod 0
вони			вони 			pron:pers:p:3:v_naz:anim  0
не				не 				part  0
дуже			дуже			adv   50
охоче			охочий 			adj:n:v_naz  50
відходять		відходити		verb:pres:p:3:imperf  0
і				і 				conj:coord  0
змінювати		змінювати		verb:inf:imperf  0
не				не 				part  -28
дуже			дуже 			adv  50
Думаю			думати			verb:pres:s:1:imperf  0
що				що 				conj:subord  0
все-таки		все-таки 		part:v-u  0
їм				вони 			pron:pers:p:3:v_dav:anim  0
краще			хороший 		adj:n:v_naz:compr  25
знати			знати			verb:inf:imperf  0
бо				бо 				conj:subord  0
ж				ж 				part  0
знають			знати 			verb:pres:p:3:imperf  0
свою			свій 			pron:pos:f:v_zna 0
справу			справа 			noun:f:v_zna  0
тому			тому			adv   0
багато			багато 			adv  29
чого			що 				pron:int:rel:n:v_rod  0
просто			просто 			part  0
довірили		довірити 		verb:past:p:perf  0
на				на 				prep:rv_zna  0
смак			смак 			noun:m:v_naz  0
шеф-повара		шеф-повар 		noun:m:v_rod:anim  0
дміністратор	адміністратор 	noun:m:v_naz:anim  0
Ірина			Ірина 			noun:f:v_naz:anim:fname  0
така			такий			pron:def:f:v_naz  0
приємна			приємний 		adj:f:v_naz:compb  31
і				і				conj:coord  31
терпляча		терплячий 		adj:f:v_naz  31
як				як 				part  0
людина			людина 			noun:f:v_naz:anim  0
яка				який 			pron:int:rel:def:f:v_naz 0
усе				усе				adv:v-u  0
дійсно			дійсно 			adv  0
намагалася		намагатися 		verb:rev:past:f:imperf  0
продумати		продумати 		verb:inf:perf  0
якнайкраще		хороший 		adj:n:v_naz:super  32
на				на 				prep:rv_zna  0
більшість		більшість 		noun:f:v_zna  22
речей			річ 			noun:p:v_rod  0
у				у 				prep:rv_rod:v-u  0
мене			я 				pron:pers:s:1:v_rod:anim  0
вже				вже				adv:v-u  0
не				не 				part  0
вистачало		вистачати		verb:past:n:imperf  0
фантазії		фантазія		noun:f:v_rod  18
і				і 				conj:coord  0
сили			сила 			noun:f:v_rod  0
то				то 				conj:subord  0
Ірина			Ірина 			noun:f:v_naz:anim:fname  0
все				все 			adv:v-u  0
чудово			чудово 			adv:compb  29
підказувала		підказувати 	verb:past:f:imperf  29
ніби			ніби			part  0
читала			читати 			verb:past:f:imperf  0
мої				мій 			pron:pos:p:v_zna  0
думки			думка 			noun:p:v_zna  0
як				як 				part  0
я				я 				pron:pers:s:1:v_naz:anim  0
би				би 				part  0
то				то 				conj:subord  0
зробити			зробити 		verb:inf:perf  0
дуже			дуже 			adv  32
відчувалася		відчуватися 	verb:rev:past:f:imperf  0
її				вона 			pron:pers:f:3:v_rod:anim 0
допомога		допомога 		noun:f:v_naz  17
щоб				щоб 			conj:subord  0
нам				ми 				pron:pers:p:1:v_dav:anim  0
не				не 				part  0
довелося		довестися 		verb:rev:past:n:perf  -29
хвилюватися		хвилюватися 	verb:rev:inf:imperf  -29
у				у 				prep:rv_zna:v-u  0
день			день 			noun:m:v_naz  0
нашого			наш 			pron:pos:n:v_rod 0
весілля			весілля 		noun:n:v_naz  50
прикрашання		прикрашання 	noun:n:v_naz  50
залу			зал 			noun:m:v_rod  0
розсадка		розсадка 		noun:f:v_naz:bad  0
і				і 				part  0
особливо		особливо 		adv  0
сподобався		сподобатися		verb:rev:past:m:perf  24
сюрприз			сюрприз 		noun:m:v_naz  24
від				від 			prep:rv_rod  24
ресторану		ресторан 		noun:m:v_rod  24
як				як 				conj:subord  0
нам				ми 				pron:pers:p:1:v_dav:anim  0
подавали		подавати		verb:past:p:imperf  0
наш				наш 			pron:pos:m:v_zna 0
весільний		весільний 		adj:m:v_zna  46
торт			торт 			noun:m:v_zna  46
Офіціанти		офіціант 		noun:p:v_naz:anim  0
там				там 			adv 0
якісь			якийсь			pron:ind:p:v_naz  0
особливі		особливий 		adj:p:v_naz  0
такі			такий 			pron:def:p:v_naz  0
ввічливі		ввічливий 		adj:p:v_naz:v-u  26
і				і 				conj:coord  0
усміхнені		усміхнений		adj:p:v_naz:v-u  30
у				у 				prep:rv_mis:v-u  0
спецодязі		спецодяг 		noun:m:v_mis  0
як				як 				conj:subord  0
на				на 				prep:rv_zna  0
підбір			підбір			noun:m:v_naz  0
наші			наш 			pron:pos:p:v_naz  0
гості			гість 			noun:p:v_naz:anim  0
казали			казати 			verb:past:p:imperf  0
що				що 				conj:subord  0
ніколи			ніколи 			pron:neg  -31
в				в 				prep:rv_mis:v-u  -31
житті			життя 			noun:n:v_mis  0
їх				вони 			pron:pers:p:3:v_rod:anim  0
так				так 			part  0
не				не 				part  0
обслуговували	обслуговувати 	verb:past:p:imperf  0
і				і 				conj:coord  0
вони			вони 			pron:pers:p:3:v_naz:anim  0
почували		почувати 		verb:past:p:imperf  0
такими			такий 			pron:def:p:v_oru  0
поважними		поважний 		adj:p:v_oru:compb  9
гостями			гість 			noun:p:v_oru:anim  0
Фуршетний		фуршетний 		adj:m:v_naz  0
стіл			стіл 			noun:m:v_naz  0
був				бути 			verb:past:m:imperf  0
на				на 				prep:rv_mis  0
першому			перший			adj:m:v_mis  0
поверсі			поверх 			noun:m:v_mis  0
де				де 				pron:int:rel  0
ми				ми 				pron:pers:p:1:v_naz:anim  0
поєднували		поєднувати 		verb:past:p:imperf  0
пригощання		пригощання 		noun:p:v_naz  14
і				і 				conj:coord  0
фотографування	фотографування	noun:p:v_naz  0
з				з 				prep:rv_oru  0
кожним			кожний 			pron:def:p:v_oru 0
гостем			гість 			noun:m:v_oru:anim  0
Також			також 			conj:coord  0
гості			гість 			noun:p:v_naz:anim  0
облюбували		облюбувати 		verb:past:p:perf  33
собі			себе 			pron:refl:m:v_dav  0
місце			місце 			noun:n:v_naz  0
акваріуму		акваріум 		noun:m:v_mis  0
де				де 				pron:int:rel  0
стояв			стояти 			verb:past:m:imperf  0
столик			столик 			noun:m:v_naz  0
з				з 				prep:rv_oru 0
кріслами		крісло 			noun:p:v_oru  0
і				і 				part  0
на				на 				prep:rv_mis  0
столику			столик 			noun:m:v_mis  0
була			бути 			verb:past:f:imperf  0
книга			книга 			noun:f:v_naz  0
для				для 			prep:rv_rod  0
Тамада			тамада 			noun:f:v_naz:anim  0
час				час від часу 	<adv>  0
від				від 			prep:rv_rod  0
часу			час від часу 	</adv>  0
нагадувала		нагадувати 		verb:past:f:imperf  0
про				про 			prep:rv_zna  0
книгу			книга 			noun:f:v_zna  0
і				і 				conj:coord  0
нам				ми 				pron:pers:p:1:v_dav:anim  0
майже			майже 			adv  0
усі				увесь 			pron:dem:p:v_naz 0
залишили		залишити 		verb:past:p:perf  0
свої			свій 			pron:pos:p:v_naz  0
побажання		побажання 		oun:p:v_naz  22
які				який			pron:int:rel:def:p:v_naz 0
зараз			зараз 			adv 0
ТАК				так 			part  0
приємно			приємно 		adv:compb  33
перечитувати	перечитувати 	verb:inf:imperf  0
На				на 				prep:rv_mis  0
вулиці			вулиця 			noun:f:v_mis  0
було			бути 			verb:past:n:imperf  0
досить			досить 			adv  0
холодно			холодно 		adv:compb  -32
тому			тому 			adv  0
гості			гість 			noun:p:v_naz:anim  0
усі				увесь 			pron:dem:p:v_naz  0
були			бути 			verb:past:p:imperf  0
в				в 				prep:rv_mis:v-u  0
залі			зал 			noun:m:v_mis  0
як				як 				conj:subord  0
я				я 				pron:pers:s:1:v_naz:anim  0
і				і 				part  0
мріяла			мріяти 			verb:past:f:imperf  31
а				а 				part  0
не				не				part  -35
сиділи			сидіти 			verb:past:p:imperf  0
в				в 				prep:rv_mis:v-u  0
альтанках		альтанка 		noun:p:v_mis  0
лише			лише 			part  0
о				о 				prep:rv_zna:rv_mis  0
22.00			22.00 			time  0
така			такий 			pron:def:f:v_naz  0
умова			умова 			noun:f:v_naz  0
ресторану		ресторан 		noun:m:v_rod  0
була			бути 			verb:past:f:imperf  0
пізніше			пізно 			adv:compr  0
вже				вже 			adv:v-u  0
не				не 				part  -33
можна			можна 			predic  0
ми				ми 				pron:pers:p:1:v_naz:anim  0
всі				весь			pron:dem:p:v_naz  0
пішли			піти 			verb:past:p:perf  0
дивитися		дивитися 		verb:rev:inf:imperf  0
на				на 				prep:rv_zna 0
святковий		святковий 		adj:m:v_naz:compb  36
весільний		весільний 		adj:m:v_naz  50
феєрверк		феєрверк 		noun:m:v_naz  50
На				на 				prep:rv_zna 0
кінець			кінець 			noun:m:v_naz  0
останній		останній 		adj:m:v_naz  0
подарунок		подарунок 		noun:m:v_naz  34
від				від 			prep:rv_rod  0
ресторану		ресторан 		noun:m:v_rod  0
номер			номер 			noun:m:v_naz  0
в				в 				prep:rv_mis:v-u  0
готелі			готель 			noun:m:v_mis  0
для				для 			prep:rv_rod  0
молодят			молодята 		noun:p:v_rod:anim  0
який			який 			pron:int:rel:def:m:v_naz 0
спочатку		спочатку 		adv  0
окупували		окупувати 		verb:past:p:perf  -35
наші			наш 			pron:pos:p:v_naz  0
маленькі		маленький 		adj:p:v_naz  -30
племінники		племінник 		noun:p:v_naz:anim  0
А				а 				conj:coord  0
потім			потім 			adv  0
коли			коли 			pron:int:rel  0
вже				вже 			adv:v-u  0
всі				весь 			pron:dem:p:v_naz  0
поїхали			поїхати 		verb:past:m:perf  0
то				то 				conj:subord  0
весь			весь 			pron:dem:m:v_naz 0
номер			номер 			noun:m:v_naz  0
прикрасили		прикрасити		verb:past:p:perf  22
свічками		свічка 			noun:p:v_oru  22
і				і 				conj:coord  0
пелюстками		пелюстка 		noun:p:v_oru  23
троянд			троянда 		noun:p:v_rod  23
Також			також 			conj:coord  0
дуже			дуже 			adv  23
приємно			приємно 		adv:compb  23
було			бути 			verb:past:n:imperf  0
Загальні		загальний 		adj:p:v_naz:compb  0
враження		враження 		noun:p:v_naz  0
тільки			тільки 			part  0
позитивні		позитивний		adj:p:v_naz:compb  23
на				на 				prep:rv_zna  0
дрібниці		дрібниця 		noun:p:v_naz  0
намагаємося		намагатися		verb:rev:pres:p:1:imperf  0
не				не 				part  0
звертати		звертати 		verb:inf:imperf  0
уваги			увага 			noun:f:v_rod  0
тому			тому 			conj:subord  0
сміливо			сміливо 		adv:compb  22
рекомендувати	рекомендувати 	verb:inf:imperf  22
ресторан		ресторан 		noun:m:v_zna  0
Рафаель			Рафаель 		noun:m:v_naz:anim:fname 0
Висловлюємо		висловлювати 	verb:pres:p:1:imperf  0
подяку			подяка 			noun:f:v_zna  -10
дирекції		дирекція 		noun:f:v_dav  0
і				і 				conj:coord  0
всьому			весь 			pron:dem:m:v_dav 0
колективу		колектив 		noun:m:v_dav  0
ресторану		ресторан 		noun:m:v_rod  0
за				за 				prep:rv_zna 0
професіоналізм	професіоналізм 	noun:m:v_naz  18
та				та 				conj:coord  0
відданість		відданість 		noun:f:v_naz  32
своїй			свій 			pron:pos:f:v_dav  0
справі			справа 			noun:f:v_dav  0
а				а 				part  0
особливо		особливо 		adv  0
за				за 				prep:rv_zna 0
незмінно		незмінно 		adv  0
гарні			гарний 			adj:p:v_naz:compb  24
відгуки			відгук 			noun:p:v_naz  0
наших			наш 			pron:pos:p:v_rod  0
клієнтів		клієнт 			noun:p:v_rod:anim  0
про				про 			prep:rv_zna  0
Вашу			ваш 			pron:pos:f:v_zna  0
роботу			робота 			noun:f:v_zna  0
Сподіваємось	сподіватися 	verb:rev:pres:p:1:imperf 26
на				на 				prep:rv_zna 0
подальшу		подальший 		adj:f:v_zna  0
плідну			плідний 		adj:f:v_zna:compb  25
співпрацю		співпраця 		noun:f:v_zna  0
та				та 				conj:coord  0
спільні			спільний 		adj:p:v_naz  0
проекти			проект 			noun:p:v_naz  0
З				з 				prep:rv_oru 0
повагою			повага 			noun:f:v_oru  25
колектив		колектив 		noun:m:v_naz  0
івент-агенції	івент-агенція 	noun:f:v_rod  0
Щиро			щиро			adv:compb  17
вдячна			вдячний 		adj:f:v_naz  17
за				за 				prep:rv_zna 0
прекрасний		прекрасний 		adj:m:v_zna:compb  50
відпочила		відпочити 		verb:past:f:perf  0
та				та 				conj:coord  0
зручність		зручність 		noun:f:v_naz  28
Обов'язково		обов'язково 	adv  0
ще				ще 				part  0
до				до 				prep:rv_rod  0
вас				ви 				pron:pers:p:2:v_mis:anim 0
завітаємо		завітати 		verb:futr:p:1:perf  0
заклад			заклад 			noun:m:v_naz  0
вартий			вартий			adj:m:v_naz  27
уваги			увага 			noun:f:v_rod  0
якщо			якщо 			conj:subord  0
ви				ви 				pron:pers:p:2:v_naz:anim 0
плануєте		планувати 		verb:pres:p:2:imperf  0
весілля			весілля 		noun:n:v_naz  50
чи				чи 				conj:coord:subord  0
інше			інший 			pron:def:n:v_naz  0
святкування		святкування 	noun:n:v_naz  32
Приємний		приємний 		adj:m:v_naz:compb  32
персонал		персонал 		noun:m:v_naz  0
й				й 				conj:coord  0
смачна			смачний 		adj:f:v_naz:compb  22
кухня			кухня 			noun:f:v_naz  0
Святкували		святкувати 		verb:past:p:imperf  16
своє			свій 			pron:pos:n:v_naz  0
весілля			весілля 		noun:n:v_naz  50
27.07.2012		27.07.2012 		date  0
Всім			весь 			pron:dem:p:v_dav  0
все				все 			adv:v-u  0
сподобалось		сподобатися 	verb:rev:past:n:perf  29
особливо		особливо 		adv  0
страви			страва 			noun:p:v_naz  0
Адміністратор	адміністратор 	noun:m:v_naz:anim  0
Ірина			Ірина 			noun:f:v_naz:anim:fname 0
все				все				adv:v-u  0
гарно			гарно 			adv:compb  29
організувала	організувати 	verb:past:f:perf  0
як				як 				part  0
меню			меню 			noun:n:v_naz:nv  0
було			бути 			verb:past:n:imperf  0
не				не 				part  0
стандартне		стандартний 	adj:n:v_naz:compb  0
і				і 				conj:coord  0
дуже			дуже 			adv  30
смачне			смачний 		adj:n:v_naz:compb  30
так				так 			part  0
і				і 				part  0
вчасну			вчасний 		adj:f:v_zna  0
подачу			подача 			noun:f:v_zna  0
Офіціанти		офіціант 		noun:p:v_naz:anim  0
приємні			приємний 		adj:p:v_naz:compb  27
гарно			гарно 			adv:compb  27
обслуговували	обслуговувати 	verb:past:p:imperf  0
Ні				ні 				part  -31
разу			раз 			noun:m:v_rod  0
не				не 				part  -26
побачила		побачити 		verb:past:f:perf  0
невдоволення	невдоволення 	noun:n:v_naz  -50
на				на 				prep:rv_mis  0
їхніх			їхній 			pron:pos:p:v_mis  0
обличчях		обличчя 		noun:p:v_mis  0
бігали			бігати 			verb:past:p:imperf  0
як				як 				part  0
бджілки			бджілка 		noun:p:v_naz:anim  0
всі				весь 			pron:dem:p:v_naz 0
усміхнені		усміхнений 		adj:p:v_naz:v-u  19
Гості			гість 			noun:p:v_naz:anim  0
всі				весь 			pron:dem:p:v_naz  0
були			бути 			verb:past:p:imperf  0
задоволені		задоволений 	adjp:pasv:past:p:v_naz:compb 41
і				і 				conj:coord  0
ситі			ситий 			adj:p:v_naz  39
подякувати		подякувати 		verb:inf:perf  39
всьому			весь 			pron:dem:m:v_dav  0
колективу		колектив 		noun:m:v_dav  0
ресторану		ресторан 		noun:m:v_rod  0
за				за 				prep:rv_zna 0
хороше			хороший 		adj:n:v_naz:compb  31
свято			свято 			noun:n:v_naz  31
Разом			разом 			adv  31
з				з 				prep:rv_oru 0
дружиною		дружина 		noun:f:v_oru  0
подякувати		подякувати 		verb:inf:perf  30
за				за 				prep:rv_zna 0
чудове			чудовий 		adj:n:v_naz:compb  21
свято			свято 			noun:n:v_naz  21
29				29 				number  0
серпня			серпень 		noun:m:v_rod  0
У				у 				prep:rv_mis:v-u  0
цьому			цей 			pron:dem:m:v_mis  0
комплексі		комплекс 		noun:m:v_mis  0
ми				ми 				pron:pers:p:1:v_naz:anim  0
гуляли			гуляти 			verb:past:p:imperf  0
наше			наш 			pron:pos:n:v_naz 0
весілля			весілля 		noun:n:v_naz  50
все				все 			adv:v-u  0
було			бути 			verb:past:n:imperf  0
дуже			дуже 			adv  35
гарно			гарно 			adv:compb  35
кухня			кухня 			noun:f:v_naz  0
зал				зал 			noun:m:v_naz  0
обслуговування	обслуговування 	noun:n:v_naz  0
Дуже			дуже 			adv  44
приємно			приємно 		adv:compb  44
співпрацювати	співпрацювати 	verb:inf:imperf  0
з				з 				prep:rv_oru  0
адміністраторами адміністратор 	noun:p:v_oru:anim  0
які				який 			pron:int:rel:def:p:v_naz 0
допомогли		допомогти 		verb:past:p:perf  0
скласти			скласти 		verb:inf:perf  0
хороше			хороший 		adj:n:v_naz:compb  25
меню			меню 			noun:n:v_naz:nv  0
до				до речі 		<insert>  0
речі			до речі 		</insert>  0
незалежно		незалежно 		adv  0
від				від				prep:rv_rod  0
курсу			курс 			noun:m:v_rod  0
ціна			ціна 			noun:f:v_naz  0
не				не 				part  -30
змінилась		змінитися 		verb:rev:past:f:perf  0
гарно			гарно 			adv:compb  29
все				все 			adv:v-u 0
організували	організувати 	verb:past:p:perf  0
та				та				part  0
ще				ще 				part  0
й				й 				part  0
зробили			зробити 		verb:past:p:perf  0
знижку			знижка 			noun:f:v_zna  0
адже			адже 			part  0
гуляли			гуляти 			verb:past:p:imperf  0
в				в 				prep:rv_zna:v-u  0
п'ятницю		п'ятниця 		noun:f:v_zna  0
Рекомендуватиму	рекомендувати 	verb:futr:s:1:imperf  0
всім			весь 			pron:demp:v_dav 0
цей				цей 			pron:dem:m:v_naz 0
заклад			заклад 			noun:m:v_naz  0
Єдине			єдиний 			adj:n:v_naz  0
що				що 				conj:subord  0
порадити		порадити 		verb:inf:perf  0
закладу			заклад 			noun:m:v_dav  0
в				в 				prep:rv_mis:v-u  0
номері			номер 			noun:m:v_mis  0
дуже			дуже 			adv  0
бракувало		бракувати 		verb:past:n:imperf  -36
зубної			зубний 			adj:f:v_rod  0
щітки			щітка 			noun:f:v_rod  0
після			після 			prep:rv_rod  0
того			той 			pron:dem:n:v_rod  0
як				як 				part  0
поїли			поїсти			verb:past:p:perf  0
Після			після 			prep:rv_rod  0
того			той 			pron:dem:n:v_rod  0
як				як 				part  0
поїли			поїсти 			verb:past:p:perf  0
попили			попити 			verb:past:p:perf  0
дуже			дуже 			adv  25
хоч				хоч 			part  0
почистити		почистити 		verb:inf:perf  0
зуби			зуб 			noun:p:v_naz  0
то				ато 			part  0
на				на 				prep:rv_zna  0
ранок			ранок 			noun:m:v_naz  0
трохи			трохи 			adv  0
хижо			хижо 			adv  -49
Святкували		святкувати 		verb:past:p:imperf  24
25.09.2011		25.09.2011 		date  0
власне			власний			adj:n:v_naz  0
весілля			весілля 		noun:n:v_naz  50
Все				весь 			pron:dem:n:v_naz 0
просто			просто 			adv:compb  0
чудово			чудово 			adv:compb  29
смачна			смачний 		adj:f:v_naz:compb  29
кухня			кухня 			noun:f:v_naz  0
привітний		привітний 		adj:m:v_naz:compb  25
та				та 				conj:coord  0
вихований		вихований 		adjp:pasv:past:m:v_naz 19
персонал		персонал 		noun:m:v_naz  0
чистота			чистота 		noun:f:v_naz  28
закладу			заклад 			noun:m:v_rod  0
та				та 				conj:coord  0
території		територія 		noun:f:v_rod  0
Відповідальна	відповідальний 	adj:f:v_naz:compb  0
адміністрація	адміністрація 	noun:f:v_naz  0
Іра				Іра 			noun:f:v_naz:anim:fname 0
Велике			великий 		adj:n:v_naz:compb  34
								adj:n:v_zna:compb  0
їм				вони 			pron:pers:p:3:v_dav:anim 0
ДЯКУЮ			дякувати 		verb:pres:s:1:imperf  26
І				і 				part  0
так				так				part  0
сьогодні		сьогодні 		adv  0
03.01.2015		03.01.2015 		date  0
ми				ми 				pron:pers:p:1:v_naz:anim 0
як				як				conj:subord  0
постійні		постійний 		adj:p:v_naz  0
клієнти			клієнт 			noun:p:v_naz:anim  0
Вашого			ваш 			pron:pos:m:v_rod  0
закладу			заклад 			noun:m:v_rod  0
не				не 				part  0
проїхати		проїхати 		verb:inf:perf  0
повз			повз 			adv  0
Вас				ви 				pron:pers:p:2:v_zna:anim 0
щоб				щоб				conj:subord  0
не				не 				part  -34
зайти			зайти 			verb:inf:perf  0
Цього			цей 			pron:dem:m:v_rod  0
разу			раз				noun:m:v_rod  0
ми				ми 				pron:pers:p:1:v_naz:anim 0
пообідати		пообідати 		verb:inf:perf  0
Ми				ми 				pron:pers:p:1:v_naz:anim  0
відважилися		відважитися 	verb:rev:past:p:perf  0
попробувати		попробувати 	verb:inf:perf  0
щось			щось 			pron:ind:n:v_zna  0
страву			страва 			noun:f:v_zna  0
яку				який 			pron:int:rel:def:f:v_zna 0
порекомендувала	порекомендувати	verb:past:f:perf  0
нам				ми 				pron:pers:p:1:v_dav:anim  0
пані			пан				noun:f:v_naz:nv:anim  0
Ірина			Ірина 			noun:f:v_naz:anim:fname  0
Замовивши		замовити 		advp:perf  0
наперед			наперед 		adv  0
по				по 				prep:rv_mis  0
телефоні		телефон 		noun:m:v_mis  0
ми				ми 				pron:pers:p:1:v_naz:anim 0
отримали		отримати 		verb:past:p:perf  0
без				без 			prep:rv_rod  0
перебільшення	перебільшення 	noun:n:v_naz  0
шикарну			шикарний		adj:f:v_zna  27
страву			страва 			noun:f:v_zna  0
КОЗАЦЬКА		козацький 		adj:f:v_naz  0
ЗАКУСЬ			закусь 			noun:f:v_naz:slang  0
Стільки			стільки 		adv  0
м'яса			м'ясо 			noun:n:v_rod  0
в				в 				prep:rv_mis:v-u  0
горщику			горщик 			noun:m:v_mis  0
ми				ми 				pron:pers:p:1:v_naz:anim  0
ще				ще 				part  0
ніде			ніде 			pron:neg  0
не				не 				part  0
їли				їсти 			verb:past:p:imperf  0
Це				цей 			pron:dem :n:v_naz  0
було			бути 			verb:past:n:imperf  0
найсмачніше		смачний 		adj:n:v_naz:super  31
блюдо			блюдо 			noun:n:v_naz  0
в				в 				prep:rv_mis:v-u  0
горщику			горщик 			noun:m:v_mis  0
яке				який			pron:int:rel:def:n:v_naz 0
ми				ми 				pron:pers:p:1:v_naz:anim  0
колись			колись 			pron:ind  0
пробували		пробувати 		verb:past:p:imperf  0
Ми				ми 				pron:pers:p:1:v_naz:anim  0
радимо			радити 			verb:pres:p:1:imperf  0
всім			весь 			pron:dem:p:v_dav  0
охочим			охочий 			adj:p:v_dav  34
попробувати		попробувати 	verb:inf:perf  0
це				цей 			pron:dem:n:v_naz 0
блюдо			блюдо			noun:n:v_naz  0
якщо			якщо 			conj:subord  0
Вам				ви 				pron:pers:p:2:v_dav:anim  0
не				не 				part  -36
сподобається	сподобатися 	verb:rev:futr:s:3:perf  19
ми				ми 				pron:pers:p:1:v_naz:anim  0
вам				ви 				pron:pers:p:2:v_dav:anim  0
віддамо			віддати 		verb:futr:p:1:perf  0
за				за 				prep:rv_zna  0
нього			воно 			pron:pers:n:3:v_rod  0
гроші			гроші 			noun:p:v_naz  0
Дякуємо			дякувати 		verb:pres:p:1:imperf  0
Вам				ви 				pron:pers:p:2:v_dav:anim  0
за				за 				prep:rv_zna 0
стабільно		стабільно 		adv:compb  0
вишукану		вишуканий 		adjp:pasv:past:f:v_zna:compb 24
кухню			кухня 			noun:f:v_zna  0
З				з 				prep:rv_rod:rv_zna:rv_oru 0
Новим			новий 			adj:m:v_oru:compb  0
роком			рік 			noun:m:v_oru  0
і				і 				conj:coord  0
Різдвом			різдво 			noun:n:v_oru  0
Христовим		Христовий 		adj:m:v_oru  0
З				з 				prep:rv_oru  0
повагою			повага 			noun:f:v_oru  0
Денис			Денис			noun:m:v_naz:anim:fname 0
Роман			Роман 			noun:m:v_naz:anim:fname 0
і				і 				conj:coord  0
Богдан			Богдан 			noun:m:v_naz:anim:fname 0
Дякуємо			дякувати 		verb:pres:p:1:imperf  0
Ми				ми 				pron:pers:p:1:v_naz:anim 0
святкували		святкувати 		verb:past:p:imperf  0
наше			наш				pron:pos:n:v_naz  0
весілля			весілля 		noun:n:v_naz  50
Все				весь 			pron:dem:n:v_naz  0
