Hanchevska 20-30 female
наступного 	наступний 	  	adj:m:v_rod  7
вечора	  	вечір 	  		noun:m:v_rod 15
та	  		та 		  		conj:coord  0
вранці	  	вранці 	  		adv:v-u  17
і	  		і 		  		conj:coord  0
кожного	  	кожний 	  		adj:m:v_rod 24
разу	  	раз 		   	noun:m:v_rod  0
гарне	  	гарний	  		adj:n:v_zna:compb  24
враження  	враження 	  	noun:n:v_zna 24
лише	  	лише 		  	conj:subord  -3
посилювалось посилюватися 	verb:rev:past:n:imperf  30
Єдиною	  	єдиний 	  		adj:f:v_oru  5
гіркою	  	гіркий 	  		adj:f:v_oru:compb -25
краплею	  	крапля 	  		noun:f:v_oru  2
були	  	бути 		  	verb:past:p:imperf  -2
коктейлі  	коктейль 	 	noun:p:v_naz   5
воно	  	воно 		  	pron:pers:n:3:v_naz  0
і	  		і 		  		conj:coord  0
зрозуміло  	зрозуміло 	  	adv:compb 0
це	  		цей 		  	adj:n:v_naz 0
ж	  		ж 		  		part  0
ресторан  	ресторан 	  	noun:m:v_naz  0
а	  		а 		  		conj:coord  0
не	  		не 		  		part  -5
бар	  		бар 		  	noun:m:v_naz  0
але	  		але 		  	conj:coord  -3
з	  		з  		  		prep:rv_rod 0
різних	  	різний 	  		adj:p:v_rod 8
коктейлів  	коктейль 	  	noun:p:v_rod  5
що	  		що 		  		conj:subord  0
ми	  		ми 		  		pron:pers:p:1:v_naz:anim 4
куштували  	куштувати	  	verb:past:p:imperf  8
сподобався 	сподобатися    	verb:rev:past:m:perf  25
лише	  	лише 		  	part -3
один	  	один 		  	numr:m:v_naz 0
Але	  		але 		  	conj:coord  -2
в	  		в 		  		prep:rv_mis 0
будь-якому 	будь-який 	  	adj:m:v_mis 0
разі	  	раз 		  	noun:m:v_mis 0
ми	  		ми 		  		pron:pers:p:1:v_naz:anim  3
повернемось повернутися   	verb:rev:futr:p:1:perf  5
сюди	  	сюди 		  	adv 15
ще	  		ще 		  		adv  15
не	  		не  		  	part -5
раз	  		раз 		  	noun:m:v_zna 5
Одне	  	один 		 	numr:n:v_naz  0
з	  		з    		  	prep:rv_rod 0
кращих	  	хороший 	  	adj:p:v_rod:compr 29
місць	  	місце 	  		noun:p:v_rod  5
яке	  		який 		  	pron:int:rel:def 0
ми	 	 	ми 		  		pron:pers:p:1:v_naz:anim  2
зустріли  	зустріти  	  	verb:past:p:perf  6
за	  		за 		  		prep:rv_zna 0
тиждень	  	тиждень 	  	noun:m:v_zna   15
перебування перебування  	noun:n:v_rod  15
у	  		у 		  		prep:rv_mis  0
Львові	  	Львів 	  		noun:m:v_mis  38
Дуже	  	дуже 		  	adv  45
затишний  	затишний 	  	adj:m:v_naz:compb  45
інтер'єр  	інтер'єр 	  	noun:m:v_naz  20
привітний  	привітний 	  	adj:m:v_naz:compb  45
персонал   	персонал 	  	noun:m:v_naz  15
надзвичайно надзвичайно   	adv 50
смачні	  	смачний 	  	adj:p:v_naz:compb  45
страви	  	страва 	  		noun:p:v_naz 20
та	  		та 		  		conj:coord  0
чудова	  	чудовий 	  	adj:f:v_naz:compb  35
музика	  	музика 	  		noun:f:v_naz  35
на	  		на 		  		prep:rv_zna 0
додачу	  	додача 	  		noun:f:v_zna 10
Меню	  	меню 		  	noun:n:v_naz:nv  0
побачень  	побачення 	  	noun:p:v_rod 35
теж	  		теж 		  	adv 5
дуже	  	дуже 		  	adv 45
порадувало  порадувати    	verb:past:n:perf  40
Замовили   	замовити 	  	verb:past:p:perf  5
равіолі 	равіолі 		noun:p:v_rod 5
з	  		з 		  		prep:rv_oru 0
пармською  	пармський 		anj:s:rv_rod 0
шинкою	  	шинка 	  		noun:f:v_oru  10
принесли  	принести 	  	verb:past:p:perf  5
якісь	   	якийсь 	  		pron:ind  -9
зовсім	  	зовсім 	  		adv  -9
інші	  	інший		  	adj:p:v_naz -9
ще	 		ще 		  		adv -9
й	 	 	й 		  		conj:coord  0
недоварені 	недоварений    	adj:p:v_naz  -35
і	  		і		 	 	conj:coord  0
не	  		не 		  		part  -5
смачні	  	смачний 	  	adj:p:v_naz:compb 40
Замовили  	замовити 	  	verb:past:p:perf 5
настоянку 	настоянка 	  	noun:f:v_zna  5
полуничну  	полуничний 	  	adj:f:v_zna  45
вишневу	  	вишневий 	  	adj:f:v_zna  45
і	  		і 		  		conj:coord  0
чорничну  	чорничний 	  	adj:f:v_zna 45
принесли  	принести 	  	verb:past:p:perf  5
на	  		на 		  		prep:rv_mis  0
свій	  	свій 		  	pron:pos  -4
вибір	  	вибір 	  		noun:m:v_mis  3
горіхову  	горіховий 	  	adj:f:v_zna  15
не	  		не 		  		part -5
узгодивши  	узгодити 	  	advp:perf  15
попередньо 	попередньо 	  	adv 15
з         	з 		  		prep:rv_oru 0
нами	  	ми 		  		pron:pers:p:1:v_oru:anim  4
По	  		по		  		prep:rv_mis 0
меню	  	меню 		  	noun:n:v_mis:nv 0
побачень  	побачення 	  	noun:p:v_rod  35
піца	  	піца		  	noun:f:v_naz  10
з	  		з 		 		prep:rv_oru 0
помідорами 	помідор 	  	noun:p:v_oru  15
принесли  	принести 	  	verb:past:p:perf  5
дві	  		два 		  	numr:f:v_zna 1
піци	  	піца 		  	noun:p:v_zna 5
тільки	  	тільки 	  		adv -1
з	  		з 		  		prep:rv_oru 0
сиром	  	сир		  		noun:m:v_oru  10
причому	  	причому 	  	conj:subord   -2
не	  		не		  		part  -5
першої	  	перший	  		adj:f:v_rod  5
свіжості  	свіжість 	  	noun:f:v_rod 35
сир	  		сир 		  	noun:m:v_naz  10
і	  		і 		  		conj:coord  0
холодна	  	холодний	  	adj:f:v_naz:compb  -35
піца	  	піца 		  	noun:f:v_naz  10
Поцікавились поцікавитися 	verb:rev:past:p:perf  15
чому	  	чому 		  	adv 0
немає	  	немає 	  		predic  -10
помідорів  	помідор 	  	noun:p:v_rod  10
офіціант  	офіціант 	  	noun:m:v_naz:anim 0
збрехав	  	збрехати 	  	verb:past:m:perf  -50
що	  		що 		  		conj:subord  0
їх	  		вони 		  	pron:pers:p:3:v_rod:anim 0
там	  		там 		  	adv 0
бути	  	бути 		  	verb:inf:imperf  0
не	  		не 		  		part -5
мало	  	мало 		  	adv:compb  -15
І         	і 		  		conj:coord  0
кому	  	хто 		  	pron:int:rel:m:v_dav:anim  0
яке	  		який 		  	adj:n:v_naz 0
діло	  	діло 		  	noun:n:v_naz  5
що	  		що 		  		conj:subord  0
в	  		в 		  		prep:rv_mis 0
меню	  	меню 		  	noun:n:v_dav:nv  0
вони	  	вони 		  	pron:pers:p:3:v_naz:anim  4
є	  		бути 		  	verb:pres:p:3:imperf  15
В	  		в 		  		prep:rv_zna 0
мене	  	я 		  		pron:pers:s:1:v_zna:anim 0
відчуття  	відчуття 	  	noun:n:v_naz  17
,	  		- 		  		- 0
наче	  	наче 		  	conj:subord  10
мене	  	я 		  		pron:pers:s:1:v_zna:anim  10
обдурили  	обдурити 	  	verb:past:p:perf  -50
вашою	  	ваш 		  	adj:f:v_oru:&pron:pos  5
рекламою  	реклама 	  	noun:f:v_oru  10
Нікому	  	ніхто 	  		pron:neg:v_dav:anim  -20
не	  		не 		  		part  -5
рекомендую 	рекомендувати  	verb:pres:s:1:imperf  10
іти	  		іти 		  	verb:inf:imperf  5
на	  		на 		  		prep:rv_zna:rv_mis 0
Андріївські андріївський  	adj:p:v_zna 10
вечорниці  	вечорниці 	  	noun:p:v_zna  10
шараварщина шароварщина 	noun:v_naz -20
Була	  	бути	  		verb:past:f:imperf  -5
на	  		на 		  		prep:rv_zna:rv_mis  0
вінкоплетинах вінкоплетини 	noun:p:v_mis  20
розчарувалась розчаруватися verb:rev:past:f:perf  -45
в	  		в 		  		prep:rv_zna:rv_mis:rv_rod:v-u  0
людях	  	люди 		  	noun:p:v_mis:anim   2
Як	  		як 		  		adv 0
можна	  	можна 	  		predic  12
настільки 	настільки 	  	adv -10
не	  		не 		  		part -5
орієнтуватися орієнтуватися verb:rev:inf:imperf  10
і	  		і 		  		conj:coord  0
навіть	  	навіть 	  		part  -5
полінуватися полінуватися 	verb:rev:inf:perf  -25
відкрити  	відкрити 	  	verb:inf:perf  5
інтернет  	інтернет 	  	noun:m:v_zna 20
Була	  	бути 	  		verb:past:f:imperf 0
вчора	  	вчора 	  		adv:v-u 10
мені	  	я 		  		pron:pers:s:1:v_dav:anim 0
дуже	  	дуже 		  	adv  42
сподобалося сподобатися	  	verb:rev:past:n:perf  42
і	  		і 		  		conj:coord  0
персонал  	персонал 	  	noun:m:v_naz  5
привітний 	привітний 	  	adj:m:v_naz:compb  42
посміхається посміхатися  	verb:rev:pres:s:3:imperf  42
Молодці	  	молодець 	  	noun:p:v_kly:anim  50
Дуже	  	дуже 		  	adv 50
романтична 	романтичний    	adj:f:v_naz:compb  50
і	  		і 		  		conj:coord  0
затишна	  	затишний 	  	adj:f:v_naz:compb  45
атмосфера 	атмосфера 	  	noun:f:v_naz  15
Посидіти  	посидіти 	  	verb:inf:perf  10
можна	  	можна 	  		predic 0
і	  		і 		  		conj:coord  0
компанією 	компанія 	  	noun:f:v_oru  35
і	  		і 		  		conj:coord  0
наодинці  	наодинці 	  	adv 6
з	  		з 		  		prep:rv_oru 0
коханою	  	кохана 	  		noun:f:v_oru:anim 45
людиною	  	людина 	  		noun:f:v_oru:anim  20
Приємна	  	приємний 	  	adj:f:v_naz:compb  35
музика	  	музика 	  		noun:f:v_naz  20
свічки	  	свічка 	  		noun:p:v_naz  20
романтика 	романтика 	  	noun:f:v_naz  45
Були	  	бути 		  	verb:past:p:imperf  0
один	  	один 		  	numr:m:v_zna  0
раз	  		раз 		  	noun:m:v_zna   0
з	  		з 		  		prep:rv_oru 0
друзями	  	друзі		  	noun:p:v_oru:anim  45
Сподобалось сподобатися   	verb:rev:past:n:perf  45
Дуже	  	дуже		  	adv  50
затишна	  	затишний 	  	adj:f:v_naz:compb  50
домашня	  	домашній 	  	adj:f:v_naz  35
світла	  	світлий 	  	adj:f:v_naz:compb  35
атмосфера 	атмосфера	  	noun:f:v_naz 20
Меню	  	меню 		  	noun:n:v_naz:nv  0
не	  		не 		  		part  -5
особливо  	особливо 	  	adv 5
встигла	  	встигнути 	  	verb:past:f:perf:v-u 5
оцінити	  	оцінити 	  	verb:inf:perf  15
але	  		але		  		conj:coord  -5
замовлені 	замовлений 	  	adjp:pasv:past:p:v_naz  45
турамісу  	тірамісу  		noun:n:v_naz  15
і	  		і 		 	 	conj:coord  0
мохіто	  	мохіто 			noun:n:v_naz  15
були	  	бути 		  	verb:past:p:imperf  0
дуже	  	дуже 		  	adv  45
смачними  	смачний 	  	adj:p:v_oru:compb 45
Дуже	  	дуже 		  	adv 50
гарний	  	гарний 	  		adj:m:v_naz:compb  35
заклад	  	заклад 	  		noun:m:v_naz  0
приємний  	приємний 	  	adj:m:v_naz:compb  35
інтер'єр 	інтер'єр 		noun:m:v_naz 5
дуже-дуже  	дуже-дуже	  	adv 50
смачно	  	смачно 	  		adv:compb  35
Не	  		не 		  		part  -5
смачно	  	смачно 	  		adv:compb   35
Чай	  		чай 		  	noun:m:v_naz  5
ніби	  	ніби 		  	conj:subord  0
з	  		з 		  		prep:rv_zna 0
сіна	  	сіно 		  	noun:p:v_zna  -15
Помідори  	помідор 	  	noun:p:v_naz  0
в	  		в 		  		prep:rv_mis 0
салатах	  	салат 	  		noun:p:v_mis  10
зовсім 		зовсім 			adv -10
не	  		не 		  		part  -5
першої	  	перший 	  		adj:f:v_rod  0
свіжості  	свіжість 	  	noun:f:v_rod 30
Надзвичайно надзвичайно   	adv  50
затишний  	затишний 	  	adj:m:v_naz:compb  35
ресторан  	ресторан 	  	noun:m:v_naz 5
заходила 	заходила 		verb:past:f:perf 0
туди	  	туди 		  	adv:&pron:dem  0
з	  		з 		  		prep:rv_oru 0
друзями	  	друзі 	  		noun:p:v_oru:anim   25
офіціанти 	офіціанти 		noun:p:v_naz 0
привітні  	привітний 	  	adj:p:v_naz:compb  35
знають	  	знати		  	verb:pres:p:3:imperf  0
свою	  	свій 		  	adj:f:v_zna:&pron:pos  0
справу	  	справа 	  		noun:f:v_zna  0
меню	  	меню 		  	noun:n:v_naz:nv 0
оригінальне оригінальний  	adj:n:v_naz:compb  25
надзвичайно надзвичайно   	adv 50
сподобались сподобатися   	verb:rev:past:p:perf  40
