olena 20-30 female
1	                     number  0
дня	                     noun:m:v_rod  0
днях	                 noun:p:v_mis  0
до	                     prep:rv_rod  0
довгих	                 adj:p:v_rod:compb  0
додому	                 adv  0
дожовували	             verb:past:p:imperf  0
дозволити	             verb:inf:perf  0
докладають	             verb:pres:p:3:imperf 0
доливають	             verb:pres:p:3:imperf  0
долити	                 verb:inf:perf   0
домашня	                 adj:f:v_naz  0
дорогі	                 adj:p:v_zna:compb  -10
досить	                 adv  0
достатньо	             adv  0
дочекатись	             verb:rev:inf:perf  0
доїдять	                 verb:futr:p:3:perf  0
друзі	                 noun:p:v_naz:anim  0
дуже	                 adv  0
думали	                 verb:past:p:imperf  0
дівчат	                 noun:p:v_rod:anim  0
дівчина                  noun:f:v_naz:anim  0
ж	                     conj:coord  0
ж	                     part  0
жалітися	             verb:rev:inf:imperf  -20
живу	                 adj:f:v_zna:compb  0
з	                     prep:rv_rod:rv_zna:rv_oru  0
за	                     prep:rv_rod:rv_zna:rv_oru  0
забезпечили	             verb:past:p:perf  0
забрати                  verb:inf:perf  0
завищені	             adjp:pasv:past:p:v_zna  0
загалом	                 adv 0
задоволені               adj:p:v_naz:compb:&adjp:pasv:past 10
зайве	                 adj:n:v_zna  0
зайти	                 verb:inf:perf  0
зайшли	                 verb:past:p:perf  0
заклад	                 noun:m:v_naz(mis)  0
заклад	                 noun:m:v_zna  0
закладами	             noun:p:v_oru  0
закладах	             noun:p:v_mis  0
закладу	                 noun:m:v_dav  0
закладу 	             noun:m:v_rod  0
закладі	                 noun:m:v_mis  0
закладів	             noun:p:v_rod 0
закручена	             adjp:pasv:past:f:v_naz  0
закуски	                 noun:p:v_naz  0
залишили	             verb:past:p:perf  0
замовили	             verb:past:p:perf  0
замовлення	             noun:n:v_zna 0
запеченої	             adjp:pasv:past:f:v_rod  0
запитала	             verb:past:f:perf  0
запропонувала	         verb:past:f:perf  0
заробити	             verb:inf:perf  0
зберіганням	             noun:n:v_oru  0
зв'язок	                 noun:m:v_naz  0
зверніть	             verb:impr:p:2:perf  0
звички	                 noun:f:v_rod 0
звідси 	                 adv:&pron:dem 0
згоди	                 noun:f:v_rod  0
злапали	                 verb:past:p:perf  0
знаю	                 verb:pres:s:1:imperf  0
знаєте	                 verb:pres:p:2:imperf 0
знову	                 adv  0
зовнішній	             adj:m:v_zna  0
зрадити	                 verb:inf:perf  0
зробили	                 verb:past:p:perf  0
зручні	                 adj:p:v_naz:compb  0
зіпсутий	             adjp:pasv:past:m:v_zna 0
зіпсуті	                 adjp:pasv:past:p:v_zna  -10
й	                     conj:coord 0
його	                 adj:m:nv:&pron:pos 0
кажуть	                 verb:pres:p:3:imperf  0
карткою	                 noun:f:v_oru 0
картопельку              noun:f:v_zna 0
картопля                 noun:f:v_naz  0
картоплі	             noun:f:v_rod  0
каси	                 noun:p:v_naz  0
касі	                 noun:f:v_mis 0
кафе-бістро	             noun:n:v_mis:nv:nv  0
кафешки	                 noun:f:v_rod:slang  0
клієнта	                 noun:m:v_rod:anim  0
клієнтів	             noun:p:v_rod:anim  0
ковбаска	             noun:f:v_naz  0
кожного	                 adj:m:v_rod:&pron:def   0
кожної	                 adj:f:v_rod:&pron:def  0
коли	                 adv:&pron:int:rel 0
компот	                 noun:m:v_naz  0
кому	                 noun:f:v_zna  0
котлети	                 noun:p:v_naz   0
котрий	                 adj:m:v_zna:&pron:int  0
кудись	                 adv:&pron:ind  0
купа	                 noun:f:v_naz  0
купила	                 verb:past:f:perf  0
купити	                 verb:inf:perf  0
кухні	                 noun:f:v_dav  0
кількістю	             noun:f:v_oru  0
лате	                 noun:m:v_zna:nv:np  0
лиш	                     part  0
лишалося	             verb:rev:past:n:imperf  0
ложка	                 noun:f:v_naz  0
людей	                 noun:p:v_zna:anim  0
люди	                 noun:p:v_naz:anim  0
людина	                 noun:f:v_naz:anim 0
людини	                 noun:f:v_rod:anim  0
людину	                 noun:f:v_zna:anim 0
м'яса	                 noun:n:v_rod 0
мабуть	                 insert  0
мав	                     verb:past:m:imperf  0
майже	                 adv   0
майонез 	             noun:m:v_zna  0
максимум	             adv 0
максимум                 noun:m:v_zna   0
мала	                 adj:f:v_naz:compb 0
маленький                adj:m:v_zna  0
мало	                 adv:compb 0
малу	                 adj:f:v_zna:compb  0
мамою	                 noun:f:v_oru:anim  0
манери	                 noun:p:v_zna  0
маю	                     verb:pres:s:1:imperf  0
мене	                 pron:pers:s:1:v_rod:anim  0
менеджера	             noun:m:v_rod:anim  0
менші	                 adj:p:v_zna:compr  0
мені	                 pron:pers:s:1:v_dav:anim 0
мережі	                 noun:f:v_rod                                             0
ми	                     pron:pers:p:1:v_naz:anim  0
минулому	             adjp:actv:past:m:v_mis  0
млинці	                 noun:p:v_naz  0
може	                 verb:unknown  0
можете	                 verb:unknown  0
можна	                 predic  0
можу	                 verb:unknown  0
можуть 	                 verb:unknown  0
моє	                     adj:n:v_zna:&pron:pos  0
моєї	                 adj:f:v_rod:&pron:pos 0
мої	                     adj:p:v_naz:&pron:pos  0
між	                     prep:rv_rod:rv_zna:rv_oru 0
мій	                     adj:m:v_zna:&pron:pos  0
мінімум	                 noun:m:v_zna 0
місяць	                 noun:m:v_zna  0
на	                     part  0
на	                     prep:rv_zna:rv_mis 0
набагато	             adv  0
навіть	                 part  0
надто	                 adv  0
називають                verb:pres:p:3:imperf  0
накинула	             verb:past:f:perf  0
накладала	             verb:past:f:imperf  0
налили	                 verb:past:p:perf  0
налити	                 verb:inf:perf  0
наллє	                 verb:futr:s:3:perf 0
нам	                     pron:pers:p:1:v_dav:anim  0
напої	                 verb:impr:s:2:perf  0
наприклад	             insert  0
нас	                     pron:pers:p:1:v_mis:anim  0
нахабно	                 adv:compb  -20
нахабство	             noun:n:v_naz  -20
наш	                     adj:m:v_zna:&pron:pos  0
нашій	                 adj:f:v_mis:&pron:pos  0
не	                     part  0
недавно	                 adv  0
неймовірно	             adv:compb  10
нема	                 predic  0
немає	                 predic  0
неможна	                 adj:f:v_naz:rare 0
необачності	             noun:f:v_dav 0
необережність	         noun:f:v_zna  -10
несвіжий	             adj:m:v_zna  -10
несмачної	             adj:f:v_rod -10
них	                     pron:pers:p:3:v_mis:anim  0
нормальне	             adj:n:v_naz  0
нормального	             adj:m:v_rod  0
нормальні	             adj:p:v_zna  10
ні	                     part  0
ніж	                     conj:subord  0
ніжці	                 noun:f:v_mis  0
ніколи	                 adv:&pron:neg  0
нікому	                 pron:neg:v_dav:anim  0
ніч	                     noun:f:v_zna  0
нічого	                 adv  0
ніяк	                 predic  0
о	                     prep:rv_zna:rv_mis  0
обманула	             verb:past:f:perf 0
обмані	                 noun:m:v_mis -10
обслуговувала	         verb:past:f:imperf  0
обслуговування	         noun:n:v_naz 0
обслуговування	         noun:n:v_zna  0
обслуговують	         verb:pres:p:3:imperf  0
обслуговує	             verb:pres:s:3:imperf  0
обслужити	             verb:inf:perf  0
обурення	             noun:n:v_naz -20
обурило                  verb:past:n:perf  -20
обід	                 noun:m:v_zna 0
обідній	                 adj:m:v_zna  0
один	                 numr:m:v_naz  0
одна	                 numr:f:v_naz  0
одне	                 numr:n:v_zna  0
одному	                 numr:m:v_mis  0
одну	                 numr:f:v_zna  0
особливо                 adv  0
останній	             adj:m:v_zna   0
офіціантки	             noun:p:v_naz:anim  0
очевидно	             insert  0
перебування	             noun:n:v_rod 0
передумала	             verb:past:f:perf 0
пережили	             verb:past:p:perf 0
перепитують	             verb:pres:p:3:imperf  0
перепросила	             verb:past:f:perf 0
персонал	             noun:m:v_naz 0
персоналу	             noun:m:v_rod 0
перший	                 adj:m:v_zna  0
першої	                 adj:f:v_rod  0
перші	                 adj:p:v_naz  0
перші	                 adj:p:v_zna  0
печінковий	             adj:m:v_zna  0
пива	                 noun:n:v_rod  0
пиво	                 noun:n:v_zna  0
пильнувати	             verb:inf:imperf  0
по	                     prep:rv_mis:rv_zna  0
по-людськи	             adv 0
побачила	             verb:past:f:perf  0
поведінку	             noun:f:v_zna  0
повернув	             verb:past:m:perf  0
повернути	             verb:inf:perf  0
повеселило               verb:past:n:perf  10
повними	                 adj:p:v_oru:compb  0
повну	                 adj:f:v_zna:compb  0
поводься	             verb:rev:impr:s:2:imperf  0
повірте	                 verb:impr:p:2:perf   0
поганий	                 adj:m:v_naz:compb 0
погано	                 adv:compb  -10
погодилась	             verb:rev:past:f:perf  0
погодитися	             verb:rev:inf:perf  0
подальше	             adj:n:v_naz  0
подивитеся	             verb:rev:futr:p:2:perf  0
подобались	             verb:rev:past:p:imperf  10
поки	                 adv:&pron:int:rel 0
поки	                 adv:&pron:int:rel 0
помістилося	             verb:rev:past:n:perf 0
помітили	             verb:past:p:perf  0
понюхала	             verb:past:f:perf  0
пообідати	             verb:inf:perf  0
попросила	             verb:past:f:perf   0
порцію	                 noun:f:v_zna  0
порції	                 noun:p:v_naz  0
порції	                 noun:p:v_zna  0
порівнювати	             verb:inf:imperf  0
порівнянні	             adj:p:v_naz(mis) 0
порівняти	             verb:inf:perf  0
посуди	                 verb:impr:s:2:perf 0
посудини	             noun:f:v_rod  0
почав	                 verb:past:m:perf  0
почервоніла	             adjp:actv:past:f:v_naz 0
пошкодували	             verb:past:p:perf 0
працюю	                 verb:pres:s:1:imperf   0
представникі             noun:p:v_rod:anim  0
при	                     prep:rv_mis  0
прибиральників	         noun:p:v_rod:anim  0
приблизно	             adv:compb  0
привітний	             adj:m:v_zna:compb  0
привітні	             adj:p:v_naz:compb  10
приготуйтесь	         verb:rev:impr:p:2:perf  10
придбайте	             verb:impr:p:2:perf  10
прийдемо	             verb:futr:p:1:perf  10
пристойна	             adj:f:v_naz  10
приємно	                 adv:compb  10
приїжджала	             verb:past:f:imperf  0
про	                     prep:rv_zna   0
проблеми	             noun:f:v_rod  0
продавщицю	             noun:f:v_zna:bad:anim  0
продавщиця	             noun:f:v_naz:bad:anim  0
продукт	                 noun:m:v_naz 0
продуктів	             noun:p:v_rod 0
продукції	             noun:f:v_rod  0
пройти	                 verb:inf:perf  0
проковтнете	             verb:futr:p:2:perf   0
пролежала	             verb:past:f:perf  0
пролізти	             verb:inf:perf  0
пропонувати	             verb:inf:imperf  0
просити	                 verb:inf:imperf  0
проспекті	             noun:m:v_mis  0
просто	                 adv:compb  0
протирати	             verb:inf:imperf  0
прохання	             noun:n:v_rod  0
прочекали	             verb:past:p:perf  0
пузатої	                 adj:f:v_rod  0
під	                     prep:rv_zna:rv_oru  0
підносами	             noun:p:v_oru  0
підносі	                 noun:m:v_mis  0
пізніше	                 adj:n:v_zna:compr 0
пік	                     noun:m:v_zna  0
після	                 adv  0
раз	                     conj:subord  0
разу	                 noun:m:v_rod  0
рекомендувати	         verb:inf:imperf 0
ресторані	             noun:m:v_mis  0
риби	                 noun:f:v_rod:anim  0
роби	                 verb:impr:s:2:imperf 0
роблять	                 verb:pres:p:3:imperf  0
робітниками	             noun:p:v_oru:anim  0
робітників	             noun:p:v_rod:anim 0
роздачі	                 noun:f:v_mis 0
розливати	             verb:inf:imperf  0
розлити	                 verb:inf:perf  0
розмов	                 noun:p:v_rod  0
розміру  	             noun:m:v_rod  0
розрахуватися	         verb:rev:inf:perf  0
розрахунок	             noun:m:v_zna  0
розрізана	             adjp:pasv:past:f:v_naz  0
роки	                 noun:p:v_zna  0
ручкою	                 noun:f:v_oru  0
рідко	                 adv:compb  0
рідні	                 adj:p:v_naz:compb  0
салати	                 noun:p:v_zna 0
сама	                 adj:f:v_naz:&pron:def  0
самому	                 adj:m:v_dav:&pron:def 0
самі	                 adj:p:v_naz:&pron:def  0
свіжий	                 adj:m:v_zna:compb  0
свіжі	                 adj:p:v_naz:compb  10
свій	                 adj:m:v_naz:&pron:pos 0
серпні	                 noun:m:v_mis 0
сином	                 noun:m:v_oru:anim  0
сиром	                 noun:m:v_oru  0
скажімо	                 insert 0
сказала 	             verb:past:f:perf  0
скандалити	             verb:inf:imperf   -10
скарг	                 noun:p:v_rod  -10
склянки	                 noun:f:v_rod   0
склянку	                 noun:f:v_zna  0
скільки	                 numr:p:v_naz:&pron:ind  0
смак	                 noun:m:v_zna  0
смачні	                 adj:p:v_naz:compb  10
смерділа	             verb:past:f:imperf  -10
сметану	                 noun:f:v_zna  0
снують	                 verb:pres:p:3:imperf  0
собі	                 pron:refl:n:v_dav 0
соки	                 noun:p:v_zna  0
спорожнілої	             adjp:actv:past:f:v_rod  0
спробувати	             verb:inf:perf  0
спробуєте	             verb:futr:p:2:perf  0
співробітників	         noun:p:v_rod:anim  0
стало	                 adv  0
старих	                 adj:p:v_mis:compb  0
створюються	             verb:rev:pres:p:3:imperf  0
столик	                 noun:m:v_zna  0
столиками	             noun:p:v_oru  0
столики	                 noun:p:v_naz  0
столиків	             noun:p:v_rod  0
стосовно	             adv  0
стосується	             verb:rev:pres:s:3:imperf  0
страв	                 noun:p:v_rod  0
страви	                 noun:p:v_zna  0
стрільців	             noun:p:v_rod:anim  0
субота	                 noun:f:v_naz  0
сьогоднішній	         adj:m:v_zna  0
сягнуло	                 verb:past:n:perf  0
січня	                 noun:m:v_rod 0
та	                     conj:coord 0
та	                     conj:coorderf  0
та	                     part  0
так	                     adv:&pron:dem 0
така	                 adj:f:v_naz:&pron:def  0
також	                 adv 0
такої	                 adj:f:v_rod:&pron:def  0
таку	                 adj:f:v_zna:&pron:def  0
там	                     adv:&pron:dem 0
тарілки	                 noun:f:v_rod 0
твоєму	                 adj:m:v_dav:&pron:pos 0
те	                     adj:n:v_zna:&pron:dem  0
тебе	                 pron:pers:s:2:v_rod:anim 0
тепленьке-свіженьке      adj:n:v_naz  10
термінали	             noun:p:v_naz 0
тих	                     adj:p:v_rod:&pron:dem 0
то	                     conj:subord   0
того	                 adj:m:v_rod:&pron:dem  0
тому	                 adv  0
тому	                 conj:subord  0
тонші	                 adj:p:v_zna:compr  0
торт	                 noun:m:v_zna  0
торта	                 noun:m:v_rod 0
точно	                 adv  0
травні	                 adj:p:v_zna(mis) 0
траплялися	             verb:rev:past:p:imperf  0
треба	                 predic  0
третина	                 noun:f:v_naz  0
три	                     numr:p:v_zna  0
ту	                     adj:f:v_zna:&pron:dem  0
туди	                 adv:&pron:dem  0
тут	                     adv:&pron:dem  0
тікати	                 verb:inf:imperf  0
тільки	                 adv   0
тільки	                 part  0
у                        prep:rv_zna:rv_mis:rv_rod:v-u  0
увагу	                 noun:f:v_zna 0
увагу	                 noun:f:v_zna 0
усюди	                 adv:gen:v-u:&pron  0
фаст-фудом               noun:m:v_oru 0
франківську	             adj:f:v_zna  0
харчування	             noun:n:v_rod  0
харчуюся	             verb:rev:pres:s:1:imperf  0
хати	                 noun:f:v_rod  0
хаті	                 noun:f:v_mis  0
хвилин	                 noun:p:v_rod  0
ходив	                 verb:past:m:imperf  0
холодильнику	         noun:m:v_dav   0
хот-доги	             noun:p:v_zna  0
хотіла	                 verb:unknown  0
хотілося	             verb:unknown  0
хочете	                 verb:unknown  0
хіба	                 conj:subord   0
це	                     adj:n:v_zna:&pron:dem  0
це	                     adj:n:v_zna:&pron:dem(part) 0
цей	                     adj:m:v_zna:&pron:dem  0
центрі	                 noun:m:v_mis  0
цибулею	                 noun:f:v_oru 0
цибулю	                 noun:f:v_zna   0
цього	                 adj:m:v_rod:&pron:dem 0
цілий	                 adj:m:v_zna 0
цін	                     noun:p:v_rod  0
ціна	                 noun:f:v_naz  0
ціни	                 verb:impr:s:2:imperf  0
цієї	                 adj:f:v_rod:&pron:dem  0
чайових	                 noun:p:v_mis 0
час	                     noun:m:v_zna  0
часто	                 adv:compb  0
чемність	             noun:f:v_zna 10
черги	                 noun:p:v_naz  0
чи	                     conj:coord:subord 0
читати	                 verb:inf:imperf  0
чоловіком	             noun:m:v_oru:anim  0
чула	                 adj:f:v_naz  0
чітко	                 adv:compb  0
шанувати	             verb:inf:imperf  0
швидке	                 adj:n:v_zna:compb  0
швидкого	             adj:m:v_rod:compb  0
шинкою	                 noun:f:v_oru 0
шкода	                 noun:f:v_naz  0
шматок	                 noun:m:v_zna  0
шматочок	             noun:m:v_zna  0
шокувати	             verb:inf:perf  -10
ще	                     adv  0
ще	                     part   0
що	                     conj:subord   0
що	                     pron:int:rel:n:v_zna 0
щоб	                     conj:subord  0
щось	                 pron:ind:n:v_zna  0
я	                     pron:pers:s:1:v_naz:anim  0
яблуками	             noun:p:v_oru  0
як	                     adv:&pron:int:rel 0
як	                     conj:subord 0
як	                     part  0
яка	                     noun:m:v_rod:anim(conj:subord) 0
який	                 adj:m:v_naz:&pron:int:rel:def 0
яких	                 adj:p:v_rod:&pron:int:rel:def 0
якщо	                 conj:subord   0
які	                     adj:p:v_naz:&pron:int:rel:def 0
якісне	                 adj:n:v_zna:compb  0
якість	                 noun:f:v_naz  10
якістю	                 noun:f:v_oru  10
є	                     verb:pres:s:2:imperf 0
єдине	                 adj:n:v_zna  0
і	                     conj:coord                                     0
іншим	                 adj:m:v_oru:&pron:def 0
іншими	                 adj:p:v_oru:&pron:def  0
інших	                 adj:p:v_mis:&pron:def                                    0
іншого	                 adj:n:v_rod:&pron:def  0
іти	                     verb:inf:imperf  0
їжа	                     noun:f:v_naz  0
їжі	                     noun:f:v_rod  0
їй	                     pron:pers:f:3:v_dav:anim 0
їх	                     pron:pers:p:3:v_zna:anim 0
її	                     adj:f:nv:&pron:po 0
